"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days","Variant Seller/Incoterms"
"BRUS-ABBR0-MO","2304171","15","6","FREE ON BOARD"
"BRUS-ABR0-MO","2304171","15","6","FREE ON BOARD"
"SACH-ADSS10R1-W","2200105","4","2","DELIVERED DUTY PAID"
"SACH-ADSS10-W","2200105","4","2","DELIVERED DUTY PAID"
"KUAS-ESMO2KSNBR-THG","2310113","18","2","FREE ON BOARD"
"","2310113","18","2","FREE ON BOARD"
"","2303688","19","2","FREE ON BOARD"
"","2303688","19","2","FREE ON BOARD"
"APPL-EBR0-ENPS","2200060","9","2","DELIVERED DUTY PAID"
"","2200060","9","2","DELIVERED DUTY PAID"
"KUAS-LIPP10BH-BP","2310113","18","2","FREE ON BOARD"
"","2303688","19","2","FREE ON BOARD"
"KUAS-LIPP10BT-BP","2310113","18","2","FREE ON BOARD"
"","2303688","19","2","FREE ON BOARD"
"PIP-ACSROSR0-W","2200025","15","2","FREE ON BOARD"
"","2200113","15","2","FREE ON BOARD"
"BAL-BROBPPEC-D254W23","2200086","2","2","DELIVERED DUTY PAID"
"BAL-EXPPLR0-W","2200148","10","2","FREE ON BOARD"
"","2200148","10","2","FREE ON BOARD"
"","2200148","10","2","FREE ON BOARD"
"","2200148","10","2","FREE ON BOARD"
"","2200148","10","2","FREE ON BOARD"
"BAL-SPPLL-MOSS","2200032","15","2","FREE ON BOARD"
"","2200032","15","2","FREE ON BOARD"
"","2200032","17","2","FREE ON BOARD"
"BAL-SSLEL-WSS","2200032","17","2","FREE ON BOARD"
"","2200032","15","2","FREE ON BOARD"
"BAL-BALTEPLR0-E","2200148","11","2","FREE ON BOARD"
"","2200148","11","2","FREE ON BOARD"
"","2200148","11","2","FREE ON BOARD"
"CUSH-EBWMMC01L-X","2300964","12","2","DELIVERED DUTY PAID"
"CUSH-EBWMMC02N-X","2300964","12","2","DELIVERED DUTY PAID"
"CUSH-EBWMMC03C-X","2300964","12","2","DELIVERED DUTY PAID"
"CUSH-EBWMMC04M-X","2300964","12","6","DELIVERED DUTY PAID"
"DUS-BBLPAR0-WILD","2303752","4","2","DELIVERED DUTY PAID"
"DUS-BBLPBR0-WILD","2303752","4","2","DELIVERED DUTY PAID"
"DUS-BBLPCR0-WILD","2303752","4","2","DELIVERED DUTY PAID"
"DUS-BBLPDR0-WILD","2303752","4","2","DELIVERED DUTY PAID"
"BASE-CLBPER0-E","2200131","10","2","FREE ON BOARD"
"","2200131","10","2","FREE ON BOARD"
"","2200131","10","2","FREE ON BOARD"
"","2200131","10","2","FREE ON BOARD"
"BASE-CLBPIR0-E","2200131","10","2","FREE ON BOARD"
"","2200131","10","2","FREE ON BOARD"
"","2200131","10","2","FREE ON BOARD"
"","2200131","10","2","FREE ON BOARD"
"BASE-CLHNTR0-E","2200131","10","2","FREE ON BOARD"
"","2200131","10","2","FREE ON BOARD"
"","2200131","10","2","FREE ON BOARD"
"","2200131","10","2","FREE ON BOARD"
"BASE-CSS-W","2200115","14","2","FREE ON BOARD"
"BASC-UVSSR0-W","2200115","14","2","FREE ON BOARD"
"","2200115","14","2","FREE ON BOARD"
"CONT-CGRPR0-W","2200093","5","2","DELIVERED DUTY PAID"
"BASE-MMB01-MO","2303771","16","2","FREE ON BOARD"
"","2303771","16","2","FREE ON BOARD"
"","2303771","16","2","FREE ON BOARD"
"BASE-MMB02-MO","2303771","16","2","FREE ON BOARD"
"","2303771","16","2","FREE ON BOARD"
"","2303771","16","2","FREE ON BOARD"
"BASE-MMB03-MO","2303771","16","2","FREE ON BOARD"
"","2303771","16","2","FREE ON BOARD"
"","2303771","16","2","FREE ON BOARD"
"BASE-MMB04-MO","2303771","16","2","FREE ON BOARD"
"","2303771","16","2","FREE ON BOARD"
"","2303771","16","2","FREE ON BOARD"
"BASE-MMB05-MO","2303771","16","2","FREE ON BOARD"
"","2303771","16","2","FREE ON BOARD"
"","2303771","16","2","FREE ON BOARD"
"BASE-PCSS-W","2200115","14","2","FREE ON BOARD"
"BRUS-BBR0-MO","2302221","14","6","FREE ON BOARD"
"","2302221","14","6","FREE ON BOARD"
"PAP-EBPBLR0-W","2307359","2","2","DELIVERED DUTY PAID"
"","2307359","2","2","DELIVERED DUTY PAID"
"PAP-EBPBRR0-W","2307359","2","2","DELIVERED DUTY PAID"
"","2307359","2","2","DELIVERED DUTY PAID"
"PAP-LLC01LR0-W","2200043","4","2","DELIVERED DUTY PAID"
"","2200152","4","2","DELIVERED DUTY PAID"
"","2200152","4","2","DELIVERED DUTY PAID"
"PAP-LLC02BR0-W","2200043","4","2","DELIVERED DUTY PAID"
"","2200152","4","2","DELIVERED DUTY PAID"
"","2200152","4","2","DELIVERED DUTY PAID"
"PAP-LLF01LB-W","2200043","4","2","DELIVERED DUTY PAID"
"","2200043","4","2","DELIVERED DUTY PAID"
"PAP-LLF01LBR1-W","2200043","4","2","DELIVERED DUTY PAID"
"","2200152","4","2","DELIVERED DUTY PAID"
"","2200152","4","2","DELIVERED DUTY PAID"
"PAP-LLF02B-W","2200043","4","2","DELIVERED DUTY PAID"
"","2200043","4","2","DELIVERED DUTY PAID"
"PAP-LLF02BR1-W","2200043","4","2","DELIVERED DUTY PAID"
"","2200152","4","2","DELIVERED DUTY PAID"
"PAP-LLF03I-W","2200043","4","2","DELIVERED DUTY PAID"
"","2200152","4","2","DELIVERED DUTY PAID"
"PAP-LLF03IR1-W","2200043","4","2","DELIVERED DUTY PAID"
"","2200152","4","2","DELIVERED DUTY PAID"
"PAP-LLF04N-W","2200043","4","2","DELIVERED DUTY PAID"
"","2200043","4","2","DELIVERED DUTY PAID"
"PAP-LLF04NR1-W","2200043","4","2","DELIVERED DUTY PAID"
"","2200152","4","2","DELIVERED DUTY PAID"
"","2200152","4","2","DELIVERED DUTY PAID"
"PAP-UVSSR1-W","2200037","6","2","DELIVERED DUTY PAID"
"","2200037","6","2","DELIVERED DUTY PAID"
"","2200037","6","2","DELIVERED DUTY PAID"
"","2200037","6","2","DELIVERED DUTY PAID"
"","2200037","6","2","DELIVERED DUTY PAID"
"","2200037","6","2","DELIVERED DUTY PAID"
"PAP-UVSSR0-W","2200037","4","2","DELIVERED DUTY PAID"
"","2200037","4","2","DELIVERED DUTY PAID"
"","2200037","4","2","DELIVERED DUTY PAID"
"","2200037","4","2","DELIVERED DUTY PAID"
"","2200037","4","2","DELIVERED DUTY PAID"
"","2200037","4","2","DELIVERED DUTY PAID"
"BAL-BPR1D882B08-WT","2200027","18","2","DELIVERED DUTY PAID"
"","2200154","18","2","DELIVERED DUTY PAID"
"BOTO-CAUSSSR0-TV","2302336","4","2","DELIVERED DUTY PAID"
"","2302336","4","2","DELIVERED DUTY PAID"
"BOTO-ALMR1-WPETG","2200032","16","2","FREE ON BOARD"
"","2200032","16","2","FREE ON BOARD"
"","2200032","17","2","FREE ON BOARD"
"","2200032","16","2","FREE ON BOARD"
"BOTO-BNG100PVC-","2200042","4","2","DELIVERED DUTY PAID"
"","2200042","4","2","DELIVERED DUTY PAID"
"BOTO-BWMGTR0-BD","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"BOTO-BWMSSR0-BD","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","EX WORKS"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
"","2305884","2","2","DELIVERED DUTY PAID"
