Korporat Code,Variant Seller/Vendor/Reference,Variant Seller/Percentage,Variant Seller/Delivery Lead Time,Variant Seller/QC Leadtime in days,Variant Seller/Min Qty,Variant Seller/Lot Size,Variant Seller/Vendor/Display Name,Variant Seller/Purchase Start Date,Variant Seller/Purchase End Date,Variant Seller/Incoterms,Variant Seller/Company/Display Name
APPL-EBR0-ENPS,2200060,1,9,2,10000,1000,"MS UNION INTERNASIONAL, PT",2021-01-25,2021-09-27,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
APPL-EBR0-ENPS,2200060,1,9,2,10000,1000,"MS UNION INTERNASIONAL, PT",2022-01-07,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
BAL-BALTEPLR0-E,2200148,1,11,2,30000,30000,"NINGBO JIELI COSMETICAL PACKAGE CO.,LTD",2022-06-07,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BAL-BPR1D882B08-WT,2200027,1,18,2,30000,500,"COSMOPACK PLASTINDO UTAMA, PT",2021-01-25,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
BAL-BPR1D882B08-WT,2200154,1,18,2,30000,500,"KARYA INDAH PESONA, PT",2021-01-25,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
BAL-BROBPPEC-D254W23,2200086,1,2,2,50000,100,"SUMBER TRI MAKMUR, PT",2021-01-25,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
BAL-EXPPLR0-W,2200148,1,10,2,30000,30000,"NINGBO JIELI COSMETICAL PACKAGE CO.,LTD",2021-09-28,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BAL-PSEXPPLR0-W,2200148,1,4,2,100,100,"NINGBO JIELI COSMETICAL PACKAGE CO.,LTD",,2021-03-01,EX WORKS,PT PARAGON TECHNOLOGY AND INNOVATION
BAL-PSFEXPPLR0-W,2200148,1,2,2,500,100,"NINGBO JIELI COSMETICAL PACKAGE CO.,LTD",2021-07-22,,EX WORKS,PT PARAGON TECHNOLOGY AND INNOVATION
BAL-PSTEPLR0-E,2200148,1,3,2,200,200,"NINGBO JIELI COSMETICAL PACKAGE CO.,LTD",2021-12-17,,EX WORKS,PT PARAGON TECHNOLOGY AND INNOVATION
BAL-SPPLL-MOSS,2200032,1,15,2,10000,100,"ESMIN CO., LTD.",2021-01-25,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BAL-SPPLL-MOSS,2200032,1,15,2,10000,100,"ESMIN CO., LTD.",2022-02-03,2022-07-14,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BAL-SPPLL-MOSS,2200032,1,17,2,10000,100,"ESMIN CO., LTD.",2022-02-03,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BAL-SSLEL-WSS,2200032,1,15,2,24000,100,"ESMIN CO., LTD.",2021-01-25,2022-07-14,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BAL-SSLEL-WSS,2200032,1,17,2,24000,100,"ESMIN CO., LTD.",2021-01-25,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASC-UVSSR0-W,2200115,1,14,2,50000,100,"NINGBO YUNWU PLASTICS CO.,LTD",2021-01-25,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASC-UVSSR0-W,2200115,1,14,2,50000,100,"NINGBO YUNWU PLASTICS CO.,LTD",2021-01-25,2022-01-22,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-CLBPER0-E,2200131,1,10,2,25000,100,"DERIK INDUSTRIAL CO.,LTD",2021-01-25,2021-01-25,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-CLBPER0-E,2200131,1,10,2,25000,100,"DERIK INDUSTRIAL CO.,LTD",2022-01-07,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-CLBPIR0-E,2200131,1,10,2,10000,100,"DERIK INDUSTRIAL CO.,LTD",2022-01-07,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-CLBPIR0-E,2200131,1,10,2,25000,100,"DERIK INDUSTRIAL CO.,LTD",2021-01-25,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-CLBPIR0-E,2200131,1,10,2,25000,100,"DERIK INDUSTRIAL CO.,LTD",2022-01-07,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-CLHNTR0-E,2200131,1,10,2,10000,100,"DERIK INDUSTRIAL CO.,LTD",2021-01-25,2021-01-25,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-CLHNTR0-E,2200131,1,10,2,10000,100,"DERIK INDUSTRIAL CO.,LTD",2022-01-07,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-CSS-W,2200115,1,14,2,10000,100,"NINGBO YUNWU PLASTICS CO.,LTD",,2021-01-25,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-MMB01-MO,2303771,1,16,2,3000,100,"ZHONGSHAN FULIN COSMETICS CO.,",2022-01-18,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-MMB02-MO,2303771,1,16,2,3000,100,"ZHONGSHAN FULIN COSMETICS CO.,",2022-01-18,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
