SKU code;Packing line code;DATE;Qty
A-BPCB-W20G;JRP02;202210;5731
A-PRT-W100ML;BOP04;202210;7340
A-PRT-W100ML;BOP04;202211;1820
A-PRT-W100ML;BOP04;202211;9560
A-SATG-W15ML;TUP08;20229;16842
A-SATG-W15ML;TUP08;202211;15162
BBC-EL-W15ML;TUP06;202211;44832
BBC-EN-W15ML;TUP06;202211;55776
BBC-LL-W15ML;TUP06;202211;54720
BBC-LN-W15ML;TUP06;202210;29792
B-BSLP-EM;LPP01;202210;980
B-BSLP-EM;LPP03;202210;3196
B-BSLP-EM;LPP01;202210;5314
B-BSLP-EM;LPP03;202210;5279
B-BSLP-EM;LPP01;202210;5305
B-BSLP-EM;LPP01;202211;5350
B-BSLP-EM;LPP01;202211;5329
B-BSLP-EM;LPP01;202211;2412
B-DMCP01-EM;PNP01;202211;4667
B-DMCP02-EM;PNP01;202211;4814
B-DMCP02-EM;PNP01;202211;4682
B-DMCP04-EM;PNP01;202210;4663
B-DMLP01-EM;LPP02;202211;4586
B-DMLP02-EM;LPP02;202210;224
B-DMLP02-EM;LPP02;202210;4586
B-DMLP02-EM;LPP02;202211;4586
B-IPQSP13-W;LPP02;202211;175
BO-CLBSNT-EM;LIP10;202210;2805
BO-CLPCS-EM3.5GR;PCP03;202211;3000
BO-CLPPB-EM3.5GR;PCP03;202211;2865
BO-CLPPPML-EM3.5GR;PCP05;202210;3000
BO-CLPPPML-EM3.5GR;PCP03;202211;3004
BO-CLPPTVB-EM3.5GR;PCP05;202211;2753
BO-COCBSC-W;FOP03;202210;13248
BO-CPLP-W;PCP03;202210;715
BO-E01-W;PCP05;202211;1733
BO-E02-W;PCP05;202211;0
BO-E02-W;PCP05;202211;1776
BO-HLT01-MO;EMP15;202210;0
BO-HLT01-MO;EMP15;202211;570
BO-HLT05-MO;EMP15;202211;480
BO-PPS-MO8X3,5G;PCP03;202211;456
BO-SKCS06-MO6G;PCP03;202210;1008
BO-SKPF01-MO6G;PCP03;202211;70
BO-SKPF01-MO6G;PCP03;202211;66
BO-SKPF01-MO6G;PCP03;202211;62
BO-SKPF01-MO6G;PCP03;202211;54
BO-SKPS03-MO6G;PCP03;202210;1188
BO-SKST09-MO6G;PCP03;202210;1008
BO-W1C-W4GR;PCP04;202210;3000
B-PBTUBB-W;LPP01;202210;5850
B-PBTUBB-W;LPP01;202210;5773
B-PBTUBB-W;LPP01;202211;5850
B-PBTUBB-W;LPP01;202211;5820
B-PBTUBB-W;LPP01;202211;5850
BP-SBSBM-W100ML;BOP04;202211;9700
BP-SJYBM-W100ML;EMP02;202210;4075
BP-SJYBM-W100ML;EMP07;202210;5425
BP-SJYBM-W100ML;BOP04;202211;9375
BP-SJYE-W35ML;EMP17;202210;1512
BP-SJYE-W35ML;EMP17;202210;7577
BP-SJYE-W35ML;JAP03;202210;117
BP-SPCE-W35ML;EMP17;202210;252
BP-SPCE-W35ML;EMP17;20229;5976
BP-SPRE-W35ML;EMP17;202210;7560
BP-SPRE-W35ML;EMP17;202210;7668
B-PT01-MO35G;LPP02;202211;2754
B-PT01-MO35G;LPP02;202211;2698
B-PT02-MO35G;LPP02;202210;2686
B-PT02-MO35G;LPP02;202211;2686
B-PT02-MO35G;LPP02;202211;2686
B-PT03-MO35G;LPP02;202210;125
B-PT04-MO35G;LPP02;202211;510
B-PT05-MO35G;LPP02;202211;1599
B-PT06-MO35G;LPP02;202210;1598
B-PT06-MO35G;LPP02;202211;1598
B-PT07-MO35G;LPP02;202210;1598
B-PT07-MO35G;LPP02;202211;1598
B-R3L01LB-W;LPP02;202211;4648
B-R3L01LB-W;LPP02;202211;4648
B-R3L02B-W;LPP02;202210;4648
B-R3L02B-W;LPP02;202210;4648
B-R3L02B-W;LPP02;202210;4648
B-R3L02B-W;LPP02;202210;4648
B-R3L02B-W;LPP02;202210;4648
B-R3L02B-W;LPP02;202210;4648
B-R3L02B-W;LPP02;202211;4648
B-R3L02B-W;LPP02;202211;4648
B-R3L03I-W;LPP02;202211;4648
B-R3L04N-W;LPP02;202210;2713
B-R3L04N-W;LPP02;202211;1935
B-RBMLP02-EM;LPP02;202211;2050
B-RBMLP03-EM;LPP02;202211;936
B-SFLP-EM8G;LPP02;202211;1872
B-SPC-MO13GR;LPP02;202211;77
B-SPC-MO13GR;PCP05;202211;130
B-SPQ-MO13GR;PCP05;202211;233
BUT-W0S-W50ML;EMP03;202210;1312
BUT-W0S-W50ML;EMP03;202211;3679
BUT-W3LG-W150ML;EMP03;202211;1284
BUT-W3LG-W150ML;EMP03;202211;1272
BUT-W3O-W150ML;JAP03;202210;1176
BUT-W3O-W150ML;JAP03;202210;1224
B-W3ELFP01-W30G;LPP02;202211;3120
B-W3ELFP02-W30G;LPP02;202211;3120
B-W3ELFP02-W30G;LPP02;202211;3120
B-W3ELFP03-W30G;LPP02;202211;3120
B-W3ELFP03-W30G;LPP02;202211;3120
B-W3ELFP03-W30G;LPP02;202211;3123
CB-P1L1-P240;EMP03;202211;624
CB-P1L1-P240;EMP07;202211;0
CB-P1L1-P240;EMP16;202211;144
CM-LCC-W;TUP01;202211;9275
CM-LCC-W;TUP01;202211;9380
CM-RWSPBC-W;TUP09;202210;9330
CM-RWSPBC-W;TUP01;202211;9600
CON-LBBL01-W;BLP01;202210;24168
CON-LBBL01-W;BLP01;202211;2520
CON-LBBL01-W;BLP01;20229;11256
CON-LBBL01-W;EMP01;202210;12856
CON-LBBL01-W;EMP01;20229;11010
CON-LBBL02-W;EMP01;202211;32685
CON-PTCL02-MO;EMP15;202210;780
CON-PTCL02-MO;EMP15;202210;540
CUS-CLPGCB-W;CUP01;202210;5712
CUS-CLPGCB-W;CUP01;20229;768
CUS-CLPGCE-W;CUP01;202210;6180
CUS-CLPGCH-W;CUP01;202211;2448
CUS-CLPGCRA-W;CUP01;202210;5886
CUS-CLPGCRA-W;CUP01;202211;5952
CUS-CLPGCRC-W;CUP01;202211;7863
CUS-EFC01-W;CUP01;202211;480
CUS-EFC01-W;CUP01;202211;6175
CUS-EFC04-W;CUP01;202210;480
CUS-EFC04-W;CUP01;202211;6206
CUS-HLGCW32-MO;CUP01;202210;2736
CUS-HLGN10-MO;CUP01;202210;2616
CUS-HLGNW22-MO;CUP01;20229;3504
CUS-HLGNW22-MO;CUP01;202211;2592
CUS-HLGNW33-MO;CUP01;202211;2088
CUS-REFC01-W;CUP01;202210;1584
CUS-REFC01-W;CUP01;202211;2196
CUS-REFC01-W;EMP02;202211;300
CUS-REFC04-W;CUP01;202211;1536
DDC-CDL-W20ML;TUP06;202210;17136
DDC-CDL-W20ML;TUP06;202211;22608
DDC-CDN-W20ML;TUP06;202210;22608
DDC-CDN-W20ML;TUP07;202211;22752
D-RO-KA;BOP10;202210;10704
DUSS-PMFN10R0-MO;PLB01;202211;1233
D-W1R1HER-W60ML;BOP10;202211;16140
EB-DK01-MO;SAP01;202210;876
EB-DK01-MO;FOP03;202210;76
EB-DK01-MO;SAP01;202210;800
EB-EK-W3G;SAP01;202210;2640
EB-EK-W3G;SAP01;202211;3330
EB-IPB3M01-W5.5G;BTP02;202211;2358
EB-SMUEMB-EM;LIP11;202210;5232
EB-SMUEMB-EM;LIP11;202210;5209
ES-ECL-W3,3GR;PCP04;202211;4080
ES-PPR-MO;LIP08;202210;79
ES-PPR-MO;LIP18;202210;96
ES-PPR-MO;LIP18;202210;96
ES-PPR-MO;LIP18;202210;96
ES-PPR-MO;LIP18;202210;59
