Attribute number;Attribute value;Attribute description;Attribute name
1;FG;Finished Goods;Product category
1;PM;Packaging Material;Product category
1;RM;Raw Material;Product category
1;SFG;Semi Finished Goods;Product category
1;WIP;Work In Progress;Product category
10;*Hair Jelly Putri Bulk (Kg;*Hair Jelly Putri Bulk (Kg;Product Name
10;*Massage Cream Putri Bulkb (Kg;*Massage Cream Putri Bulkb (Kg;Product Name
10;*Pustreite I Putri Bulk;*Pustreite I Putri Bulk;Product Name
10;*Pustreite II Putri Bulk;*Pustreite II Putri Bulk;Product Name
10;*Pustreite Platinum Bulk (Kg;*Pustreite Platinum Bulk (Kg;Product Name
10;*Shampoo Lemon Botol Buk (Kg;*Shampoo Lemon Botol Buk (Kg;Product Name
10;*Sunscreen Gel SPF 30 Non Parfum Bulk (Kg;*Sunscreen Gel SPF 30 Non Parfum Bulk (Kg;Product Name
10;2in1 scrub mask;2in1 scrub mask;Product Name
10;AA1-ABA;AA1-ABA;Product Name
10;AAG1-AAB;AAG1-AAB;Product Name
10;AAG1-AAC;AAG1-AAC;Product Name
10;AAG1-AAD;AAG1-AAD;Product Name
10;AAG1-AAE;AAG1-AAE;Product Name
10;AAG1-AAF;AAG1-AAF;Product Name
10;AAG1-AAG;AAG1-AAG;Product Name
10;AAG1-AAH;AAG1-AAH;Product Name
10;AAG1-AAI;AAG1-AAI;Product Name
10;AAG1-AAJ;AAG1-AAJ;Product Name
10;AAG1-ABA;AAG1-ABA;Product Name
10;AAG1-ABB;AAG1-ABB;Product Name
10;AAG1-ABC;AAG1-ABC;Product Name
10;AAG1-ABD;AAG1-ABD;Product Name
10;AAG1-ABE;AAG1-ABE;Product Name
10;AAG1-BIBAA;AAG1-BIBAA;Product Name
10;AAG1-BIBAB;AAG1-BIBAB;Product Name
10;AAG1-CCAEF;AAG1-CCAEF;Product Name
10;AAG2-AAB;AAG2-AAB;Product Name
10;AAG3-AAB;AAG3-AAB;Product Name
10;AAG3-AAC;AAG3-AAC;Product Name
10;AAG3-AAD;AAG3-AAD;Product Name
10;AAG3-AAF;AAG3-AAF;Product Name
10;AAG3-AAG;AAG3-AAG;Product Name
10;AAG3-AAH;AAG3-AAH;Product Name
10;AAG3-BDADB;AAG3-BDADB;Product Name
10;AAG3-BLBFD;AAG3-BLBFD;Product Name
10;AAG3-BLBJA;AAG3-BLBJA;Product Name
10;AAG3-CCAEG;AAG3-CCAEG;Product Name
10;ACN1-AAB;ACN1-AAB;Product Name
10;ACN1-AAC;ACN1-AAC;Product Name
10;ACN1-ALACJ;ACN1-ALACJ;Product Name
10;ACN1-BDADF;ACN1-BDADF;Product Name
10;ACN3-AAB;ACN3-AAB;Product Name
10;APL1-AAB;APL1-AAB;Product Name
10;APL1-BLBGI;APL1-BLBGI;Product Name
10;APL3-AAB;APL3-AAB;Product Name
10;APL3-AAC;APL3-AAC;Product Name
10;APL3-AAD;APL3-AAD;Product Name
10;APL3-AAE;APL3-AAE;Product Name
10;APL3-AAF;APL3-AAF;Product Name
10;APS1-AAB;APS1-AAB;Product Name
10;APS1-BHAEE;APS1-BHAEE;Product Name
10;ASB1-AAB;ASB1-AAB;Product Name
10;ASB1-AAC;ASB1-AAC;Product Name
10;ASB1-AAE;ASB1-AAE;Product Name
10;ASB1-AAF;ASB1-AAF;Product Name
10;ASB1-CAABD;ASB1-CAABD;Product Name
10;ASB3-AAB;ASB3-AAB;Product Name
10;ASB3-AAC;ASB3-AAC;Product Name
10;ASB3-AAG;ASB3-AAG;Product Name
10;ASB3-AAH;ASB3-AAH;Product Name
10;ASB3-BHAFH;ASB3-BHAFH;Product Name
10;ATG Pustreite Bulk;ATG Pustreite Bulk;Product Name
10;Acnederm Day Moisturizer;Acnederm Day Moisturizer;Product Name
10;Acnederm Face Powder;Acnederm Face Powder;Product Name
10;Acnederm Night Treatment Moisturizer Bulk;Acnederm Night Treatment Moisturizer Bulk;Product Name
10;Acrylic Mangkuk Kecil (CUCING) Beauty Class Wardah Marketin;Acrylic Mangkuk Kecil (CUCING) Beauty Class Wardah Marketin;Product Name
10;Actives Transcutol CG;Actives Transcutol CG;Product Name
10;Actuator Kaleng Mock Up MFS 50 W;Actuator Kaleng Mock Up MFS 50 W;Product Name
10;All Day Protection Bulk;All Day Protection Bulk;Product Name
10;Aloe Hydramild Facial Wash Bulk;Aloe Hydramild Facial Wash Bulk;Product Name
10;Aloe Hydramild Moisturizer Cream;Aloe Hydramild Moisturizer Cream;Product Name
10;Aloe Hydramild Multifunction Gel;Aloe Hydramild Multifunction Gel;Product Name
10;Aloevera Larut Minyak;Aloevera Larut Minyak;Product Name
10;Angled Brow Brush Make Over;Angled Brow Brush Make Over;Product Name
10;Angled Brush Make Over;Angled Brush Make Over;Product Name
