SKU code;SKU Description;COGS Currency;COGS;Uom1;Coef Uom2;Uom2;Coef Uom3;Uom3;Coef Uo4;Uom4;Coef Uom5;Uom5;Coef Uom6;Uom6;Coef Uom7;Uom7;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 20;Attribute 21;Attribute 22;Attribute 23;Attribute 24;Attribute 25;Attribute 26;Attribute 27;Attribute 28;Attribute 29;Attribute 30
B-NFSDMCP01-EM;Emina NFS Daily Matte Compact Powder 01 Light 4 g;;;Pc(s);4.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Emina;existing;;JTK01;OTHERS;OTHERS;OTHERS;B-NFSDMCP01-EM;a;x;;202207;202211;;;local;PRESSTHENFILLINGPACKING;False;;;;;False;;Pc(s);;;
B-NFSDMCP02-EM;Emina NFS Daily Matte Compact Powder 02 Natural 4 g;;;Pc(s);4.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Emina;existing;;JTK01;OTHERS;OTHERS;OTHERS;B-NFSDMCP02-EM;a;x;;202207;202211;;;local;PRESSTHENFILLINGPACKING;False;;;;;False;;Pc(s);;;
BBC-NFSEL-W;Sample Pajangan Wardah NFS Lightening BB Cream Light 15 ml (Pc(s);;;Pc(s);15.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;BBC-NFSEL-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
BBC-NFSEN-W;Sample Pajangan Wardah NFS Everyday BB Cream Natural 15 ml (Pc(s);;;Pc(s);15.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;BBC-NFSEN-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
BBC-NFSLN15-W;Sample Pajangan Wardah NFS Lightening BB Cream Natural 15 ml;;;Pc(s);15.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;BBC-NFSLN15-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
BP-WSEDTN2-KA;Kahf True Brotherhood Eau de Toilette 1.7 ml;;;Pc(s);1.7;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Kahf;to be discontinued;;JTK02;EDT;EDT;KAHF EAU DE TOILETTE;BP-WSEDTN2-KA;a;x;;;;;;local;NO;False;;;;MASS;False;;Pc(s);;;
EL-NFSESL-W;Sample Pajangan Wardah NFS Eyexpert Staylast Liquid Eyeliner 3.5 gr (Pc(s));;;Pc(s);3.5;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;EL-NFSESL-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
F-NFSL02-W;Sample Pajangan Wardah NFS Lightening Liquid Foundation 02. Beige 25 ml (Blister);;;Pc(s);25.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;F-NFSL02-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
F-NFSL03-W;Sample Pajangan Wardah NFS Lightening Liquid Foundation 03. Ivory 25 ml (Blister);;;Pc(s);25.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;F-NFSL03-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
FT-NFSGSEH30-L;LABORE Sensitive Skin Care NFS GentleBiome Hydration Toner 30 ml;;;Pc(s);30.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Labore;;;JTK02;OTHERS;OTHERS;OTHERS;FT-NFSGSEH30-L;a;x;;202225;202233;;;local;STD;False;;;;;False;;Pc(s);;;
