SKU code;SKU Description;COGS Currency;COGS;Uom1;Coef Uom2;Uom2;Coef Uom3;Uom3;Coef Uo4;Uom4;Coef Uom5;Uom5;Coef Uom6;Uom6;Coef Uom7;Uom7;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 20;Attribute 21;Attribute 22;Attribute 23;Attribute 24;Attribute 25;Attribute 26;Attribute 27;Attribute 28;Attribute 29;Attribute 30
B-NFSDMCP01-EM;Emina NFS Daily Matte Compact Powder 01 Light 4 g;;;Pc(s);4.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Emina;existing;;JTK01;;;;B-NFSDMCP01-EM;;;;202207;202211;;;local;PRESSTHENFILLINGPACKING;NO;;;;;FALSE;;;;;
B-NFSDMCP02-EM;Emina NFS Daily Matte Compact Powder 02 Natural 4 g;;;Pc(s);4.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Emina;existing;;JTK01;;;;B-NFSDMCP02-EM;;;;202207;202211;;;local;PRESSTHENFILLINGPACKING;NO;;;;;FALSE;;;;;
FT-NFSGSEH30-L;LABORE Sensitive Skin Care NFS GentleBiome Hydration Toner 30 ml;;;Pc(s);30.9;g;;g;;;50;KOLI;;PLT;;TRL;FG;sample;Labore;existing;;JTK02;;;;FT-NFSGSEH30-L;;;;202225;202233;;;local;STD;NO;;;;;FALSE;;;;;
FW-NFSBSACNE15-EM;Emina NFS Bright Stuff for Acne Prone Skin Face Wash 15 ml;;;Pc(s);15.45;g;;g;;;96;KOLI;;PLT;;TRL;FG;sample;Emina;existing;;JTK02;;;;FW-NFSBSACNE15-EM;;;;202152;202212;;;local;STD;NO;;;;;FALSE;;;;;
FW-NFSGS-L;LABORE Sensitive Skin Care NFS GentleBiome Mild Cleanser 15 ml;;;Pc(s);15.75;g;;g;;;48;KOLI;;PLT;;TRL;FG;sample;Labore;existing;;JTK02;;;;FW-NFSGS-L;;;;202132;202138;;;local;STD;NO;;;;;FALSE;;;;;
HBW-NFSBWN1A-BD;Biodef NFS Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami 15 ml;;;Pc(s);13.5;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Biodef;existing;;JTK02;;;;HBW-NFSBWN1A-BD;;;;202237;202243;;;local;STD;NO;;;;;FALSE;;;;;
M-NFSBRERMC-L;LABORE Sensitive Skin Care NFS BiomeRepair Barrier Revive Cream 10 ml;;;Pc(s);9.9;g;;g;;;48;KOLI;;PLT;;TRL;FG;sample;Labore;existing;;JTK02;;;;M-NFSBRERMC-L;;;;202136;202139;;;local;STD;NO;;;;;FALSE;;;;;
MY-FWNFSPBJ-W;Malaysia Wardah NFS Perfect Bright Jelly Face Wash 3 ml;;;Pc(s);3.15;g;;g;;;1;KOLI;;PLT;;TRL;FG;sample;Wardah Malaysia;existing;;JTK06;;;;MY-FWNFSPBJ-W;;;;202233;202241;;;eksported;STD;NO;;;;;FALSE;;;;;
MY-MNFSAGNC3-W;Malaysia Wardah NFS Renew You Anti Aging Night Cream 3 ml (Pc(s));;;Pc(s);2.85;g;;g;;;1;KOLI;;PLT;;TRL;FG;sample;Wardah Malaysia;existing;;JTK06;;;;MY-MNFSAGNC3-W;;;;;;;;eksported;STD;NO;;;;;FALSE;;;;;
MY-MNFSPBNC-W;Malaysia Wardah NFS Perfect Bright Night Cream 3 ml;;;Pc(s);3.036;g;;g;;;1;KOLI;;PLT;;TRL;FG;sample;Wardah Malaysia;existing;;JTK06;;;;MY-MNFSPBNC-W;;;;202233;202241;;;eksported;STD;NO;;;;;FALSE;;;;;
