"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Percentage","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days","Variant Seller/Min Qty","Variant Seller/Lot Size","Variant Seller/Vendor/Display Name","Variant Seller/Purchase Start Date","Variant Seller/Purchase End Date","Variant Seller/Incoterms","Variant Seller/Company/Display Name"
"SOLV-BGKHN-X","2100050","1.0","12","2","1000.0","200.0","KEMIKO INDONESIA, PT","2021-09-06","2022-05-06","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100050","1.0","12","2","1000.0","200.0","KEMIKO INDONESIA, PT","2021-09-06","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"BUTY--DAI1,3","2100021","1.0","12","2","200.0","200.0","DKSH INDONESIA, PT","2021-01-25","2022-03-11","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100021","1.0","12","2","200.0","200.0","DKSH INDONESIA, PT","2021-01-25","2022-05-06","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100031","0.2","12","2","200.0","200.0","GLOBAL CHEMINDO MEGATRADING, PT","2021-01-25","2021-05-07","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100021","1.0","12","2","200.0","200.0","DKSH INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100031","0.2","12","2","200.0","200.0","GLOBAL CHEMINDO MEGATRADING, PT","2021-01-25","2021-10-29","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"HUM-13BG-X","2100005","1.0","16","2","200.0","200.0","AVANTCHEM, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"PEN-PRSVPE-X","2100058","1.0","24","2","200.0","200.0","MENJANGAN SAKTI, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100058","1.0","18","2","200.0","200.0","MENJANGAN SAKTI, PT","2021-01-25","2022-02-25","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100058","1.0","24","2","200.0","200.0","MENJANGAN SAKTI, PT","2021-01-25","2022-04-19","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100058","1.0","18","2","200.0","200.0","MENJANGAN SAKTI, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"SOLV-2PEEPH-MO","2100093","1.0","18","7","25.0","25.0","MERCK INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"PARF-256BU-X","2100028","1.0","6","2","25.0","25.0","FIRMENICH INDONESIA, PT","2021-01-25","2022-04-04","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100028","1.0","6","2","25.0","25.0","FIRMENICH INDONESIA, PT","2021-01-25","2022-07-22","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100028","1.0","6","2","25.0","25.0","FIRMENICH INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"WARN-BB--K","2100025","1.0","6","2","20.0","20.0","DWIPAR LOKA AYU, PT","2021-01-25","","DELIVERED BY AIR","PT PARAGON TECHNOLOGY AND INNOVATION"
"KATI-JGRC14-X","2100012","1.0","14","2","100.0","25.0","BRENNTAG ,PT","2021-01-25","2022-07-14","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100012","1.0","14","2","100.0","25.0","BRENNTAG ,PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100012","1.0","14","2","25.0","25.0","BRENNTAG ,PT","2021-01-25","2021-05-07","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"PARF-819EC-X","2100028","1.0","6","2","50.0","50.0","FIRMENICH INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100028","1.0","6","2","25.0","25.0","FIRMENICH INDONESIA, PT","2021-01-25","2022-05-13","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100028","1.0","6","2","25.0","25.0","FIRMENICH INDONESIA, PT","2021-01-25","2022-07-22","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100028","1.0","6","2","25.0","25.0","FIRMENICH INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"POWD-HTTS-X","2100021","1.0","12","2","20.0","20.0","DKSH INDONESIA, PT","2021-10-25","2022-06-03","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100021","1.0","12","2","20.0","20.0","DKSH INDONESIA, PT","2021-10-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"WARN-COGR--K","2100025","1.0","16","2","25.0","25.0","DWIPAR LOKA AYU, PT","2021-01-25","2021-03-07","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"WARN-COGO--K","2100025","1.0","16","2","25.0","25.0","DWIPAR LOKA AYU, PT","2021-01-25","2022-03-25","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100025","1.0","16","2","25.0","25.0","DWIPAR LOKA AYU, PT","2021-01-25","2022-05-13","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100025","1.0","16","2","25.0","25.0","DWIPAR LOKA AYU, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100025","1.0","16","2","25.0","25.0","DWIPAR LOKA AYU, PT","2021-01-25","2021-12-08","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"WARN-COGJ--K","2100030","1.0","2","2","5.0","5.0","GALIC BINA MADA, PT","2021-02-15","2021-02-21","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"WARN-CLRG-X","2100025","1.0","16","2","25.0","25.0","DWIPAR LOKA AYU, PT","2021-01-25","2021-05-24","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100025","1.0","16","2","20.0","20.0","DWIPAR LOKA AYU, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"SERI-A790TS-X","2100085","1.0","20","7","20.0","20.0","TRITUNGGAL ARTHA MAKMUR, PT","2021-01-25","2022-04-04","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100085","1.0","20","7","20.0","20.0","TRITUNGGAL ARTHA MAKMUR, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"SAMP-AA2G-X","2100021","1.0","6","","0.1","0.1","DKSH INDONESIA, PT","","","DELIVERED BY AIR","PT PARAGON TECHNOLOGY AND INNOVATION"
"HYA-AC511H-X","2100057","1.0","16","2","20.0","20.0","MEGA SETIA AGUNG KIMIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
