"Korporat Code","Material Type","General Subcategory","General Accountable State","General State","Rnd Process State","Ppc State","Rnd State","Lifecycle State","Lifecycle","Factory"
"L-TLTD-OMG","Semi Finished Goods","Refill","Draft","Draft","Confirmed","Draft","Draft","Draft","initial","JTK06"
"D-NSAP-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft","initial",""
"HS-NSNP-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft","initial",""
"FW-NSHTC-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft","initial",""
"L-NSLT-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft","initial",""
"M-NSPJJ-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft","initial",""
"M-NSPJT-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft","initial",""
"SS-NSSPF30-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft","initial",""
"SS-NSSPF50-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft","initial",""
"B-NSZZ-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft","initial",""
