"Last Updated on","Created on","Korporat Code","Internal Reference","Name","Internal Name","Material Type","Unit of Measure/Display Name","PO Conversion Coeff","Brand/Display Name","Source","NFG Type/Display Name","Type of RM/PM","Customized UOM PO/Display Name"
"2022-06-17 00:00:32","2021-04-21 07:10:00","POWD-HTTS-X","PWD3-AHD","8HT-TS ex Chuzhou Grea Minerals, Co, Ltd, China","Talc Soft","Raw Material","kg","0.0","","Imported","BAHAN BAKU UMUM","Irregular","kg"
"2022-06-14 06:38:49","2021-04-21 07:05:10","ALKO-ALKHCKI-X","SLV1-AAC","Alkohol Cukai (Kg)","Alkohol Cukai","Raw Material","g","800.0","","Imported","BAHAN BAKU UMUM","Irregular","Liter(s)"
"2022-06-14 06:30:50","2022-03-10 04:41:21","EMO-BRB2835-X","EMO1-CCAEE","BRB 2835","Emollient 2835","Raw Material","kg","0.0","","Imported","BAHAN BAKU UMUM","Irregular","kg"
"2022-06-16 04:48:07","2022-06-16 04:47:41","BOTO-AFRBW-K","BOTO-AFRBW-K","Bottle Acne Fight and Relaxing Body Wash 200 ml Kahf, HDPE 26 gr, Green, 3/2 pass printing, 24/410","Bottle Acne Fight and Relaxing Body Wash 200 K","Packaging Material","Pc(s)","0.0","Kahf","","BOTPOT","Irregular","Pc(s)"
"2022-06-16 04:46:18","2022-06-16 04:45:49","BOTO-BCBW-K","BOTO-BCBW-K","Bottle Brightening and Cooling Body Wash 200 ml Kahf, HDPE 26 gr, Blue, 3/2 pass printing, 24/410","Bottle Brightening and Cooling Body Wash 200 K","Packaging Material","Pc(s)","0.0","Kahf","","BOTPOT","Irregular","Pc(s)"
"2022-06-17 06:23:44","2022-06-17 06:23:11","BOTO-CFLISR0-W","BOTO-CFLISR0-W","Bottle Colorfit Fresh Lip Ink Serum Wardah,AS,Injection Beige, Spray matte Clear, 1 pass printing","Bottle Colorfit Fresh Lip Ink Serum W","Packaging Material","Pc(s)","0.0","Wardah","","BOTPOT","Irregular","Pc(s)"
"2022-02-01 01:24:24","2021-10-15 08:57:32","BOTO-JKLTS05R0-OMG","BOTO-JKLTS05R0-OMG","Bottle Juicy Kiss Lip Tint 05 OMG,LG-897,PETG,TintedPinkTransparentColour,1PassPrinting,NoFinishing","Bottle Juicy Kiss Lip Tint 05 OMG","Packaging Material","Pc(s)","0.0","OMG","","BOTPOT","Irregular","Pc(s)"
"2022-06-16 23:55:42","2021-04-21 07:12:19","SILI-CES1104-X","SLC2-AAC","CES 1104 ex. NuSil Technology, USA","Encapsulated Silicon","Raw Material","g","0.0","","Imported","BAHAN BAKU UMUM","Regular","kg"
"2022-03-10 03:08:59","2022-03-10 03:08:28","CAPA-PTMLCR2-MO","CAPA-PTMLCR2-MO","Cap+Applicator Powerstay TM Lip Cream REV-2 Make Over,PW5001B,ABS,BlackInjection,1PassPrinting,SprayMatte","Cap+Applicator Powerstay TM Lip Cream R2 MO","Packaging Material","Pc(s)","0.0","Make Over","","BOTPOT","Irregular","Pc(s)"
"2022-06-17 06:24:36","2022-06-17 06:24:19","CAPA-CFLIS01R0-W","CAPA-CFLIS01R0-W","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 01 Wardah,ABS+PP,Injection Color,Spray matte Clear, Wiper:PE,Natural","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 01 W","Packaging Material","Pc(s)","0.0","Wardah","","CAP","Irregular","Pc(s)"
"2022-06-17 06:25:28","2022-06-17 06:25:04","CAPA-CFLIS02R0-W","CAPA-CFLIS02R0-W","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 02 Wardah,ABS+PP,Injection Color,Spray matte Clear, Wiper:PE,Natural","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 02 W","Packaging Material","Pc(s)","0.0","Wardah","","CAP","Irregular","Pc(s)"
"2022-06-17 06:26:19","2022-06-17 06:26:03","CAPA-CFLIS03R0-W","CAPA-CFLIS03R0-W","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 03 Wardah,ABS+PP,Injection Color,Spray matte Clear, Wiper:PE,Natural","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 03 W","Packaging Material","Pc(s)","0.0","Wardah","","CAP","Irregular","Pc(s)"
"2022-06-17 06:27:25","2022-06-17 06:26:57","CAPA-CFLIS04R0-W","CAPA-CFLIS04R0-W","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 04 Wardah,ABS+PP,Injection Color,Spray matte Clear, Wiper:PE,Natural","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 04 W","Packaging Material","Pc(s)","0.0","Wardah","","CAP","Irregular","Pc(s)"
"2022-06-17 06:28:09","2022-06-17 06:27:54","CAPA-CFLIS05R0-W","CAPA-CFLIS05R0-W","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 05 Wardah,ABS+PP,Injection Color,Spray matte Clear, Wiper:PE,Natural","Cap+Applicator+Wiper Colorfit Fresh Lip Ink Serum 05 W","Packaging Material","Pc(s)","0.0","Wardah","","CAP","Irregular","Pc(s)"
