"Created on","Last Updated on","Internal Reference","Name","Unit of Measure/Display Name","Material Type","General Subcategory/Display Name","Brand/Display Name","Factory/Display Name","NFG Type/Display Name","Bulk status","Shelf Life Year","Shelf Life Month"
"2022-06-09 00:59:54","2022-06-30 08:55:13","BOTP-PBSCMBS30-T","BOTP PB Squalane + Ceramide MBS 30 T","Pc(s)","Intermediate","Intermediate Pack","Tavi","JTK02","BOTPRINT","","0","0.0"
"2021-12-02 03:19:21","2021-12-02 03:22:05","BOTP-NLREV2450-P","BOTP Putri PRO Netlot 450 R2","Pc(s)","Intermediate","Intermediate Pack","Putri","","BOTPRINT","","0","0.0"
"2021-11-12 02:41:28","2022-06-05 13:35:16","BOTS-NBHO30-K","Botol Sticker NBH Oil 30 K","Pc(s)","Intermediate","Intermediate Pack","Kahf","JTK02","BOTSTK","","0","0.0"
"2022-06-30 08:38:22","2022-07-01 02:14:58","BOTP-WEIMLR0-IP","Bottle Printing + Wiper EIM Liquid Instaperfect,3 Pass Digital Printed","Pc(s)","Intermediate","Intermediate Pack","Instaperfect","","BOTPRINT","","0","0.0"
"2022-06-30 08:39:17","2022-07-01 02:14:43","BOTP-MLMPR0-IP","Bottle Printing Mattesetter Lip Matte Paint Instaperfect,3 Pass Digital Printed","Pc(s)","Intermediate","Intermediate Pack","Instaperfect","","BOTPRINT","","0","0.0"
"2021-06-28 04:41:26","2022-06-05 15:59:30","WARN-CBRRT-BULK","Color Base Red Russet","g","Intermediate","Intermediate Bulk","","JTK04","BULK ANTARA","New","0","3.0"
"2021-06-24 08:35:08","2022-06-05 15:30:27","WARN-CBESI2Y-BULK","Color Base SI 2 Yellow","g","Intermediate","Intermediate Bulk","","JTK02","BULK ANTARA","New","0","0.0"
"2021-06-24 08:34:24","2022-06-05 15:30:32","WARN-CBESIR217-BULK","Color Base SI Red 217","g","Intermediate","Intermediate Bulk","","JTK02","BULK ANTARA","New","0","0.0"
"2021-06-24 08:35:51","2022-06-05 15:30:49","WARN-CBETE-BULK","Color Base Tudor Eboni","g","Intermediate","Intermediate Bulk","","JTK02","BULK ANTARA","New","0","0.0"
"2021-06-24 08:33:08","2022-06-05 15:31:02","WARN-CBEWHBI2-BULK","Color Base Warna Hitam BI 2","g","Intermediate","Intermediate Bulk","","JTK02","BULK ANTARA","New","0","0.0"
"2021-06-24 08:31:07","2022-06-05 15:31:09","WARN-CBEWKBI2-BULK","Color Base Warna Kuning BI 2","g","Intermediate","Intermediate Bulk","","JTK02","BULK ANTARA","New","0","0.0"
"2021-06-24 08:32:15","2022-06-05 15:31:16","WARN-CBEWMBI2-BULK","Color Base Warna Merah BI 2","g","Intermediate","Intermediate Bulk","","JTK02","BULK ANTARA","New","0","0.0"
"2022-06-29 01:58:59","2022-06-29 02:36:32","CONP-EFCCR0-W","Container Printing Exclusive Flawless Cover Cushion Wardah,3 Pass Digital Printed","Pc(s)","Intermediate","Intermediate Pack","Wardah","","CONTPRINT","","0","0.0"
"2022-06-08 04:09:20","2022-06-30 08:47:06","DUSS-LMP1R0-W","Dus Sticker Lightening Matte Powder 01 Wardah","Pc(s)","Intermediate","Intermediate Pack","Wardah","JTK01","DUS STICKER","","0","0.0"
"2021-07-06 01:00:31","2022-06-05 20:47:39","SAMP-LARC23A204-DCR17-X","Larutan Sampel C23-A204 SunCROMA® D&C Red 17","g","Intermediate","Intermediate Bulk","","JTK02","BULK ANTARA","New","0","1.0"
"2021-12-20 05:13:46","2022-06-05 22:05:32","LAR-WGT-BULK","Larutan Warna Green Timber","g","Intermediate","Intermediate Bulk","","JTK02","BULK ANTARA","New","0","1.0"
"2021-10-05 09:20:42","2022-06-06 13:42:49","TUBC-LLF01-W","Tube Capped LLF 01 W","Pc(s)","Intermediate","Intermediate Pack","Wardah","JTK02","TUBE STICKER","","0","0.0"
"2021-08-26 08:15:56","2022-03-31 13:14:54","TUBF-UVSSG30-W","Tube FIlliing UVSE Sunscreen Gel SPF 30 W","Pc(s)","Intermediate","Intermediate Pack","Wardah","","TUBE FILLING","","0","0.0"
"2021-08-26 08:19:27","2022-03-31 13:14:54","TUBF-LSA8-W","Tube FIlling Lightening Serum Ampoule 8 W","Pc(s)","Intermediate","Intermediate Pack","Wardah","","TUBE FILLING","","0","0.0"
"2021-04-21 02:19:02","2022-06-06 13:46:02","TUBF-NFSPBCFBO-W","Tube Filling NFS PBCFB Oil Control 15 W","Pc(s)","Intermediate","Intermediate Pack","Wardah","JTK02","TUBE FILLING","","0","0.0"
