"Sequence","Internal Reference","Name","Material Type","Last Updated on","Created on","General State","Activity Exception Decoration"
"1","BOTP-NLREV2450-P","BOTP Putri PRO Netlot 450 R2","Intermediate","2022-08-02 03:46:25","2021-12-02 03:19:21","Waiting for Approval",""
"1","BOTS-NBHO30-K","Botol Sticker NBH Oil 30 K","Intermediate","2022-08-02 02:27:46","2021-11-12 02:41:28","Confirmed",""
"1","BOTP-WEIMLR0-IP","Bottle Printing + Wiper EIM Liquid Instaperfect,3 Pass Digital Printed","Intermediate","2022-07-20 06:28:17","2022-06-30 08:38:22","Confirmed",""
"1","BOTP-MLMPR0-IP","Bottle Printing Mattesetter Lip Matte Paint Instaperfect,3 Pass Digital Printed","Intermediate","2022-07-22 01:56:50","2022-06-30 08:39:17","Confirmed",""
"1","WARN-CBRRT-BULK","Color Base Red Russet","Intermediate","2022-08-02 03:27:36","2021-06-28 04:41:26","Confirmed",""
"1","CONP-EFCCR0-W","Container Printing Exclusive Flawless Cover Cushion Wardah,3 Pass Digital Printed","Intermediate","2022-06-29 02:36:32","2022-06-29 01:58:59","Confirmed",""
"1","SAMP-LARC23A204-DCR17-X","Larutan Sampel C23-A204 SunCROMA® D&C Red 17","Intermediate","2022-08-02 03:11:49","2021-07-06 01:00:31","Confirmed",""
"1","CONP-PSEFCCR0-W","PS Container Printing Exclusive Flawless Cover Cushion W,Digital Printed by PTI","Intermediate","2022-07-12 02:36:06","2022-07-12 02:13:23","Confirmed",""
"1","TUBC-LLF01-W","Tube Capped LLF 01 W","Intermediate","2022-06-06 13:42:49","2021-10-05 09:20:42","Confirmed",""
"1","TUBF-UVSSG30-W","Tube FIlliing UVSE Sunscreen Gel SPF 30 W","Intermediate","2022-08-02 03:17:53","2021-08-26 08:15:56","Waiting for Approval",""
"1","TUBF-LSA8-W","Tube FIlling Lightening Serum Ampoule 8 W","Intermediate","2022-08-02 04:18:51","2021-08-26 08:19:27","Waiting for Approval",""
"1","TUBF-NFSPBCFBO-W","Tube Filling NFS PBCFB Oil Control 15 W","Intermediate","2022-08-02 03:48:03","2021-04-21 02:19:02","Confirmed",""
