"Last Updated on","Created on","Korporat Code","Internal Reference","Name","Internal Name","Material Type","Unit of Measure/Display Name","PO Conversion Coeff","Brand/Display Name","Source","NFG Type/Display Name","Type of RM/PM","Customized UOM PO/Display Name"
"2022-07-01 06:32:49","2022-07-01 06:32:27","BOTO-GCBCS20R0-BL","BOTO-GCBCS20R0-BL","Bottle Glass Calm Barrier C Serum 20 ml Beyondly, Glass, 20/410, clear, Frosted Purple, 1 pass print","Bottle Glass Calm Barrier C Serum 20 BL","Packaging Material","Pc(s)","0.0","Beyondly","","BOTPOT","Irregular","Pc(s)"
"2022-07-01 06:37:16","2022-07-01 06:35:25","BOTO-GPCS20R0-BL","BOTO-GPCS20R0-BL","Bottle Glass Pomebright C Serum 20 ml Beyondly, Glass, 20/410, clear, Frosted Red, 1 pass print","Bottle Glass Pomebright C Serum 20 BL","Packaging Material","Pc(s)","0.0","Beyondly","","BOTPOT","Irregular","Pc(s)"
"2022-07-01 06:42:07","2022-07-01 06:41:40","BOTO-GYPCS20R0-BL","BOTO-GYPCS20R0-BL","Bottle Glass Youth Power C Serum 20 ml Beyondly, Glass, 20/410, clear, Frosted Yellow, 1 pass print","Bottle Glass Youth Power C Serum 20 BL","Packaging Material","Pc(s)","0.0","Beyondly","","BOTPOT","Irregular","Pc(s)"
"2022-02-01 01:24:24","2021-10-15 08:57:32","BOTO-JKLTS05R0-OMG","BOTO-JKLTS05R0-OMG","Bottle Juicy Kiss Lip Tint 05 OMG,LG-897,PETG,TintedPinkTransparentColour,1PassPrinting,NoFinishing","Bottle Juicy Kiss Lip Tint 05 OMG","Packaging Material","Pc(s)","0.0","OMG","","BOTPOT","Irregular","Pc(s)"
"2022-07-01 06:50:57","2022-07-01 06:50:32","CAPP-GGCUVCM20R0-BL","CAPP-GGCUVCM20R0-BL","Cap Pot Glass GC UV Care Moist 30 Beyondly, S10002-SW101-30g, white solid, Doff","Cap Pot Glass GC UV Care Moist 30 BL","Packaging Material","Pc(s)","0.0","Beyondly","","CAP","Irregular","Pc(s)"
"2022-03-10 03:08:59","2022-03-10 03:08:28","CAPA-PTMLCR2-MO","CAPA-PTMLCR2-MO","Cap+Applicator Powerstay TM Lip Cream REV-2 Make Over,PW5001B,ABS,BlackInjection,1PassPrinting,SprayMatte","Cap+Applicator Powerstay TM Lip Cream R2 MO","Packaging Material","Pc(s)","0.0","Make Over","","BOTPOT","Irregular","Pc(s)"
"2022-06-30 08:51:11","2022-06-30 08:50:55","CONT-DMCR0-E","CONT-DMCR0-E","Container Daily Matte Cushion Emina,CM-290,PET,InjectionColor,1PassPrintingMatte,1PassPrinting,NoFinishing","Container Daily Matte Cushion E","Packaging Material","Pc(s)","0.0","Emina","","CASECONT","Irregular","Pc(s)"
"2022-06-30 08:52:06","2022-06-30 08:51:49","CONT-ICDMCR0-E","CONT-ICDMCR0-E","Container Inner Case Daily Matte Cushion Emina,CM-290,PP,InjectionColor,NoFinishing","Container Inner Case Daily Matte Cushion E","Packaging Material","Pc(s)","0.0","Emina","","CASECONT","Irregular","Pc(s)"
"2022-06-30 08:53:03","2022-06-30 08:52:45","CONT-RDMCR0-E","CONT-RDMCR0-E","Container Ring Daily Matte Cushion Emina,CM-290,PP,InjectionColor,NoFinishing","Container Ring Daily Matte Cushion E","Packaging Material","Pc(s)","0.0","Emina","","CASECONT","Irregular","Pc(s)"
"2022-06-30 08:35:23","2022-06-28 00:09:38","DUS-CLPB04RVR0-E","DUS-CLPB04RVR0-E","Dus Cheek Lit Pressed Blush 04 Revamp Emina,Ivory 300 gsm,4W,52x52x13mm,VarDoff","Dus Cheek Lit Pressed Blush 04 RV Emina","Packaging Material","Pc(s)","0.0","Emina","","DUS","Irregular","Pc(s)"
