"Last Updated on","Created on","Internal Reference","Name","Material Type","General Subcategory/Display Name","Unit of Measure/Display Name","Bulk status","Netto Claim","Netto Claim UOM/Display Name","Factory/Display Name"
"2022-07-18 06:54:40","2022-07-18 03:17:59","LD-CDFB-BULK","Beyondly Fitclair Collagen Drink","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-13 01:25:06","2022-07-02 06:50:33","FW-RCFW-BULK","Crystallure Moisture Rich Cleansing Foam Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-13 01:04:05","2022-07-07 04:50:37","BO-CLPBAC-BULK","EMINA Cheek Lit Pressed Blush Apple Crumble","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:05:13","2022-07-07 04:52:05","BO-R2CLPBBS-BULK","EMINA Cheek Lit Pressed Blush Bittersweet","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:05:39","2022-07-07 04:53:11","BO-CLPBCP-BULK","EMINA Cheek Lit Pressed Blush Cherry Popsicle","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:06:03","2022-07-07 04:54:28","BO-R2CLPBCC-BULK","EMINA Cheek Lit Pressed Blush Cotton Candy","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-18 04:08:27","2022-02-16 07:32:35","L-NFSNLCC-BULK","EMINA NFS Poppin’ Matte 01 Lowkey","Semi Finished Goods","Bulk","g","New","0.0","","JTK04"
"2022-07-18 04:09:48","2022-02-16 07:33:47","L-NFSNLCB-BULK","EMINA NFS Poppin’ Matte 02 To Be Honest","Semi Finished Goods","Bulk","g","New","0.0","","JTK04"
"2022-06-28 04:02:42","2022-06-15 04:13:07","GWP-ERDPA-BULK","Earth Love Life Reed Diffuser, Moringa Breeze","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-06-28 04:03:06","2022-06-15 04:15:55","GWP-ERDPB-BULK","Earth Love Life Reed Diffuser, Morning Glory","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-05 07:45:48","2022-07-05 03:56:51","EB-IPBC-BULK","Instaperfect Browfessional Clear","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-05 07:57:40","2022-07-05 04:18:42","EB-IPEM03-BULK","Instaperfect Browflash New Color 3","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-05 07:57:53","2022-07-05 04:17:30","EB-RIPEM01-BULK","Instaperfect Browflash Revamp 1","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-05 09:17:24","2022-07-05 04:18:04","EB-RIPEM02-BULK","Instaperfect Browflash Revamp 2","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-18 01:39:55","2022-07-15 07:24:01","POM-BHPH-BULK","Kahf Beard and Hairstyling Pomade Hybrid","Semi Finished Goods","Bulk","g","","0.0","",""
"2022-07-13 01:41:47","2022-07-06 04:28:28","FT-ABFBE-BULK","LABORÉ Sensitive Skin Care AcneBiome Face & Body Exfoliating Toner","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-13 01:41:00","2022-07-06 04:31:16","FW-ABFC-BULK","LABORÉ Sensitive Skin Care AcneBiome Foam Cleanser","Semi Finished Goods","Bulk","g","New","0.0","","JTK02"
"2022-07-13 01:06:50","2022-07-02 07:41:28","BO-RBSPF-BULK","MAKE OVER BO Single 01 Pink Fantasist Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
"2022-07-13 01:07:19","2022-07-02 07:44:25","BO-RBPPE-BULK","MAKE OVER BO Single 03 Promiscious Peach Revamp","Semi Finished Goods","Bulk","g","New","0.0","","JTK01"
