Code,Product,Quantity on Hand,Reserved,Available
02808,Kahf Invigorating Waterfall Eau de Toilette 35 ml,19.0,19.0,0.0
02809,Kahf Humbling Forest Eau de Toilette 35 ml,17.0,17.0,0.0
02810,Kahf True Brotherhood Eau de Toilette 35 ml,19.0,19.0,0.0
02811,Kahf Revered Oud Eau de Toilette 35 ml,11.0,11.0,0.0
02812,Kahf Skin Energizing and Brightening Face Wash 100 ml,19.0,19.0,0.0
02813,Kahf Oil and Acne Care Face Wash 100 ml,17.0,17.0,0.0
02966,Kahf Gentle Exfoliating Face Scrub 100 ml,16.0,16.0,0.0
02967,Kahf Triple Protection Sunscreen Moisturizer 30 ml,12.0,12.0,0.0
03123,Wardah Instaperfect BROWFLASH 3-in-1 Brow Perfector 02 Ash Brown 0.6 g,151.0,0.0,151.0
03222,Kahf Brightening and Texture Refining Face Serum 35 ml,40.0,40.0,0.0
03737,LABORE Sensitive Skin Care BiomeRepair Barrier Revive Cream 50 ml,239.0,0.0,239.0
03740,LABORE Sensitive Skin Care GentleBiome Mild Cleanser 100 ml,239.0,0.0,239.0
03743,LABORE Sensitive Skin Care BiomeProtect Physical Sunscreen 30 ml,239.0,0.0,239.0
03875,Kahf Cooling and Brightening Body Wash 200 ml,30.0,30.0,0.0
03893,Kahf Triple Action Oil and Comedo Defense Face Wash 100 ml,11.0,11.0,0.0
04048,Instaperfect MATTESETTER Lip Matte Paint 04. VIBE 5.5 g,81.0,0.0,81.0
04227,Kahf All-in-One Power Toning Face Spray 100 ml,16.0,16.0,0.0
