Code,Product,Quantity on Hand,Reserved,Available
03222,Kahf Brightening and Texture Refining Face Serum 35 ml,4656.0,4656.0,0.0
03435,Wardah Crystallure Supreme Revitalizing Rich Cream 10 g <SFG>,2458.0,0.0,2458.0
03439,Earth Love Life East Balinese Bamboo & Oriental Mint Body Wash 450 ml,1885.0,0.0,1885.0
03440,Earth Love Life Javanese Moringa & Balinese Starfruit Body Wash 450 ml,12142.0,0.0,12142.0
03451,Wardah Hairfall Treatment Shampoo 160 ml,2.0,0.0,2.0
03531,Earth Love Life Spanish Lavender & Javanese Rice Milk  Body Wash 250 ml,3432.0,0.0,3432.0
03729,Earth Love Life South Bali Frangipani & Tropical Coconut Water Body Wash 250 ml,3384.0,0.0,3384.0
03783,Wardah Crystal Secret Brightening Day Cream 9 ml <SFG>,12.0,0.0,12.0
03927,Earth Love Life Spanish Lavender & Javanese Rice Milk Body Wash 450 ml,1807.0,0.0,1807.0
03928,Earth Love Life South Bali Frangipani & Tropical Coconut Water Body Wash 450 ml,1820.0,0.0,1820.0
03930,Earth Love Life Javanese Moringa & Balinese Starfruit Body Lotion Serum 250 ml,3650.0,0.0,3650.0
03931,Earth Love Life Bulgarian Rose & East Nusa Vanilla Body Lotion Serum 250 ml,3192.0,0.0,3192.0
03932,Earth Love Life Spanish Lavender & Javanese Rice Milk Body Lotion Serum 250 m,1248.0,0.0,1248.0
03933,Earth Love Life South Bali Frangipani & Tropical Coconut Water Body Gel Serum 250 ml,3552.0,0.0,3552.0
04227,Kahf All-in-One Power Toning Face Spray 100 ml,4332.0,4332.0,0.0
04595,Wardah Nature Daily Aloe Multifunction Gel 100 ml,54120.0,0.0,54120.0
04671,Wardah Hairfall Treatment Shampoo 170 ml,1.0,0.0,1.0
04745,Wardah Exclusive Matte Lip Cream 01 Red-dicted 4 gr,12672.0,0.0,12672.0
04751,"Wardah Exclusive Matte Lip Cream 07 Hello, Ruby 4 gr",18144.0,0.0,18144.0
04752,Wardah Exclusive Matte Lip Cream 08 Pinkcredible 4 gr,7200.0,0.0,7200.0
04756,Wardah Exclusive Matte Lip Cream 12 Plum It Up 4 gr,20160.0,0.0,20160.0
04768,Wardah Exclusive Matte Lip Cream 24 Cherry-Go-Round 4 g,9216.0,0.0,9216.0
04980,Emina Glossy Stain 01 Autumn Bell 3 g,30312.0,0.0,30312.0
04981,Emina Glossy Stain 02 Apple Shower 3 g,26364.0,0.0,26364.0
04983,Emina Glossy Stain 04 Peach Sprinkles 3 g,20784.0,0.0,20784.0
04984,Emina Glossy Stain 05 Spring Dazzle 3 g,11520.0,0.0,11520.0
04989,Emina Glossy Stain 10 Choco Praline 3 g,18144.0,0.0,18144.0
05011,Instaperfect Daily Glam Essentials Kit,39.0,0.0,39.0
05322,Kahf Umrah and Hajj Package,1198.0,0.0,1198.0
N0177,NFS Wonderly Brightening Serum Body Lotion (20ml x 15pcs x 5 varian),17925.0,0.0,17925.0
N122,Emina NFS Poppin’ Matte 01 Lowkey 1.2 g,935.0,0.0,935.0
N136,NFS Bundling EARTH LOVE LIFE Bulgarian Rose & ENV Body Wash 12 ml & Body Lotion Serum 5 ml,19056.0,0.0,19056.0
N156,Biodef NFS Natural Protection Mint + Green Tea Body Wash Antiseptik Alami 15 ml,5481.0,0.0,5481.0
N157,Biodef NFS Natural Protection Mint + Yuzu Body Wash Antiseptik Alami 15 ml,51356.0,0.0,51356.0
P2024,Wardah NFS Crystal Secret Brightening Day Cream 3 ml Sachet,103.0,0.0,103.0
