Code,Product,Quantity on Hand,Reserved,Available
00142,Wardah Evd Lum Liquid Foundation 02 Light Beige 40 ml (Pc(s)),45.0,0.0,45.0
00244,Wardah Renew You Anti Aging Day Cream 17 ml (pc(s)),25.0,0.0,25.0
00247,Wardah Renew You Anti Aging Night Cream 17 ml (pc(s)),4.0,0.0,4.0
00289,Wardah White Secret Day Cream 17 ml (pc(s)),1.0,0.0,1.0
00290,Wardah White Secret Day Cream 30 gr (pc(s)),192.0,0.0,192.0
00292,"White Secret Exfoliating Scrub, 40 ml",6.0,0.0,6.0
00294,Wardah White Secret Facial Wash with AHA 100 ml (pc(s)),20.0,0.0,20.0
00296,Wardah White Secret Night Cream 17 ml (pc(s)),24.0,0.0,24.0
00943,Wardah Exclusive Matte Lip Cream 02 Fuschionately 4 gr (Pc(s)),2.0,0.0,2.0
01021,Emina Moist In a Bottle 50 ml (Pc(s)),12.0,12.0,0.0
01578,Wardah Acnederm Night Treatment Moisturizer 40 ml (Pc(s)),25.0,0.0,25.0
01958,MAKE OVER POWERSTAY Under Eye Perfecting Concealer 20 Light 1.8 ml,10.0,0.0,10.0
01973,Wardah Nature Daily Sheet Mask Vitamin C 20 ml,20.0,0.0,20.0
02141,Wardah EyeXpert Eyebrow Pencil Brown 1.14 g (Blister),611.0,0.0,611.0
02174,Crystallure Supreme Revitalizing Oil Serum 30 ml,2.0,0.0,2.0
02175,Crystallure Supreme Advanced Hydra Gel 50 g,1.0,0.0,1.0
02178,Wardah Refill Exclusive Flawless Cover Cushion 03 Sandy Beige 15 g,2.0,0.0,2.0
02857,Wardah Colorfit Matte Foundation 33W Olive Beige 25 ml,6.0,0.0,6.0
02860,Wardah Colorfit Matte Foundation 52N Almond 25 ml,4.0,0.0,4.0
03100,"Wardah Hydra Rose Dewy Skin Starter Kit (Facial Wash 20 ml, Toner 30 ml, Day Gel 8 ml)",1323.0,0.0,1323.0
