Code,Product,Quantity on Hand,Reserved,Available
1857,Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 03. FEMME 3.5 g,8,0,8
2373,Wardah Lightening Powder Foundation Light Feel 05 Beige 12 g,6,6,0
2810,Kahf True Brotherhood Eau de Toilette 35 ml,18,0,18
2812,Kahf Skin Energizing and Brightening Face Wash 100 ml,8,0,8
2818,Kahf Soothing Antiperspirant Deodorant 50 ml,3,0,3
2835,Emina Skin Buddy Sun Protection SPF 30 PA+++ 60 ml,3,3,0
3182,Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Botol 275 ml,8,8,0
3816,Wardah Renew You Night Cream 30 g (Pc(s)),24,0,24
3826,Wardah Lightening SuperSerum Mask 20 ml,100,0,100
3828,Wardah C-defense SuperSerum Mask 20 ml,100,0,100
3866,Wardah SuperSerum Mask x2 - C-defense & Perfect Bright,100,0,100
4558,Wonderly Brightening Serum Body Lotion Amore 300 ml,3,3,0
4578,Wardah Colorfit Fresh Lip Ink Serum 02 Smart Cookie 4 g,5,0,5
4594,Wardah Daily Fresh Shampoo 170 ml,3,0,3
N118,Emina NFS Daily Matte Compact Powder 02 Natural 4 g,34,0,34
N119,Emina NFS Natura Pal Splash Serum 5 ml,1064,0,1064
N123,Emina NFS Poppin' Matte 02 To Be Honest 1.2 g,551,0,551
N141,Biodef NFS Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami 15 ml,2,0,2
N148,NFS Wonderly Brightening Serum Body Lotion Amore 10 ml,20,0,20
N20,LABORE Sensitive Skin Care NFS GentleBiome Hydration Toner 30 ml,2,0,2
N22,Kahf NFS Oil and Acne Care Face Wash 8 ml,39492,0,39492
N23,Kahf NFS Gentle Exfoliating Face Scrub 8 ml,40032,0,40032
N34,Emina NFS Bright Stuff for Acne Prone Skin Face Wash 15 ml,28,0,28
N76,Sample Pajangan Wardah NFS UV Shield Sunscreen SPF 30,321,0,321
N88,Sample Pajangan Wardah NFS Refill Lightening Powder Foundation Light Feel 02 Golden Beige 12 g,72,0,72
P1505,Emina NFS Bright Stuff Face Wash 15 ml,28,0,28
P1849,MAKE OVER NFS Perfect Cover TWC 01 Lace 3.7 g,42,0,42
P2050,Wardah Tester Everyday! Matte Lip Shot,564,0,564
P4616,2023 TAVI GWP Totebag x @thef00lswhodream,500,0,500
T751,TESTER Biodef Natural Protection Mint + Yuzu Body Wash 60 ml,50,0,50
