Code,Product,Quantity on Hand,Reserved,Available
00009,Wardah Roll On For Her 60 ml,30.0,0.0,30.0
00076,Wardah EyeXpert Optimum Hi-Black Liner 1 gr (Pc(s)),360.0,0.0,360.0
00173,Wardah Lip Palette Perfect Red 10 g (pc(s)),78.0,0.0,78.0
00515,MAKE OVER Hydration Serum 33 ml (Pc(s)),20.0,20.0,0.0
00557,MAKE OVER Silky Smooth Translucent Powder 01 Porcelain 35 g (Pc(s)),34.0,34.0,0.0
00558,MAKE OVER Silky Smooth Translucent Powder 02 Rosy 35 g (Pc(s)),34.0,34.0,0.0
00559,MAKE OVER Silky Smooth Translucent Powder 03 Champagne 35 g (Pc(s),34.0,0.0,34.0
00560,MAKE OVER Silky Smooth Translucent Powder 04 Toffee 35 g (Pc(s)),34.0,0.0,34.0
00561,MAKE OVER Silky Smooth Translucent Powder 05 Snow 35 g (Pc(s)),34.0,0.0,34.0
00780,Emina Cheek Lit Pressed Blush Marshmallow Lady 3.5 gr (Pc(s)),6.0,0.0,6.0
00815,Emina Eye Do! Pencil Eye Liner Black 1 gr (Pc(s)),384.0,0.0,384.0
00903,Wardah Eye Brow Brown,400.0,0.0,400.0
00947,Wardah Exclusive Matte Lip Cream 06 Feeling Red 4 gr (Pc(s)),96.0,0.0,96.0
00957,Emina Sugar Rush Lip Scrub 4.2 gr (Pc(s)),3168.0,0.0,3168.0
01018,Emina Top Secret Eyebrow 2.9 gr (Pc(s)),504.0,504.0,0.0
01082,Emina Creamatte 03 Mauvelous 5.5 gr (Pc(s)),144.0,144.0,0.0
01166,Emina Pop Rouge Pressed Eye Shadow Brick 3.3 gr (Pc(s)),378.0,0.0,378.0
01204,MAKE OVER Velvet Mattifying Primer 20 ml,60.0,60.0,0.0
01499,MAKE OVER Hyperblack Superstay Liner 1 g ,72.0,0.0,72.0
01587,MAKE OVER Powerstay Matte Powder Foundation N10 Marble 12 g,24.0,24.0,0.0
01588,MAKE OVER Powerstay Matte Powder Foundation W22 Warm Ivory 12 g,24.0,24.0,0.0
01589,MAKE OVER Powerstay Matte Powder Foundation C21 Pink Ivory 12 g,24.0,24.0,0.0
01590,MAKE OVER Powerstay Matte Powder Foundation W33 Honey Beige 12 g,24.0,0.0,24.0
01591,MAKE OVER Powerstay Matte Powder Foundation N30 Natural Beige 12 g,24.0,24.0,0.0
01652,MAKE OVER Silky Smooth Translucent Powder 07 Vanilla 35 g,34.0,34.0,0.0
01678,Emina Creamatte 13 Beet Bites 5.5 gr,144.0,144.0,0.0
01912,Wardah Instaperfect BROWFESSIONAL 3D Brow Mascara 02. DEEP GREY 5.5 g,852.0,0.0,852.0
01917,Emina Lip Cushion 02. Be Cherry 9 g,96.0,0.0,96.0
01992,Emina Bright Stuff Tone Up Cream 20 ml,1872.0,0.0,1872.0
02023,MAKE OVER Powerstay Uptown Bae Eye Palette 12 x 0.4 g,24.0,0.0,24.0
02024,MAKE OVER Powerstay Royal Rose Eye Palette 12 x 0.4 g,24.0,0.0,24.0
02031,Emina Oh So Kissable Tinted Balm Stick Pink Bonbons 3.4 g,1024.0,0.0,1024.0
02032,Emina Oh So Kissable Tinted Balm Stick Plum Candy 3.4 g,384.0,0.0,384.0
02062,Wardah Exclusive Moist Lipstick 36 Sugary Pink 3.5 g,144.0,0.0,144.0
02067,Wardah Exclusive Matte Lipstick 02 Magenta 3.5 g,144.0,0.0,144.0
02068,Wardah Exclusive Matte Lipstick 03 Red 3.5 g,1152.0,0.0,1152.0
02069,Wardah Exclusive Matte Lipstick 04 Orange 3.5 g,1584.0,0.0,1584.0
02070,Wardah Exclusive Matte Lipstick 05 Peach 3.5 g,1728.0,0.0,1728.0
02072,Wardah Exclusive Matte Lipstick 09 True Red 3.5 g ,1440.0,0.0,1440.0
02075,Wardah Exclusive Matte Lipstick 16 Summer Pink 3.5 g,2016.0,0.0,2016.0
02077,Wardah Exclusive Matte Lipstick 18 Rosy Pink 3.5 g,96.0,0.0,96.0
02112,Wardah Colorfit Velvet Matte Lip Mousse 01 Brown Dreamer 4 g,187.0,0.0,187.0
02113,Wardah Colorfit Velvet Matte Lip Mousse 02 Joyful Orange 4 g,107.0,0.0,107.0
02140,MAKE OVER Powerstay Fix & Matte Makeup Setting Spray 50 ml,54.0,54.0,0.0
02162,Wardah Colorfit Ultralight Matte Lipstick 02 Summer Peach 3.6 g,468.0,432.0,36.0
02169,Wardah Crystallure Supreme Revitalizing Rich Cream 50 g,132.0,132.0,0.0
02173,Wardah Crystallure Supreme Double Action Micellar Gel 150 ml,168.0,168.0,0.0
