Code,Product,Quantity on Hand,Reserved,Available
00009,Wardah Roll On For Her 60 ml,34355.0,1230.0,33125.0
00011,Wardah C-Defense DD Cream Light 20 ml (Pc(s)),13896.0,1260.0,12636.0
00012,Wardah C-Defense DD Cream Natural 20 ml (Pc(s)),38989.0,1332.0,37657.0
00013,Wardah C-defense Serum 17 ml (Pc(s)),16770.0,240.0,16530.0
00057,Wardah Exclusive Liquid Foundation 02 Sheer Pink 20 ml (Pc(s)),10.0,0.0,10.0
00058,Wardah Exclusive Liquid Foundation 03 Sandy Beige 20 ml,1.0,0.0,1.0
00059,Wardah Exclusive Liquid Foundation 04 Natural 20 ml,1.0,0.0,1.0
00071,Wardah EyeXpert Aqua Lash Mascara 6 gr (Pc(s)),24966.0,1008.0,23958.0
00072,Wardah EyeXpert Eye & Lip Makeup Remover 50 ml,8526.0,252.0,8274.0
00073,Wardah EyeXpert Eye & Lip Makeup Remover 100 ml,12780.0,330.0,12450.0
00076,Wardah EyeXpert Optimum Hi-Black Liner 1 gr (Pc(s)),191064.0,2520.0,188544.0
00079,"Wardah Eyexpert Staylast Liquid Eyeliner 3,5 gr (Pc(s))",15048.0,432.0,14616.0
00080,Wardah Lightening BB Cream Light 15 ml (pc(s)),73152.0,2784.0,70368.0
00081,Wardah Lightening BB Cream Light 30 ml (Pc(s)),11880.0,180.0,11700.0
00082,Wardah Lightening BB Cream Natural 15 ml (pc(s)),23232.0,2640.0,20592.0
00083,Wardah Lightening BB Cream Natural 30 ml (Pc(s)),2088.0,288.0,1800.0
00117,Wardah Blush On A 4 gr,2639.0,360.0,2279.0
00119,Wardah Blush On C 4 gr,5520.0,360.0,5160.0
00125,"Wardah Double Function Kit 4,5 gr",3.0,0.0,3.0
00126,Wardah Everyday BB Cream Light 15 ml (pc(s)),41664.0,1728.0,39936.0
00127,Wardah Everyday BB Cream Light 30 ml (Pc(s)),3600.0,1476.0,2124.0
00128,Wardah Everyday BB Cream Natural 15 ml (Pc(s)),41136.0,1632.0,39504.0
00139,Wardah Evd Lum Face Powder 02 Beige 30 g (Pc(s)),1.0,0.0,1.0
00140,Wardah Evd Lum Face Powder 03 Ivory 30 g (Pc(s)),2640.0,576.0,2064.0
00141,Wardah Evd Lum Face Powder 04 Natural 30 g (Pc(s)),1056.0,720.0,336.0
00146,Wardah Evd Lum Two Way Cake 01 Light Beige 12 g (Pc(s)),1260.0,1260.0,0.0
00147,Wardah Evd Lum Two Way Cake 02 Beige 12 g (Pc(s)),2016.0,1044.0,972.0
00148,Wardah Evd Lum Two Way Cake 03 Ivory 12 g (Pc(s)),792.0,432.0,360.0
00217,Wardah Refill Evd Lum Two Way Cake 01 Light Beige 12 g (Pc(s)),2328.0,624.0,1704.0
00218,Wardah Refill Evd Lum Two Way Cake 02 Beige 12 g (Pc(s)),3876.0,468.0,3408.0
00219,Wardah Refill Evd Lum Two Way Cake 03 Ivory 12 g (Pc(s)),1535.0,576.0,959.0
00220,Wardah Refill Evd Lum Two Way Cake 04 Light Ivory 12 g (Pc(s)),1476.0,456.0,1020.0
00246,Wardah Renew You Anti Aging Intensive Serum 17 ml (Pc(s)),1.0,0.0,1.0
00264,Wardah Creamy Body Butter With Lavender & Ginger 50 ml (Pc(s)),1152.0,0.0,1152.0
00265,Wardah Creamy Body Butter With Milk & Pearl 50 ml (Pc(s)),3232.0,64.0,3168.0
00266,Wardah Creamy Body Butter With Olive 50 ml (pc(s)),1120.0,64.0,1056.0
00267,Wardah Creamy Body Butter With Passion Fruit 50 ml (Pc(s)),3296.0,64.0,3232.0
00269,Wardah Creamy Body Butter With Strawberry 50 ml (Pc(s)),1024.0,32.0,992.0
00282,Wardah Olive Oil For Massage 150 ml,2688.0,0.0,2688.0
00283,Wardah Pure Olive Oil 50 ml,2884.0,224.0,2660.0
00284,Wardah Soft Body Scrub With Olive 150 ml (Pc(s)),444.0,24.0,420.0
00286,Wardah Soft Body Scrub With Passion Fruit 150 ml (Pc(s)),1140.0,0.0,1140.0
00287,Wardah Soft Body Scrub With Strawberry 150 ml (Pc(s)),924.0,0.0,924.0
00288,Paket Haji Dan Umroh Wardah (Pc(s)),1.0,0.0,1.0
00301,"Hair Tonic Ginseng, 200 ml",10440.0,216.0,10224.0
00303,"Hair Tonic Ginseng, 450 ml",6420.0,120.0,6300.0
00304,"Hair Tonic Ginseng, 2 L",954.0,0.0,954.0
00305,"Hair Tonic Normal Hair (Yellow), 200 ml",5880.0,144.0,5736.0
00307,"Hair Tonic Normal Hair (Yellow), 450 ml",1920.0,0.0,1920.0
00308,"Hair Tonic Normal Hair (Yellow), 2 L",984.0,0.0,984.0
00309,"Hair Tonic Normal to Oily Hair (Green), 200 ml",18720.0,480.0,18240.0
