Code,Product,Quantity on Hand,Reserved,Available
00140,Wardah Evd Lum Face Powder 03 Ivory 30 g (Pc(s)),48.0,48.0,0.0
00141,Wardah Evd Lum Face Powder 04 Natural 30 g (Pc(s)),48.0,48.0,0.0
00219,Wardah Refill Evd Lum Two Way Cake 03 Ivory 12 g (Pc(s)),144.0,144.0,0.0
00301,"Hair Tonic Ginseng, 200 ml",96.0,96.0,0.0
00303,"Hair Tonic Ginseng, 450 ml",12.0,12.0,0.0
00305,"Hair Tonic Normal Hair (Yellow), 200 ml",48.0,48.0,0.0
00308,"Hair Tonic Normal Hair (Yellow), 2 L",24.0,24.0,0.0
00309,"Hair Tonic Normal to Oily Hair (Green), 200 ml",120.0,120.0,0.0
00311,"Hair Tonic Normal to Oily Hair (Green), 450 ml",24.0,24.0,0.0
00349,Putri Pustreite Step 2 720 ML (Pc(s)),12.0,12.0,0.0
00351,Putri Pure Clean Hair Conditioner Apple 450 ML (Pc(s)),12.0,12.0,0.0
00355,Putri Pure Clean Hair Conditioner Floral 200 ML (Pc(s)),24.0,24.0,0.0
00356,Putri Pure Clean Hair Conditioner Floral 450 ML (Pc(s)),0.0,0.0,0.0
00361,Putri Pure Clean Shampoo Apple 450 ML (Pc(s)),12.0,12.0,0.0
00401,Putri Wet Look 100 ML (Pc(s)),36.0,36.0,0.0
00641,"MAKE OVER Eye Liner Pencil Brown Latte 1,2 g (Pc(s))",1680.0,120.0,1560.0
00642,"MAKE OVER Eye Liner Pencil Navy Blue 1,2 g (Pc(s))",240.0,0.0,240.0
00775,Emina Cheek Lit Cream Blush Pink 10 ml (Pc(s)),210.0,0.0,210.0
01507,MAKE OVER Brow Styler Eye Definer Mocha 0.13 g,20.0,0.0,20.0
01530,Wardah Everyday Moisture Lip Nutrition Honey 4 g,96.0,96.0,0.0
01531,Wardah Everyday Moisture Lip Nutrition Green Tea 4 g,96.0,96.0,0.0
01558,MAKE OVER Color Stick Matte Crayon 103 Harper 2.6 g,8.0,0.0,8.0
01559,MAKE OVER Color Stick Matte Crayon 104 Blake 2.6 g,8.0,0.0,8.0
01771,MAKE OVER Lip Amplify Contour Liner 02 Flatter 0.2 g,6.0,0.0,6.0
01855,Instaperfect MATTETITUDE Matte Stain Lipstick 01. SWING 3.5 g,12.0,12.0,0.0
01856,Instaperfect MATTETITUDE Matte Stain Lipstick 02. NOBLE 3.5 g,24.0,24.0,0.0
01857,Instaperfect MATTETITUDE Matte Stain Lipstick 03. FEMME 3.5 g,12.0,12.0,0.0
01858,Instaperfect MATTETITUDE Matte Stain Lipstick 04. BUZZ 3.5 g,24.0,24.0,0.0
01859,Instaperfect MATTETITUDE Matte Stain Lipstick 05. FLUX 3.5 g,12.0,12.0,0.0
01895,Emina Daily Matte Loose Powder 01 Light Beige 20 g,416.0,0.0,416.0
02032,Emina Oh So Kissable Tinted Balm Stick Plum Candy 3.4 g,192.0,0.0,192.0
02169,Crystallure Supreme Revitalizing Rich Cream 50 g,372.0,372.0,0.0
02170,Crystallure Supreme Activating Overnight Cream 50 g,12.0,12.0,0.0
02172,Crystallure Supreme Activating Booster Essence 30 ml,22.0,22.0,0.0
02173,Crystallure Supreme Double Action Micellar Gel 150 ml,12.0,12.0,0.0
02174,Crystallure Supreme Revitalizing Oil Serum 30 ml,11.0,11.0,0.0
02208x,Emina 2 in 1 Scrub Mask 50 ml,12.0,0.0,12.0
02360,Emina Lip Cushion 03. Get Berry 9 g,9.0,0.0,9.0
02366,Wardah Lightening Powder Foundation Extra Cover 02 Golden Beige 10 g,36.0,36.0,0.0
02368,Wardah Lightening Powder Foundation Extra Cover 04 Natural 10 g,36.0,36.0,0.0
02369,Wardah Lightening Powder Foundation Light Feel 01 Light Beige 12 g,108.0,108.0,0.0
02370,Wardah Lightening Powder Foundation Light Feel 02 Golden Beige 12 g,540.0,540.0,0.0
02371,Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g,252.0,252.0,0.0
02372,Wardah Lightening Powder Foundation Light Feel 04 Natural 12 g,144.0,144.0,0.0
02373,Wardah Lightening Powder Foundation Light Feel 05 Beige 12 g,72.0,72.0,0.0
02374,Wardah Lightening Powder Foundation Light Feel 06 Ivory 12 g,36.0,36.0,0.0
02380,Wardah Refill Lightening Powder Foundation Light Feel 01 Light Beige 12 g,432.0,432.0,0.0
02382,Wardah Refill Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g,432.0,432.0,0.0
02383,Wardah Refill Lightening Powder Foundation Light Feel 04 Natural 12 g,288.0,288.0,0.0
02384,Wardah Refill Lightening Powder Foundation Light Feel 05 Beige 12 g,288.0,288.0,0.0
02386,Wardah Refill Lightening Powder Foundation Light Feel 07 Honey Beige 12 g,144.0,144.0,0.0
02395,Wardah Lightening Oil-Infused Micellar Water 50 ml,7.0,0.0,7.0
02442,Emina Bright Stuff for Acne Prone Skin Face Wash 50 ml,50.0,0.0,50.0
02539,Make Over Hydrastay Smooth Lip Whip C06 Lively 6.5 g,72.0,0.0,72.0
02811,Kahf Revered Oud Eau de Toilette 35 ml,0.0,0.0,0.0
02861,Wardah Colorfit Velvet Powder Foundation 11C Pink Fair 11 g,36.0,36.0,0.0
02862,Wardah Colorfit Velvet Powder Foundation 22N Light Ivory 11 g,36.0,36.0,0.0
02863,Wardah Colorfit Velvet Powder Foundation 23W Warm Ivory 11 g,36.0,36.0,0.0
02864,Wardah Colorfit Velvet Powder Foundation 32N Neutral Beige 11 g,36.0,36.0,0.0
02865,Wardah Colorfit Velvet Powder Foundation 33W Olive Beige 11 g,36.0,36.0,0.0
02868,Wardah Colorfit Velvet Powder Foundation 52N Almond 11 g,36.0,36.0,0.0
02897,Wardah Lightening Serum Ampoule 8 ml,1320.0,0.0,1320.0
02967,Kahf Triple Protection Sunscreen Moisturizer 30 ml,0.0,0.0,0.0
03098,Wardah UV Shield Essential Sunscreen Gel SPF 30 (New Blister),224.0,0.0,224.0
03102,Emina Poppin’ Matte 01 Lowkey 4.5 g,60.0,0.0,60.0
03140,Wardah Crystal Secret Pure Treatment Essence 30 ml,60.0,0.0,60.0
03142,Wardah Crystal Secret Pure Treatment Essence 100 ml,40.0,0.0,40.0
03145,Wardah Crystal Secret Exfoliating Toner with Natural AHA+PHA 125 ml,360.0,0.0,360.0
03147,Wardah Crystal Secret Micellar Cleansing Gel 95 ml,140.0,0.0,140.0
03150,Wardah Colorfit Velvet Powder Foundation Refill 23W Warm Ivory 11 g,144.0,144.0,0.0
