Code,Product,Quantity on Hand,Reserved,Available
80001,OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy 3.5 g,5772.0,576.0,5196.0
80002,OMG OH MY GLAM Matte Kiss Lip Cream 02 Juicy 3.5 g,4116.0,0.0,4116.0
80003,OMG OH MY GLAM Matte Kiss Lip Cream 03 Flame 3.5 g,108.0,0.0,108.0
80004,OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset 3.5 g,7716.0,1152.0,6564.0
80005,OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3.5 g,4368.0,144.0,4224.0
80006,OMG OH MY GLAM Matte Kiss Lip Cream 06 Sparkle 3.5 g,3228.0,2592.0,636.0
80007,OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight 3.5 g,348.0,288.0,60.0
80008,OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall 3.5 g,804.0,288.0,516.0
80009,OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm 3.5 g,84.0,0.0,84.0
80010,OMG OH MY GLAM Matte Kiss Lip Cream 10 Shell 3.5 g,1308.0,1008.0,300.0
80011,OMG OH MY GLAM Matte Kiss Lip Cream 11 Bumble 3.5 g,132.0,0.0,132.0
80012,OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g,8469.0,2880.0,5589.0
80021,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 01 Juicy Strawberry,5148.0,96.0,5052.0
80022,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 02 Juicy Grapefruit,4404.0,96.0,4308.0
80023,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 03 Juicy Peach,5052.0,96.0,4956.0
80024,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 04 Juicy Plum,4428.0,0.0,4428.0
80027,OMG OH MY GLOW Peach Glowing Face Wash 9 g,42369.0,600.0,41769.0
80028,OMG OH MY GLOW Peach Glowing Toner 100 ml,123660.0,2160.0,121500.0
80029,OMG OH MY GLOW Peach Glowing Face Wash 50 g,132644.0,1232.0,131412.0
80030,OMG Oh My Glow Peach Glowing Cream 7.5 g,18963.0,960.0,18003.0
80031,OMG Oh My Glow Peach Glowing Cream 25 g,136856.0,1380.0,135476.0
80035,OMG Oh My Glam Coverlast Two Way Cake 21W Light 12 g,59760.0,288.0,59472.0
80036,OMG Oh My Glam Coverlast Two Way Cake 32N Natural 12 g,143388.0,648.0,142740.0
80037,OMG Oh My Glam Coverlast Two Way Cake 41W Sand 12 g,45504.0,252.0,45252.0
80044,OMG Oh My Glam Matte Kiss Lip Cream 13 Latte 3.5 g,26628.0,2016.0,24612.0
80045,OMG Oh My Glam Matte Kiss Lip Cream 14 Cappuccino 3.5 g,13824.0,2736.0,11088.0
80046,OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso 3.5 g,21828.0,0.0,21828.0
80047,OMG Oh My Glam Coverlast Liquid Foundation 13 C Ivory,1848.0,88.0,1760.0
80048,OMG Oh My Glam Coverlast Liquid Foundation 21 W Light,11658.0,132.0,11526.0
80049,OMG Oh My Glam Coverlast Liquid Foundation 31 W Beige,10692.0,176.0,10516.0
80050,OMG Oh My Glam Coverlast Liquid Foundation 32 N Natural,14212.0,220.0,13992.0
80051,OMG Oh My Glam Coverlast Liquid Foundation 41 W Sand,5324.0,44.0,5280.0
80052,OMG Oh My Glam Coverlast Liquid Foundation 52 N Caramel,4180.0,44.0,4136.0
80053,OMG Oh My Glam LASHTENTION Waterproof Mascara 6.5 g,42072.0,840.0,41232.0
80056,OMG Oh My Glow Mugwort Acne Serum 20 ml,34008.0,244.0,33764.0
80058,OMG Oh My Glow Peach Glowing Serum 20 ml,70176.0,768.0,69408.0
80059,OMG Oh My Glow Peach Glowing Serum 7.5 g,96936.0,288.0,96648.0
