Code,Product,Quantity on Hand,Reserved,Available
00012,Wardah C-Defense DD Cream Natural 20 ml (Pc(s)),36.0,36.0,0.0
00080,Wardah Lightening BB Cream Light 15 ml (pc(s)),1824.0,1824.0,0.0
00082,Wardah Lightening BB Cream Natural 15 ml (pc(s)),144.0,144.0,0.0
00138,Wardah Evd Lum Face Powder 01 Light Beige 30 g (Pc(s)),96.0,96.0,0.0
00139,Wardah Evd Lum Face Powder 02 Beige 30 g (Pc(s)),144.0,144.0,0.0
00140,Wardah Evd Lum Face Powder 03 Ivory 30 g (Pc(s)),48.0,48.0,0.0
00141,Wardah Evd Lum Face Powder 04 Natural 30 g (Pc(s)),96.0,96.0,0.0
00147,Wardah Evd Lum Two Way Cake 02 Beige 12 g (Pc(s)),36.0,36.0,0.0
00149,Wardah Evd Lum Two Way Cake 04 Light Ivory 12 g (Pc(s)),36.0,36.0,0.0
00217,Wardah Refill Evd Lum Two Way Cake 01 Light Beige 12 g (Pc(s)),288.0,288.0,0.0
00219,Wardah Refill Evd Lum Two Way Cake 03 Ivory 12 g (Pc(s)),144.0,144.0,0.0
00301,"Hair Tonic Ginseng, 200 ml",144.0,144.0,0.0
00303,"Hair Tonic Ginseng, 450 ml",12.0,12.0,0.0
00305,"Hair Tonic Normal Hair (Yellow), 200 ml",24.0,24.0,0.0
00309,"Hair Tonic Normal to Oily Hair (Green), 200 ml",72.0,72.0,0.0
00311,"Hair Tonic Normal to Oily Hair (Green), 450 ml",48.0,48.0,0.0
00350,Putri Pure Clean Hair Conditioner Apple 200 ML (Pc(s)),24.0,24.0,0.0
00356,Putri Pure Clean Hair Conditioner Floral 450 ML (Pc(s)),24.0,24.0,0.0
00360,Putri Pure Clean Shampoo Apple 200 ML (Pc(s)),24.0,24.0,0.0
00361,Putri Pure Clean Shampoo Apple 450 ML (Pc(s)),12.0,12.0,0.0
00366,Putri Pure Clean Shampoo Lemon 450 ML (Pc(s)),24.0,24.0,0.0
00401,Putri Wet Look 100 ML (Pc(s)),36.0,36.0,0.0
00933,"Wardah Eye Shadow A 3,3 gr (pc(s))",120.0,120.0,0.0
01150,Wardah C-Defense Energizing Creamy Wash 100 ml (Pc(s)),720.0,720.0,0.0
01529,Wardah Everyday Fruity Sheer Lip Balm Grape 4 g,288.0,288.0,0.0
01531,Wardah Everyday Moisture Lip Nutrition Green Tea 4 g,48.0,48.0,0.0
01555,Wardah Nature Daily Seaweed Cleansing Micellar Water 240 ml,54.0,54.0,0.0
