Code,Product,Quantity on Hand,Reserved,Available
80001,OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy 3.5 g,3168.0,864.0,2304.0
80002,OMG OH MY GLAM Matte Kiss Lip Cream 02 Juicy 3.5 g,132.0,0.0,132.0
80003,OMG OH MY GLAM Matte Kiss Lip Cream 03 Flame 3.5 g,60.0,0.0,60.0
80004,OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset 3.5 g,132.0,0.0,132.0
80005,OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3.5 g,2868.0,2736.0,132.0
80006,OMG OH MY GLAM Matte Kiss Lip Cream 06 Sparkle 3.5 g,48.0,0.0,48.0
80007,OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight 3.5 g,3144.0,576.0,2568.0
80008,OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall 3.5 g,84.0,0.0,84.0
80009,OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm 3.5 g,108.0,0.0,108.0
80010,OMG OH MY GLAM Matte Kiss Lip Cream 10 Shell 3.5 g,24.0,0.0,24.0
80011,OMG OH MY GLAM Matte Kiss Lip Cream 11 Bumble 3.5 g,8976.0,4176.0,4800.0
80012,OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g,2709.0,1296.0,1413.0
80021,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 01 Juicy Strawberry,5028.0,192.0,4836.0
80022,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 02 Juicy Grapefruit,4056.0,192.0,3864.0
80023,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 03 Juicy Peach,7212.0,96.0,7116.0
80024,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 04 Juicy Plum,7800.0,96.0,7704.0
80027,OMG OH MY GLOW Peach Glowing Face Wash 9 g,21.0,0.0,21.0
80028,OMG OH MY GLOW Peach Glowing Toner 100 ml,54504.0,2412.0,52092.0
80029,OMG OH MY GLOW Peach Glowing Face Wash 50 g,118700.0,1176.0,117524.0
80030,OMG Oh My Glow Peach Glowing Cream 7.5 g,9723.0,360.0,9363.0
80031,OMG Oh My Glow Peach Glowing Cream 25 g,114716.0,1020.0,113696.0
80035,OMG Oh My Glam Coverlast Two Way Cake 21W Light 12 g,60912.0,288.0,60624.0
80036,OMG Oh My Glam Coverlast Two Way Cake 32N Natural 12 g,102240.0,252.0,101988.0
80037,OMG Oh My Glam Coverlast Two Way Cake 41W Sand 12 g,46548.0,324.0,46224.0
80044,OMG Oh My Glam Matte Kiss Lip Cream 13 Latte 3.5 g,276.0,0.0,276.0
80045,OMG Oh My Glam Matte Kiss Lip Cream 14 Cappuccino 3.5 g,48.0,0.0,48.0
80046,OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso 3.5 g,25848.0,8496.0,17352.0
80047,OMG Oh My Glam Coverlast Liquid Foundation 13 C Ivory,2244.0,44.0,2200.0
80048,OMG Oh My Glam Coverlast Liquid Foundation 21 W Light,7566.0,264.0,7302.0
80049,OMG Oh My Glam Coverlast Liquid Foundation 31 W Beige,10120.0,748.0,9372.0
80050,OMG Oh My Glam Coverlast Liquid Foundation 32 N Natural,5676.0,308.0,5368.0
80051,OMG Oh My Glam Coverlast Liquid Foundation 41 W Sand,2596.0,132.0,2464.0
80052,OMG Oh My Glam Coverlast Liquid Foundation 52 N Caramel,2332.0,44.0,2288.0
80053,OMG Oh My Glam LASHTENTION Waterproof Mascara 6.5 g,25212.0,336.0,24876.0
80056,OMG Oh My Glow Mugwort Acne Serum 20 ml,35976.0,244.0,35732.0
80058,OMG Oh My Glow Peach Glowing Serum 20 ml,97664.0,384.0,97280.0
80059,OMG Oh My Glow Peach Glowing Serum 7.5 g,61722.0,66.0,61656.0
80100,OMG Let It Glow Package,360.0,0.0,360.0
