Code,Product,Quantity on Hand,Reserved,Available
00009,Wardah Roll On For Her 60 ml,18965.0,1170.0,17795.0
00011,Wardah C-Defense DD Cream Light 20 ml (Pc(s)),9540.0,1152.0,8388.0
00012,Wardah C-Defense DD Cream Natural 20 ml (Pc(s)),13573.0,1368.0,12205.0
00013,Wardah C-defense Serum 17 ml (Pc(s)),6420.0,600.0,5820.0
00057,Wardah Exclusive Liquid Foundation 02 Sheer Pink 20 ml (Pc(s)),10.0,0.0,10.0
00058,Wardah Exclusive Liquid Foundation 03 Sandy Beige 20 ml,1.0,0.0,1.0
00059,Wardah Exclusive Liquid Foundation 04 Natural 20 ml,1.0,0.0,1.0
00071,Wardah EyeXpert Aqua Lash Mascara 6 gr (Pc(s)),5778.0,216.0,5562.0
00072,Wardah EyeXpert Eye & Lip Makeup Remover 50 ml,6258.0,252.0,6006.0
00073,Wardah EyeXpert Eye & Lip Makeup Remover 100 ml,6150.0,330.0,5820.0
00076,Wardah EyeXpert Optimum Hi-Black Liner 1 gr (Pc(s)),211384.0,1240.0,210144.0
00077,Wardah EyeXpert Perfectcurl Mascara 7 gr (Pc(s)),5544.0,648.0,4896.0
00079,"Wardah Eyexpert Staylast Liquid Eyeliner 3,5 gr (Pc(s))",22248.0,144.0,22104.0
00080,Wardah Lightening BB Cream Light 15 ml (pc(s)),66384.0,2832.0,63552.0
00081,Wardah Lightening BB Cream Light 30 ml (Pc(s)),216.0,180.0,36.0
00082,Wardah Lightening BB Cream Natural 15 ml (pc(s)),62688.0,2400.0,60288.0
00083,Wardah Lightening BB Cream Natural 30 ml (Pc(s)),1980.0,288.0,1692.0
00117,Wardah Blush On A 4 gr,479.0,0.0,479.0
00119,Wardah Blush On C 4 gr,5280.0,240.0,5040.0
00125,"Wardah Double Function Kit 4,5 gr",3.0,0.0,3.0
00126,Wardah Everyday BB Cream Light 15 ml (pc(s)),27696.0,1392.0,26304.0
00128,Wardah Everyday BB Cream Natural 15 ml (Pc(s)),19008.0,1392.0,17616.0
00129,Wardah Everyday BB Cream Natural 30 ml (Pc(s)),2772.0,144.0,2628.0
00131,"Wardah Evd Lum Creamy Foundation Extra Cover 02 Light Beige 8,5 g (Pc(s))",6.0,0.0,6.0
00132,"Wardah Evd Lum Creamy Foundation Extra Cover 03 Beige 8,5 g (Pc(s))",1.0,0.0,1.0
00138,Wardah Evd Lum Face Powder 01 Light Beige 30 g (Pc(s)),576.0,480.0,96.0
00139,Wardah Evd Lum Face Powder 02 Beige 30 g (Pc(s)),3264.0,0.0,3264.0
00140,Wardah Evd Lum Face Powder 03 Ivory 30 g (Pc(s)),2496.0,624.0,1872.0
00141,Wardah Evd Lum Face Powder 04 Natural 30 g (Pc(s)),2640.0,288.0,2352.0
00148,Wardah Evd Lum Two Way Cake 03 Ivory 12 g (Pc(s)),108.0,108.0,0.0
00149,Wardah Evd Lum Two Way Cake 04 Light Ivory 12 g (Pc(s)),2340.0,252.0,2088.0
