Code,Product,Quantity on Hand,Reserved,Available
01295,Malaysia Wardah Eye Brow Brown 1.14 g (Pc(s)),121.0,0.0,121.0
01342,Malaysia Wardah Purifying Moisturizer Gel 40 ml (Pc(s)),2.0,0.0,2.0
01826,Malaysia Wardah Lightening Day Cream 20 ml,4.0,0.0,4.0
01886,Malaysia Wardah Lightening Night Cream 30 g (Pc(s)),4.0,0.0,4.0
02209,Emina Aloe Vera Face Mist 60 ml,105.0,0.0,105.0
02490,Malaysia Wardah Colorfit Velvet Matte Lip Mousse 09 Ombre Charmer 4 g,190.0,0.0,190.0
02496,Malaysia Wardah Lightening Micellar Gentle Wash 100 ml,2131.0,0.0,2131.0
02498,Malaysia Wardah Lightening Oil-Infused Micellar Water 100 ml,252.0,0.0,252.0
02501,Malaysia Wardah Lightening Gentle Exfoliator 50 ml,2193.0,0.0,2193.0
02502,Malaysia Wardah Lightening Face Toner 125 ml,96.0,0.0,96.0
02510,Malaysia Wardah Lightening Powder Foundation Light Feel 06 Ivory 12 g,33.0,0.0,33.0
02511,Malaysia Wardah Lightening Powder Foundation Light Feel 07 Honey Beige 12 g,389.0,0.0,389.0
02517,Malaysia Wardah Lightening Liquid Concealer 02 Beige 7 g (Blister),36.0,0.0,36.0
02550,Malaysia Wardah Acnederm Face Powder 20 g,99.0,0.0,99.0
02552,Malaysia Wardah Acnederm Pore Blackhead Balm 20 g,7.0,0.0,7.0
02553,Malaysia Wardah Acnederm Pore Refining Toner 100 ml,4780.0,0.0,4780.0
02554,Malaysia Wardah Acnederm Pure Foaming Cleanser 60 ml,19.0,0.0,19.0
02555,Malaysia Wardah Acnederm Acne Spot Gel 15 ml,30.0,0.0,30.0
02574,Malaysia Wardah Everyday BB Cream Light 30 ml,36.0,0.0,36.0
02580,Malaysia Wardah Everyday Shine Free BB Loose Powder 8 g,44.0,0.0,44.0
02585,Malaysia Wardah Eye Shadow A 3.3 g,480.0,0.0,480.0
02586,Malaysia Wardah Eye Shadow G 3.3 g,1.0,0.0,1.0
02605,Malaysia Instaperfect MATTE FIT Powder Foundation 11 FAIR 13 g,46.0,0.0,46.0
02608,Malaysia Instaperfect MATTE FIT Powder Foundation 14 CRÉME13 g,3.0,0.0,3.0
02609,Malaysia Instaperfect MATTECENTRIC Lip Crayon 01 Pace 3 g,76.0,0.0,76.0
02612,Malaysia Instaperfect MATTECENTRIC Lip Crayon 04 Joy 3 g,168.0,0.0,168.0
02617,Malaysia Wardah Instaperfect MATTESETTER Lip Matte Paint 03. CHIC 5.5 g,132.0,0.0,132.0
02630,Malaysia Instaperfect MINERALIGHT MATTE BB Cushion 12. IVORY 15 g,432.0,0.0,432.0
02631,Malaysia Instaperfect MINERALIGHT MATTE BB Cushion 13. BEIGE 15 g,216.0,0.0,216.0
02654,Malaysia Wardah Nature Daily Seaweed Cleansing Micellar Water 100 ml,28.0,0.0,28.0
02661,Malaysia Wardah Perfect Bright Creamy Foam Brightening + Oil Control 100 ml,2190.0,0.0,2190.0
02668,Malaysia Wardah Renew You Anti Aging Eye Cream 10 ml,96.0,0.0,96.0
02681,Malaysia Wardah White Secret Pure Treatment Essence 100 ml,60.0,0.0,60.0
02741,"Malaysia Wardah Everyday Cheek and Lip Tint 01 Red, Set, Glow! 5.5 g",24.0,0.0,24.0
02761,Malaysia Wardah Exclusive Liquid Foundation 02 Sheer Pink 20 ml,26.0,0.0,26.0
02765,Malaysia Wardah Exclusive Two Way Cake 01 Sheer Pink 12 g,27.0,0.0,27.0
02766,Malaysia Wardah Exclusive Two Way Cake 02 Light Beige 12 g,24.0,0.0,24.0
02767,Malaysia Wardah Exclusive Two Way Cake 03 Sandy Beige 12 g,8.0,0.0,8.0
02768,Malaysia Wardah Exclusive Two Way Cake 04 Natural 12 g,48.0,0.0,48.0
02769,Malaysia Wardah Exclusive Two Way Cake 05 Coffee Beige 12 g,14.0,0.0,14.0
02772,Malaysia Wardah Exclusive Blush On 01 Rosy Pink 6.5 g,864.0,0.0,864.0
02880,Malaysia Wardah Hydra Rose Micro Gel Serum 30 ml,2940.0,0.0,2940.0
02888,Malaysia Instaperfect Everlast Intense Matte Liquid 01 EXCEPTIONAL 4.2 g,24.0,0.0,24.0
02889,Malaysia Instaperfect Everlast Intense Matte Liquid 02 TIMELESS 4.2 g,73.0,0.0,73.0
02892,Malaysia Instaperfect Everlast Intense Matte Liquid 05 SPLENDID 4.2 g,80.0,0.0,80.0
02895,Malaysia Instaperfect Everlast Intense Matte Liquid 08 DASHING 4.2 g,24.0,0.0,24.0
02972,Malaysia Wardah Colorfit Velvet Powder Foundation 32N Neutral Beige 11 g,7.0,0.0,7.0
02981,Malaysia Wardah Colorfit Matte Foundation 33W Olive Beige 25 ml,116.0,0.0,116.0
02989,Malaysia Wardah Lightening Face Mist 60 ml,40.0,0.0,40.0
02991,Malaysia Wardah C-Defense Sleeping Mask 30 g,2152.0,0.0,2152.0
03068,Malaysia Emina Ms. Pimple Acne Solution Spot Gel 15 ml,7644.0,0.0,7644.0
03069,Malaysia Emina Aloe Vera Gel 60 ml,32.0,0.0,32.0
03070,Malaysia Emina Aqua Infused Sleeping Mask 30 g,736.0,0.0,736.0
03073,Malaysia Emina Aloe Vera Face Mist 60 ml,105.0,0.0,105.0
03074,Malaysia Emina Bright Stuff Essence Sheet Mask 23 g,48.0,0.0,48.0
03076,Malaysia Emina Masquerade Face Mask Pomegranate 23 g,3526.0,0.0,3526.0
03077,Malaysia Emina Masquerade Face Mask Tea Tree Oil 23 g,2880.0,0.0,2880.0
03087,Malaysia Emina Glossy Stain 05 Spring Dazzle 3 g,384.0,0.0,384.0
03091,Malaysia Emina Clay Mask Soothe & Smooth 60 ml,792.0,0.0,792.0
03094,Malaysia Emina Skin Buddy Dot Burst Face Wash 60 ml,8748.0,0.0,8748.0
03095,Malaysia Emina Skin Buddy Bubble Up Face Wash 60 ml,720.0,0.0,720.0
03322,Malaysia Wardah EyeXpert Eyebrow Pencil Black 1.14 g (Blister),96.0,0.0,96.0
03323,Malaysia Wardah EyeXpert Eyebrow Pencil Brown 1.14 g (Blister),7.0,0.0,7.0
03515,Malaysia Wardah C-Defense Energizing Whip Foam 100 ml,35.0,0.0,35.0
03520,Malaysia Wardah Colorfit Last All Day Lip Paint 04 Brownderlast 4.2 g,7.0,0.0,7.0
03652,Malaysia Emina Masquerade Face Mask Cactus 23 g,1776.0,0.0,1776.0
03653,Malaysia Emina Masquerade Face Mask Grapefruit 23 g,1776.0,0.0,1776.0
03654,Malaysia Emina Masquerade Face Mask Blueberry 23 g,1728.0,0.0,1728.0
03655,Malaysia Emina Masquerade Face Mask Charcoal 23 g,1776.0,0.0,1776.0
