Code,Product,Quantity on Hand,Reserved,Available
80004,OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset 3.5 g,-1056.0,0.0,-1056.0
80005,OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3.5 g,4365.0,0.0,4365.0
80006,OMG OH MY GLAM Matte Kiss Lip Cream 06 Sparkle 3.5 g,9288.0,5004.0,4284.0
80009,OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm 3.5 g,2856.0,0.0,2856.0
80011,OMG OH MY GLAM Matte Kiss Lip Cream 11 Bumble 3.5 g,6330.0,6336.0,-6.0
80012,OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g,11520.0,8640.0,2880.0
80028,OMG OH MY GLOW Peach Glowing Toner 100 ml,5520.0,12384.0,-6864.0
80029,OMG OH MY GLOW Peach Glowing Face Wash 50 g,9700.0,9700.0,0.0
80031,OMG Oh My Glow Peach Glowing Cream 25 g,8000.0,7800.0,200.0
80046,OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso 3.5 g,6504.0,6504.0,0.0
80052,OMG Oh My Glam Coverlast Liquid Foundation 52 N Caramel,-90.0,0.0,-90.0
80058,OMG Oh My Glow Peach Glowing Serum 20 ml,3432.0,3432.0,0.0
