DC,BRAND,CAT1,CAT4,ODOO CODE,CORPORATE CODE,BARCODE,ITEM NAME,GT PRICE,QOH,RESERVED (QTY),AVAILABLE (QTY),QOH (Rp),RESERVED (Rp),AVAILABLE (Rp),EXPIRED DATE
DC ACEH,CRYSTALLURE,FACE MAKE UP,CRYSTALLURE TWC,02844,TC-CPLS03-W,8993137704540,CRYSTALLURE PRECIOUS LUMINIZING SILK POWDER FOUNDATION 13 BEIGE 12 G,167567.57,4,0,4,670270.28,0,670270.28,
DC ACEH,CRYSTALLURE,FACE MAKE UP,CRYSTALLURE TWC,02845,TC-CPLS04-W,8993137704557,CRYSTALLURE PRECIOUS LUMINIZING SILK POWDER FOUNDATION 14 CREME 12 G,167567.57,2,0,2,335135.14,0,335135.14,
DC ACEH,CRYSTALLURE,FACE MAKE UP,CRYSTALLURE TWC,02843,TC-CPLS02-W,8993137704533,CRYSTALLURE PRECIOUS LUMINIZING SILK POWDER FOUNDATION 12 IVORY 12 G,167567.57,20,0,20,3351351.4,0,3351351.4,
DC ACEH,CRYSTALLURE,FACE MAKE UP,CRYSTALLURE TWC,02842,TC-CPLS01-W,8993137704526,CRYSTALLURE PRECIOUS LUMINIZING SILK POWDER FOUNDATION 11 FAIR 12 G,167567.57,3,0,3,502702.71,0,502702.71,
DC ACEH,EMINA,FACE MOISTURIZER,EMINA MASQUERADE SHEET MASK,03130,FM-MGRA-EM,8993137708999,EMINA MASQUERADE FACE MASK GRAPEFRUIT 23 G,13063.06,24,0,24,313513.44,0,313513.44,
DC ACEH,EMINA,FACE MOISTURIZER,EMINA MASQUERADE SHEET MASK,03128,FM-MCAC-EM,8993137708982,EMINA MASQUERADE FACE MASK CACTUS 23 G,13063.06,48,0,48,627026.88,0,627026.88,
DC ACEH,EMINA,LIP MAKE UP,EMINA SQUEEZE ME UP LIP MATTE,02911,L-SMULMA-EM,8993137709620,EMINA SQUEEZE ME UP LIP MATTE 01 HAVE A PICNIC 6.5 G,50450.45,76,0,76,3834234.2,0,3834234.2,
DC ACEH,EMINA,LIP MAKE UP,EMINA SQUEEZE ME UP LIP MATTE,02914,L-SMULMD-EM,8993137709651,EMINA SQUEEZE ME UP LIP MATTE 04 LIL DANCING 6.5 G,50450.45,307,0,307,15488288.15,0,15488288.15,
DC ACEH,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL MILD FOUNDATION,02454,F-BWMM04-EM,8993137707879,EMINA BARE WITH ME MINERAL MILD FOUNDATION 04 MOCCA 30 ML,71171.17,84,0,84,5978378.28,0,5978378.28,
DC ACEH,EMINA,LIP MAKE UP,EMINA SQUEEZE ME UP LIP GLASS,02915,L-SMULGA-EM,8993137709668,EMINA SQUEEZE ME UP LIP GLASS 01 SURF N’ SLIDE 6.5 G,50450.45,269,0,269,13571171.05,0,13571171.05,
DC ACEH,EMINA,LIP MAKE UP,EMINA SQUEEZE ME UP LIP GLASS,02916,L-SMULGB-EM,8993137709675,EMINA SQUEEZE ME UP LIP GLASS 02 STARGAZE 6.5 G,50450.45,65,0,65,3279279.25,0,3279279.25,
DC ACEH,EMINA,FACE MOISTURIZER,EMINA CAPSULE TREAT GEL MASK,02900,FM-CTWOGT-EM,8993137707916,EMINA CAPSULE TREAT GEL MASK GREEN TEA 10 ML,18018.02,20,0,20,360360.4,0,360360.4,
DC ACEH,EMINA,FACE MOISTURIZER,EMINA CAPSULE TREAT SLEEPING MASK,02902,FM-CTGMR-EM,8993137707930,EMINA CAPSULE TREAT SLEEPING MASK RICE 10 ML,18018.02,882,0,882,15891893.64,0,15891893.64,
DC ACEH,EMINA,FACE MAKE UP,EMINA SQUEEZE ME UP LIQUID CONCEALER,02910,CON-SMULCC-EM,8993137709613,EMINA SQUEEZE ME UP LIQUID CONCEALER CARAMEL 8 G,50450.45,21,0,21,1059459.45,0,1059459.45,
DC ACEH,EMINA,FACE MOISTURIZER,EMINA CAPSULE TREAT SLEEPING MASK,02903,FM-CTGMC-EM,8993137707947,EMINA CAPSULE TREAT SLEEPING MASK CUCUMBER 10 ML,18018.02,1389,0,1389,25027029.78,0,25027029.78,
DC ACEH,EMINA,LIP MAKE UP,EMINA SQUEEZE ME UP LIP MATTE,02913,L-SMULMC-EM,8993137709644,EMINA SQUEEZE ME UP LIP MATTE 03 CITY CYCLING 6.5 G,50450.45,49,0,49,2472072.05,0,2472072.05,
DC ACEH,EMINA,EYE MAKE UP,EMINA AGENT OF BROW,00821,EB-ABBR-EM1.2GR,8993137691727,EMINA AGENT OF BROW BROWN 1.2 GR (PC(S)),29729.73,6,0,6,178378.38,0,178378.38,
DC ACEH,EMINA,FACE MOISTURIZER,EMINA CAPSULE TREAT GEL MASK,02899,FM-CTWOH-EM,8993137707909,EMINA CAPSULE TREAT GEL MASK HONEY 10 ML,18018.02,41,0,41,738738.82,0,738738.82,
DC ACEH,MAKE OVER,LIP MAKE UP,MAKE OVER CLIQUEMATTE,01624,L-CQS203-MO2G,8993137699976,MAKE OVER CLIQUEMATTE LIP STYLO 203 CRUSH 2 G,103603.6,36,0,36,3729729.6,0,3729729.6,
DC ACEH,PUTRI,HAIR TONIC,PUTRI HAIR TONIC,00313,HT-P1G1-P5,8993137250047,"HAIR TONIC NORMAL TO OILY HAIR (GREEN), 5 L",269369.37,14,0,14,3771171.18,0,3771171.18,
DC ACEH,WARDAH,FACE CLEANSER,WARDAH HYDRA ROSE PETAL INFUSED TONER,02527,FT-RIHT-W,8993137708739,WARDAH HYDRA ROSE PETAL INFUSED TONER 100 ML,110360.37,129,0,129,14236487.73,0,14236487.73,
DC ACEH,WARDAH,FACE MAKE UP,WARDAH COLORFIT POWDER FOUNDATION REFILL,03155,TWC-CLFTRH-W,8993137713528,WARDAH COLORFIT VELVET POWDER FOUNDATION REFILL 52N ALMOND 11 G,43693.69,83,0,83,3626576.27,0,3626576.27,
DC AMBON,CRYSTALLURE,FACE MAKE UP,CRYSTALLURE TWC,02842,TC-CPLS01-W,8993137704526,CRYSTALLURE PRECIOUS LUMINIZING SILK POWDER FOUNDATION 11 FAIR 12 G,167567.57,11,0,11,1843243.27,0,1843243.27,
DC AMBON,CRYSTALLURE,FACE MAKE UP,CRYSTALLURE TWC,02845,TC-CPLS04-W,8993137704557,CRYSTALLURE PRECIOUS LUMINIZING SILK POWDER FOUNDATION 14 CREME 12 G,167567.57,5,0,5,837837.85,0,837837.85,
DC AMBON,EMINA,LIP MAKE UP,EMINA SQUEEZE ME UP LIP MATTE,02911,L-SMULMA-EM,8993137709620,EMINA SQUEEZE ME UP LIP MATTE 01 HAVE A PICNIC 6.5 G,50450.45,14,0,14,706306.3,0,706306.3,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL MILD FOUNDATION,02451,F-BWMM01-EM,8993137707848,EMINA BARE WITH ME MINERAL MILD FOUNDATION 01 LIGHT 30 ML,71171.17,2,0,2,142342.34,0,142342.34,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL MILD FOUNDATION,02453,F-BWMM03-EM,8993137707862,EMINA BARE WITH ME MINERAL MILD FOUNDATION 03 CARAMEL 30 ML,71171.17,22,0,22,1565765.74,0,1565765.74,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL LOOSE POWDER,01888,B-RBMLP01-EM,8993137691345,EMINA BARE WITH ME MINERAL LOOSE POWDER 01 FAIR 8 G,51801.8,6,0,6,310810.8,0,310810.8,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL LOOSE POWDER,01889,B-RBMLP02-EM,8993137691352,EMINA BARE WITH ME MINERAL LOOSE POWDER 02 LIGHT BEIGE 8 G,51801.8,5,0,5,259009,0,259009,
DC AMBON,EMINA,FACE MAKE UP,EMINA SEBUM FIGHTER LOOSE POWDER,01923,B-SFLP-EM8G,8993137702034,EMINA SEBUM FIGHTER LOOSE POWDER 8 G,54954.95,16,0,16,879279.2,0,879279.2,
DC AMBON,EMINA,EYE MAKE UP,EMINA SQUEEZE ME UP BROWCARA,02907,EB-SMUEMC-EM,8993137711586,EMINA SQUEEZE ME UP BROWCARA CLEAR 8 G,50450.45,19,0,19,958558.55,0,958558.55,
DC AMBON,EMINA,EYE MAKE UP,EMINA SQUEEZE ME UP BROWCARA,02905,EB-SMUEMB-EM,8993137709583,EMINA SQUEEZE ME UP BROWCARA ASHY 8 G,50450.45,10,0,10,504504.5,0,504504.5,
DC AMBON,EMINA,LIP MAKE UP,EMINA SQUEEZE ME UP LIP MATTE,02914,L-SMULMD-EM,8993137709651,EMINA SQUEEZE ME UP LIP MATTE 04 LIL DANCING 6.5 G,50450.45,23,0,23,1160360.35,0,1160360.35,
