Kode Item,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24
APPL-EBR0-ENPS,1910,0,3820,1910,1910,3820,1910,1910,3820,1910,1910,3820,1910,1910,1910,3820,
BAL-BALTEPLR0-E,0,14980,0,14980,0,0,14980,0,0,14980,0,0,14980,0,14980,0,
BAL-BPR1D882B08-WT,63359,165870,264609,250250,262921,283043,218782,185434,339883,238437,287339,261426,289315,203304,360249,186642,
BAL-BROBPPEC-D254W23,31398,95287,98714,37977,56828,55324,40327,35540,52512,53444,34593,51094,33002,51094,51094,34593,
BAL-EXPPLR0-W,0,35719,35719,0,35719,35719,35719,35719,35719,35719,0,71438,0,35719,35719,35719,
BAL-SPPLL-MOSS,0,3520,1760,1760,0,1760,1760,1760,1760,1760,1760,1760,1760,0,1760,1760,
BAL-SSLEL-WSS,0,24948,0,24948,24948,0,24948,24948,0,24948,24948,24948,0,24948,24948,0,
BASC-UVSSR0-W,12588,14461,27321,0,18214,18214,9107,9107,18214,18214,9107,18214,9107,9107,18214,18214,
BASE-CLBPER0-E,1192,3576,4172,2980,3576,4768,2980,2980,4172,3576,3576,4172,3576,3576,4172,3576,
BASE-CLBPIR0-E,0,3576,1788,2384,2384,2384,2384,1788,2384,2384,2384,2384,2384,2384,2980,1788,
BASE-CLHNTR0-E,1192,2384,1788,1192,1788,2384,1788,1192,2384,1192,1788,2384,1788,1788,1788,1788,
BASE-MMB01-MO,284,284,1136,852,852,1136,852,568,1136,852,852,1136,852,852,852,852,
BASE-MMB02-MO,0,0,568,568,284,568,284,284,568,568,284,568,284,568,568,284,
BASE-MMB03-MO,0,0,0,568,852,568,852,284,852,568,568,852,568,852,568,852,
BASE-MMB04-MO,0,284,284,568,568,852,852,284,852,568,852,852,568,568,852,568,
BASE-MMB05-MO,568,568,1704,1136,1420,1704,1420,1136,1420,1420,1420,1704,1420,1420,1704,1136,
BOOK-HC2023-W,3960,2410,3872,3384,3384,4230,3384,2538,1418,0,0,0,0,0,0,0,
BOOK-PH2023-K,0,2350,1591,1591,3941,1591,3941,0,1591,3941,1591,1591,0,1591,1591,1591,
BOTO-AACMW100R0-W,0,26600,26600,53200,0,53200,0,26600,26600,26600,0,26600,26600,0,26600,26600,
BOTO-ADS1702R1-W,17150,17150,51450,34300,34300,51450,34300,34300,34300,51450,34300,51450,34300,0,0,0,
BOTO-AFRBW200R1-K,4648,32536,27888,23240,18592,27888,23240,18592,27888,23240,23240,27888,23240,23240,27888,23240,
BOTO-AHRMS30R0-W,9264,0,18379,0,18379,8667,449,0,0,0,0,0,0,0,0,0,
BOTO-AIOPTFS100R0-K,5361,24095,21060,17160,17160,21840,17160,12480,21840,17160,16380,21840,17160,17160,21060,17160,
BOTO-ALMR1-WPETG,0,0,27456,0,27456,0,27456,27456,0,27456,0,27456,27456,0,27456,27456,
BOTO-ALUGBFM100-L,0,0,5837,5837,0,5837,0,5837,5837,0,5837,5837,0,5837,5837,5837,
BOTO-APDHCP60-W,3960,2410,3872,3384,3384,4230,3384,2538,1418,0,0,0,0,0,0,0,
BOTO-BADS30R0-K,17470,26205,34745,26205,17470,26205,17470,17470,26205,17470,17470,26205,26205,17470,26205,17470,
BOTO-BCBW200R1-K,4680,32760,28080,23400,23400,28080,23400,18720,28080,23400,23400,28080,23400,23400,32760,23400,
BOTO-BDMR0-MOPTG,0,3600,3486,3560,3486,0,3560,3486,0,3600,7046,0,3486,0,3560,3486,
BOTO-BNG100PVC-,8170,24510,50704,33522,46916,45480,38746,32086,46916,37310,43128,49268,34958,37310,46074,31170,
BOTO-BOSR0-B,0,0,4000,0,0,2000,0,0,2000,2000,0,2000,2000,2000,0,0,
BOTO-BSLPR2-EM,37184,122176,169984,132800,132800,123477,0,0,0,0,0,0,0,0,0,0,
BOTO-BWGT550-BD,0,0,0,0,5324,0,0,5324,0,5324,0,5324,5324,0,5324,0,
BOTO-BWMGTR0-BD,0,0,0,3417,0,3417,0,3417,0,3417,0,3417,3417,0,3417,0,
BOTO-BWMSSR0-BD,0,3490,0,0,0,0,0,0,0,0,0,0,3490,0,3490,0,
BOTO-BWMYZR0-BD,0,3475,0,3475,0,3475,3475,0,3475,0,3475,0,3475,0,3475,3475,
BOTO-BWSS550-BD,0,0,0,1776,1776,1776,1776,1776,3552,3552,1776,3552,3552,1776,3552,1776,
BOTO-BWYZ550-BD,0,0,0,0,5324,0,0,5324,0,5324,0,5324,0,0,5324,0,
BOTO-CADLPR0-W,19992,135075,302643,316392,225240,269688,199167,142945,224358,161500,175260,215244,262832,171928,204364,164832,
BOTO-CAUSSSR0-TV,0,0,0,0,0,0,0,0,3333,0,0,3333,0,0,3333,0,
BOTO-CDAMGR0-W,0,0,6623,0,0,0,0,6623,0,0,0,0,6623,0,0,0,
BOTO-CDFMR1-WPET,17483,34966,50828,49207,66690,82552,66690,33345,82552,49207,66690,82552,66690,49207,50828,50828,
BOTO-CDRTS10R0-CL,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-CFMLI01R0-W,0,0,0,2739,2739,2739,2739,0,5478,0,2739,2739,2739,2739,2739,2739,
BOTO-CFMLI02R0-W,0,0,0,2739,2739,2739,2739,0,5478,2739,2739,2739,2739,2739,2739,2739,
BOTO-CFMLI03R0-W,0,0,2739,5478,5478,5478,5478,2739,8217,2739,5478,8217,2739,5478,5478,5478,
BOTO-CFMLI04R0-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2739,
BOTO-CFMLI06R0-W,0,2739,2739,2739,5478,2739,2739,2739,5478,2739,2739,5478,2739,2739,5478,2739,
BOTO-CFMLI07R0-W,0,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,
BOTO-CFMLI08R0-W,0,0,2739,2739,2739,2739,2739,0,5478,0,2739,2739,2739,2739,2739,2739,
BOTO-CLFR0-OMG,98665,138745,211825,179045,158550,226320,153240,119160,237410,173045,161955,199925,167735,171745,227620,164550,
