internal_name,qty_done,internal_category
"[BUTY--DAI1,3] 1,3-Butylene Glycol Ex. Daicel Chemical Industries, Ltd. Japan",3200.0,Raw Material
[SILI-BEL803-X] Belsil TMS 803 ex Wacker Chemie AG(),420.0,Raw Material
"[SILI-BDM2-X] Belsll PDM 20 ex Wacker Chemie AG, Germany",5.0,Raw Material
"[POWD-GH52-X] GH-502 LL ex. Anhui Grea New Materials Technology Co., Ltd., China",20.0,Raw Material
"[POWD-GH52-X] GH-502 LL ex. Anhui Grea New Materials Technology Co., Ltd., China",60.0,Raw Material
"[POWD-TGHD-X] TG10-HDI ex Chuzhou Grea Minerals Co, Ltd., China",25.0,Raw Material
[SILI-BELEG5-X] Belsil EG5 ex Wacker Metroark Chemicals Pvt. Ltd,60.0,Raw Material
"[SILI-BE6-X] Belsil EG 6000 ex Wacker Chemie, Germany",180.0,Raw Material
[SILI-BELEG5-X] Belsil EG5 ex Wacker Metroark Chemicals Pvt. Ltd,105.0,Raw Material
[SILI-BELEG5-X] Belsil EG5 ex Wacker Metroark Chemicals Pvt. Ltd,165.0,Raw Material
[SILI-BELEG5-X] Belsil EG5 ex Wacker Metroark Chemicals Pvt. Ltd,630.0,Raw Material
"[HUM-HXLGLC-X] Hexylene Glycol, ex Rhodia Brasil S.A., Brazil",386.0,Raw Material
"[CONT-MOCM10R2AS-C2PP] Container Make Over CM-105 REV-2 AS/ABS,Cvr clear coatg,2 pass printing",4320.0,Packaging Material
"[CONT-LPFRR0-W] Container Lightening Powder Foundation Revamp Wardah,CM-316,AS:ABS,InjectionColor,Cover:1PassPrinting+SprayMatteClear",34800.0,Packaging Material
"[CONT-ICPGCR0-W] Container Inner Case Colorfit PGC Wardah,Albea,CM-290,PP,InjectionColorBeige,NoFinishing",10080.0,Packaging Material
"[CONT-RCPGCR0-W] Container Ring Colorfit PGC Wardah,Albea,CM-290,PP,InjectionColorBeige,NoFinishing",10080.0,Packaging Material
"[CONT-CPGCR0-W] Container Colorfit PGC Wardah,Albea,CM-290,PET,InjectionColorBeige,1PassPrint,SprayMatte on Cover, NoFinishing on Base",10080.0,Packaging Material
[CAPA-WCVML13R1-W] Cap Applicator+Wiper CVM Lip Mousse 13 REV-1 Wardah.ABS/AS-ABS.LDPE.Injection Solid Color.SprayMatte,12600.0,Packaging Material
"[BOTO-CVML13R1-W] Bottle CVM Lip Mousse 13 REV-1 Wardah.AS.Injection Solid Color.1PassPrinting.SprayMatte,PenambahanBarmark",12600.0,Packaging Material
"[CONT-EFSLSR0-WASSM] Container Everyday Fruity Sheer Lip Balm Strawberry Wardah,AS,1W,Injection,Spray Matte Clear",25536.0,Packaging Material
[CAPC-EFSLST-W] Cap Container Everyday Fruity Sheer Lip Balm Strawberry (Temp) Wardah.LS-068.AS.1W.Injection.Spray Matte Clear,25536.0,Packaging Material
"[CONT-CULML2R0-W] Container CUL Matte Lipstick 02 Wardah,PS,MetalizingSilver,1PassPrinting,Ballast",5320.0,Packaging Material
"[CAPC-CULML2R0-W] Cap Container CUL Matte Lipstick 02 Wardah,AS,Injection Translucent Color,1PassPrinting,SprayMatte",5320.0,Packaging Material
"[CONT-CULML8R0-W] Container CUL Matte Lipstick 08 Wardah,PS,MetalizingSilver,1PassPrinting,Ballast",3192.0,Packaging Material
"[CAPC-CULML8R0-W] Cap Container CUL Matte Lipstick 08 Wardah,AS,Injection Translucent Color,1PassPrinting,SprayMatte",3192.0,Packaging Material
"[EXTR-JPBBR-X] Japanese Beauty Berry ex Technoble Co. Ltd, Japan",1.0,Raw Material
"[EXTR-JPBBR-X] Japanese Beauty Berry ex Technoble Co. Ltd, Japan",4.0,Raw Material
"[STEA-P9218-X] Palmera A9218 ex. Palm-Oleo Sdn.Bhd., Malaysia",200.0,Raw Material
[CAPA-WCVML11R1-W] Cap Applicator+Wiper CVM Lip Mousse 11 REV-1 Wardah.ABS/AS-ABS.LDPE.Injection Solid Color.SprayMatte,12600.0,Packaging Material
"[BOTO-CVML11R1-W] Bottle CVM Lip Mousse 11 REV-1 Wardah.AS.Injection Solid Color.1PassPrinting.SprayMatte,PenambahanBarmark",12600.0,Packaging Material
"[CONT-ETWCRLR0-WASBS] Container Exclusive TWC RL Wardah,AS:ABS,Spray Matte,HS Silver,ClearCoat",5040.0,Packaging Material
