data update,30 Mei 2023,,
helper,Korporat Code,Variant Seller/Vendor/Display Name,Variant Seller/Min Qty
"APPL-EBR0-ENPSMS UNION INTERNASIONAL, PT",APPL-EBR0-ENPS,"MS UNION INTERNASIONAL, PT",10000
"BAL-BALTEPLR0-ENINGBO JIELI COSMETICAL PACKAGE CO.,LTD",BAL-BALTEPLR0-E,"NINGBO JIELI COSMETICAL PACKAGE CO.,LTD",30000
"BAL-BALTEPLR0-ENINGBO JIELI COSMETICAL PACKAGE CO.,LTD",BAL-BALTEPLR0-E,"NINGBO JIELI COSMETICAL PACKAGE CO.,LTD",30000
"BAL-BALTEPLR0-ENINGBO JIELI COSMETICAL PACKAGE CO.,LTD",BAL-BALTEPLR0-E,"NINGBO JIELI COSMETICAL PACKAGE CO.,LTD",30000
"BAL-BPR1D882B08-WTKARYA INDAH PESONA, PT",BAL-BPR1D882B08-WT,"KARYA INDAH PESONA, PT",30000
"BAL-BROBPPEC-D254W23SUMBER TRI MAKMUR, PT",BAL-BROBPPEC-D254W23,"SUMBER TRI MAKMUR, PT",50000
"BAL-EXPPLR0-WNINGBO JIELI COSMETICAL PACKAGE CO.,LTD",BAL-EXPPLR0-W,"NINGBO JIELI COSMETICAL PACKAGE CO.,LTD",30000
"BAL-EXPPLR0-WNINGBO JIELI COSMETICAL PACKAGE CO.,LTD",BAL-EXPPLR0-W,"NINGBO JIELI COSMETICAL PACKAGE CO.,LTD",30000
"BAL-EXPPLR0-WNINGBO JIELI COSMETICAL PACKAGE CO.,LTD",BAL-EXPPLR0-W,"NINGBO JIELI COSMETICAL PACKAGE CO.,LTD",30000
"BAL-EXPPLR0-WNINGBO JIELI COSMETICAL PACKAGE CO.,LTD",BAL-EXPPLR0-W,"NINGBO JIELI COSMETICAL PACKAGE CO.,LTD",30000
"BAL-EXPPLR0-WNINGBO JIELI COSMETICAL PACKAGE CO.,LTD",BAL-EXPPLR0-W,"NINGBO JIELI COSMETICAL PACKAGE CO.,LTD",30000
