"Product","Done"
"[KB-W6040R2-W] Karton Box Wardah 60x40 R2","1.0"
"[KB-MOTWC3252-K150M12] Karton Box Make Over TWC Uk.325x245x68mm","2.0"
"[KB-WTHETAR1-W] Karton Box Wardah Theta R1","11.0"
"[KB-PLUTOR0-T] Karton Box Pluto Tavi","3.0"
"[STIC-BPCTWC04R2-MO] Sticker Bottom Perfect Cover TWC 04 R2 MO","59.0"
"[STIC-VPCTWC04R1-MO] Sticker Varian Perfect Cover TWC 04 R1 MO","3.0"
"[KB-WBETAR1-W] Karton Box Wardah Beta R1","3.0"
"[KB-WEPSIR1-W] Karton Box Wardah Epsilon R1","2.0"
"[KB-EBR1-KMK125CF] Karton Box Emina B R1","2.0"
"[PLAS-DMESBOR0-E] Plastik Dalam Mica PET ES/BO E","131.0"
"[DUS-BOR3-MOILG] Dus Blush On R3 MO","9.0"
"[KB-MOTWC3252-K150M12] Karton Box Make Over TWC Uk.325x245x68mm","7.0"
"[STIC-BCELFP2R1-WCNFR] Sticker Barcode EveLum FP 02 R1 Roll W (Pc(s))","109.0"
"[STIC-BCHCL9R0-MO] Sticker Bottom CHC Lipmatte 09 MO (Pc(s))","14.0"
"[KB-WLTWCLFR1-KMK125] Karton Box Wardah Lightening TWC LF R1","1.0"
"[STIC-BTEFSLGR0-WCNF] Sticker Bottom Everyday Fruity Sheer Lip Balm Grape W","8.0"
"[KB-W6040R2-W] Karton Box Wardah 60x40 R2","11.0"
"[STIC-BELFR0-W] Sticker Back Exclusive Liquid Foundation W","20.0"
"[STIC-FELFR0-W] Sticker Front Exclusive Liquid Foundation W","50.0"
"[IBOX-12ELRLR1-W] Inner Box 12 Exclusive Lipstick RL R1 W","2.0"
"[KB-WLER1-KMK125CF] Karton Box Wardah Lipstick Exclusive R1","17.0"
"[STIC-BCEMA18R1-WRL] Sticker Barcode Exclusive Matte Lipstick 18 R1 Wardah (Pc(s","14.0"
"[STIC-BTEMA18R1-WCNF] Sticker Bottom Exclusive Matte Lipstick 18 R1 W","13.0"
"[KB-WIOTAR1-W] Karton Box Wardah Iota R1 (Pc(s))","2.0"
"[KB-WIOTAR1-W] Karton Box Wardah Iota R1 (Pc(s))","5.0"
"[DUS-CADLP16R1-W] Dus CAD Lip Paint 16 R1 W","3.0"
"[STIC-BTETC4R0-WRL] Sticker Bottom Exclusive TWC 04 RL W (Pc(s))","70.0"
"[STIC-VETWC04R0-W] Sticker Varian Exclusive TWC 04 W","46.0"
"[PLAS-DMBOPR0-MO] Plastik Dalam Mica PET Blush On Palette MO","20.0"
"[STIC-BOPALMOPPT-2W15] Sticker Blush On Pallete, 15,13x8,51cm Make over","10.0"
"[KB-BTLS150WNL32-K125] Karton Box Botol S 150 mlx 24 Wardah","2.0"
"[STIC-BCELFP3R1-WCNFR] Sticker Barcode EveLum FP 03 R1 Roll W (Pc(s))","76.0"
"[KB-W12X250R1-W] Karton Box Wardah 12x250 R1","3.0"
"[STIC-BLPL05R0-W] Sticker Bottom Lightening Powder Foundation LF 05 W","75.0"
"[STIC-BOELF01R1-WRL] Sticker Bottom ELF 01 RL R1 W","46.0"
"[STIC-FELFR0-W] Sticker Front Exclusive Liquid Foundation W","70.0"
"[STIC-VELF01R0-W] Sticker Varian Exclusive LF 01 W","88.0"
"[KB-MOCC36R1-270CF] Karton Box Cleansing Cream R1 MO","1.0"
"[STIC-VBPTMLCB07R0-MO] Sticker Varian Barcode Powerstay TM Lip Cream B07 Make Over","28.0"
"[KB-P450R1211-KMM125B] Karton Box Putri 450 ml Rev-1","8.0"
"[KB-EAR0-KMM125] Karton Box Emina A","2.0"
"[KB-MOLUHM-265K150] Karton Box Lipstick Ultra Hi-Matte Uk.265x226x100mm Make ov","2.0"
"[STIC-BCUCLMF4MO-PW1W] Sticker Barcode Ultra Cover Liq.Matte Found.04 Amber Rose M","29.0"
"[STIC-SBUR1-MSF] Sticker Shake Before Use R1","22.0"
"[STIC-UCLMF04R1-MOMSF] Sticker Bottom UCLMF 04 R1 MO","32.0"
"[KB-WIOTAR1-W] Karton Box Wardah Iota R1 (Pc(s))","3.0"
"[KB-EAR0-KMM125] Karton Box Emina A","12.0"
"[KB-W12X250R1-W] Karton Box Wardah 12x250 R1","3.0"
"[STIC-BLPL04R0-W] Sticker Bottom Lightening Powder Foundation LF 04 W","20.0"
"[KB-WT100R1-KMM125BF] Karton Box Wardah Tube 100 (Glue) (Pc(s))","5.0"
"[IBOX-REMLCRR0-W] Inner Box RRP Exclusive Matte Lip Cream Revamp W","1.0"
"[STIC-HEMLCR1-W] Sticker Hologram Exclusive Matte Lip Cream R1 W","84.0"
"[KB-WT100R1-KMM125BF] Karton Box Wardah Tube 100 (Glue) (Pc(s))","2.0"
"[STIC-BCPGC23WR1-W] Sticker Bottom Colorfit PGC 23W R1 W","50.0"
