Kode Item,Nama Internal,Internal Category,Brand,Qty,Total Price,Status,MOQ,Laptrima,Scrap,SMB,"Kategori FG
(NPD, Reguler, NFS, One Shot, Ex Revamp, Minor Change)",Last Incoming,Last SMB
APPL-EBR0-ENPS,Case/Container Applicator Eyebrow Emina,,,14165,15000,existing,10000,0,0,No,Reguler,2022,2023
BAL-BALTEPLR0-E,Ball Total Eclipse Pen Liner E,,,119238,1426.817609,new product,30000,30000,0,No,Reguler,2023,2023
BAL-BPR1D882B08-WT,Plug Bola Pengocok (Gotri) Rev_1 Wardah,,,531459,2850,existing,30000,0,0,No,Reguler,2023,2023
BAL-BROBPPEC-D254W23,Plug Bola Roll On For Wardah/Zahra,,,183998,2334.42,existing,50000,250000,0,No,Reguler,2023,2023
BAL-EXPPLR0-W,Ball Eyexpert Perfect Precision Liner W,,,102679,1680.049096,new product,30000,0,0,No,Reguler,2023,2023
BAL-SPPLL-MOSS,Ball Steel Powerstay Precision Liquid Liner MO,,,19913,1158.927582,existing,10000,0,0,No,Reguler,2022,2023
BAL-SSLEL-WSS,Plug Ball Steel Staylast Liquid Eyeliner Wardah,,,78061.985,737.4979713,existing,24000,69000,0,No,Reguler,2023,2023
BASC-UVSSR0-W,Base Closure UVS Sunscreen Stick W,,,125257,9210.585495,existing,50000,0,2,No,Reguler,2023,2023
BASE-CLBPER0-E,Base CLB Stick Peach E,,,10288,21490.20702,existing,10000,0,0,No,Reguler,2023,2023
BASE-CLBPIR0-E,Base CLB Stick Pink E,,,20444,12876.35424,existing,10000,0,0,No,Reguler,2021,2023
BASE-CLHNTR0-E,Base CLH Stick Nudetwinkle E,,,12741,21159.6736,existing,10000,0,0,No,Reguler,2021,2023
BASE-MMB01-MO,Base Multifix Matte Blusher 01 MO,,,21533,49747.6215,existing,3000,0,0,No,Reguler,2022,2023
BASE-MMB02-MO,Base Multifix Matte Blusher 02 MO,,,19482,58914.49912,existing,3000,0,0,No,Reguler,2022,2023
BASE-MMB03-MO,Base Multifix Matte Blusher 03 MO,,,10883,29485.28436,existing,3000,0,0,Yes,Reguler,2022,2022
BASE-MMB04-MO,Base Multifix Matte Blusher 04 MO,,,12257,37082.1,existing,3000,0,0,No,Reguler,2022,2023
BASE-MMB05-MO,Base Multifix Matte Blusher 05 MO,,,23394,20956.54064,existing,3000,0,0,No,Reguler,2022,2023
BOOK-HC2023-W,Booklet Hajj Care 2023 W,,,27837,3150,new product,37000,0,0,No,,2023,2023
BOOK-PH2023-K,Booklet Paket Haji 2023 K,,,3402,13600,new product,3500,0,0,No,,2023,2023
BOTO-ADS1702R0-W,Bottle Anti Dandruff Shampoo 170 (2) W (Pc(s)),,,0,4118.554895,to be discontinued,100100,0,2787,Yes,Reguler,2021,2022
BOTO-ADS1702R1-W,Bottle Anti Dandruff Shampoo 170 (2) R1 W,,,64199,29461.05084,existing,100000,67626,0,No,Reguler,2023,2023
BOTO-ADS170IIR0-WHDP,Bottle Anti Dandruff Shampoo 170 (II) W,,,653,0,0,0,0,0,Yes,Reguler,< 2019,< 2019
BOTO-ADS170R2-WHDPE,Bottle Anti Dandruff Shampoo 170 R2 W (Pc(s),,,15286,14187.53532,to be discontinued,,0,0,Yes,Reguler,2022,2022
BOTO-ADS170R3-WHDPE,Bottle Anti Dandruff Shampoo 170 R3 W,,,29827,19980.96,existing,50000,0,0,Yes,Reguler,2023,< 2019
BOTO-AFRBW-K,Bottle Acne Fight and Relaxing Body Wash 200 K,,,936,6496,to be discontinued,30000,0,0,Yes,Reguler,2022,2022
BOTO-AFRBW200R1-K,Bottle Acne Fight and Relaxing Body Wash 200 R1 K,,,88653,65351.81151,existing,30000,0,0,No,Reguler,2023,2023
BOTO-AHRMS30R0-W,Bottle H Rose MG Serum 30 W,,,63701,99264.29332,existing,50000,0,0,No,Reguler,2022,2023
BOTO-AIOPTFS100R0-K,Bottle All-in-One Power Toning Face Spray 100 K,,,13887,18256.19751,new product,10000,10000,0,No,Reguler,2023,2023
BOTO-ALMR1-WPETG,Botol/Pot Botol Aqua Lash Mascara REV-1 Wardah,,,109925,19036.32773,existing,24000,36000,0,No,Reguler,2023,2023
BOTO-ALUGBFM100-L,Botol Alu GB Face Mist 100 L,,,29,6408,new product,30000,0,0,Yes,Reguler,2022,2023
BOTO-APDHCP60-W,Botol Anti-Perspirant Deodorant Hajj Care 60 W,,,27233,6180,new product,26000,0,0,No,,2023,2023
BOTO-BADS30R0-K,Bottle Brightening and Texture Refining Face Serum 35 K,,,4082,6879.353386,new product,10000,0,0,No,NPD,2023,2023
BOTO-BCBW-K,Bottle Brightening and Cooling Body Wash 200 K,,,429,3298,to be discontinued,8000,0,0,Yes,Reguler,2022,2022
BOTO-BCBW200R1-K,Bottle Brightening and Cooling Body Wash 200 R1 K,,,94384,63693.08856,existing,30000,0,0,No,Reguler,2023,2023
BOTO-BDMR0-MOPTG,Bottle Brow Definer Mascara MO (Pc(s)),,,51641,41705.27662,existing,10000,0,0,Yes,Reguler,2022,2023
BOTO-BNG100PVC-,Botol/Pot Btl Bening Transparant (TPR) 100 ml (HS) Wardah,,,28871,21840,existing,30000,10620,0,No,Reguler,2023,2023
BOTO-BSLPR2-EM,Botol Bright Stuff Loose Powder R2 E,,,174127,39681.20079,existing,10000,220424,80,No,Reguler,2023,2023
BOTO-BWGT550-BD,Botol Body Wash Green Tea 550 BD,,,19818,63651.84,new product,25000,0,0,Yes,NPD,2023,2023
BOTO-BWMGTR0-BD,Botol Body Wash Mint + Green Tea BD,,,8071,25084.80777,existing,10000,0,0,No,Reguler,2022,2023
BOTO-BWMSSR0-BD,Botol Body Wash Mint + Sea Salt BD,,,44901,47895.44649,existing,10000,0,0,No,Reguler,2022,2023
