KODE ITEM,STATUS 2
ACCS-GLITNP-EM,0
ACRL--40478,inactive
ACRL--40479,inactive
ACRL--42555,inactive
ACRL--43576,0
ACRL--43873,0
ACRL--44079,inactive
ACRL--44080,inactive
ACRL--44148,inactive
ACRL--44236,0
ACRL--44329,inactive
ACRL--44979,inactive
ACRL--46659,inactive
ACRL--47127,inactive
ACRL--47287,inactive
ACRL--47329,inactive
ACRL--49664,inactive
ACRL--50090,inactive
ACRL--52169,inactive
ACRL--52256,0
ACRL--55346,0
ACRL--55358,inactive
ACRL--55359,inactive
ACRL--57496,0
ACRL--57497,0
ACRL--57498,0
ACRL--57641,inactive
ACRL--58541,inactive
ACRL--65512,0
ACRL-A4W1-W,0
ACRL-ACWBA2C-X,0
ACRL-ALFBAC3M20-W,inactive
ACRL-ASWSRY-W,0
ACRL-BBW-A5A3,0
ACRL-BMU-W,0
ACRL-BOXGT-EM,0
ACRL-BPFMOM9-A32C,0
ACRL-BSPC-W,0
ACRL-BTDISP-EM,0
ACRL-CBC-MO,0
ACRL-CBC18-MO,0
ACRL-CBCWHC1106-BCA2,0
ACRL-CECCM-W,0
ACRL-CGWPWHCC11-BCA2,0
ACRL-CMT-EM,0
ACRL-COCLSG-W,0
ACRL-COCLW-W,0
ACRL-COCSTC-W,0
ACRL-CRMNW1BC-W,0
ACRL-CW2801P3C2-S1W,inactive
ACRL-DGT-MO,0
ACRL-DLC-W,0
ACRL-DLL-W,0
ACRL-DMU-W,0
ACRL-DNS-W,0
ACRL-DSW-A3CSM,0
ACRL-DTC-MO,0
ACRL-DTLCTA-W,0
ACRL-DTLLTA-W,0
ACRL-DTRYTA-W,0
ACRL-DTRYTB-W,0
ACRL-DTRYTC-W,0
ACRL-DTWHTA-W,0
ACRL-DTWSTB-W,0
ACRL-DTWSTC-W,0
ACRL-DWWS-ANT,0
ACRL-ES-W,0
ACRL-ESP-MO,0
ACRL-EWAS3AB3-242528,inactive
ACRL-GTMOMDSRS-HG3M,0
ACRL-GTVTLFFPMU-TLTE,inactive
ACRL-GTWMDSPH3M-K,0
ACRL-HANGW0-W,0
ACRL-HBWBABT2-RR,0
ACRL-HCL-W,0
ACRL-HSWC2D-PL,0
ACRL-JPITPROM-W,0
ACRL-KSAW3S-X,inactive
ACRL-LIP3J-W,0
ACRL-LIPEXCLMAT-W,0
ACRL-LS-W,0
ACRL-MADA2-W,0
ACRL-OCB2MM2351-S2MW,0
ACRL-PC-EM,0
ACRL-PHWA43-,0
ACRL-PLSH-EM,0
ACRL-POPA4-EM,0
ACRL-REFLUMFP-W,0
ACRL-SCEN-W,0
ACRL-SCWACNES-ANTDP,inactive
ACRL-SCWBASCS-ANTDP,inactive
ACRL-SCWLIGHS-ANTDP,inactive
ACRL-SCWPMB2-DP,0
ACRL-SCWSCENS-ANTDP,inactive
ACRL-SHLS-X,0
ACRL-SIND-W,0
ACRL-SKALFA-W,0
ACRL-SLLE-W,0
ACRL-SPAS-W,0
ACRL-SPOPB3MM-WA4SLW,inactive
ACRL-STANPOPLAN-W,0
ACRL-STANPOPPOT-W,0
ACRL-SWT1-A5A2CBTT,0
ACRL-SWT2-A4A2CBTT,0
ACRL-SWT3-A6A2CBL,0
ACRL-TBM-W,0
ACRL-TCMOABH233-CLSS,inactive
ACRL-TDWLC-T3LC,inactive
ACRL-TELA2-MO,0
ACRL-TESA3C2API-X,inactive
ACRL-TESOLTS-W,inactive
ACRL-TLCR-MO,0
ACRL-TLIPC-MO,0
ACRL-TLOVAWKD-T3S1W,inactive
ACRL-TLTK-W14,0
ACRL-TMWAHSBP-ECLC,inactive
ACRL-TRAYES-W,0
ACRL-TTCWCH-SCL,inactive
ACRL-TUHM-MO,0
ACRL-TVWA3HAP3-KSLL,inactive
ACRL-TWAPC32MGR-X,0
ACRL-TWVB-15,inactive
ACRL-V2SWBAT2-RR,0
AGEN-MO2014-MO,0
AGEN-P16-X,0
AGEN-W2012AC310-44LD,0
AGEN-W2014-W,0
AGEN-W2017-W,0
AGEN-W2018-W,0
AGEN-WU1H8A3KLD-W,0
AIR-MMC--51008,0
APPL-EBR0-ENPS,existing
ATK-AKH100U1-EM,0
BACD-MU8PP-W13,0
BAGL-PTIH-W,0
BAGP-AC26U1-IX,0
BAGP-BAC26U1LD-EM,0
BAGP-BITA-W,0
BAGP-BSR-MO,0
BAGP-D2HS-P,0
BAGP-DP-W,0
BAGP-DS-W,0
BAGP-F99C-W,inactive
BAGP-FESTP-W,0
BAGP-FILM99C-W,0
BAGP-FILMAINHAB-W,inactive
BAGP-IFW2018-W,0
BAGP-INID2014-W,0
BAGP-KB-W,0
BAGP-L17L-W,0
BAGP-L17P-W,0
BAGP-MED-W,0
BAGP-MO18JFW-MO,0
BAGP-MOBAP212W-25201,inactive
