product_tmpl_id/default_code,product_tmpl_id/old_koitem,product_tmpl_id/internal_name,product_id/categ_id/display_name,location_id/display_name,lot_id/name,quantity,product_uom_id/name,PUP May,Total Price @PUP,,,Stock 1 Jun 23,Total Price PUP May,"8,231,812,842.00",Qty in pcs,"19,728,415.28"
PART-IRRPTMKLCR0-OMG,PART-IRRPTMKLCR0-OMG,Partisi Inner Box RRP Tester Matte KLC OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AB-02A2,GPMJT6A/IA21024,404,pc(s),358.551217322419,144854.691798257,,,,,,,
IBOX-RRPTMKLCR0-OMG,IBOX-RRPTMKLCR0-OMG,Inner Box RRP Tester Matte Kiss Lip Cream OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AB-09B1,GPMJT6A/IA27007,264,pc(s),1653.36565811032,436488.533741125,,,,,,,
IBOX-RRPTMKLCR0-OMG,IBOX-RRPTMKLCR0-OMG,Inner Box RRP Tester Matte Kiss Lip Cream OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AB-07A2,GPMJT6A/IA27007,50,pc(s),1653.36565811032,82668.2829055161,,,,,,,
STIC-VMKLC05R0-OMG,STIC-VMKLC05R0-OMG,Sticker Varian Matte Kiss Lip Cream 05 OMG,Packaging Material,JTK 4/Quarantine/PKG,GBMJTK4/IE10051,814,pc(s),37.1,30199.4,,,,,,,
SACH-SMUFW9-X,SACH-SMUFW9-X,Sachet Spout Mock Up PINKY OMG Facial Wash 9,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AB-02B2,GBMJTK4/IE19073,50,Pc(s),0,0,,,,,,,
SACH-SMUFW9-X,SACH-SMUFW9-X,Sachet Spout Mock Up PINKY OMG Facial Wash 9,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AB-02B2,GBMJTK4/IF08119,5,Pc(s),0,0,,,,,,,
BOTO-MUOMGTO-O,BOTO-MUOMGTO-O,Mock Up Botol OMG Toner 100 W,Packaging Material,JTK 4/Quarantine/PKG,GBMJTK4/IF28201,200,Pc(s),0,0,,,,,,,
CAP-MUOMGTO-O,CAP-MUOMGTO-O,Mock Up Cap OMG Toner 100 W,Packaging Material,JTK 4/Quarantine/PKG,GBMJTK4/IF28202,200,Pc(s),0,0,,,,,,,
PS-MUOMGTO-O,PS-MUOMGTO-O,Shrink Label OMG Toner 100 W,Packaging Material,JTK 4/Quarantine/PKG,GBMJTK4/IF28203,150,Pc(s),0,0,,,,,,,
BOTO-MKLCR0-OMG,BOTO-MKLCR0-OMG,Bottle Matte KLC OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AB-10C1,GBMJTK4/IF10126,-10,pc(s),1474.8493267543,-14748.493267543,,,,,,,
STIC-VMKLC08R1-OMG,STIC-VMKLC08R1-OMG,Sticker Varian Matte Kiss Lip Cream 08 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-4,GBMJTK4/IF23181,-9,pc(s),35.0662557781202,-315.596302003082,,,,,,,
STIC-VMKLC09R1-OMG,STIC-VMKLC09R1-OMG,Sticker Varian Matte Kiss Lip Cream 09 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-4,GBMJTK4/IF25200,700,pc(s),34.9886188000562,24492.0331600393,,,,,,,
BOTO-MKLCR0-OMG,BOTO-MKLCR0-OMG,Bottle Matte KLC OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AB-10B1,GBMJTK4/IF10126,-200,pc(s),1474.8493267543,-294969.86535086,,,,,,,
BOTO-MKLCR0-OMG,BOTO-MKLCR0-OMG,Bottle Matte KLC OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/IG09237,-8,pc(s),1474.8493267543,-11798.7946140344,,,,,,,
STIC-VMKLC04R0-OMG,STIC-VMKLC04R0-OMG,Sticker Varian Matte Kiss Lip Cream 04 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-2,GPMJT6A/IA29130,39,pc(s),37.1,1446.9,,,,,,,
