Kebutuhan packaging: closing DSR April 2023,,,,,,Kebutuhan Produksi (by Forecast),,,,,,,,,,,,,,,,,,,,,,DON’T SORT WITH FORMULAE,,,,,,,,,,,,,,,,cek,Akumulasi FC,,,,Stock L6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kode Item,Nama Internal,Jenis,Brand,Stock (Pcs),Value (IDR),May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Total Kebutuhan next 6 month,Total Kebutuhan next 16 month,Status Pack,Umur Stok (Month),Kategori Umur Stok Slobs,"Status Stok, SLOB > 6 bln",Stock SLOB (Pcs),Value SLOB,Last Incoming,"Last
SMB",Keterangan,MOQ,Umur MOQ,Rank Value SLOBS,Status Report April 23,Qty Report April 23,Value Report April 23,Kebutuhan Total Report April 23,Selisih Qty,Selisih Value,Rank Selisih Value,Laptrima,Pemusnahan,Reason Stock Bergerak,Static Stock,Rank Value Static Stock,"Kategori FG (NPD, Reguler, NFS, One Shot, Ex Revamp, Minor Change)",Report Mei 23,Report April 23,Report Mar 23,Report Feb 23,Report Jan 23,Report Dec 22,,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Total,,Composite Key,Composite Key
APPL-EBR0-ENPS,Case/Container Applicator Eyebrow Emina,,,"14,165","15,000","1,910",0,"3,820","1,910","1,910","3,820","1,910","1,910","3,820","1,910","1,910","3,820","1,910","1,910","1,910","3,820","13,370","38,200",existing,6,<6 Bulan,OK,795,841.86,2022,2023,MOQ lebih dari forecast 16 bulan ke depan,"10,000",0.26,"2,207",OK,700,"1,750,000","36,290",95,"-1,749,158","3,618",  - ,  - ,,No,"2,199",Reguler,"14,165","  15,980 ","  17,762 ","  39,688 ","  40,801 ","  62,850 ",,12255,12255,8435,6525,4615,795,-1115,-3025,-6845,-8755,-10665,-14485,-16395,-18305,-20215,-24035,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6,,0,0
BAL-BALTEPLR0-E,Ball Total Eclipse Pen Liner E,,,"119,238","1,427",0,"14,980",0,"14,980",0,0,"14,980",0,0,"14,980",0,0,"14,980",0,"14,980",0,"29,960","89,880",new product,>16,>16 Bulan,Slow Moving,"89,278","1,068.31",2023,2023,MOQ lebih dari forecast 16 bulan ke depan,"30,000",0.33,989,Slow Moving,"44,388","10,534,293","119,840","44,890","-10,533,225","4,252","  30,000 ",  - ,,No,"2,199",Reguler,"119,238","  89,328 ","  89,328 ","  72,644 ","  72,636 ","  89,767 ",,119238,104258,104258,89278,89278,89278,74298,74298,74298,59318,59318,59318,44338,44338,29358,29358,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,068.31",0
BAL-BPR1D882B08-WT,Plug Bola Pengocok (Gotri) Rev_1 Wardah,,,"531,459","2,850","63,359","165,870","264,609","250,250","262,921","283,043","218,782","185,434","339,883","238,437","287,339","261,426","289,315","203,304","360,249","186,642","1,290,052","3,860,863",existing,3,<6 Bulan,OK,0,0.00,2023,2023,,"30,000",0.01,"2,207",OK,0,0,"3,952,302",0,0,265,  - ,  - ,,No,"2,199",Reguler,"531,459","  679,215 ","  647,551 ","  538,142 ","  743,539 ","  126,505 ",,468100,302230,37621,-212629,-475550,-758593,-977375,-1162809,-1502692,-1741129,-2028468,-2289894,-2579209,-2782513,-3142762,-3329404,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,0
BAL-BROBPPEC-D254W23,Plug Bola Roll On For Wardah/Zahra,,,"183,998","2,334","31,398","95,287","98,714","37,977","56,828","55,324","40,327","35,540","52,512","53,444","34,593","51,094","33,002","51,094","51,094","34,593","375,528","812,821",existing,2,<6 Bulan,OK,0,0.00,2023,2023,,"50,000",0.06,"2,207",OK,0,0,"865,391",0,0,265,"  250,000 ",  - ,,No,"2,199",Reguler,"183,998","  47,429 ","  135,395 ","  205,148 ","  79,048 ","  98,754 ",,152600,57313,-41401,-79378,-136206,-191530,-231857,-267397,-319909,-373353,-407946,-459040,-492042,-543136,-594230,-628823,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0
BAL-EXPPLR0-W,Ball Eyexpert Perfect Precision Liner W,,,"102,679","1,680",0,"35,719","35,719",0,"35,719","35,719","35,719","35,719","35,719","35,719",0,"71,438",0,"35,719","35,719","35,719","142,876","464,347",new product,4,<6 Bulan,OK,0,0.00,2023,2023,,"30,000",0.06,"2,207",OK,0,0,"464,347",0,0,265,  - ,  - ,,No,"2,199",Reguler,"102,679","  148,189 ","  182,088 ","  152,710 ","  152,978 ","  191,997 ",,102679,66960,31241,31241,-4478,-40197,-75916,-111635,-147354,-183073,-183073,-254511,-254511,-290230,-325949,-361668,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,0
BAL-SPPLL-MOSS,Ball Steel Powerstay Precision Liquid Liner MO,,,"19,913","1,159",0,"3,520","1,760","1,760",0,"1,760","1,760","1,760","1,760","1,760","1,760","1,760","1,760",0,"1,760","1,760","8,800","24,640",existing,12,7-12 Bulan,Slow Moving,"11,113",646.77,2022,2023,MOQ lebih dari forecast 16 bulan ke depan,"10,000",0.41,"1,205",Slow Moving,"12,189","1,765,771","24,640","-1,076","-1,765,124","3,622",  - ,  - ,,No,"2,199",Reguler,"19,913","  20,989 ","  21,029 ","  20,678 ","  15,372 ","  15,122 ",,19913,16393,14633,12873,12873,11113,9353,7593,5833,4073,2313,553,-1207,-1207,-2967,-4727,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,12,,646.77,0
BAL-SSLEL-WSS,Plug Ball Steel Staylast Liquid Eyeliner Wardah,,,"78,062",737,0,"24,948",0,"24,948","24,948",0,"24,948","24,948",0,"24,948","24,948","24,948",0,"24,948","24,948",0,"74,844","249,480",existing,6,<6 Bulan,OK,"3,218",30.40,2023,2023,MOQ lebih dari forecast 16 bulan ke depan,"24,000",0.10,"2,207",OK,"4,501","657,254","274,428","-1,283","-657,223","3,158","  69,000 ",  - ,,No,"2,199",Reguler,"78,062","  104,293 ","  126,156 ","  148,079 ","  146,710 ","  120,718 ",,78061.985,53113.985,53113.985,28165.985,3217.985,3217.985,-21730.015,-46678.015,-46678.015,-71626.015,-96574.015,-121522.015,-121522.015,-146470.015,-171418.015,-171418.015,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6,,0,0
BASC-UVSSR0-W,Base Closure UVS Sunscreen Stick W,,,"125,257","9,211","12,588","14,461","27,321",0,"18,214","18,214","9,107","9,107","18,214","18,214","9,107","18,214","9,107","9,107","18,214","18,214","90,798","227,403",existing,8,7-12 Bulan,Slow Moving,"34,459","2,533.89",2023,2023,MOQ lebih dari forecast 16 bulan ke depan,"50,000",0.22,712,Slow Moving,"49,265","20,625,432","223,746","-14,806","-20,622,898","4,427",  - ,  2 ,,No,"2,199",Reguler,"125,257","  138,791 ","  19,237 ","  56,626 ","  103,829 ","  121,374 ",,112669,98208,70887,70887,52673,34459,25352,16245,-1969,-20183,-29290,-47504,-56611,-65718,-83932,-102146,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,8,,"2,533.89",0
BASE-CLBPER0-E,Base CLB Stick Peach E,,,"10,288","21,490","1,192","3,576","4,172","2,980","3,576","4,768","2,980","2,980","4,172","3,576","3,576","4,172","3,576","3,576","4,172","3,576","20,264","56,620",existing,3,<6 Bulan,OK,0,0.00,2023,2023,,"10,000",0.18,"2,207",OK,0,0,"48,872",0,0,265,  - ,  - ,,No,"2,199",Reguler,"10,288","  14,360 ","  6,753 ","  9,677 ","  2,255 ","  2,465 ",,9096,5520,1348,-1632,-5208,-9976,-12956,-15936,-20108,-23684,-27260,-31432,-35008,-38584,-42756,-46332,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,0
BASE-CLBPIR0-E,Base CLB Stick Pink E,,,"20,444","12,876",0,"3,576","1,788","2,384","2,384","2,384","2,384","1,788","2,384","2,384","2,384","2,384","2,384","2,384","2,980","1,788","12,516","35,760",existing,9,7-12 Bulan,Slow Moving,"7,928","4,993.33",2021,2023,MOQ lebih dari forecast 16 bulan ke depan,"10,000",0.28,519,Slow Moving,"12,686","54,449,810","28,608","-4,758","-54,444,817","4,646",  - ,  - ,,No,"2,199",Reguler,"20,444","  23,414 ","  24,606 ","  26,623 ","  28,987 ","  30,165 ",,20444,16868,15080,12696,10312,7928,5544,3756,1372,-1012,-3396,-5780,-8164,-10548,-13528,-15316,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,9,,"4,993.33",0
BASE-CLHNTR0-E,Base CLH Stick Nudetwinkle E,,,"12,741","21,160","1,192","2,384","1,788","1,192","1,788","2,384","1,788","1,192","2,384","1,192","1,788","2,384","1,788","1,788","1,788","1,788","10,728","28,608",existing,7,7-12 Bulan,Slow Moving,"2,013","3,343.10",2021,2023,MOQ lebih dari forecast 16 bulan ke depan,"10,000",0.35,640,Slow Moving,"6,768","28,641,734","22,648","-4,755","-28,638,391","4,500",  - ,  - ,,No,"2,199",Reguler,"12,741","  15,112 ","  15,112 ","  13,665 ","  13,665 ","  13,665 ",,11549,9165,7377,6185,4397,2013,225,-967,-3351,-4543,-6331,-8715,-10503,-12291,-14079,-15867,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,,"3,343.10",0
BASE-MMB01-MO,Base Multifix Matte Blusher 01 MO,,,"21,533","49,748",284,284,"1,136",852,852,"1,136",852,568,"1,136",852,852,"1,136",852,852,852,852,"4,544","13,348",existing,>16,>16 Bulan,Slow Moving,"16,989","39,249.63",2022,2023,MOQ lebih dari forecast 16 bulan ke depan,"3,000",0.22,100,Slow Moving,"17,558","124,781,248","13,348",-569,"-124,741,999","4,761",  - ,  - ,,No,"2,199",Reguler,"21,533","  22,670 ","  22,670 ","  23,328 ","  15,322 ","  16,228 ",,21249,20965,19829,18977,18125,16989,16137,15569,14433,13581,12729,11593,10741,9889,9037,8185,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"39,249.63",0
BASE-MMB02-MO,Base Multifix Matte Blusher 02 MO,,,"19,482","58,914",0,0,568,568,284,568,284,284,568,568,284,568,284,568,568,284,"1,988","6,248",existing,>16,>16 Bulan,Slow Moving,"17,494","52,902.69",2022,2023,MOQ lebih dari forecast 16 bulan ke depan,"3,000",0.48,59,Slow Moving,"17,210","126,739,816","6,816",284,"-126,686,914","4,764",  - ,  - ,,No,"2,199",Reguler,"19,482","  19,766 ","  19,131 ","  19,480 ","  15,967 ","  11,081 ",,19482,19482,18914,18346,18062,17494,17210,16926,16358,15790,15506,14938,14654,14086,13518,13234,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"52,902.69",0
