kode_item,nama_item,jenis,group,stock_quantity,release_quantity,staging_timbang_quantity,soh,unprocessed_mo,unprocessed_smb,available_stock,git_karantina,git_pending,uom,week,year
80072,OMG Oh My Glow Peach Glowing Face Wash 50 g,Saleable,packaging,0,0,0,0.0,,497450.0,-497450.0,246846,0,Pc(s),24.0,2023.0
80073,OMG Oh My Glow Peach Glowing Toner 100 ml,Saleable,packaging,0,0,0,0.0,,902813.0,-902813.0,471871,0,Pc(s),24.0,2023.0
80074,OMG Oh My Glow Peach Glowing Cream 25 g,Saleable,packaging,0,0,0,0.0,,354405.0,-354405.0,177278,0,Pc(s),24.0,2023.0
80087,OMG Oh My Glam Coverlast Liquid Foundation 13 C Ivory,Saleable,packaging,0,0,0,0.0,,68360.0,-68360.0,29148,0,Pc(s),24.0,2023.0
80088,OMG Oh My Glam Coverlast Liquid Foundation 21 W Light,Saleable,packaging,0,0,0,0.0,,112608.0,-112608.0,39339,0,Pc(s),24.0,2023.0
80089,OMG Oh My Glam Coverlast Liquid Foundation 31 W Beige,Saleable,packaging,0,0,0,0.0,,140887.0,-140887.0,56098,0,Pc(s),24.0,2023.0
80090,OMG Oh My Glam Coverlast Liquid Foundation 32 N Natural,Saleable,packaging,0,0,0,0.0,,136328.0,-136328.0,51919,0,Pc(s),24.0,2023.0
80091,OMG Oh My Glam Coverlast Liquid Foundation 41 W Sand,Saleable,packaging,0,0,0,0.0,,83906.0,-83906.0,34784,0,Pc(s),24.0,2023.0
80092,OMG Oh My Glam Coverlast Liquid Foundation 52 N Caramel,Saleable,packaging,0,0,0,0.0,,41749.0,-41749.0,21587,0,Pc(s),24.0,2023.0
APPL-EBR0-ENPS,Case/Container Applicator Eyebrow Emina,APPLICATOR,packaging,14165,0,0,14165.0,,3820.0,10345.0,0,0,Pc(s),24.0,2023.0
BAL-BALTEPLR0-E,Ball Total Eclipse Pen Liner E,CASECONT,packaging,89246,29992,0,119238.0,,14980.0,104258.0,0,0,Pc(s),24.0,2023.0
BAL-BPR1D882B08-WT,Plug Bola Pengocok (Gotri) Rev_1 Wardah,BOTPOT,packaging,503617,0,0,503617.0,,47971.0,455646.0,0,0,Pc(s),24.0,2023.0
BAL-BROBPPEC-D254W23,Plug Bola Roll On For Wardah/Zahra,BOTPOT,packaging,156523,0,0,156523.0,,27438.0,129085.0,0,0,Pc(s),24.0,2023.0
BAL-EXPPLR0-W,Ball Eyexpert Perfect Precision Liner W,CASECONT,packaging,102745,2,0,102747.0,,,102747.0,0,0,Pc(s),24.0,2023.0
BAL-PSDEOKW-K,Ball PS Deo Kahf  K,BOTPOT,packaging,0,300,0,300.0,,300.0,0.0,0,0,Pc(s),24.0,2023.0
BAL-SPPLL-MOSS,Ball Steel Powerstay Precision Liquid Liner MO,BOTPOT,packaging,19913,0,0,19913.0,,1760.0,18153.0,0,0,Pc(s),24.0,2023.0
BAL-SSLEL-WSS,Plug Ball Steel Staylast Liquid Eyeliner Wardah,BOTPOT,packaging,78061.985,0,0,78061.985,,,78061.985,69000,0,Pc(s),24.0,2023.0
BASC-UVSSR0-W,Base Closure UVS Sunscreen Stick W,CASECONT,packaging,125257,0,0,125257.0,,12908.0,112349.0,0,0,Pc(s),24.0,2023.0
BASE-CLBPER0-E,Base CLB Stick Peach E,CASECONT,packaging,9096,0,0,9096.0,,1788.0,7308.0,0,0,Pc(s),24.0,2023.0
BASE-CLBPIR0-E,Base CLB Stick Pink E,CASECONT,packaging,20434,0,0,20434.0,,1192.0,19242.0,0,0,Pc(s),24.0,2023.0
BASE-CLHNTR0-E,Base CLH Stick Nudetwinkle E,CASECONT,packaging,12145,0,0,12145.0,,596.0,11549.0,0,0,Pc(s),24.0,2023.0
BASE-MMB01-MO,Base Multifix Matte Blusher 01 MO,CASECONT,packaging,21199,0,0,21199.0,,284.0,20915.0,0,0,Pc(s),24.0,2023.0
BASE-MMB02-MO,Base Multifix Matte Blusher 02 MO,CASECONT,packaging,14604,4878,0,19482.0,,284.0,19198.0,0,0,Pc(s),24.0,2023.0
BASE-MMB03-MO,Base Multifix Matte Blusher 03 MO,CASECONT,packaging,10875,8,0,10883.0,,284.0,10599.0,0,0,Pc(s),24.0,2023.0
BASE-MMB04-MO,Base Multifix Matte Blusher 04 MO,CASECONT,packaging,6981,4992,0,11973.0,,,11973.0,0,0,Pc(s),24.0,2023.0
BASE-MMB05-MO,Base Multifix Matte Blusher 05 MO,CASECONT,packaging,19204,3917,0,23121.0,,1136.0,21985.0,0,0,Pc(s),24.0,2023.0
BO-EDTKITR0-K,Botol EDT Kit R0 Kahf,BOTPOT,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
BOOK-HC2023-W,Booklet Hajj Care 2023 W,LEAFLET,packaging,27837,0,0,27837.0,,,27837.0,0,0,Pc(s),24.0,2023.0
BOOK-PH2023-K,Booklet Paket Haji 2023 K,LEAFLET,packaging,1816,6992,0,8808.0,,644.0,8164.0,0,0,Pc(s),24.0,2023.0
BOTO-ADS1702R0-W,Bottle Anti Dandruff Shampoo 170 (2) W (Pc(s)),BOTPOT,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
BOTO-ADS1702R1-W,Bottle Anti Dandruff Shampoo 170 (2) R1 W,BOTPOT,packaging,47478,458,0,47936.0,,,47936.0,0,0,Pc(s),24.0,2023.0
BOTO-ADS170IIR0-WHDP,Bottle Anti Dandruff Shampoo 170 (II) W,BOTPOT,packaging,653,0,0,653.0,,,653.0,0,0,Pc(s),24.0,2023.0
BOTO-ADS170R2-WHDPE,Bottle Anti Dandruff Shampoo 170 R2 W (Pc(s),BOTPOT,packaging,15286,0,0,15286.0,,,15286.0,0,0,Pc(s),24.0,2023.0
BOTO-ADS170R3-WHDPE,Bottle Anti Dandruff Shampoo 170 R3 W,BOTPOT,packaging,29827,0,0,29827.0,,,29827.0,0,0,Pc(s),24.0,2023.0
BOTO-AFRBW200R1-K,Bottle Acne Fight and Relaxing Body Wash 200 R1 K,BOTPOT,packaging,88817,0,0,88817.0,,4648.0,84169.0,0,0,Pc(s),24.0,2023.0
BOTO-AFRBW-K,Bottle Acne Fight and Relaxing Body Wash 200 K,BOTPOT,packaging,936,0,0,936.0,,,936.0,0,0,Pc(s),24.0,2023.0
BOTO-AHRMS30R0-W,Bottle H Rose MG Serum 30 W,BOTPOT,packaging,54264,35,0,54299.0,,,54299.0,0,0,Pc(s),24.0,2023.0
BOTO-AIOPTFS100R0-K,Bottle All-in-One Power Toning Face Spray 100 K,BOTPOT,packaging,12332,8,0,12340.0,,11970.0,370.0,0,0,Pc(s),24.0,2023.0
BOTO-ALMR1-WPETG,Botol/Pot Botol Aqua Lash Mascara REV-1 Wardah,BOTPOT,packaging,73938,35987,0,109925.0,,,109925.0,0,0,Pc(s),24.0,2023.0
BOTO-ALUGBFM100-L,Botol Alu GB Face Mist 100 L,BOTPOT,packaging,29,0,0,29.0,,5837.0,-5808.0,0,0,Pc(s),24.0,2023.0
BOTO-APDHCP60-W,Botol Anti-Perspirant Deodorant Hajj Care 60 W,BOTPOT,packaging,27233,0,0,27233.0,,,27233.0,0,0,Pc(s),24.0,2023.0
BOTO-BADS30R0-K,Bottle Brightening and Texture Refining Face Serum 35 K,BOTPOT,packaging,4082,0,0,4082.0,,8735.0,-4653.0,0,0,Pc(s),24.0,2023.0
BOTO-BCBW200R1-K,Bottle Brightening and Cooling Body Wash 200 R1 K,BOTPOT,packaging,94384,0,0,94384.0,,9360.0,85024.0,0,0,Pc(s),24.0,2023.0
BOTO-BCBW-K,Bottle Brightening and Cooling Body Wash 200 K,BOTPOT,packaging,429,0,0,429.0,,,429.0,0,0,Pc(s),24.0,2023.0
BOTO-BDMR0-MOPTG,Bottle Brow Definer Mascara MO (Pc(s)),BOTPOT,packaging,51641,0,0,51641.0,,,51641.0,0,0,Pc(s),24.0,2023.0
BOTO-BNG100PVC-,Botol/Pot Btl Bening Transparant (TPR) 100 ml (HS) Wardah,BOTPOT,packaging,28863,8,0,28871.0,,16340.0,12531.0,0,0,Pc(s),24.0,2023.0
BOTO-BSLPR2-EM,Botol Bright Stuff Loose Powder R2 E,BOTPOT,packaging,126088,16,0,126104.0,,10588.0,115516.0,0,0,Pc(s),24.0,2023.0
BOTO-BWGT550-BD,Botol Body Wash Green Tea 550 BD,BOTPOT,packaging,19818,0,0,19818.0,,,19818.0,0,0,Pc(s),24.0,2023.0
BOTO-BWMGTR0-BD,Botol Body Wash Mint + Green Tea BD,BOTPOT,packaging,7515,8,0,7523.0,,6834.0,689.0,0,0,Pc(s),24.0,2023.0
