kode_item,nama_item,jenis,group,stock_quantity,release_quantity,staging_timbang_quantity,soh,unprocessed_mo,unprocessed_smb,available_stock,git_karantina,git_pending,uom,week,year
A-BGFA200-X,AAG1-CGAHG,BBUMUM,raw material,15.4701,0,0,15.4701,,,15.4701,10,0,kg,24.0,2023.0
A-BGSA200-X,ACN3-AAB,BBUMUM,raw material,86.14782,0,0,86.14782,,30.27334,55.87448,0,0,kg,24.0,2023.0
ABIL-EM90-X,EMS1-AAB,BBUMUM,raw material,78.63403,0,0,78.63403,0.0,0.84,77.79403,180,0,kg,24.0,2023.0
ABIL-W9801-X,EMO1-ACH,BBUMUM,raw material,2.27373675443232e-16,0,0,0.0,,,0.0,0,0,kg,24.0,2023.0
ABIL-WE09-X,EMS1-AAF,BBUMUM,raw material,180.67557,189.9514,0,370.62697,12.5,22.0,336.12697,-1.676241367931652e-13,0,kg,24.0,2023.0
ABS-PLNBL-X,SBA3-BLBGG,BBUMUM,raw material,1.33154,0,0,1.33154,,,1.33154,0,0,kg,24.0,2023.0
ACTI-ADNL-X,AAG1-ABC,BBUMUM,raw material,26.84682,0,0,26.84682,2.0,3.5,21.34682,0,0,kg,24.0,2023.0
ACTI-ADPL-X,AAG1-ABE,BBUMUM,raw material,20.41152,0,0,20.41152,,4.0075,16.40402,0,0,kg,24.0,2023.0
ACTI-AFEW-X,SCR1-AAG,BBUMUM,raw material,95.9245,0,0,95.9245,0.2,3.3,92.4245,0,0,kg,24.0,2023.0
ACTI-AGTV-X,AAG3-CCAEG,BBUMUM,raw material,5.23807,0,0,5.23807,0.0,0.15,5.08807,2.00001,0,kg,24.0,2023.0
ACTI-AICE06-X,MST1-BIAJJ,BBUMUM,raw material,24.50389,0,0,24.50389,0.09,25.14,-0.72611,0,0,kg,24.0,2023.0
ACTI-ALARB-X,WHT3-AAJ,BBUMUM,raw material,8.68452,0,0,8.68452,0.145,0.05,8.48952,0,0,kg,24.0,2023.0
ACTI-APLR-X,APL3-AAB,BBUMUM,raw material,21.71824,0,0,21.71824,,5.0,16.71824,15,0,kg,24.0,2023.0
ACTI-APSC-X,WHT1-AAF,BBUMUM,raw material,170.35269,0,0,170.35269,,20.00113,150.35156,0,0,kg,24.0,2023.0
ACTI-AR850-X,AAG1-CLBJE,BBUMUM,raw material,13.80032,0,0,13.80032,,8.0,5.80032,0,0,kg,24.0,2023.0
ACTI-AVG10X-X,WBE1-ADC,BBUMUM,raw material,62.01585,0,0,62.01585,,93.64,-31.62415,0,0,kg,24.0,2023.0
ACTI-AZCLR-X,ACN1-BDADF,BBUMUM,raw material,66.06897,0,0,66.06897,,30.0,36.06897,0,0,kg,24.0,2023.0
ACTI-BCPL-X,HRC1-ABG,BBUMUM,raw material,11.35681,0,0,11.35681,,,11.35681,0,0,kg,24.0,2023.0
ACTI-BEUT-X,APL3-AAE,BBUMUM,raw material,0,0,0,0.0,,,0.0,0,0,kg,24.0,2023.0
ACTI-BTWH-X,WHT1-AAC,BBUMUM,raw material,89.23851,0,0,89.23851,5.0,,84.23851,0,0,kg,24.0,2023.0
ACTI-BWCTA-X,MST2-AAE,BBUMUM,raw material,129.78751,0,0,129.78751,,,129.78751,0,0,kg,24.0,2023.0
ACTI-CBSS-AM,EXF3-ABE,BBUMUM,raw material,29.34239,0,0,29.34239,,,29.34239,0,0,kg,24.0,2023.0
ACTI-CPXY-X,HRC1-ABF,BBUMUM,raw material,15.78644,0,0,15.78644,,,15.78644,0,0,kg,24.0,2023.0
ACTI-CRNGW-X,AAG1-CJBFG,BBUMUM,raw material,44.68589,0,0,44.68589,,,44.68589,0,0,kg,24.0,2023.0
ACTI-CSR10S-X,AAG1-BIBAA,BBUMUM,raw material,19.46815,4.93415,0,24.4023,0.04,,24.3623,0,0,kg,24.0,2023.0
ACTI-DFSLSF-X,SAI1-CCAEB,BBUMUM,raw material,12.55424,0,0,12.55424,,,12.55424,0,0,kg,24.0,2023.0
ACTI-DNA-X,AAG1-CCAEF,BBUMUM,raw material,3.67425,0,0,3.67425,,,3.67425,0,0,kg,24.0,2023.0
ACTI-DPTSGLC-X,SAI3-CKBGE,BBUMUM,raw material,3.93172,0,0,3.93172,,0.06,3.87172,0,0,kg,24.0,2023.0
ACTI-ECFA-X,AAG1-AAH,BBUMUM,raw material,31.6823,0,0,31.6823,,8.5,23.1823,0,0,kg,24.0,2023.0
ACTI-ECTC-X,APL3-AAC,BBUMUM,raw material,5.45547,0,0,5.45547,0.0157,0.0346,5.40517,0,0,kg,24.0,2023.0
ACTI-ECTNOL-X,APL1-BLBGI,BBUMUM,raw material,1.25177,0,0,1.25177,,0.48,0.77177,0,0,kg,24.0,2023.0
ACTI-FPMG-X,AA1-ABA,BBUMUM,raw material,3.854,0,0,3.854,,,3.854,0,0,kg,24.0,2023.0
ACTI-GRPLMD-X,AAG3-BLBJA,BBUMUM,raw material,0.31367,4.98396,0,5.29763,0.02,0.15,5.12763,0,0,kg,24.0,2023.0
ACTI-GRR-X,AAG1-ABD,BBUMUM,raw material,3.08188,0,0,3.08188,,,3.08188,0,0,kg,24.0,2023.0
ACTI-HAOL-X,MST3-AAH,BBUMUM,raw material,0.28304,0,0,0.28304,,,0.28304,0,0,kg,24.0,2023.0
ACTI-HDR-X,MST1-ACD,BBUMUM,raw material,36.27438,49.92669,0,86.20107,3.5,13.5036,69.19747,0,0,kg,24.0,2023.0
ACTI-HFG-X,EMO1-AHD,BBUMUM,raw material,250.04310999999998,49.91506,0,299.95817,48.65,47.81,203.49817,0,0,kg,24.0,2023.0
ACTI-HXCTEC-X,SAI1-ALACC,BBUMUM,raw material,95.98805,0,0,95.98805,,,95.98805,0,0,kg,24.0,2023.0
ACTI-HYRP-X,MST3-AAI,BBUMUM,raw material,0.28458,0,0,0.28458,,,0.28458,0,0,kg,24.0,2023.0
ACTI-IVLNC-X,AAG3-BLBFD,BBUMUM,raw material,34.85189,0,0,34.85189,1.0,7.01,26.84189,0,0,kg,24.0,2023.0
