item_code,trade_name,supplier,oc_number,po_number,release_date,estimated_delivery_date,initial_demand,outstanding,category,supplier_code,currency,estimated_arrival_date,ket,warehouse,uom,internal_name,price_unit,deliver_to,status,notes,source,timestamp
TUBE-SBSPF45R0-E,"Tube Sun Battle SPF 45 30 ml Emina, Tube(Oval30x105mm,5L,3W,VarnishMatte) + CapFT(PP White Trans)","BUMIMULIA INDAH LESTARI, PT",#OC62270,PO00199299,2023-03-08,2023-03-27,50000.0,467.0,Packaging Material,220017,IDR,2023-03-27,OSPO,Gudang Bahan Pengemas Jatake 6-C,Pc(s),,1050.0,Receipts from Vendor,PURCHASE ORDER,,PARAGON,2023-06-09 13:00
STIC-PAPBBPR2-WM,"Sticker Penutup Alamat PB BB Powder 50 (6) R2 WM, Chromo, 1W, No Finishing, 18x10mm. Update Alamat Pharmacore","PELITA ABADI JAYA, CV",#OC65819,PO00205704,2023-05-19,2023-06-07,10000.0,10000.0,Packaging Material,220064,IDR,2023-06-07,OSPO,Gudang Bahan Pengemas Jatake 6-A,Pc(s),,66.0,Receipts from Vendor,PURCHASE ORDER,,PARAGON,2023-06-09 13:00
WAX-WOW2P-X,"White Ozokerite Wax SP-273P ex Strahl & Pitsch LLC, USA","BRONSON & JACOBS INDONESIA, PT",#OC64366,PO00203171,2023-04-17,2023-04-17,25.0,25.0,Raw Material,210013,IDR,2023-04-17,OSPO,Gudang Bahan Baku Jatake 6,Kg,Earthwax,127594.0,Receipts from Vendor,PURCHASE ORDER,"- Kurs = Tengah BI 17/04/23 (USD) = 14666
",PARAGON,2023-06-09 13:00
BOTO-CVML13R1-W,"Bottle CVM Lip Mousse 13 REV-1 Wardah.AS.Injection Solid Color.1PassPrinting.SprayMatte,PenambahanBarmark","TECHPACK ASIA, PT",#OC62928,PO00200311,2023-03-15,2023-04-30,50400.0,25200.0,Packaging Material,220086,IDR,2023-04-30,OSPO,Gudang Bahan Pengemas Jatake 6-A,Pc(s),,3451.56,Receipts from Vendor,PURCHASE ORDER,,PARAGON,2023-06-09 13:00
PLAS-VUVSBR0-W,"Vacuum Forming UV Shield Bottle Wardah, PET 350 mic,104 x 59 x 27 mm,NoFinishing","SINAR GOLDSINDO, PT",#OC63243,PO00201222,2023-03-27,2023-04-14,50000.0,50000.0,Packaging Material,220081,IDR,2023-04-14,OSPO,Gudang Bahan Pengemas Jatake 6-C,Pc(s),,290.0,Receipts from Vendor,PURCHASE ORDER,,PARAGON,2023-06-09 13:00
BRUS-CQEPR0-W,Brush Colorfit Quad Eye Palette Wardah. Double End. Peach Sponge. Brown Brush. Beige Ferule & Handle. D=4.5 mm T=61 mm,"COLORFUL COSMETIC CO., LTD",#OC63001,PO00200605,2023-03-17,2023-05-22,51000.0,51000.0,Packaging Material,2310336,USD,2023-06-05,OSPO,Gudang Bahan Pengemas Jatake 6-C,Pc(s),,0.125,Receipts from Vendor,PURCHASE ORDER,,PARAGON,2023-06-09 13:00
STIC-BOTCMBBR1-EOPPT,"Sticker Bottom Creamatte 13 Beet Bites REV-1 Emina,OPP Transparent,1W,d=12mm,Roll,Core 3in,NoFinishing","PELITA ABADI JAYA, CV",#OC66176,PO00206088,2023-05-23,2023-06-09,10000.0,10000.0,Packaging Material,220064,IDR,2023-06-09,OSPO,Gudang Bahan Pengemas Jatake 6-A,Pc(s),,33.0,Receipts from Vendor,PURCHASE ORDER,,PARAGON,2023-06-09 13:00
DUS-LIWMR0-MO,"Dus LIW Mascara MO,Ivory 300gsm,1/1,25x25x122mm(inner partisi),LamGloss","INDAH KENCANA, CV",#OC62886,,2023-03-15,2023-03-17,108000.0,108000,Packaging Material,220035,IDR,2023-03-17,OSOC,Gudang Bahan Pengemas Jatake 6-C,Pc(s),,744.0,Receipts from Vendor,IN PROGRESS,,PARAGON,2023-06-09 13:00
TITA-INBP-X,"INBP70U ex.Kobo Products, Inc., USA","KEMIKO INDONESIA, PT",#OC64236,PO00203030,2023-04-14,2023-05-02,15.0,15.0,Raw Material,210050,IDR,2023-05-02,OSPO,Gudang Bahan Baku Jatake 6,Kg,Titan INBP,781262.0,Receipts from Vendor,PURCHASE ORDER,"- Kurs = Tengah BI 14/04/23 (USD) = 14792
",PARAGON,2023-06-09 13:00
GLYC-MS-CGGMS N/EB25,"Cithrol GMS 30-PA-(SG) ex. Croda Singapore Pte., Ltd.","CRODA TRADING INDONESIA, PT",#OC65036,PO00204809,2023-05-09,2023-05-16,2950.0,2950.0,Raw Material,239541,IDR,2023-05-16,OSPO,Gudang Bahan Baku Jatake 6,Kg,Lilin G,46604.0,Receipts from Vendor,PURCHASE ORDER,,PARAGON,2023-06-09 13:00
