Destination,(All),,,,,,,,,,Kebutuhan (pcs),Pcs/Koli,Under,Over,,,,
brand,(All),,,,,,,,,,,,,,,,,
Category,(All),,,,,,,,,,Koli   ,,,,,,,NDC+DC+Inproses
,,,,"16,635,150","3,739,033","313,001",102,"117,376","20,804,662","16,628,801","803,934",#DIV/0!,,,"14,118,491",,"10,479,493","45,285,270"
Odoo,Item Code,Product Name,DC,SoH DC,Di Jalan,Assigned,IDMSAT,Quarantine,Qty Total,STD Stock,Daily CO,DSI,Pcs/Koli,HET (Rp),NDC,Lifecycle,Inproses,Total Qty tanpa Quarantine
6,A-W1TT-W100ML,Wardah Acne Pore Tightening Toner 100 Ml,,2,0,0,0,0,2,0,0,#DIV/0!,20,"32,207",0,inactive,0,2
9,D-W1R1HER-W60ML,Wardah Roll On For Her 60 Ml,,"19,149","10,400",840,0,3,"30,392","29,713","1,402",22,30,"23,784","22,055",existing,"32,040","84,484"
11,DDC-CDL-W20ML,Wardah C-Defense Dd Cream Light 20 Ml (Pc(S)),,"16,644","3,852",436,0,369,"21,301","20,516",994,21,36,"31,117","22,248",existing,"22,563","65,743"
12,DDC-CDN-W20ML,Wardah C-Defense Dd Cream Natural 20 Ml (Pc(S)),,"19,587","4,068",402,0,14,"24,071","23,327","1,167",21,36,"31,117","26,353",existing,0,"50,410"
13,SRM-CD-W17ML,Wardah C-Defense Serum 17 Ml (Pc(S)),,"9,025","2,130",150,0,0,"11,305","9,621",448,25,30,"79,279","20,640",existing,0,"31,945"
25,F-WOECSP02-W10GR,Wardah Exclusive Creamy Foundation 02 Sheer Pink 10 Gr (Pc(S)),,6,0,0,0,0,6,0,0,#DIV/0!,30,"91,171",0,to be discontinued,0,6
32,"L-EW1M91C26-W3,8GR","Wardah Lipstick Exclusive 26 Mango 3,8 Gr",,3,0,0,0,0,3,0,0,#DIV/0!,12,"40,631",0,inactive,0,3
41,"L-EW1SUPC36-W3,8GR","Wardah Lipstick Exclusive 36 Sugary Pink 3,8 Gr",,0,0,0,0,2,2,0,0,#DIV/0!,12,"40,631",0,to be discontinued,0,0
42,"L-W1EPLC37-W3,8GR","Wardah Lipstick Exclusive 37 Pink Lovers 3,8 Gr",,2,0,0,0,0,2,0,0,#DIV/0!,12,"40,631",0,to be discontinued,0,2
48,"L-EW0C43-W3,8GR","Wardah Lipstick Exclusive 43 Magnificent Red 3,8 Gr (Pc(S))",,2,0,0,0,0,2,0,0,#DIV/0!,12,"40,631",0,to be discontinued,0,2
49,"L-W0EDBC44-W3,8GR","Wardah Lipstick Exclusive 44 Daring Brown 3,8 Gr (Pc(S))",,1,0,0,0,0,1,0,0,#DIV/0!,12,"40,631",0,to be discontinued,0,1
51,"L-W0ECMC46-W3,8GR","Wardah Lipstick Exclusive 46 Chic Magenta 3,8 Gr",,1,0,0,0,0,1,0,0,#DIV/0!,12,"40,631",0,inactive,0,1
57,F-WOELSP02-W20ML,Wardah Exclusive Liquid Foundation 02 Sheer Pink 20 Ml (Pc(S)),,0,0,0,0,3,3,0,0,#DIV/0!,28,"85,721",10,to be discontinued,0,10
58,F-WOELSB03-W20ML,Wardah Exclusive Liquid Foundation 03 Sandy Beige 20 Ml,,0,0,0,0,1,1,0,0,#DIV/0!,28,"85,721",1,to be discontinued,0,1
