Kode Item,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24
APPL-EBR0-ENPS,1910,3820,1910,3820,1910,1910,1910,1910,3820,1910,1910,1910,1910,3820,1910,0,
BAL-BALTEPLR0-E,14980,0,14980,0,14980,0,14980,0,14980,0,14980,0,14980,0,14980,0,
BAL-BPR1D882B08-WT,52765,210036,312821,241263,281111,305077,247965,190769,332291,276320,217648,363332,230983,262271,320627,107023,
BAL-BROBPPEC-D254W23,95588,89278,97192,39312,55054,57404,34593,33002,55054,53444,34593,51094,51094,33002,51094,34593,
BAL-EXPPLR0-W,35719,0,35719,35719,35719,35719,35719,0,35719,35719,35719,35719,35719,35719,0,35719,
BAL-SPPLL-MOSS,1760,1760,1760,0,1760,1760,3520,0,1760,1760,0,1760,1760,0,3520,1760,
BAL-SSLEL-WSS,24948,0,24948,24948,24948,0,24948,0,24948,24948,24948,0,24948,24948,0,24948,
BASC-UVSSR0-W,8392,17340,28002,0,17896,17896,8948,8948,17896,8948,17896,8948,17896,8948,17896,17896,
BASE-CLBPER0-E,1192,2980,4172,2980,2980,3576,3576,1788,4172,2980,2980,3576,3576,2980,3576,1788,
BASE-CLBPIR0-E,1192,1788,2384,1788,1788,1788,1788,1788,1788,1788,1788,2384,1788,1788,1788,1192,
BASE-CLHNTR0-E,596,1788,1788,1192,1192,1788,1788,1192,1788,1192,1192,1788,1788,1192,1788,596,
BASE-MMB01-MO,852,568,852,852,852,1136,852,568,852,852,852,1136,852,852,852,568,
BASE-MMB02-MO,284,568,568,284,568,284,568,284,568,284,568,284,568,284,568,284,
BASE-MMB03-MO,284,0,568,852,568,852,852,568,852,568,852,852,568,852,852,284,
BASE-MMB04-MO,284,284,852,852,568,1136,568,568,852,852,852,852,568,852,852,284,
BASE-MMB05-MO,852,1136,1704,1420,1420,1704,1420,852,1704,1420,1420,1704,1420,1420,1420,852,
BOOK-HC2023-W,3960,0,0,3960,3960,3960,0,0,3960,0,0,0,0,0,0,0,
BOOK-PH2023-K,3941,1591,3941,2350,1591,3941,1591,0,1591,3941,1591,1591,1591,0,1591,1591,
BOTO-AACMW100R0-W,0,26613,26613,26613,0,26613,26613,0,26613,26613,26613,26613,26613,0,26613,26613,
BOTO-ADS1702R1-W,17150,34300,51450,34300,34300,51450,34300,34300,34300,51450,34300,51450,17150,0,0,0,
BOTO-AFRBW200R1-K,18592,18592,23240,18592,13944,23240,18592,13944,23240,13944,18592,23240,18592,18592,23240,9296,
BOTO-AHRMS30R0-W,9115,9264,9264,9115,9264,18379,0,0,3165,0,0,0,0,0,0,0,
BOTO-AIOPTFS100R0-K,14040,13260,17160,13260,14040,16380,14040,10140,17160,13260,14040,16380,14040,13260,17160,9360,
BOTO-ALMR1-WPETG,0,0,27456,0,27456,0,27456,0,27456,27456,0,27456,0,27456,0,27456,
BOTO-ALUGBFM100-L,0,0,5510,0,5510,5510,0,5510,5510,0,5510,5510,0,5510,5510,0,
BOTO-APDHCP60-W,3960,0,0,3960,3960,3960,0,0,3960,0,0,0,0,0,0,0,
BOTO-BADS30R0-K,34940,17470,34745,17470,34745,17470,26205,26010,17470,34745,17470,34745,17470,34745,34745,8735,
BOTO-BCBW200R1-K,23400,23400,28080,23400,23400,28080,23400,18720,28080,23400,23400,28080,23400,23400,32760,14040,
BOTO-BDMR0-MOPTG,3960,0,7046,0,3486,0,3560,3486,3960,0,7046,0,0,3486,3560,0,
BOTO-BNG100PVC-,16310,27382,58566,35522,42256,51832,42256,25916,58566,35522,42256,51832,42256,34086,43722,24480,
BOTO-BOSR0-B,0,0,4000,0,0,0,0,0,2000,2000,0,2000,2000,0,4000,0,
BOTO-BSLPR2-EM,84992,132800,169984,132800,132800,102085,0,0,0,0,0,0,0,0,0,0,
BOTO-BWGT550-BD,0,5400,5400,10800,5400,5400,10800,5400,5400,10800,5400,10800,5400,5400,16200,5400,
BOTO-BWMGTR0-BD,0,3417,3417,0,3417,3417,0,3417,3417,0,3417,3417,0,3417,3417,0,
BOTO-BWMSSR0-BD,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,0,
BOTO-BWMYZR0-BD,0,3475,3475,3475,0,3475,3475,0,3475,3475,3475,0,3475,3475,3475,0,
BOTO-BWSS550-BD,0,3560,8900,7120,5340,8900,5340,5340,8900,7120,7120,10680,7120,7120,12460,8900,
BOTO-BWYZ550-BD,0,5400,5400,10800,5400,5400,5400,5400,10800,5400,10800,10800,5400,5400,10800,10800,
BOTO-CADLPR0-W,50181,161533,309516,257512,183460,263917,180481,174626,224599,153958,207764,215472,157036,218192,198380,103724,
BOTO-CAUSSSR0-TV,0,0,3333,0,0,3333,0,0,0,3333,0,0,3333,0,0,0,
BOTO-CDAMGR0-W,0,0,6623,0,0,0,0,6623,0,0,0,0,6623,0,0,0,
BOTO-CDFMR1-WPET,0,34966,33345,66690,65069,66690,49207,49207,66690,49207,66690,65069,66690,49207,50828,31724,
BOTO-CDRTS10R0-CL,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-CFMLI01R0-W,0,0,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,0,2739,2739,2739,
BOTO-CFMLI02R0-W,0,0,0,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,
BOTO-CFMLI03R0-W,13236,0,2739,2739,5478,8217,2739,5478,5478,5478,5478,5478,5478,5478,5478,2739,
BOTO-CFMLI06R0-W,0,2739,5478,2739,2739,5478,2739,2739,2739,5478,2739,2739,5478,2739,2739,2739,
BOTO-CFMLI07R0-W,0,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739,
BOTO-CFMLI08R0-W,0,2739,2739,2739,2739,2739,2739,0,5478,0,2739,2739,2739,2739,2739,2739,
BOTO-CLFR0-OMG,169840,156645,237410,167955,153240,228225,156645,130250,226320,173045,158550,203330,167735,182835,216530,104665,
BOTO-CLVMR0-E,32617,0,9720,12960,6480,12960,9720,9720,16200,12960,12960,16200,12960,9720,19440,12960,
BOTO-COS10R1-CL,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-COTR0-B,0,930,0,930,0,930,0,930,0,930,0,930,0,0,930,0,
BOTO-CPRLR0-W,0,2980,2980,2980,2384,2980,1788,2384,3576,2980,2384,3576,2384,2980,2980,596,
BOTO-CSDSBS20R0-W,0,86150,129225,86150,86150,0,0,0,0,0,0,0,0,0,0,0,
BOTO-CSET125R1-W,0,15464,23196,23306,31038,23306,15464,23306,23196,23306,23306,31038,15464,23306,23196,15464,
BOTO-CSPTE1000R0-W,9960,0,19920,9960,9960,9960,9960,9960,9960,9960,9960,9960,9960,9960,9960,9960,
BOTO-CSPTE30-W,0,0,31382,0,0,31382,0,0,31382,0,0,31382,0,31382,0,0,
BOTO-CSPTE50R0-W,0,0,16779,16779,0,16779,16779,16779,16779,16779,0,16779,16779,16779,16779,0,
