Update:,16 Mar 2023,Update Nama Pabrik & Kode Internal (File Kendali Matriks 15/4/21),Update BB 3 November 2021,22 December 2022,,24 May 2023,22 December 2022,15 Mar 2023,12 May 2023,12 May 2023,,,,,,,,,,,
No,Kode,NAMA PABRIK,KODE INTERNAL,NAMA DAGANG,AVG,STATUS,MIKRO,SUPPLIER,LT [Week],MOQ,PIC,Supplier Pull,Satuan MOQ,Kode,,,,,,,
1,ACP-3--K,Scrub Halus Muntaz,,A-C 316A ex. Honeywell USA,Kg,Belum Eksis,,"Lautan Luas, PT",2,25,Ilham,,,ACP-3--K,Inactive,FALSE,,#N/A,SILI-TSF3-,200,16
2,GLYC-A-70%-K,AHA (3),,Glycolic Acid 70% (Kg),Kg,Eliminasi,,,1,1,,,,GLYC-A-70%-K,Inactive,FALSE,,#N/A,OIL-TTOIDS-X,20,16
3,GLYC-A-ED-K,AHA Powder,,Glypure 99 ex. Dupont Chemical Singapore,Kg,Eliminasi,,"Nardevchem Kemindo, PT",2,20,Septi,,,GLYC-A-ED-K,Inactive,,,#N/A,TEGO-L7-1--K,880,2
4,AMP-95--K,AMP,NTA1-AAB,AMP 95 ex. Angus Chemical USA,Kg,Eksis,,"Maha kimia Indonesia, PT",12,25,Ilham,,,AMP-95--K,Active,,,#N/A,STEA-A-EST05M,25,12
5,ANTA---K,Antara 430,SRF1-ABC,"Antara 430 ex. ISP, USA",Kg,Eksis,,"DKSH Indonesia, PT",20,49.9,Septi,,,ANTA---K,Active,,,#N/A,MYRI-SOCI-X,25,4
6,MATR-P5P3--K,Anti Aging,AAG3-AAD,Matrixyl ex. Sederma France,Kg,Eksis,Cek Mikro,"Croda Trading Indonesia, PT",20,10,Ilham,,,MATR-P5P3--K,Active,,,#N/A,MYRI-MYTM-X,25,12
7,ALAN--AK-K,Anti Iritan,SAI3-AAB,Allantoin ex. Akema Fine Chemicals Italy,Kg,Eksis,,"Nardevchem Kemindo, PT",16,25,Septi,,,ALAN--AK-K,Active,,,#N/A,,,
8,ASO--KB-K,ASO 12,HRC1-AAB,ASO-12 ex. Kobo USA,Kg,Habiskan stock,,"Kemiko Indonesia, PT",20,25,Septi,Pull,,ASO--KB-K,Active,,,#N/A,,,
9,POLY-E-2/032451-K,Bahan Hair Tonic 1,,Extrapone Poly-H Special ex. Symrise Singapore,Kg,Eksis,Cek Mikro,"Symrise, PT",16,50,Ilham,,,POLY-E-2/032451-K,Active,,,POLY-E-2/032451-K,,,
10,PANT--DL-K,Bahan Hair Tonic 2,EMO1-ADC,D-Panthenol USP ex. BASF Germany,Kg,Eksis,,"BASF Distribution Indonesia, PT",18,450,Septi,Pull,palet,PANT--DL-K,Active,,,#N/A,,,
11,BASE-L-TB-K,Base Lipstick,,Lipstick Base ex. Tritunggal Artha Makmur Indonesia,Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",2,25,Ilham,,,BASE-L-TB-K,Inactive,,,#N/A,PENG-PNX-X,20,
12,BASE-LM--K,Base MM,,Base Lipstick MM (Kg),Kg,Eliminasi,,,1,1,,,,BASE-LM--K,Inactive,,,#N/A,ORGA-EXD-ARK,20,
13,BEAU---K,Ekstrak R/L Serbuk,,Beauty Mask (Kg),Kg,Eliminasi,,,1,1,,,,BEAU---K,Inactive,,,#N/A,SUNS-PNGEX-X,12,
14,WAX-B--K,Beeswax,,Beeswax White 1540 ex. Cognis Indonesia,Kg,Eliminasi,,"Bahtera Adi Jaya, PT",2,25,Septi,,,WAX-B--K,Inactive,,,#N/A,EDT-B--K,16,
15,GW--HNF-K,Bentonite,,Gel White HNF ex. Rockwood Additives USA,Kg,Belum Eksis,,,1,1,,,,GW--HNF-K,Inactive,,,#N/A,SOLV-DEASB-X,2,
16,BHT---K,BHT,,Antage BHT,Kg,Eliminasi,,"Mega Setia Agung Kimia, PT",2,20,Ilham,,,BHT---K,Inactive,,,#N/A,SEPP-S400-,16,
17,BIOS---K,Biosulfur,,Biosulfur Powder (Kg),Kg,Eliminasi,,"Tritunggal Artha Makmur, PT",2,5,Ilham,,,BIOS---K,Inactive,,,#N/A,PARF-TWFLLF-X,12,
18,OIL-BLWHMO-X,Blandol,EMO1-AAC,"Blandol White Mineral Oil Ex. Sonneborn LLC., USA",Kg,Eksis,,"Connell Bersaudara Chemindo, PT",16,177,Amel,,,OIL-BLWHMO-X,Active,,,OIL-BLWHMO-X,PENG-CLRP-X,28,
19,MAGN--ED20-K,Bubuk AD,,Magnesium Pyrithione Ex.Europe Drum 20 kg (Kg),Kg,Eliminasi,,,1,1,,,,MAGN--ED20-K,Inactive,,,#N/A,ACTI-APLR-X,16,
20,SODI-B--K,Bubuk Netral,,Sodium Bromate ex. Oak Enterprises Pte. Singapore,Kg,Belum Eksis,,"Udaya Anugrah Abadi, PT",2,50,,,,SODI-B--K,Inactive,,,#N/A,ACTI-RBN-X,18,
21,POLY-M-MP27-K,Bubuk PMMA,PWD3-ADA,Techpolymer MB-8C ex. Sekisui Plastics Co. Japan,Kg,Eksis,,"Bronson & Jacobs Indonesia, PT",12,20,Amel,,,POLY-M-MP27-K,Active,,,#N/A,SEPI-SPMXZ-X,16,
22,ZINC-OM-AC,Cairan AD,,Zinc Omadine ex. Arch Ireland,Kg,Belum Eksis,,"Udaya Anugrah Abadi, PT",2,19,,,,ZINC-OM-AC,Inactive,,,#N/A,OIL-LXFS-X,12,
23,SAG---K,Cairan AF,,SAG 4701 (Kg),Kg,Eliminasi,,"Tritunggal Artha Makmur, PT",2,20,Ilham,,,SAG---K,Inactive,,,#N/A,THIC-OLKS-X,20,
24,NT---K,Cairan Binder,EMO1-ABE,"T.I.O ex. The Nisshin Oillio Group, Ltd., Taiwan",Kg,Eksis,,"Kemiko Indonesia, PT",12,180,Septi,Pull,,NT---K,Active,,,#N/A,EMUL-MTVT-X,16,
25,CECC---K,Cairan CC,EMO1-ACD,"Cetiol CC ex BASF Care Chemicals (Shanghai) Co., Ltd., China",Kg,Eksis,,"BASF Distribution Indonesia, PT",12,175,Septi,Pull,,CECC---K,Active,,,#N/A,SILI-MCMA-X,12,
26,ARQU---K,Cairan Conditioner I,SRF1-ABB,"Arquad 16-50 ex. Nouryon, Sweden",Kg,Eksis,,"IMCD Indonesia, PT",18,170,Ilham,,,ARQU---K,Active,,,#N/A,SUNS-PRSHD-X,20,
27,MERQ--330O-K,Cairan Conditioner 2,,Merquat 330 Ex.Ondeo Naclo USA (Kg),Kg,Eliminasi,,,1,40,,,,MERQ--330O-K,Inactive,,,#N/A,PARS-1789-,20,
28,ARCO--N238-K,Cairan E1 (HS),,Arcopal N.238 (Kg),Kg,Eliminasi,,"Narda Tita, PT",2,1,Ilham,,,ARCO--N238-K,Inactive,,,#N/A,HALL-BHB-X,20,
29,IGEP--630-K,Cairan E2 (HS),,Igepal Co-630 (Kg),Kg,Eliminasi,,"Barahana Elfindo Binasejaht, PT",2,215,,,,IGEP--630-K,Inactive,,,#N/A,SOLV-BGKHN-X,12,
30,OIL-O300-BT-K,Cairan Minyak Zaitun,,Olivem 300 ex.B&T Italy,Kg,Belum Eksis,,,12,200,,,,OIL-O300-BT-K,Inactive,,,#N/A,SUNS-PR340-X,20,
31,SILW---K,Cairan Roll On 1,,Silwet L 7-657 (Kg),Kg,Eliminasi,,,1,1,,,,SILW---K,Inactive,,,#N/A,SUNS-PEHS-X,20,
32,SILI-D1-WS-K,Cairan Roll On II,,Dow Corning 193 Fluid ex. Dow Corning Corporation USA,Kg,Eliminasi,,"Global Chemindo Megatrading, PT",2,20,Amel,,,SILI-D1-WS-K,Inactive,,,#N/A,SUNS-PRSHMS-X,20,
33,SILI-SF12--K,Cairan SF,SLC1-ADG,SF1204 82906,Kg,Eliminasi,,"Kemiko Indonesia, PT",2,190.5,Septi,Pull,,SILI-SF12--K,Habiskan stock (Discontinue di principle),,,#N/A,SUNS-HYAB-X,16,
34,TEGO-L7-1--K,Cairan Shampo,RHM1-AAG,Tego Betain L-7 ex. Goldschmidt Sumi Asih Indonesia,Kg,Eksis,,"Evonik Sumi Asih, PT",2,880,Amel,,,TEGO-L7-1--K,Active,2640,,#N/A,UVIN-MC80-BASF,18,
35,LUVI-C--K,Cairan Shampo 2 in 1 I,,Luviquat Care (Kg),Kg,Eliminasi,,,1,1,,,,LUVI-C--K,Inactive,,,#N/A,,,
36,MIRA-550-R,Cairan Shampo 2 in 1 II,,Mirapol 550 (PQ 7) ex. Rhodia Inc. USA,Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",2,25,Ilham,,,MIRA-550-R,Inactive,,,#N/A,,,
37,TALA---K,Cairan Shower Gel,,Talaminox (Kg),Kg,Eliminasi,,,1,1,,,,TALA---K,Inactive,,,#N/A,,,
38,WAX-CDW--K,Candelila Wax,WAX3-AAC,"Kahlwax 2039 Y ex. Kahl GmbH & Co. KG, Germany",Kg,Eliminasi,,"Tritunggal Artha Makmur, PT",2,25,Ilham,,,WAX-CDW--K,Inactive,,,#N/A,,,
39,"CARB--94022,68-K",Carbopol,RHM3-ABH,Carbopol 940 ex. Lubrizol USA,Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,22,Ilham,,,"CARB--94022,68-K",Active,,,#N/A,,,
40,WAX-CW--K,Carnauba Wax,WAX3-AAD,"Kahlwax 5026 ex. Kahl GmbH & Co. Kg, Germany",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,20,Ilham,,,WAX-CW--K,Active,,,#N/A,,,
41,OIL-CA-MS,Castor Oil,EMO1-ACA,Castor Oil ex. Thai Castor Oil Industries Thailand,Kg,Eksis,,"DKSH Indonesia, PT",20,195,Septi,,,OIL-CA-MS,Active,,,#N/A,,,
42,CELL--ER15M-ZAK,Cellosize I A,,Cellosize ER 15 M (Zak),Kg,Eliminasi,,,1,22,,,,CELL--ER15M-ZAK,Inactive,,,#N/A,,,
43,CELQ---K,Celquat,,Celquat (Kg),Kg,Eliminasi,,,1,1,,,,CELQ---K,Inactive,,,#N/A,,,
44,ALUM--ACH-K,Chlorohidrol,APS1-AAB,"Chlorhydrol 50 Aluminum Chlorohydrate Solution, USP",Kg,Eksis,,"Lautan Luas, PT",12,272,Ilham,Pull,,ALUM--ACH-K,Active,,,#N/A,,,
45,CLIM--99%ESE-K,Climbazole,,Climbazole ex. Soquiber-Lab Cosp Spain,Kg,Eliminasi,,,12,25,,,,CLIM--99%ESE-K,Inactive,,,#N/A,,,
46,COMP--EGF-K,Compritol 888 ATO,,"Compritol 888 ATO Ex.Gattefose, France (Kg)",Kg,Eliminasi,,,1,1,,,,COMP--EGF-K,Inactive,,,#N/A,,,
47,METH---K,Cooling Agent,,Methyl Lactat/Freshcolat (Kg),Kg,Eliminasi,,,1,1,,,,METH---K,Inactive,,,#N/A,,,
48,CORN---K,Corn Starch,PWD3-AIA,"Corn Starch ex. Zhucheng Xingmao Corn Developing Co., Ltd. China",Kg,Eksis,Cek Mikro,"Tritunggal Artha Makmur, PT",12,25,Ilham,,,CORN---K,Inactive,,,#N/A,,,
49,COSM-222--K,Cosmol,DSP1-AAE,"Cosmol 222 ex. The Nisshin Oillio Group, Ltd. Japan",Kg,Eksis,,"Kemiko Indonesia, PT",12,16,Septi,Pull,,COSM-222--K,Active,,,#N/A,,,
50,CRO-LS30--K,Texapon Muka,,Crodasinic LS30 MIT-LQ-(RB),Kg,Belum Eksis,,"Croda Trading Indonesia, PT",2,200,Ilham,,,CRO-LS30--K,Inactive,,,#N/A,,,
51,CUTI-LM--K,Cutina LM,,Cutina LM (Kg),Kg,Eliminasi,,,1,1,,,,CUTI-LM--K,Inactive,,,#N/A,,,
52,CUTI---K,Powder Shampo,EMS3-AAD,Cutina TS ex. BASF SE Germany,Kg,Eksis,,"BASF Distribution Indonesia, PT",18,450,Septi,Pull,palet,CUTI---K,Active,,,CUTI---K,,,
53,DOWI---K,Dowicil,PRV3-ABB,Dowicil 200 Preservative,Kg,Eliminasi,,"Tritunggal Artha Makmur, PT",2,11.34,Ilham,,,DOWI---K,Habiskan stock (Discontinue di principle),,,#N/A,,,
54,ZINC-M-KJZ10-K,Dry Binder I,PWD3-ADE,"Zinc Myristate ex. Kobo Products, Inc. USA",Kg,Habiskan stock,,"Global Chemindo Megatrading, PT",16,10,Amel,,,ZINC-M-KJZ10-K,Active,,,#N/A,,,
55,MICR--EMPIUSA-K,PTFE,PWD3-AAG,"Microslip 519L ex. Micro Powders, Inc. USA",Kg,Eliminasi,,"Colorindo Chemtra, PT",2,70,Amel,Pull,,MICR--EMPIUSA-K,Active,,,#N/A,,,
56,DRYF---K,Dryflo LL,,Dryflo LL (Kg),Kg,Eliminasi,,,1,1,,,,DRYF---K,Inactive,,,#N/A,,,
57,EO-LO-EE5460EA-K,E.O Lemon I,,Esensial Oil Lemon Oil EE5460 Ex.Australia (Kg),Kg,Eliminasi,,"Bronson & Jacobs Indonesia, PT",2,1,Amel,,,EO-LO-EE5460EA-K,Inactive,,,#N/A,,,
58,OIL-YY--ML,E.O Ylang-Ylang I,,Ylang ylang Oil (Ml),Kg,Eliminasi,,,11,1,,,,OIL-YY--ML,Inactive,,,#N/A,,,
