Product/Internal Reference;Product/Product Name;Location;Lot/Serial Number;Inventoried Quantity;Reserved Quantity;Unit of Measure; Qty in KG ;PUP April; Total Price (PUP) Apr ; Std Cost ; Total Price Std Cost ;;Stock 1 Mei 23;Total Price PUP Apr; 105,297,893,829 ;Qty in KG; 460,073.3768 ;;
WARN-GREE16-;CLR3-GRN-AAB;JTK 2/Stock/RM/PALL-J-2;GBMJTK6/FL03100;-3.55271E-15;35;g;-3.55271E-18; 12,833,405 ;-4.55934E-11; 12,833,405 ;-4.55934E-11;;; Total Price Std Cost ;-0 ;;;;
FLMR-AV2F-X;FFM3-AAD;JTK 1/Stock/RM/C1-D-2;GBMJTK6/GG02273;0;300;g;0; 881,366 ;0; 901,167 ;;;Stock 1 Apr 23;Total Price PUP Mar; 107,791,941,819 ;Qty in KG; 425,265 ;;
LBRJ-IIXD-X;RHM1-ABA;JTK 2/Stock/RM/C-N-2;GBMJTK6/GK19203;-9.9476E-13;160.6;g;-9.9476E-16; 285,263 ;-2.83768E-10; 317,562 ;;;; Total Price Std Cost ; 114,512,375,780 ;;;;
LAN-99-X;SLV1-AAH;JTK 1/Stock/RM/C1-C-1;GBMJTK6/GI0248;0;8860;g;0; 205,578 ;0; 219,591 ;;;;;;;;;
WARN-CLOSG--K;CLR3-YLW-AAE;JTK 1/Stock/RM/C1-B-2;GBMJTK6/GC1827;0;0.59;g;0; 1,385,000 ;0; 1,523,500 ;;;;;;;;;
WARN-CLOSG--K;CLR3-YLW-AAE;JTK 1/Stock/RM/C1-B-2;GBMJTK6/GJ15029;-1.13687E-13;926.68;g;-1.13687E-16; 1,385,000 ;-1.57456E-10; 1,523,500 ;;;;;;;;;
OIL-ORJVA-X;OBW1-AAE;JTK 1/Stock/RM/B2-C-3;GBMJTK6/GA28171;-9.09495E-13;1950;g;-9.09495E-16; 57,142 ;-5.19703E-11; 70,382 ;;;;;;;;;
MOIS-RHH15P-X;MST1-ABI;JTK 2/Stock/RM/A2-F-2;GBMJTK6/GJ07002;-5.68434E-14;10;g;-5.68434E-17; 1,201,153 ;-6.82776E-11; 1,188,554 ;;;;;;;;;
CRO1-GTCC-;EMO1-AAD;JTK 1/Stock/RM/D1-A-1;GBMJTK6/GI24401;0;4297.71;g;0; 124,844 ;0; 115,045 ;;;;;;;;;
SILI-556-DC-K;SLC1-AAC;JTK 1/Stock/RM/D1-D-1;GBMJTK6/GG16156;0;700;g;0; 454,239 ;0; 360,442 ;;;;;;;;;
EMUL-DERMSOLP-;SRF1-AAC;JTK 2/Stock/RM/A2-N-1;GBMJTK6/GJ29113;-1.02318E-12;2000;g;-1.02318E-15; 277,334 ;-2.83763E-10; 278,865 ;;;;;;;;;
ABIL-W9801-X;EMO1-ACH;JTK 1/Stock/RM/C2-D-1;GBMJTK6/GH27259;2.27374E-13;2085;g;2.27374E-16; 461,619 ;1.0496E-10; 461,619 ;;;;;;;;;
WARN-C19012-DCR6-K;CLR3-RED-AAJ;JTK 1/Stock/RM/E1-B-2;GBMJTK6/FH23131;1.81899E-12;5915.7;g;1.81899E-15; 1,078,746 ;1.96223E-09; 1,146,877 ;;;;;;;;;
WARN-RED3ASTDMS-BULK;Monokrom Serbuk Warna Merah 3 AS;JTK 1/Stock/RM/TR1-L-1;JF17A 1/2;0;1698.77;g;0; - ;0;#N/A;;;;;;;;;
WARN-RED3ASTDMS-BULK;Monokrom Serbuk Warna Merah 3 AS;JTK 1/Stock/RM/TR1-L-1;JF17B 1/2;0;5384.58;g;0; - ;0;#N/A;;;;;;;;;
WARN-RED3ASTDMS-BULK;Monokrom Serbuk Warna Merah 3 AS;JTK 1/Stock/RM/TR1-L-1;JF17B 2/2;0;5318.25;g;0; - ;0;#N/A;;;;;;;;;
WARN-RED3ASTDMS-BULK;Monokrom Serbuk Warna Merah 3 AS;JTK 1/Stock/RM/TR1-L-1;KF27A 2/2;0;1444;g;0; - ;0;#N/A;;;;;;;;;
