"Korporat Code","Shelf Life Year","Shelf Life Month","Min.customer life"
"SOLV-BGKHN-X","2","0.0","26"
"BUTY--DAI1,3","1","0.0","26"
"HUM-13BG-X","3","0.0","26"
"OIL-O-POAS-CAN","3","0.0","26"
"PEN-PRSVPE-X","3","0.0","26"
"SOLV-2PEEPH-MO","3","0.0","26"
"PARF-256BU-X","1","0.0","26"
"WARN-BB--K","5","0.0","26"
"PARF-819EC-X","1","0.0","26"
"POWD-HTTS-X","3","0.0","26"
"WARN-COGR--K","5","0.0","26"
"WARN-COGO--K","5","0.0","26"
"WARN-COGJ--K","5","0.0","26"
"WARN-CLRG-X","5","0.0","26"
"WARN-TP-","5","0.0","26"
"SERI-A790TS-X","5","0.0","26"
"SAMP-AA2G-X","1","0.0","26"
"HYA-AC511H-X","2","0.0","26"
"ACTI-AGTV-X","2","0.0","26"
"PARF-AGLD3-X","1","5.0","26"
"AMP-95--K","1","0.0","26"
"SURF-ASCO35-X","1","6.0","26"
"ASO--KB-K","5","0.0","26"
"VITC-ASYA-X","2","0.0","26"
"ABIL-EM90-X","2","0.0","26"
"ABIL-WE09-X","2","0.0","26"
"ABIL-W9801-X","2","0.0","26"
"WAX-ABWAX-X","1","10.0","26"
"ACTI-ACNET-X","2","0.0","26"
"THIC-ACP9L-X","3","0.0","26"
"EMU-ACT-X","3","0.0","26"
"EKS-ACFPH-X","2","0.0","26"
"EXTR-CRBAC-X","1","0.0","26"
"ACTM-CTLA-X","2","0.0","26"
"ACTI-AICE06-X","2","0.0","26"
"ACTI-AR850-X","2","0.0","26"
"ACTM-Q10-X","2","0.0","26"
"ACTM-WHTL-X","1","6.0","26"
"ACTI-ADNL-X","3","0.0","26"
"ACTI-ADPL-X","3","0.0","26"
"SILC-AERSLR-X","2","0.0","26"
"AGF-9051-X","5","0.0","26"
"AIR-RO--L","0","0.0","0"
"AJID--NL-K","4","0.0","26"
"AJID-ZN100-X","3","0.0","26"
"ACTI-ALDVN-X","3","0.0","26"
"PARF-ALCMS-X","1","6.0","26"
"EMUL-AP2P-X","2","0.0","26"
"ALKO-ALKHCKI-X","3","0.0","26"
"VIT-ATCAT-X","3","0.0","26"
"ALAN--AK-K","5","0.0","26"
"PARF-AC046C-X","1","0.0","26"
"ACTI-AVG10X-X","1","0.0","26"
"EXTR-ALVGE-X","1","0.0","26"
"OIL-100146-X","1","0.0","26"
"ACTI-AFEW-X","2","9.0","26"
"PEM-ARBKM-X","2","0.0","26"
"ACTI-ALARB-X","3","0.0","26"
"SAMP-ALPBTN-X","3","0.0","26"
"THIC-AMGM-X","3","0.0","26"
"AMH-LL-X","4","0.0","26"
"AMI-GCK12H-X","3","0.0","26"
"AMI-GCK12K-","4","0.0","26"
"AMON-A-KS","1","0.0","26"
"ATG-71-X","1","0.0","26"
"EMUL-AMPK-","2","0.0","26"
"ANTA---K","1","3.0","26"
"FLMR-AV2F-X","3","0.0","26"
"MOIS-APCAPGA-X","1","0.0","26"
"WAX-ACG-X","1","0.0","26"
"PARF-ABHE60-MN","1","6.0","26"
"SCRU-AP500-X","2","0.0","26"
"THIC-AK10SNFC-X","1","0.0","26"
"AQUA-G35-X","1","0.0","26"
"SILI-LARAIR-X","2","0.0","26"
"SAMP-AQXY-X","2","0.0","26"
"OIL-ARG-X","2","0.0","26"
"ACTI-APSC-X","2","0.0","26"
"THIC-ARAVC-","2","8.0","26"
"THIC-ARVLT-X","3","0.0","26"
"ARLA-165--K","1","0.0","26"
"ARMO-HD--K","2","0.0","26"
"ARQU---K","5","0.0","26"
"PARF-AV-97/1-K","1","0.0","26"
"EXTR-AV-2034599-K","1","0.0","26"
"PARF-AVHR15-X","1","0.0","26"
"OIL-AVSB-X","1","0.0","26"
"SILI-AXU3-X","3","0.0","26"
"ACTI-AZCLR-X","3","0.0","26"
"BHT-CRTL-X","2","0.0","26"
"WARN-BBO12-X","5","0.0","26"
"A-BBRSA130-X","2","0.0","26"
"CLAY-BERA661-X","4","0.0","26"
"EMO-BRB2835-X","1","0.0","26"
"EMUL-BRB423-X","2","0.0","26"
"BRB-CPLM-X","3","0.0","26"
"SILI-DM65-X","3","0.0","26"
"SAMP-DM65-X","3","0.0","26"
"WARN-BRO12-X","1","6.0","26"
"TIT-401-X","5","0.0","26"
"WARN-BYO12-X","2","0.0","26"
"ACTI-BCPL-X","2","0.0","26"
"EXTR-BMBE-X","1","0.0","26"
"SAMP-BMBEPB-X","0","0.0","0"
"SAMP-BMBTEC-X","0","0.0","0"
"BASI-LP20H-X","2","0.0","26"
"SAMP-BUTV-X","3","0.0","26"
"ACTI-BEUT-X","3","0.0","26"
"MOIS-RQPO260-X","5","0.0","26"
"SILI-BDP-X","2","0.0","26"
"EMO-BSLDMZ-X","1","0.0","26"
"SILI-BDM3-X","2","0.0","26"
"EMO-BLSLDM-X","2","0.0","26"
"SILI-BLSDE-X","2","0.0","26"
"EMO-BSLDMA-X","1","0.0","26"
"SILI-BLSEGAB-X","2","0.0","4"
"SILI-BEGAEIB-X","1","0.0","26"
"SILI-BE6-X","2","0.0","26"
"SILI-BELEG5-X","1","0.0","26"
"SILI-BPF-X","2","0.0","26"
"SILI-BEL803-X","1","6.0","26"
"SILI-BDM2-X","2","0.0","26"
"BENE-K200-X","2","0.0","26"
"BENT-38V-X","2","0.0","26"
"THIC-BGV-X","2","0.0","26"
"BENT-BGISDV-X","2","0.0","26"
"BENT-BGVS5PC-X","2","0.0","26"
"PWD-BNTNT-X","2","0.0","26"
"BEN-BEN-WT","1","0.0","26"
"EMU-BE1-X","2","0.0","26"
"BETA-A98MR-X","2","0.0","26"
"BIO-HYAL-BIL","1","0.0","26"
"SCRU-BMBMV-X","2","0.0","26"
"WARN-BGM103BP-X","3","0.0","26"
"WARN-BGM103RP-X","5","0.0","26"
"WARN-BGM103YP-X","5","0.0","26"
"A-BGSA200-X","1","0.0","26"
"SAMP-BGWCTCS2A-X","0","0.0","0"
"A-BGFA200-X","1","0.0","26"
"OIL-BIOARG-X","2","0.0","26"
"BUTT-EBUSA-SBUR","1","0.0","26"
"ACTI-BWCTA-X","1","0.0","26"
"ACTI-BISARAC-X","2","6.0","26"
"OIL-BLWHMO-X","3","0.0","26"
"WARN-6000-","5","0.0","26"
"WARN-6400-","5","0.0","26"
"WARN-6000G-","5","0.0","26"
"PARF-BLMODA-X","1","0.0","26"
"BRSB-850074-X","1","0.0","26"
"PARF-BRCE-X","1","0.0","26"
"MOIS-MNL-X","2","0.0","26"
"WARN-14032-X","10","0.0","26"
"WARN-CSR28-X","10","0.0","26"
"WARN-CSR22-X","6","0.0","26"
"WARN-C19011-R7CL-K","10","0.0","26"
"WARN-C19012-DCR6-K","10","0.0","26"
"WARN-TPA502-X","10","0.0","26"
"WARN-TOA506-X","10","0.0","26"
"WARN-ABIO-X","10","0.0","26"
"WARN-A407-X","3","0.0","26"
"WARN-A450-X","4","11.0","26"
"WARN-C335138--K","10","0.0","26"
"WARN-TE-A40BIOSC-K","3","0.0","26"
"WARN-TOA403-KF","10","0.0","26"
"WARN-BL98-X","10","0.0","26"
"WARN-SCRVLT-X","7","0.0","26"
"WARN-DCY10AL-X","7","9.0","26"
"WARN-FW108S-X","10","0.0","26"
"WARN-IRGLS-X","10","0.0","26"
"WARN-C811RD-X","10","0.0","26"
"WARN-6278MRN-X","10","0.0","26"
"SERI-790-","3","0.0","26"
"CABO-M5-X","2","0.0","26"
"SILI-CES1104-X","1","0.0","26"
"PARF-CFLS-X","1","0.0","26"
"PARF-CFTME-X","2","6.0","26"
"CHEM-1789-X","2","0.0","26"
"PARF-CLMRER-X","1","0.0","26"
"PARF-CWGT-X","1","0.0","26"
"VITC-VCE-X","2","0.0","26"
"TITA-CROTS-X","5","0.0","26"
"CRO1-CRMLAB-X","1","0.0","26"
"EXTR-CFEXEC-X","2","0.0","26"
"EXTR-CNDWLHB-X","2","0.0","26"
"WAX-CDL204--X","3","0.0","26"
"WAX-CWCG-X","3","0.0","26"
"WAX-DR415-X","2","0.0","26"
"SAMP-CDWXCG7-X","3","0.0","26"
"ACTI-CPXY-X","2","0.0","26"
"EXTR-CLSDE-X","2","0.0","26"
"PARF-R1616102-X","1","0.0","26"
"CARB--94022,68-K","2","0.0","26"
"CARB-C980P-X","1","0.0","26"
"AQUA---K","1","0.0","26"
"CARB-UT-","2","0.0","26"
"CARB-UT20-X","1","0.0","26"
"CARB-UT21P-X","2","0.0","26"
"PARF-CRMOD-X","1","0.0","26"
"MINY-CAST-X","2","0.0","26"
"OIL-CA-MS","1","0.0","26"
"NEUT-CSSFL-X","2","0.0","26"
"CMC--2000F-K","2","0.0","26"
"WARN-CY--K","10","0.0","26"
"ACTI-CAEBEU-X","1","0.0","26"
"EMU-CPSNL-X","2","0.0","26"
"SAMP-CCLRK-X","1","0.0","26"
"ACTI-CCLRK-X","1","0.0","26"
"SFT-CERA847-X","5","0.0","26"
"CERE-810-","3","0.0","26"
"EMU-CTL8-X","1","0.0","26"
"EMU-C10-X","2","0.0","26"
"EMU-CTB-X","2","0.0","26"
"CECC---K","2","0.0","26"
"EMU-CTLE-X","1","5.0","26"
"CETI-OLHE-X","1","6.0","26"
"EMU-COE-X","2","0.0","26"
"EMU-CSF-X","2","0.0","26"
"EMU-CULT-X","1","0.0","26"
"CHA-CRPD-X","2","0.0","26"
"SUNS-CHMOS-X","2","0.0","26"
"SCRU-CMS40G-X","3","0.0","26"
"SCRU-CHEMPE20-X","3","0.0","26"
"ALUM--ACH-K","3","0.0","26"
"CHOL-UNFP-X","3","0.0","26"
"ACTI-CRNGW-X","2","0.0","26"
"CIRE---K","3","0.0","26"
"WAX-CRBLE-X","7","0.0","26"
"SURF-CTISL-X","2","0.0","26"
"GLYC-MS-CGGMS N/EB25","1","0.0","26"
"DISP-CTRLPLM-X","2","0.0","26"
"EMU-C316-X","2","0.0","26"
"EMU-CTL3-X","1","0.0","26"
"ACTI-CTRACD-X","3","0.0","26"
"ASAM-A-CAAH-K","2","0.0","26"
"CLAI-II-IC-K","2","0.0","26"
"PARF-CM1500-X","1","0.0","26"
"WARN-CLOGB--K","10","0.0","26"
"WARN-CLOSG--K","10","0.0","26"
"WARN-CB--K","10","0.0","26"
"WARN-CCCLOC--K","10","0.0","26"
"WARN-CLOG222--K","10","0.0","26"
"WARN-CLONAR-424CB-K","10","0.0","26"
"WARN-CLOV--K","10","0.0","26"
"CLOV-BOS873-X","2","0.0","26"
"EXTR-CCNWE-X","1","0.0","26"
"SAMP-CCNWTR-X","0","0.0","0"
"CRSB-850077-X","1","6.0","26"
"WARN-COLOMCBK-X","5","0.0","26"
"WARN-CLDB-","5","0.0","26"
"WARN-CMGT-","5","0.0","26"
"WARN-CLRBDX-X","10","0.0","26"
"EXTR-CHEN-X","1","0.0","26"
"SAMP-CPKOD-X","0","0.0","0"
"SURF-CPKOD-X","2","0.0","26"
"PARF-CTPSMOD-X","1","0.0","26"
"PARF-CLPWR-X","1","6.0","26"
"PARF-CW162-X","1","0.0","26"
"SAMP-CORN---K","2","0.0","26"
"CORN-SUNAR-X","3","0.0","26"
"CORN---K","2","0.0","26"
"THIC-CMDSP-X","2","0.0","26"
"CHAM-COSM-","3","0.0","26"
"CLR-CWBW-X","1","0.0","26"
"CLR-CWBFBW-X","1","0.0","26"
"CLR-CWR35-X","1","0.0","26"
"CLR-CWRSW-X","1","0.0","26"
"CLR-CWWTDW-X","1","0.0","26"
"SILI-CMSF600-X","2","0.0","26"
"WARN-9000-","5","0.0","26"
"WARN-CSW-9000S-K","5","0.0","26"
"BEN-COSMP1-X","1","0.0","26"
"COSM-168ARV-X","3","0.0","26"
"COSM-222--K","1","0.0","26"
"COSM-43V--K","3","0.0","26"
"COSM-CM8-X","1","0.0","26"
"COVB-LH8-","5","0.0","26"
"COVA--","3","0.0","26"
"EXTR-CRNEGN-X","3","0.0","26"
"CREA-01HPB-X","3","0.0","26"
"CRIL---K","2","0.0","26"
"EMUL-CRFCPR-X","1","0.0","26"
"CRO2-LA-","1","0.0","26"
"CRO1-CPS-X","1","0.0","26"
"EMU-CDAJ-X","2","0.0","26"
"IPM-CRDSG-X","2","0.0","26"
"CRO1-ML-","1","0.0","26"
"CRO1-OPLQS-X","1","0.0","26"
"CRO1-SS-","1","0.0","26"
"EMU-STS-","2","0.0","26"
"SAMP-CBLSSPG-X","0","0.0","0"
"ACTI-CBSS-AM","1","6.0","26"
"SAMP-CFCYP-X","1","0.0","26"
"EXTR-CMRCCMT-X","2","6.0","26"
"CRO-LS30--K","1","0.0","26"
"PARF-CAEM1R101-PKG","1","0.0","26"
"EXTR-CUMGLY-X","1","0.0","26"
"PEAR-CTNAGS-X","2","0.0","26"
"WAX-CTHRFL-X","2","0.0","26"
"WAX-CTHRP-X","3","0.0","26"
"CUTI---K","2","0.0","26"
"ACTI-CSR10S-X","1","0.0","26"
"SAMP-CPRTN-X","0","0.0","0"
"SAMP-CPETG-X","3","0.0","26"
"EXTR-CYPEX-X","3","0.0","26"
"WARN-GREE16-","10","0.0","26"
"WARN-R27MS-X","8","0.0","26"
"WARN-RED6LM4-X","5","0.0","26"
"WARN-DCR7-X","1","6.0","26"
"WARN-RED33-X","10","0.0","26"
"WARN-GZ0075-X","10","0.0","26"
"DPANT-XINFA-X","2","0.0","26"
"PANT--DL-K","2","9.0","26"
"RHM-DREIA-X","2","0.0","26"
"RHM-DREAQA-X","2","0.0","26"
"PLAS-P-D400-K","5","0.0","26"
"CLIM-DTFC-X","2","0.0","26"
"ACTI-DAWNPSC-X","2","0.0","26"
"PARF-SRNTEA-X","1","0.0","26"
"PARF-DLPZLE-X","1","0.0","26"
"WARN-DKRED6-X","5","0.0","26"
"VITA-DL E-MS","3","0.0","26"
"ACTI-DNA-X","2","0.0","26"
"SILC-VM22A-X","2","0.0","26"
"EMU-DBC-X","2","0.0","26"
"EMU-DNPG-X","1","0.0","26"
"SFT-DUBSOD-X","2","0.0","26"
"FLMR-DSTY-X","3","0.0","26"
