KOITEM,NAITPAB,JENIS,Status Bahan Baku,MOQ,STOK,KARANTINA,PENDING,REJECT,PRICE,Total, Nominal
A-BGFA200-X,Anti Aging BFA,BB UMUM,Eksis,10,1.64,0,0,0,"3,518,353",1.64,5770098.92
A-BGSA200-X,Bahan anti acne BSA,BB UMUM,Eksis,20,54.06502,0,0,0,"1,298,981",54.06502,70229433.74
A-EDSM80-X,Marine Soothing Active,BB UMUM,Eksis,25,5.06537,0,0,0,"1,094,135",5.06537,5542198.605
ABIL-EM90-X,Emulgator 90,BB UMUM,Habiskan stock,180,130.08603,0,0,0,"770,541",130.08603,100236619.6
ABIL-W9801-X,Emollient CTD,BB UMUM,Eliminasi,180,0,0,0,1,"461,619",1,461619
ABIL-WE09-X,Emulgator WE,BB UMUM,Habiskan Stock,190,379.62557,0,0,0,"814,038",379.62557,309029639.8
ABS-PLNBL-X,Silt-B,BB UMUM,Eksis,1,0.99723,1,0,0,"1,752,531",1.99723,3500207.489
ACTI-ADNL-X,Adenosine BS1,BB UMUM,Habiskan stock,20,17.79606,0,0,0,"1,825,006",17.79606,32477916.28
ACTI-ADPL-X,Quinosee,BB UMUM,Eksis,10,21.19902,0,0,0,"3,326,579",21.19902,70520214.75
ACTI-AFEW-X,Bahan aktif skin protection,BB UMUM,Eksis,1,111.7213,0,0,4.0028,"2,683,876",115.7241,310589134.6
ACTI-AGTV-X,Anti Aging AGV,BB UMUM,Eksis,1,1.51579,0.00001,0,0,"3,479,294",1.5158,5273913.845
ACTI-AICE06-X,Lipid Active,BB UMUM,Eksis,5,40.73434,0,0,0,"3,376,852",40.73434,137553837.5
ACTI-ALARB-X,Whitening Active,BB UMUM,Eksis,1,3.96461,6,0,0,"8,084,040",9.96461,80554305.82
ACTI-APLR-X,Anti Pollution Extract,BB UMUM,Eksis,5,22.31824,0,0,0,"2,186,173",22.31824,48791533.7
ACTI-APSC-X,Bahan Instant Tightening,BB UMUM,Eksis,100,90.90575,0,0,0,"6,221,920",90.90575,565608304
ACTI-AR850-X,Anti Aging 850,BB UMUM,Eksis,1,21.80133,0,0,0,"14,190,066",21.80133,309362311.6
ACTI-AVG10X-X,Aktif Aloe Vera,BB UMUM,Eksis,25,108.16023,0,0,0,"328,386",108.16023,35518305.29
ACTI-AZCLR-X,Pimple Agent,BB UMUM,Eksis,10,26.25044,0,0,0,"1,537,614",26.25044,40363044.05
ACTI-BCPL-X,Hair Growth Extract,BB UMUM,Eksis,1,14.19513,0,0,0,"1,665,130",14.19513,23636736.82
ACTI-BEUT-X,PolluActive,BB UMUM,Eliminasi,1,0,0,0,0.92,"6,182,385",0.92,5687794.2
ACTI-BTWH-X,Beta Whitening,BB UMUM,Eksis,1,36.19154,0,0,0,"6,160,276",36.19154,222949875.3
ACTI-BWCTA-X,Capsule Beads,BB UMUM,Eksis,20,113.95971,0,0,0,"2,881,972",113.95971,328428693.3
ACTI-CBSS-AM,WBE Mineral,BB UMUM,Eksis,25,31.02739,0,0,0,"592,675",31.02739,18389158.37
ACTI-CPXY-X,Clover Extract,BB UMUM,Eksis,5,11.68065,0,0,0,"8,478,578",11.68065,99035302.12
ACTI-CRNGW-X,Glow Active,BB UMUM,Eksis,5,4.93891,0,0,0,"4,276,533",4.93891,21121411.6
ACTI-CSR10S-X,Vitamin A CSR,BB UMUM,Eksis,5,25.73639,0,0,0,"7,842,167",25.73639,201829068.4
ACTI-DFSLSF-X,Zen Soothing Active,BB UMUM,Eksis,1,0.68097,0,0,0,"9,429,077",0.68097,6420918.565
