Product Template/Kode Internal;Korporat Kode;Product Template/Nama Internal;Location/Display Name;Lot/Serial Number/Lot/Serial Number;Quantity;Unit of Measure/Unit of Measure;Product/Internal Category/Display Name; Qty in KG ;PUP Apr; Total Price (PUP) Apr ;;;Stock 1 May 23;Total Price PUP Apr; 136,336,659 ;Qty in KG; 361.32936 
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/IA11023;0;g;Raw Material;0; 736,768 ; - ;;;;;;;
FFM1-AAI;SILI-DC-PSFCS-X;Silicon DC 200/1 CS;JTK 4/Stock/RM;GBMJTK6/IA12041;0;g;Raw Material;0; 198,243 ; - ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Stock/RM;GBMJTK6/GC25105;-4.54747E-13;g;Raw Material;-4.54747E-16; 191,995 ;-0 ;;;;;;;
PRV1-ABB;PEN-SENSC50-X;Pengawet SC 50;JTK 4/Stock/RM;GBMJTK6/IA13132;-7.10543E-15;g;Raw Material;-7.10543E-18; 894,674 ;-0 ;;;;;;;
PRF1-AKD;PARF-DLPZLE-X;Parfum Admire;JTK 4/Stock/RM;GBMJTK6/HL17152;7.5;g;Raw Material;0.0075; 404,398 ; 3,033 ;;;;;;;
OBW1-AAC;OIL-OJJBIII-X;Minyak Jojoba III;JTK 4/Stock/RM;GBMJTK6/HK02037;-2.22045E-16;g;Raw Material;-2.22045E-19; 520,361 ;-0 ;;;;;;;
ASB1-AAB;VITA-DL E-MS;Vitamin E1;JTK 4/Stock/RM;GBMJTK6/HI10036;-2.22045E-16;g;Raw Material;-2.22045E-19; 444,452 ;-0 ;;;;;;;
FFM1-AAI;SILI-DC-PSFCS-X;Silicon DC 200/1 CS;JTK 4/Stock/RM;GBMJTK6/HB11209;2400;g;Raw Material;2.4; 198,243 ; 475,784 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Stock/RM;GBMJTK6/GK04096;36314;g;Raw Material;36.314; 191,995 ; 6,972,119 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/GL31012;2400;g;Raw Material;2.4; 486,842 ; 1,168,420 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/GL03103;1050;g;Raw Material;1.05; 736,768 ; 773,606 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/HB14009;3104.5;g;Raw Material;3.1045; 113,899 ; 353,598 ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Stock/RM;GBMJTK6/HA27048;169.5;g;Raw Material;0.1695; 88,724 ; 15,039 ;;;;;;;
RHM3-AFA;SILC-MKOL-X;Serbuk Pengental MK;JTK 4/Stock/RM;GBMJTK6/HB11055;600;g;Raw Material;0.6; 519,266 ; 311,560 ;;;;;;;
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Stock/RM;GBMJTK6/GL03108;150;g;Raw Material;0.15; 426,732 ; 64,010 ;;;;;;;
PRV1-AAF;PEN-PRSVPE-X;Pengawet PE;JTK 4/Stock/RM;GBMJTK6/GL06084;120;g;Raw Material;0.12; 167,731 ; 20,128 ;;;;;;;
PRV1-ABB;PEN-SENSC50-X;Pengawet SC 50;JTK 4/Stock/RM;GBMJTK6/HA27068;60;g;Raw Material;0.06; 894,674 ; 53,680 ;;;;;;;
EMO1-AAJ;SILS-034-X;Emollient 034;JTK 4/Stock/RM;GBMJTK6/HB25051;37.5;g;Raw Material;0.0375; 616,831 ; 23,131 ;;;;;;;
OBW1-AAC;OIL-OJJBIII-X;Minyak Jojoba III;JTK 4/Stock/RM;GBMJTK6/GL23017;1.5;g;Raw Material;0.0015; 520,361 ; 781 ;;;;;;;
ASB1-AAB;VITA-DL E-MS;Vitamin E1;JTK 4/Stock/RM;GBMJTK6/GL11045;1.5;g;Raw Material;0.0015; 444,452 ; 667 ;;;;;;;
RHM3-AFA;SILC-MKOL-X;Serbuk Pengental MK;JTK 4/Stock/RM;GBMJTK6/IA12073;0;g;Raw Material;0; 519,266 ; - ;;;;;;;
EMS1-ADB;EMUL-EMILST-X;Emullustro;JTK 4/Stock/RM;GBMJTK6/HL22246;150;g;Raw Material;0.15; 968,810 ; 145,322 ;;;;;;;
OBW1-AAC;OIL-OJJBIII-X;Minyak Jojoba III;JTK 4/Stock/RM;GBMJTK6/HL22110;-2.22045E-16;g;Raw Material;-2.22045E-19; 520,361 ;-0 ;;;;;;;
ASB1-AAB;VITA-DL E-MS;Vitamin E1;JTK 4/Stock/RM;GBMJTK6/HL21071;0.5;g;Raw Material;0.0005; 444,452 ; 222 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/IA19041;0.25;g;Raw Material;0.00025; 113,899 ; 28 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/ID19002;7596.8;g;Raw Material;7.5968; 113,899 ; 865,264 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Stock/RM;GBMJTK6/GK11059;14284.5;g;Raw Material;14.2845; 191,995 ; 2,742,558 ;;;;;;;
RHM3-AFA;SILC-MKOL-X;Serbuk Pengental MK;JTK 4/Stock/RM;GBMJTK6/IC09104;1262.06;g;Raw Material;1.26206; 519,266 ; 655,345 ;;;;;;;
