kode_item,nama_item,nomor_batch,lokasi,jenis,group,stock_quantity,staging_timbang_quantity,quarantine_quantity,pending_quantity,reject_quantity,scrap_quantity,satuan,company,expired_date,shelflife,umur_stock,leadtime_adj,action
A-BGFA200-X,AAG1-CGAHG,GBMJTK6/JL26214,JTK 6/Stock/RM/GD-AC-C2,BBUMUM,raw material,0.05402,,,,,,kg,PARAGON,2027-02-21,195.0,16,,
A-BGFA200-X,AAG1-CGAHG,GBMJTK6/JK07150,JTK 2/Stock/RM/GB-AC-C9,BBUMUM,raw material,0.0667,,,,,,kg,PARAGON,2025-03-20,95.0,16,,
A-BGFA200-X,AAG1-CGAHG,GBMJTK6/JK07150,JTK 6/Stock/RM/AA-01C1,BBUMUM,raw material,0.5433,,,,,,kg,PARAGON,2025-03-20,95.0,16,,
A-BGFA200-X,AAG1-CGAHG,GBMJTK6/JL26214,JTK 2/Stock/RM/GB-AC-B5,BBUMUM,raw material,0.97598,,,,,,kg,PARAGON,2027-02-21,195.0,16,,
A-BGFA200-X,AAG1-CGAHG,GBMJTK6/KE05107,JTK 6/Stock/RM/GD-AC-B4,BBUMUM,raw material,9.94005,,,,,,kg,PARAGON,2024-01-03,32.0,16,,
A-BGFA200-X,AAG1-CGAHG,GBMJTK6/KE05109,JTK 6/Stock/RM/GD-AC-B4,BBUMUM,raw material,9.94005,,,,,,kg,PARAGON,2025-12-01,131.0,16,,
A-BGSA200-X,ACN3-AAB,GBMJTK6/KB17228,JTK 2/Stock/RM/GB-CC-07,BBUMUM,raw material,0.00098,,,,,,kg,PARAGON,2024-08-24,65.0,7,25,Shelf Life OK
A-BGSA200-X,ACN3-AAB,GBMJTK6/KC28153,JTK 2/Stock/RM/GB-CC-09,BBUMUM,raw material,0.21929,,,,,,kg,PARAGON,2024-09-05,67.0,7,25,Shelf Life OK
A-BGSA200-X,ACN3-AAB,GBMJTK6/KE02115,JTK 6/Stock/RM/GOR-I1-05,BBUMUM,raw material,19.97156,,,,,,kg,PARAGON,2027-03-08,197.0,7,25,Shelf Life OK
A-BGSA200-X,ACN3-AAB,GBMJTK6/KE19076,JTK 6/Stock/RM/BA-01C2,BBUMUM,raw material,19.97265,,,,,,kg,PARAGON,2027-06-27,213.0,7,25,Shelf Life OK
A-BGSA200-X,ACN3-AAB,GBMJTK6/KE05102,JTK 6/Stock/RM/GOR-I1-05,BBUMUM,raw material,19.97424,,,,,,kg,PARAGON,2024-10-24,74.0,7,25,Shelf Life OK
