"id","product_tmpl_id/default_code","location_id/display_name","lot_id/name","quantity","product_uom_id/name"
"__export__.stock_quant_455_eed726ca","SILI-BEL803-X","JTK 4/Stock/RM","GBMJTK6/IA11023","0.0","g"
"__export__.stock_quant_456_518f3be1","SILI-DC-PSFCS-X","JTK 4/Stock/RM","GBMJTK6/IA12041","0.0","g"
"__export__.stock_quant_458_29d1c4d8","DRYF-PC-X","JTK 4/Stock/RM","GBMJTK6/GC25105","'-4.54747350886464e-13","g"
"__export__.stock_quant_464_f213f770","PEN-SENSC50-X","JTK 4/Stock/RM","GBMJTK6/IA13132","'-7.105427357601e-15","g"
"__export__.stock_quant_466_b10eb716","PARF-DLPZLE-X","JTK 4/Stock/RM","GBMJTK6/HL17152","7.5","g"
"__export__.stock_quant_467_fd4fda06","OIL-OJJBIII-X","JTK 4/Stock/RM","GBMJTK6/HK02037","'-2.22044604925031e-16","g"
"__export__.stock_quant_468_67d97585","VITA-DL E-MS","JTK 4/Stock/RM","GBMJTK6/HI10036","'-2.22044604925031e-16","g"
"__export__.stock_quant_472_52a611c6","SILI-DC-PSFCS-X","JTK 4/Stock/RM","GBMJTK6/HB11209","2400.0","g"
"__export__.stock_quant_473_857ae688","DRYF-PC-X","JTK 4/Stock/RM","GBMJTK6/GK04096","36314.0","g"
"__export__.stock_quant_474_dec2b89a","BENT-BGISDV-X","JTK 4/Stock/RM","GBMJTK6/GL31012","2400.0","g"
"__export__.stock_quant_475_077e400b","SILI-BEL803-X","JTK 4/Stock/RM","GBMJTK6/GL03103","1050.0","g"
"__export__.stock_quant_476_795e4543","PURO-IDD-X","JTK 4/Stock/RM","GBMJTK6/HB14009","3104.5","g"
"__export__.stock_quant_477_02b170cc","EMU-PS-","JTK 4/Stock/RM","GBMJTK6/HA27048","169.5","g"
"__export__.stock_quant_478_268f02ad","SILC-MKOL-X","JTK 4/Stock/RM","GBMJTK6/HB11055","600.0","g"
"__export__.stock_quant_479_bf5468da","SILI-BELEG5-X","JTK 4/Stock/RM","GBMJTK6/GL03108","150.0","g"
"__export__.stock_quant_480_17173199","PEN-PRSVPE-X","JTK 4/Stock/RM","GBMJTK6/GL06084","120.0","g"
"__export__.stock_quant_481_c760e29b","PEN-SENSC50-X","JTK 4/Stock/RM","GBMJTK6/HA27068","60.0","g"
