Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure
BBC-EL-W30ML/10,BBC-EL-W30ML,DUSS-EBBCL30C-W,Intermediate Pack,1.000000,Pc(s)
BBC-EL-W30ML/10,BBC-EL-W30ML,TUBE-EBBCL30R3-W3095,Regular,1.000000,Pc(s)
BBC-EL-W30ML/10,BBC-EL-W30ML,KB-WBBC30-KMK150BF,Regular,0.027780,Pc(s)
MASK-SMU-EM/4,MASK-SMU-EM,TUBE-SMUMR0-E,Regular,1.000000,Pc(s)
MASK-SMU-EM/4,MASK-SMU-EM,CAPA-SMUMR0-E,Regular,1.000000,Pc(s)
MASK-SMU-EM/4,MASK-SMU-EM,DUS-SMUMR2-E,Regular,1.000000,Pc(s)
MASK-SMU-EM/4,MASK-SMU-EM,KB-EAR0-KMM125,Regular,0.013890,Pc(s)
MY-CONSMULCB-EM/5 (INLINE),MY-CONSMULCB-EM,TUBE-SMULCNR0-E,Regular,1.000000,Pc(s)
MY-CONSMULCB-EM/5 (INLINE),MY-CONSMULCB-EM,CAPA-SMULCR0-E,Regular,1.000000,Pc(s)
MY-CONSMULCB-EM/5 (INLINE),MY-CONSMULCB-EM,DUS-SMULCNR0-E,Regular,1.000000,Pc(s)
MY-CONSMULCB-EM/5 (INLINE),MY-CONSMULCB-EM,STIC-PACR2-EM,Regular,1.000000,Pc(s)
MY-CONSMULCB-EM/5 (INLINE),MY-CONSMULCB-EM,KB-EAR0-KMM125,Regular,0.013890,Pc(s)
BBC-EN-W15ML/5,BBC-EN-W15ML,DUSS-EBBCN15C-W,Intermediate Pack,1.000000,Pc(s)
BBC-EN-W15ML/5,BBC-EN-W15ML,TUBE-EBBCN15-W2580,Regular,1.000000,Set
BBC-EN-W15ML/5,BBC-EN-W15ML,KB-WBBC15-KMK150BF,Regular,0.020830,Pc(s)
BBC-EN-W30ML/10,BBC-EN-W30ML,DUSS-EBBCN30C-W,Intermediate Pack,1.000000,Pc(s)
BBC-EN-W30ML/10,BBC-EN-W30ML,TUBE-EBBCN30R3-W3095,Regular,1.000000,Pc(s)
BBC-EN-W30ML/10,BBC-EN-W30ML,KB-WBBC30-KMK150BF,Regular,0.027780,Pc(s)
MY-LEMC11DP-W/2,MY-LEMC11DP-W,L-EMC11DP-W,Sellable,1.000000,Pc(s)
MY-LEMC11DP-W/2,MY-LEMC11DP-W,STIC-PAPHMPR2-WM,Regular,1.000000,Pc(s)
MY-LEMC11DP-W/2,MY-LEMC11DP-W,KB-WIOTAR1-W,Regular,0.006940,Pc(s)
B-HRFP-MO/2,B-HRFP-MO,KB-MOAR0-MO,Regular,0.027780,Pc(s)
B-HRFP-MO/2,B-HRFP-MO,DUS-HSRFPIVR0-MO,Regular,1.000000,Pc(s)
B-HRFP-MO/2,B-HRFP-MO,STIC-BHSRFPR0-MO,Regular,1.000000,Pc(s)
B-HRFP-MO/2,B-HRFP-MO,PUFF-HSRFPR0-MO,Regular,1.000000,Pc(s)
B-HRFP-MO/2,B-HRFP-MO,SHIF-HSRFPR0-MO,Regular,1.000000,Pc(s)
B-HRFP-MO/2,B-HRFP-MO,POT-HSRFPR0-MO,Regular,1.000000,Pc(s)
B-HRFP-MO/2,B-HRFP-MO,CAPP-HSRFPR0-MO,Regular,1.000000,Pc(s)
CUS-HLGNW41-MO/6,CUS-HLGNW41-MO,CONT-ICHLGCR0-MO,Regular,1.000000,Pc(s)
CUS-HLGNW41-MO/6,CUS-HLGNW41-MO,CONT-RHLGCR0-MO,Regular,1.000000,Pc(s)
CUS-HLGNW41-MO/6,CUS-HLGNW41-MO,CONT-HLGCR0-MO,Regular,1.000000,Pc(s)
CUS-HLGNW41-MO/6,CUS-HLGNW41-MO,STIC-SHLGCR0-MO,Regular,1.000000,Pc(s)
CUS-HLGNW41-MO/6,CUS-HLGNW41-MO,ISPO-HLGCR1-MO,Regular,1.000000,Pc(s)
CUS-HLGNW41-MO/6,CUS-HLGNW41-MO,PUFF-HLGCR0-MO,Regular,1.000000,Pc(s)
CUS-HLGNW41-MO/6,CUS-HLGNW41-MO,STIC-BHGCW41R0-MO,Regular,1.000000,Pc(s)
CUS-HLGNW41-MO/6,CUS-HLGNW41-MO,DUS-HLGCIVR1-MO,Regular,1.000000,Pc(s)
CUS-HLGNW41-MO/6,CUS-HLGNW41-MO,STIC-VHGCW41R1-MO,Regular,1.000000,Pc(s)
CUS-HLGNW41-MO/6,CUS-HLGNW41-MO,STIC-MOR0-MO,Regular,1.000000,Pc(s)
CUS-HLGNW41-MO/6,CUS-HLGNW41-MO,KB-MOTWC3252-K150M12,Regular,0.041670,Pc(s)
