Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,Tidak ada BOM,Sediaan,Cek Bundling,Closing Level 1,Closing Level 2,Closing Level 3,Cek Closing Lvl1,Cek Closing Lvl2
2PR--MO100ML/5,2PR--MO100ML,PLU-BB100N-,Packaging Material,1,Pc(s),B-EL01-W,Liquid factory,2PR--MO100ML,2PR--MO100ML,,,PLU-BB100N-,B-DMCP02-BULK
2PR--MO100ML/5,2PR--MO100ML,KB-MOSSTP-291145K150,Packaging Material,0.04167,Pc(s),B-EL02-W,Liquid factory,2PR--MO100ML,2PR--MO100ML,,,KB-MOSSTP-291145K150,GODE-PESBOR2-MOAL
2PR--MO100ML/5,2PR--MO100ML,PS-PVCMUR-WPVC,Packaging Material,1,Pc(s),B-EL03-W,Liquid factory,2PR--MO100ML,2PR--MO100ML,,,PS-PVCMUR-WPVC,BOTO-PETRF100B-X
2PR--MO100ML/5,2PR--MO100ML,BOTS-MUR100R0-MO,Intermediate,1,Pc(s),B-EL04-W,Liquid factory,2PR--MO100ML,2PR--MO100ML,,,BOTS-MUR100R0-MO,PU-SBMS100-W
2PR--MO100ML/5,2PR--MO100ML,CAP-BNG100HG-X,Packaging Material,1,Pc(s),B-EXLP-MO,Liquid factory,2PR--MO100ML,2PR--MO100ML,,,CAP-BNG100HG-X,STIC-ZZB100-W
2PR--MO100ML/5,2PR--MO100ML,2PR-B-BULK,Semi Finished Goods,0.04,kg,B-RBSLP-EM,Liquid factory,2PR--MO100ML,2PR--MO100ML,,,2PR-B-BULK,BO-SPF01-BULK
2PR--MO100ML/5,2PR--MO100ML,2PR-A-BULK,Semi Finished Goods,0.06,kg,BBC-L03N1-W,Liquid factory,2PR--MO100ML,2PR--MO100ML,,,2PR-A-BULK,GODE-PESBOR2-MOAL
A-BPCB-W20G/5,A-BPCB-W20G,A-BPCB-BULK,Semi Finished Goods,0.02,kg,BBC-L03N2-W,Semisolid factory,A-BPCB-W20G,A-BPCB-W20G,,,A-BPCB-BULK,GODE-PESBOR2-MOAL
A-BPCB-W20G/5,A-BPCB-W20G,CAP-CABPCB-WASABS,Packaging Material,1,Pc(s),BBC-L04N1-W,Semisolid factory,A-BPCB-W20G,A-BPCB-W20G,,,CAP-CABPCB-WASABS,BO-SIP02-BULK
A-BPCB-W20G/5,A-BPCB-W20G,CONT-ABPCB-WASABS,Packaging Material,1,Pc(s),BBC-L04N2-W,Semisolid factory,A-BPCB-W20G,A-BPCB-W20G,,,CONT-ABPCB-WASABS,BO-SPS03-BULK
A-BPCB-W20G/5,A-BPCB-W20G,STIC-BOTAPBBR1-WCNF,Packaging Material,1,Pc(s),BBC-RL01N1-W,Semisolid factory,A-BPCB-W20G,A-BPCB-W20G,,,STIC-BOTAPBBR1-WCNF,GODE-PESBOR2-MOAL
A-BPCB-W20G/5,A-BPCB-W20G,DUS-APBBR1-WACLG,Packaging Material,1,Pc(s),BBC-RL01N2-W,Semisolid factory,A-BPCB-W20G,A-BPCB-W20G,,,DUS-APBBR1-WACLG,GODE-PESBOR2-MOAL
A-BPCB-W20G/5,A-BPCB-W20G,KB-W100BR2-KMM125BF,Packaging Material,0.02083,Pc(s),BBC-RL02N2-W,Semisolid factory,A-BPCB-W20G,A-BPCB-W20G,,,KB-W100BR2-KMM125BF,BO-SRE04-BULK
A-DM-W40ML/7,A-DM-W40ML,A-DM-BULK,Semi Finished Goods,0.04,kg,BRUS-FTF-MO17CM,Liquid factory,A-DM-W40ML,A-DM-W40ML,,,A-DM-BULK,GODE-PESBOR2-MOAL
A-DM-W40ML/7,A-DM-W40ML,DUS-ADM40CR1-WACLG,Packaging Material,1,Pc(s),BRUS-KBK-MO8.5CM,Liquid factory,A-DM-W40ML,A-DM-W40ML,,,DUS-ADM40CR1-WACLG,BO-SBS05-BULK
A-DM-W40ML/7,A-DM-W40ML,KB-WTHETAR1-W,Packaging Material,0.03333,Pc(s),CUS-EL01-W,Liquid factory,A-DM-W40ML,A-DM-W40ML,,,KB-WTHETAR1-W,GODE-PESBOR2-MOAL
A-DM-W40ML/7,A-DM-W40ML,TUBE-ADM40R2-W,Packaging Material,1,Pc(s),CUS-EL02-W,Liquid factory,A-DM-W40ML,A-DM-W40ML,,,TUBE-ADM40R2-W,BO-SCS06-BULK
A-FP-W20G/8,A-FP-W20G,DUS-AFPR2-WACLG,Packaging Material,1,Pc(s),CUS-EL03-W,Powder factory,A-FP-W20G,A-FP-W20G,,,DUS-AFPR2-WACLG,GODE-PESBOR2-MOAL
A-FP-W20G/8,A-FP-W20G,KB-W200R1-W,Packaging Material,0.02083,Pc(s),CUS-EL04-W,Powder factory,A-FP-W20G,A-FP-W20G,,,KB-W200R1-W,BO-SSS07-BULK
A-FP-W20G/8,A-FP-W20G,STIC-BTAFPRR2-W,Packaging Material,1,Pc(s),CUS-EL05-W,Powder factory,A-FP-W20G,A-FP-W20G,,,STIC-BTAFPRR2-W,BO-SCC08-BULK
A-FP-W20G/8,A-FP-W20G,PUFF-AFP-WMFLH,Packaging Material,1,Pc(s),CUS-EL06-W,Powder factory,A-FP-W20G,A-FP-W20G,,,PUFF-AFP-WMFLH,GODE-PESBOR2-MOAL
A-FP-W20G/8,A-FP-W20G,SHIF-CAFPR1-W,Packaging Material,1,Pc(s),D-DEN01-B,Powder factory,A-FP-W20G,A-FP-W20G,,,SHIF-CAFPR1-W,"BO-CLPBAC-RP-EM3,5GR"
A-FP-W20G/8,A-FP-W20G,CONT-AFP-WASN,Packaging Material,1,Pc(s),EB-IPEM03-W,Powder factory,A-FP-W20G,A-FP-W20G,,,CONT-AFP-WASN,STIC-BCLPBACRVR0-E
A-FP-W20G/8,A-FP-W20G,A-FPW3-BULK,Semi Finished Goods,0.02,kg,EB-IPEM04-W,Powder factory,A-FP-W20G,A-FP-W20G,,,A-FPW3-BULK,IBOX-EJR0-E
A-FP-W20G/8,A-FP-W20G,CAP-CAFP-WASABS,Packaging Material,1,Pc(s),EB-IPEM05-W,Powder factory,A-FP-W20G,A-FP-W20G,,,CAP-CAFP-WASABS,KB-EDR0-E
A-NTM-W40ML/5,A-NTM-W40ML,TUBE-ANTM40R1-W,Packaging Material,1,Pc(s),EB-RIPB3M01-W,Liquid factory,A-NTM-W40ML,A-NTM-W40ML,,,TUBE-ANTM40R1-W,CONT-CLPBRVR0-E
A-NTM-W40ML/5,A-NTM-W40ML,A-NTM-BULK,Semi Finished Goods,0.04,kg,EB-RIPB3M02-W,Liquid factory,A-NTM-W40ML,A-NTM-W40ML,,,A-NTM-BULK,BO-CLPBAC-BULK
A-NTM-W40ML/5,A-NTM-W40ML,DUS-ANTM40CR1-WACLG,Packaging Material,1,Pc(s),EB-RIPEM01-W,Liquid factory,A-NTM-W40ML,A-NTM-W40ML,,,DUS-ANTM40CR1-WACLG,GODE-PESBOR2-MOAL
A-NTM-W40ML/5,A-NTM-W40ML,KB-WTHETAR1-W,Packaging Material,0.03333,Pc(s),EB-RIPEM02-W,Liquid factory,A-NTM-W40ML,A-NTM-W40ML,,,KB-WTHETAR1-W,"BO-CLPBCP-RP-EM3,5GR"
