LIFE CYCLE,FACTORY,Kode Item Baru,Nama Item,MPQ Olah,MPQ Kemas,MPQ Supply,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,W37/2024,W38/2024,W39/2024,MPQ Kemas,MPQ Supply,Sum
existing,Liquid factory,2PR--MO100ML,MAKE OVER Make Up Remover 100 ml (Pc(s)),200,1236,1436,0,0,0,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,0,1236,0,0,1236,0,0,1236,0,0,0,0,1236,1436,"24,720"
existing,Semisolid factory,A-BPCB-W20G,Wardah Acnederm Pore Blackhead Balm 20 g (Pc(s)),40,1920,1940,1920,0,0,0,1920,1920,0,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,1920,0,0,0,0,1920,1940,"61,440"
existing,Liquid factory,A-DM-W40ML,Wardah Acnederm Day Moisturizer 40 ml (Pc(s)),600,13230,13627,0,13230,0,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,0,13230,0,0,13230,13627,"436,590"
existing,Powder factory,A-FP-W20G,Wardah Acnederm Face Powder 20 g (Pc(s)),60,2784,2804,2784,2784,0,2784,2784,0,2784,2784,0,2784,2784,0,2784,2784,2784,0,2784,2784,0,2784,2784,2784,0,2784,2784,0,2784,2784,2784,0,2784,2784,0,2784,2784,2784,0,2784,2784,0,2784,2784,2784,0,2784,2784,0,2784,2784,0,2784,2784,2784,0,2784,2784,0,2784,2784,2784,0,2784,2784,0,2784,0,0,0,0,2784,2804,"128,064"
existing,Liquid factory,A-NTM-W40ML,Wardah Acnederm Night Treatment Moisturizer 40 ml (Pc(s)),1000,22980,23670,0,22980,0,0,0,0,22980,0,0,0,0,22980,0,0,0,22980,0,0,0,0,22980,0,0,0,22980,0,0,0,0,22980,0,0,0,22980,0,0,0,22980,0,0,0,0,22980,0,0,0,22980,0,0,0,0,22980,0,0,0,22980,0,0,0,22980,0,0,0,0,22980,0,0,0,0,22980,23670,"344,700"
existing,Liquid factory,A-PFC-W60ML,Wardah Acnederm Pure Foaming Cleanser 60 ml (Pc(s)),3000,47102,48102,47102,47102,0,0,47102,47102,0,0,47102,0,47102,0,47102,0,47102,0,47102,0,47102,0,47102,47102,0,47102,0,47102,0,47102,0,47102,0,47102,0,47102,0,47102,0,47102,0,47102,0,47102,0,47102,0,47102,0,47102,47102,0,47102,0,47102,0,47102,0,47102,0,47102,0,47102,0,47102,0,47102,0,0,0,0,47102,48102,"1,601,468"
existing,Liquid factory,A-PRT-W100ML,Wardah Acnederm Pore Refining Toner 100 ml (Pc(s)),1000,7929,8170,7929,7929,0,7929,7929,7929,0,7929,7929,7929,7929,7929,0,7929,7929,7929,7929,7929,0,7929,7929,7929,7929,7929,0,7929,7929,7929,7929,7929,0,7929,7929,7929,7929,7929,0,7929,7929,7929,7929,7929,7929,0,7929,7929,7929,7929,7929,0,7929,7929,7929,7929,7929,0,7929,7929,7929,7929,7929,0,7929,7929,7929,0,0,0,7929,7929,8170,"436,095"
existing,Liquid factory,A-SATG-W15ML,Wardah Acnederm Acne Spot Treatment Gel 15 ml (Pc(s)),300,17680,18211,0,17680,0,0,17680,0,0,17680,0,17680,0,17680,0,0,17680,0,17680,0,17680,0,0,17680,0,17680,0,0,17680,0,17680,0,0,17680,0,17680,0,17680,0,0,17680,0,17680,0,0,17680,0,17680,0,0,17680,0,17680,0,17680,0,0,17680,0,17680,0,0,17680,0,0,17680,0,0,0,0,0,17680,18211,"459,680"
existing,Powder factory,B-BSLP-EM,Emina Bright Stuff Loose Powder 55 g,300,5292,5312,37044,37044,21168,31752,31752,37044,31752,31752,37044,31752,31752,31752,37044,31752,31752,31752,37044,31752,31752,31752,37044,22464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5292,5312,"715,716"
existing,Powder factory,B-CLCLPA-W,Wardah Colorfit Mattifying Powder 22N Light Ivory 15 g,20,1152,1172,2304,1152,1152,1152,2304,1152,1152,1152,1152,2304,1152,1152,2304,1152,2304,2304,1152,2304,1152,2304,2304,1152,2304,2304,1152,2304,1152,2304,2304,1152,2304,1152,2304,2304,1152,2304,2304,1152,2304,1152,2304,2304,1152,2304,1152,2304,2304,1152,2304,2304,1152,2304,1152,2304,2304,1152,2304,1152,2304,1152,2304,1152,1152,2304,1152,1152,1152,0,1152,1152,1172,"117,504"
