"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/General Subcategory","BoM Lines/Quantity","BoM Lines/Product Unit of Measure","Created on"
"MY-FTLFT-W","7 (INLINE)","FT-LFT-BULK","Bulk","0.125","kg","2022-03-15 00:59:15"
"","","STIC-PALFT125R1-WM","Regular","1.0","Pc(s)",""
"","","STIC-SEKITR1-W","Regular","1.0","Pc(s)",""
"","","PLU-PPBLANCT-X","Regular","1.0","Pc(s)",""
"","","CAP-BLFT125R1-W","Regular","1.0","Pc(s)",""
"","","KB-WFSR1-W","Regular","0.04167","Pc(s)",""
"","","BOTO-LFT125R2-W","Regular","1.0","Pc(s)",""
"M-WHPG-W40ML","10","KB-WTHETAR1-W","Regular","0.03333","Pc(s)","2022-11-09 08:52:44"
"","","TUBE-WHPMG40R1-W2L","Regular","1.0","Pc(s)",""
"","","M-WHPG-BULK","Bulk","0.04","kg",""
"","","DUS-WHPMG40R4C-W","Regular","1.0","Pc(s)",""
"MZ-W1M1-W50ML","12","PART-KBBS50R1-KMM28L","Regular","0.03571","Pc(s)","2022-11-10 00:28:47"
"","","KB-K100R1-W","Regular","0.03571","Pc(s)",""
"","","STIC-BPOO50R2-W","Regular","1.0","Pc(s)",""
"","","CAP-S50POOWNLGO-PP","Regular","1.0","Pc(s)",""
"","","MZ-M1W1-BULK","Bulk","0.0489","kg",""
"","","BOTO-S50POOWNLG-P1PH","Regular","1.0","Pc(s)",""
"","","PLU-BS50POOWNL-NTRLD","Regular","1.0","Pc(s)",""
"","","PS-CAP-WPVC","Regular","1.05","Pc(s)",""
"MY-RTCIPMFPF14-W","5 (INLINE)","TC-IPMFPF14-BULK","Bulk","0.013","kg","2022-03-04 08:00:00"
"","","CONT-IMPFR0-WASBS","Regular","1.0","Pc(s)",""
"","","GODE-CPTZB-SMD59A-P","Regular","1.0","Pc(s)",""
"","","PUFF-IMPFR0-WFP","Regular","1.0","Pc(s)",""
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)",""
"","","STIC-BIMPF14R0-WPWNF","Regular","1.0","Pc(s)",""
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","DUS-IMPFR1-WHPD","Regular","1.0","Pc(s)",""
"","","STIC-PAAR1-WM","Regular","1.0","Pc(s)",""
"","","STIC-BCIMPF4R0-WPWG","Regular","1.0","Pc(s)",""
"","","KB-WIPSKMMR1-W","Regular","0.02083","Pc(s)",""
"M-RHOVN2-W","3","M-RHOVN-BULK","Bulk","0.017","kg","2022-11-10 01:21:24"
"","","TUBE-HRMRNGR0-W","Regular","1.0","Pc(s)",""
"","","DUS-HRMRN17R1-W","Regular","1.0","Pc(s)",""
"","","KB-WALPHAR1-W","Regular","0.02778","Pc(s)",""
"M-RHOVN1-W","3","M-RHOVN-BULK","Bulk","0.04","kg","2022-11-10 01:27:09"
"","","POT-HRMRNGR0-W","Regular","1.0","Pc(s)",""
"","","PLU-HRMRNGR0-W","Regular","1.0","Pc(s)",""
"","","CAPP-HRMRNGR0-W","Regular","1.0","Pc(s)",""
"","","SPT-HRGR0-W","Regular","1.0","Pc(s)",""
"","","DUS-HRMRN40R1-W","Regular","1.0","Pc(s)",""
"","","KB-GKMK-W","Regular","0.04167","Pc(s)",""
"MY-RTCRE01-W","5 (INLINE)","TC-PC02-BULK","Bulk","0.012","kg","2022-03-04 08:03:39"
"","","CONT-ETWCRLR0-WASBS","Regular","1.0","Pc(s)",""
"","","GODE-CPTZB-SMD59A-P","Regular","1.0","Pc(s)",""
"","","PUFF-TWCNBRD545-T","Regular","1.0","Pc(s)",""
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)",""
"","","STIC-BTETC1R0-WRL","Regular","1.0","Pc(s)",""
"","","DUS-ETWC1R1-WRL","Regular","1.0","Pc(s)",""
"","","STIC-PAEBR1-WM","Regular","1.0","Pc(s)",""
"","","KB-W12X250R1-W","Regular","0.03333","Pc(s)",""
"L-CVM01-W","8","L-CVM01-BULK","Bulk","0.004","kg","2022-11-16 04:10:49"
"","","BOTO-CVMLM1R1-W","Regular","1.0","Pc(s)",""
"","","CAPA-WCVMLM1R1-W","Regular","1.0","Pc(s)",""
"","","STIC-BCVMLM1R1-W","Regular","1.0","Pc(s)",""
"","","STIC-VCVMLM1R2-W","Regular","1.0","Pc(s)",""
"","","PS-CVMLMR1-W","Regular","1.0","Pc(s)",""
"","","IBOX-AR0-W","Regular","0.0625","Pc(s)",""
"","","KB-WIOTAR1-W","Regular","0.00521","Pc(s)",""
"L-CVM02-W","7","L-CVM02-BULK","Bulk","0.004","kg","2022-11-16 04:12:14"
"","","BOTO-CVMLM2R1-W","Regular","1.0","Pc(s)",""
"","","CAPA-WCVMLM2R1-W","Regular","1.0","Pc(s)",""
"","","STIC-BCVMLM2R1-W","Regular","1.0","Pc(s)",""
"","","STIC-VCVMLM2R1-W","Regular","1.0","Pc(s)",""
"","","PS-CVMLMR1-W","Regular","1.0","Pc(s)",""
"","","IBOX-AR0-W","Regular","0.0625","Pc(s)",""
"","","KB-WIOTAR1-W","Regular","0.00521","Pc(s)",""
"L-CVM02-W","8","L-CVM02-BULK","Bulk","0.004","kg","2022-11-16 04:15:12"
"","","BOTO-CVMLM2R1-W","Regular","1.0","Pc(s)",""
"","","CAPA-WCVMLM2R1-W","Regular","1.0","Pc(s)",""
"","","STIC-BCVMLM2R1-W","Regular","1.0","Pc(s)",""
"","","STIC-VCVMLM2R2-W","Regular","1.0","Pc(s)",""
"","","PS-CVMLMR1-W","Regular","1.0","Pc(s)",""
"","","IBOX-AR0-W","Regular","0.0625","Pc(s)",""
"","","KB-WIOTAR1-W","Regular","0.00521","Pc(s)",""
"L-CVM03-W","8","L-CVM03-BULK","Bulk","0.004","kg","2022-11-16 04:16:06"
"","","BOTO-CVMLM3R1-W","Regular","1.0","Pc(s)",""
"","","CAPA-WCVMLM3R1-W","Regular","1.0","Pc(s)",""
"","","STIC-BCVMLM3R1-W","Regular","1.0","Pc(s)",""
"","","STIC-VCVMLM3R2-W","Regular","1.0","Pc(s)",""
"","","PS-CVMLMR1-W","Regular","1.0","Pc(s)",""
"","","IBOX-AR0-W","Regular","0.0625","Pc(s)",""
"","","KB-WIOTAR1-W","Regular","0.00521","Pc(s)",""
"L-CVM04-W","8","L-CVM04-BULK","Bulk","0.004","kg","2022-11-16 04:17:06"
"","","BOTO-CVMLM4R1-W","Regular","1.0","Pc(s)",""
"","","CAPA-WCVMLM4R1-W","Regular","1.0","Pc(s)",""
"","","STIC-BCVMLM4R1-W","Regular","1.0","Pc(s)",""
"","","STIC-VCVMLM4R2-W","Regular","1.0","Pc(s)",""
"","","PS-CVMLMR1-W","Regular","1.0","Pc(s)",""
"","","IBOX-AR0-W","Regular","0.0625","Pc(s)",""
"","","KB-WIOTAR1-W","Regular","0.00521","Pc(s)",""
"L-CVM06-W","7","L-CVM06-BULK","Bulk","0.004","kg","2022-11-16 04:18:50"
"","","BOTO-CVMLM6R0-W","Regular","1.0","Pc(s)",""
"","","CAPA-WCVMLM6R0-W","Regular","1.0","Pc(s)",""
"","","STIC-BCVMLM6R1-W","Regular","1.0","Pc(s)",""
"","","STIC-VCVMLM6R1-W","Regular","1.0","Pc(s)",""
"","","PS-CVMLMR1-W","Regular","1.0","Pc(s)",""
"","","IBOX-AR0-W","Regular","0.0625","Pc(s)",""
"","","KB-WIOTAR1-W","Regular","0.00521","Pc(s)",""
"L-CVM07-W","8","L-CVM07-BULK","Bulk","0.004","kg","2022-11-16 04:44:20"
"","","BOTO-CVMLM7R1-W","Regular","1.0","Pc(s)",""
"","","CAPA-WCVMLM7R1-W","Regular","1.0","Pc(s)",""
"","","STIC-BCVMLM7R1-W","Regular","1.0","Pc(s)",""
"","","STIC-VCVMLM7R2-W","Regular","1.0","Pc(s)",""
"","","PS-CVMLMR1-W","Regular","1.0","Pc(s)",""
"","","IBOX-AR0-W","Regular","0.0625","Pc(s)",""
"","","KB-WIOTAR1-W","Regular","0.00521","Pc(s)",""
"BO-CLPPB-EM3.5GR","5","BO-CLPPB-RP-EM3,5GR","Refill","1.0","Pc(s)","2022-11-18 00:29:41"
"","","CONT-CLBR0-ENS","Regular","1.0","Pc(s)",""
"","","STIC-BOTPBBR0-ECNF","Regular","1.0","Pc(s)",""
"","","DUS-PBBSR1-EILG","Regular","1.0","Pc(s)",""
"","","STIC-QRCLPBBR0-E","Regular","1.0","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.00833","Pc(s)",""
"BO-CLPPMCB-EM3.5GR","4","BO-CLPPMCB-RP-EM3,5G","Refill","1.0","Pc(s)","2022-11-18 00:41:59"
"","","CONT-CLBR0-ENS","Regular","1.0","Pc(s)",""
"","","STIC-BOTPBCBR0-ECNF","Regular","1.0","Pc(s)",""
"","","DUS-PBCBR0-EILG","Regular","1.0","Pc(s)",""
"","","STIC-QRCLPBCBR0-E","Regular","1.0","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.00833","Pc(s)",""
"BO-CLPPCCC-EM3.5GR","5","BO-CLPPCCC-RP-EM3,5G","Refill","1.0","Pc(s)","2022-11-18 00:43:58"
"","","CONT-CLBR0-ENS","Regular","1.0","Pc(s)",""
"","","STIC-BOTPBCCR0-ECNF","Regular","1.0","Pc(s)",""
"","","DUS-PBCCR1-EILG","Regular","1.0","Pc(s)",""
"","","STIC-QRCLPBCCR0-E","Regular","1.0","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.00833","Pc(s)",""
"BO-CLPPPML-EM3.5GR","5","BO-CLPPPML-RP-EM3,5G","Refill","1.0","Pc(s)","2022-11-18 00:45:02"
"","","CONT-CLBR0-ENS","Regular","1.0","Pc(s)",""
"","","STIC-BOTPBMR0-ECNF","Regular","1.0","Pc(s)",""
"","","DUS-PBMR1-EILG","Regular","1.0","Pc(s)",""
"","","STIC-QRCLPBMR0-E","Regular","1.0","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.00833","Pc(s)",""
"BO-CLPCS-EM3.5GR","4","BO-CLPCS-RP-EM3,5GR","Refill","1.0","Pc(s)","2022-11-18 00:46:05"
"","","CONT-CLBR0-ENS","Regular","1.0","Pc(s)",""
"","","STIC-BOTPBSR0-ECNF","Regular","1.0","Pc(s)",""
"","","DUS-PBSR0-EILG","Regular","1.0","Pc(s)",""
"","","STIC-QRCLPBSR0-E","Regular","1.0","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.00833","Pc(s)",""
"BO-CLPPTVB-EM3.5GR","4","BO-CLPPTVB-RP-EM3,5G","Refill","1.0","Pc(s)","2022-11-18 00:46:55"
"","","CONT-CLBR0-ENS","Regular","1.0","Pc(s)",""
"","","STIC-BOTPBVR0-ECNF","Regular","1.0","Pc(s)",""
"","","DUS-PBVR0-EILG","Regular","1.0","Pc(s)",""
"","","STIC-QRCLPBVR0-E","Regular","1.0","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.00833","Pc(s)",""
"SRM-ELB-W","2","SRM-ELB-BULK","Bulk","0.01","kg","2022-11-18 04:27:56"
"","","BOTO-EXBLSR0-W","Regular","1.0","Pc(s)",""
"","","CAPA-EXBLSR1-W","Regular","1.0","Pc(s)",""
"","","PLU-EXBLSR0-W","Regular","1.0","Pc(s)",""
"","","PAP-EXBLSR0-W","Regular","1.0","Pc(s)",""
"","","PLAS-VCEXBLSR0-W","Regular","1.0","Pc(s)",""
"","","IBOX-12EXBR0-W","Regular","0.0833333","Pc(s)",""
"","","KB-BTLS150WNL32-K125","Regular","0.0208333","Pc(s)",""
"MY-RTCRE02-W","7 (INLINE)","TC-PC08-BULK","Bulk","0.012","kg","2022-03-04 08:06:39"
"","","CONT-ETWCRLR0-WASBS","Regular","1.0","Pc(s)",""
"","","GODE-CPTZB-SMD59A-P","Regular","1.0","Pc(s)",""
"","","PUFF-TWCNBRD545-T","Regular","1.0","Pc(s)",""
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)",""
"","","STIC-BTETC2R0-WRL","Regular","1.0","Pc(s)",""
"","","DUS-ETWC2R2-WRL","Regular","1.0","Pc(s)",""
"","","STIC-PAEBR1-WM","Regular","1.0","Pc(s)",""
"","","KB-W12X250R1-W","Regular","0.03333","Pc(s)",""
"L-CVM012-W","5","L-CVM012-BULK","Bulk","0.004","kg","2022-11-22 01:42:01"
"","","BOTO-CVML12R1-W","Regular","1.0","Pc(s)",""
"","","CAPA-WCVML12R1-W","Regular","1.0","Pc(s)",""
"","","STIC-BCVML12R0-W","Regular","1.0","Pc(s)",""
"","","STIC-VCVML12R0-W","Regular","1.0","Pc(s)",""
"","","PS-CVMLMR1-W","Regular","1.0","Pc(s)",""
