"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/General Subcategory","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"L-REMO41-W","5","L-REMO41-BULK","Bulk","0.0035","kg"
"","","CAPC-EMLRLR0-WRL","Regular","1.0","Pc(s)"
"","","CONT-EMLRLR0-WRL","Regular","1.0","Pc(s)"
"","","STIC-BTEMO41R1-WCNF","Regular","1.0","Pc(s)"
"","","DUS-EMOR0-WIMVG","Regular","1.0","Pc(s)"
"","","STIC-BCEMO41R1-WCNF","Regular","1.0","Pc(s)"
"","","IBOX-12ELRLR1-W","Regular","0.08333","Pc(s)"
"","","KB-WLER1-KMK125CF","Regular","0.00694","Pc(s)"
"L-CVM011-W","5","L-CVM011-BULK","Bulk","0.004","kg"
"","","BOTO-CVML11R1-W","Regular","1.0","Pc(s)"
"","","CAPA-WCVML11R1-W","Regular","1.0","Pc(s)"
"","","STIC-BCVML11R0-W","Regular","1.0","Pc(s)"
"","","STIC-VCVMLM11R1-W","Regular","1.0","Pc(s)"
"","","PS-CVMLMR1-W","Regular","1.0","Pc(s)"
"","","IBOX-AR0-W","Regular","0.0625","Pc(s)"
"","","KB-WIOTAR1-W","Regular","0.00521","Pc(s)"
"TC-R2RE01-W","1","TC-PC02-BULK","Bulk","0.012","kg"
"","","CONT-ELERLR0-WPP","Regular","1.0","Pc(s)"
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)"
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)"
"","","PUFF-TWCNBRR1-W","Regular","1.0","Pc(s)"
"","","STIC-BTETCR1R0-WRL","Regular","1.0","Pc(s)"
"","","DUS-ETWCRR4-W","Regular","1.0","Pc(s)"
"","","STIC-VETWCR01R0-W","Regular","1.0","Pc(s)"
"","","KB-W6040R2-W","Regular","0.0222222","Pc(s)"
"TC-R2RE02-W","1","TC-PC08-BULK","Bulk","0.012","kg"
"","","CONT-ELERLR0-WPP","Regular","1.0","Pc(s)"
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)"
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)"
"","","PUFF-TWCNBRR1-W","Regular","1.0","Pc(s)"
"","","STIC-BTETCR2R0-WRL","Regular","1.0","Pc(s)"
"","","DUS-ETWCRR4-W","Regular","1.0","Pc(s)"
"","","STIC-VETWCR02R0-W","Regular","1.0","Pc(s)"
"","","KB-W6040R2-W","Regular","0.0222222","Pc(s)"
"TC-R2RE03-W","1","TC-PC03-BULK","Bulk","0.012","kg"
"","","CONT-ELERLR0-WPP","Regular","1.0","Pc(s)"
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)"
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)"
"","","PUFF-TWCNBRR1-W","Regular","1.0","Pc(s)"
"","","STIC-BTETCR3R0-WRL","Regular","1.0","Pc(s)"
"","","DUS-ETWCRR4-W","Regular","1.0","Pc(s)"
"","","STIC-VETWCR03R0-W","Regular","1.0","Pc(s)"
"","","KB-W6040R2-W","Regular","0.0222222","Pc(s)"
"TC-R2RE04-W","1","TC-PC04-BULK","Bulk","0.012","kg"
"","","CONT-ELERLR0-WPP","Regular","1.0","Pc(s)"
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)"
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)"
"","","PUFF-TWCNBRR1-W","Regular","1.0","Pc(s)"
"","","STIC-BTETCR4R0-WRL","Regular","1.0","Pc(s)"
"","","DUS-ETWCRR4-W","Regular","1.0","Pc(s)"
"","","STIC-VETWCR04R0-W","Regular","1.0","Pc(s)"
"","","KB-W6040R2-W","Regular","0.0222222","Pc(s)"
"TC-R2RE05-W","1","TC-PC05-BULK","Bulk","0.012","kg"
"","","CONT-ELERLR0-WPP","Regular","1.0","Pc(s)"
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)"
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)"
"","","PUFF-TWCNBRR1-W","Regular","1.0","Pc(s)"
"","","STIC-BTETCR5R0-WRL","Regular","1.0","Pc(s)"
"","","DUS-ETWCRR4-W","Regular","1.0","Pc(s)"
"","","STIC-VETWCR05R0-W","Regular","1.0","Pc(s)"
"","","KB-W6040R2-W","Regular","0.0222222","Pc(s)"
"CUS-REFC01-W","4","CUS-EFC01-BULK","Bulk","0.015","kg"
"","","CONT-REFCCR0-W","Regular","1.0","Pc(s)"
"","","CONT-ICEFCCR0-W","Regular","1.0","Pc(s)"
"","","ISPO-IPE4712R0-X","Regular","1.0","Pc(s)"
"","","STIC-SEFCCR0-W","Regular","1.0","Pc(s)"
"","","PUFF-EFCCR0-W","Regular","1.0","Pc(s)"
"","","STIC-BREFCC1R0-W","Regular","1.0","Pc(s)"
"","","SACH-REFCCR0-W","Regular","1.0","Pc(s)"
"","","DUS-REFCC01R0-W","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.02083","Pc(s)"
"CUS-REFC02-W","4","CUS-EFC02-BULK","Bulk","0.015","kg"
"","","CONT-REFCCR0-W","Regular","1.0","Pc(s)"
"","","CONT-ICEFCCR0-W","Regular","1.0","Pc(s)"
"","","ISPO-IPE4712R0-X","Regular","1.0","Pc(s)"
"","","STIC-SEFCCR0-W","Regular","1.0","Pc(s)"
"","","PUFF-EFCCR0-W","Regular","1.0","Pc(s)"
"","","STIC-BREFCC2R0-W","Regular","1.0","Pc(s)"
"","","SACH-REFCCR0-W","Regular","1.0","Pc(s)"
"","","DUS-REFCC02R0-W","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.02083","Pc(s)"
"CUS-REFC03-W","4","CUS-EFC03-BULK","Bulk","0.015","kg"
"","","CONT-REFCCR0-W","Regular","1.0","Pc(s)"
"","","CONT-ICEFCCR0-W","Regular","1.0","Pc(s)"
"","","ISPO-IPE4712R0-X","Regular","1.0","Pc(s)"
"","","STIC-SEFCCR0-W","Regular","1.0","Pc(s)"
"","","PUFF-EFCCR0-W","Regular","1.0","Pc(s)"
"","","STIC-BREFCC3R0-W","Regular","1.0","Pc(s)"
"","","SACH-REFCCR0-W","Regular","1.0","Pc(s)"
"","","DUS-REFCC03R0-W","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.02083","Pc(s)"
"CUS-REFC04-W","4","CUS-EFC04-BULK","Bulk","0.015","kg"
"","","CONT-REFCCR0-W","Regular","1.0","Pc(s)"
"","","CONT-ICEFCCR0-W","Regular","1.0","Pc(s)"
"","","STIC-SEFCCR0-W","Regular","1.0","Pc(s)"
"","","ISPO-IPE4712R0-X","Regular","1.0","Pc(s)"
"","","PUFF-EFCCR0-W","Regular","1.0","Pc(s)"
"","","STIC-BREFCC4R0-W","Regular","1.0","Pc(s)"
"","","SACH-REFCCR0-W","Regular","1.0","Pc(s)"
"","","DUS-REFCC04R0-W","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.02083","Pc(s)"
"MY-LCM01-EM","3 (INLINE)","L-CM01-BULK","Bulk","0.0055","kg"
"","","BOTO-PCMR1-E","Regular","1.0","Pc(s)"
"","","CAPA-CMR0-EM","Regular","1.0","Pc(s)"
"","","STIC-BOTCMCCR2-EOPP","Regular","1.0","Pc(s)"
"","","DUS-CMCCR2-E","Regular","1.0","Pc(s)"
"","","STIC-PANR1-EM","Regular","1.0","Pc(s)"
"","","IBOX-12EE-ED31","Regular","0.0833333","Pc(s)"
"","","KB-ECR1-KMK125CF","Regular","0.0069444","Pc(s)"
"P-SMA23-MO","1'","MASK-EL-MO","Sellable","1.0","Pc(s)"
"","","L-IMC008-MO6,5G","Sellable","1.0","Pc(s)"
"","","BOX-GOSFP-MO","Regular","1.0","Pc(s)"
"","","LEAF-FP23-MO","Regular","1.0","Pc(s)"
"","","STIC-SFPMO23-MO","Regular","2.0","Pc(s)"
"","","STIC-GOSL-MO","Regular","1.0","Pc(s)"
"","","KB-PBCR1-W","Regular","0.0714286","Pc(s)"
"P-SMB23-MO","1'","MASK-EL-MO","Sellable","1.0","Pc(s)"
"","","L-IMC003-MO6,5G","Sellable","1.0","Pc(s)"
"","","BOX-GOSFP-MO","Regular","1.0","Pc(s)"
"","","LEAF-FP23-MO","Regular","1.0","Pc(s)"
"","","STIC-SFPMO23-MO","Regular","2.0","Pc(s)"
"","","STIC-GOSS-MO","Regular","1.0","Pc(s)"
"","","KB-PBCR1-W","Regular","0.0714286","Pc(s)"
"P-BIGA23-MO","1'","REM-OIMW-MO","Sellable","1.0","Pc(s)"
"","","L-IMC011-MO6,5G","Sellable","1.0","Pc(s)"
"","","EL-HBS-MO1G","Sellable","1.0","Pc(s)"
"","","BOX-FGFP-MO","Regular","1.0","Pc(s)"
"","","LEAF-FP23-MO","Regular","1.0","Pc(s)"
"","","STIC-SFPMO23-MO","Regular","2.0","Pc(s)"
"","","STIC-FGP-MO","Regular","1.0","Pc(s)"
"","","KB-PBCR1-W","Regular","0.1111111","Pc(s)"
"P-BIGB23-MO","1'","REM-OIMW-MO","Sellable","1.0","Pc(s)"
"","","L-IMC019-MO6,5G","Sellable","1.0","Pc(s)"
"","","EL-HBS-MO1G","Sellable","1.0","Pc(s)"
"","","BOX-FGFP-MO","Regular","1.0","Pc(s)"
"","","LEAF-FP23-MO","Regular","1.0","Pc(s)"
"","","STIC-SFPMO23-MO","Regular","2.0","Pc(s)"
"","","STIC-FGV-MO","Regular","1.0","Pc(s)"
"","","KB-PBCR1-W","Regular","0.1111111","Pc(s)"
"MY-RBOIPCBBC01-W","2","BO-IPCBBC01-W5.6G","Sellable","1.0","Pc(s)"
"","","STIC-PAOEMBR0-EM","Regular","1.0","Pc(s)"
"MY-RBOIPCBBC02-W","2","BO-IPCBBC02-W5.6G","Sellable","1.0","Pc(s)"
"","","STIC-PAOEMBR0-EM","Regular","1.0","Pc(s)"
"MY-RLEVCL02-W","5 (INLINE)","L-EVCL02-BULK","Bulk","0.0055","kg"
"","","CAPA-ECLTR0-WASABS","Regular","1.0","Pc(s)"
