Kode Unik,Korporat Code Bulk,Korporat Code Material,Material Type,Quantity
BO-MMB05-BULK/2,BO-MMB05-BULK,CERE-810-,Raw Material,0.05
BO-MMB05-BULK/2,BO-MMB05-BULK,SFT-S649-X,Raw Material,0.03
BO-MMB05-BULK/2,BO-MMB05-BULK,SILI-4515-,Raw Material,0.1658
BO-MMB05-BULK/2,BO-MMB05-BULK,DRYF-PC-X,Raw Material,0.11
BO-MMB05-BULK/2,BO-MMB05-BULK,SALA-99--K,Raw Material,0.2457
BO-MMB05-BULK/2,BO-MMB05-BULK,COSM-222--K,Raw Material,0.08
BO-MMB05-BULK/2,BO-MMB05-BULK,WAX-PFRMSW-X,Raw Material,0.06
BO-MMB05-BULK/2,BO-MMB05-BULK,PEN-PRSVPE-X,Raw Material,0.008
BO-MMB05-BULK/2,BO-MMB05-BULK,PENG-SYM68-X,Raw Material,0.006
BO-MMB05-BULK/2,BO-MMB05-BULK,PEN-SENSC50-X,Raw Material,0.004
BO-MMB05-BULK/2,BO-MMB05-BULK,EMU-ACT-X,Raw Material,0.02
BO-MMB05-BULK/2,BO-MMB05-BULK,WAX-SBWX--X,Raw Material,0.03
BO-MMB05-BULK/2,BO-MMB05-BULK,TOSP-2000B-X,Raw Material,0.05
BO-MMB05-BULK/2,BO-MMB05-BULK,POWD-H53-X,Raw Material,0.02
BO-MMB05-BULK/2,BO-MMB05-BULK,STEA-DSP300-X,Raw Material,0.005
BO-MMB05-BULK/2,BO-MMB05-BULK,WARN-C19012-DCR6-K,Raw Material,0.002
BO-MMB05-BULK/2,BO-MMB05-BULK,WARN-TOA403-KF,Raw Material,0.008
BO-MMB05-BULK/2,BO-MMB05-BULK,VITA-DL E-MS,Raw Material,0.002
BO-MMB05-BULK/2,BO-MMB05-BULK,TITA--3328EW-K,Raw Material,0.0635
BO-MMB05-BULK/2,BO-MMB05-BULK,PARF-AMSKLG-X,Raw Material,0.0005
BO-MMB05-BULK/2,BO-MMB05-BULK,WARN-C338--K,Raw Material,0.035
BO-MMB05-BULK/2,BO-MMB05-BULK,WARN-C19011-R7CL-K,Raw Material,0.0045
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,ACTI-ADPL-X,Raw Material,0.02
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,ORGA-EXD-ARK,Raw Material,0.02
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,AIR-RO--L,Raw Material,0.54649
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,DPG-LO-,Raw Material,0.06
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,COVB-LH8-,Raw Material,0.02
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,ARMO-HD--K,Raw Material,0.08
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,GLYC--ECOS-K,Raw Material,0.08
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,SILI-2005-DC-K,Raw Material,0.04
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,EMUL-KF6017-X,Raw Material,0.02
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,ACTI-APSC-X,Raw Material,0.03
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,VITA-B3PC-X,Raw Material,0.03
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,WAX-CTHRFL-X,Raw Material,0.0075
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,EMUL-KSG210-X,Raw Material,0.015
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,PENG-PHC-X,Raw Material,0.01
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,EMUL-KSG710-X,Raw Material,0.01
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,EDT-B--K,Raw Material,0.001
SRM-CSAE-BULK/FS.DND.W0056-VER.01,SRM-CSAE-BULK,ACTI-RBN-X,Raw Material,0.005
