Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,,Tidak ada BOM
2PR--MO100ML/5,2PR--MO100ML,PLU-BB100N-,Packaging Material,1,Pc(s),,B-EL01-W
2PR--MO100ML/5,2PR--MO100ML,KB-MOSSTP-291145K150,Packaging Material,0.04167,Pc(s),,B-EL02-W
2PR--MO100ML/5,2PR--MO100ML,PS-PVCMUR-WPVC,Packaging Material,1,Pc(s),,B-EL03-W
2PR--MO100ML/5,2PR--MO100ML,BOTS-MUR100R0-MO,Intermediate,1,Pc(s),,B-EL04-W
2PR--MO100ML/5,2PR--MO100ML,CAP-BNG100HG-X,Packaging Material,1,Pc(s),,B-EXLP-MO
2PR--MO100ML/5,2PR--MO100ML,2PR-B-BULK,Semi Finished Goods,0.04,kg,,B-OMGL-OMG
2PR--MO100ML/5,2PR--MO100ML,2PR-A-BULK,Semi Finished Goods,0.06,kg,,B-OMGM-OMG
A-BPCB-BULK/8,A-BPCB-BULK,EMUL-TGI20-X,Raw Material,0.1,kg,,B-R4L02B-W
A-BPCB-BULK/8,A-BPCB-BULK,OIL-TTOIDS-X,Raw Material,0.001,kg,,B-R4L03I-W
A-BPCB-BULK/8,A-BPCB-BULK,ACTI-VEAC-X,Raw Material,0.001,kg,,B-RBSLP-EM
A-BPCB-BULK/8,A-BPCB-BULK,OIL-BLWHMO-X,Raw Material,0.8145,kg,,BBC-RL01N1-W
A-BPCB-BULK/8,A-BPCB-BULK,OPT-ASH--X,Raw Material,0.0075,kg,,BBC-RL01N2-W
A-BPCB-BULK/8,A-BPCB-BULK,WAX-PFRMSW-X,Raw Material,0.07,kg,,BBC-RL02N1-W
A-BPCB-BULK/8,A-BPCB-BULK,SNSP-SIH51-X,Raw Material,0.001,kg,,BBC-RL02N2-W
A-BPCB-BULK/8,A-BPCB-BULK,ASAM-SCAD-X,Raw Material,0.005,kg,,BL-BSEG01-B
A-BPCB-W20G/5,A-BPCB-W20G,A-BPCB-BULK,Semi Finished Goods,0.02,kg,,BL-BSMT01-B
A-BPCB-W20G/5,A-BPCB-W20G,CAP-CABPCB-WASABS,Packaging Material,1,Pc(s),,BO-BSA-MO
A-BPCB-W20G/5,A-BPCB-W20G,CONT-ABPCB-WASABS,Packaging Material,1,Pc(s),,BO-BSB-MO
A-BPCB-W20G/5,A-BPCB-W20G,STIC-BOTAPBBR1-WCNF,Packaging Material,1,Pc(s),,BO-BSC-MO
A-BPCB-W20G/5,A-BPCB-W20G,DUS-APBBR1-WACLG,Packaging Material,1,Pc(s),,BO-RBCC-MO
A-BPCB-W20G/5,A-BPCB-W20G,KB-W100BR2-KMM125BF,Packaging Material,0.02083,Pc(s),,BO-RBCS-MO
A-DM-W40ML/7,A-DM-W40ML,A-DM-BULK,Semi Finished Goods,0.04,kg,,BO-RBPPE-MO
A-DM-W40ML/7,A-DM-W40ML,DUS-ADM40CR1-WACLG,Packaging Material,1,Pc(s),,BO-RBPPI-MO
A-DM-W40ML/7,A-DM-W40ML,KB-WTHETAR1-W,Packaging Material,0.03333,Pc(s),,BO-RBSPF-MO
A-DM-W40ML/7,A-DM-W40ML,TUBE-ADM40R2-W,Packaging Material,1,Pc(s),,BO-RBSS-MO
A-FP-W20G/8,A-FP-W20G,DUS-AFPR2-WACLG,Packaging Material,1,Pc(s),,BO-RBST-MO
A-FP-W20G/8,A-FP-W20G,KB-W200R1-W,Packaging Material,0.02083,Pc(s),,BRUS-FTF-MO17CM
A-FP-W20G/8,A-FP-W20G,STIC-BTAFPRR2-W,Packaging Material,1,Pc(s),,BRUS-KBK-MO8.5CM
A-FP-W20G/8,A-FP-W20G,PUFF-AFP-WMFLH,Packaging Material,1,Pc(s),,CON-RLBBL01-W
A-FP-W20G/8,A-FP-W20G,SHIF-CAFPR1-W,Packaging Material,1,Pc(s),,D-DEN01-B
A-FP-W20G/8,A-FP-W20G,CONT-AFP-WASN,Packaging Material,1,Pc(s),,EB-IPEM03-W
A-FP-W20G/8,A-FP-W20G,A-FPW3-BULK,Semi Finished Goods,0.02,kg,,EB-IPEM04-W
A-FP-W20G/8,A-FP-W20G,CAP-CAFP-WASABS,Packaging Material,1,Pc(s),,EB-IPEM05-W
A-NTM-W40ML/5,A-NTM-W40ML,TUBE-ANTM40R1-W,Packaging Material,1,Pc(s),,EB-RDMCC-MO
A-NTM-W40ML/5,A-NTM-W40ML,A-NTM-BULK,Semi Finished Goods,0.04,kg,,EB-RDMLB-MO
A-NTM-W40ML/5,A-NTM-W40ML,DUS-ANTM40CR1-WACLG,Packaging Material,1,Pc(s),,EB-RIPB3M01-W
A-NTM-W40ML/5,A-NTM-W40ML,KB-WTHETAR1-W,Packaging Material,0.03333,Pc(s),,EB-RIPB3M02-W
A-PFC-W60ML/6,A-PFC-W60ML,A-PFC-BULK,Semi Finished Goods,0.06,kg,,EB-RIPEM01-W
A-PFC-W60ML/6,A-PFC-W60ML,KB-K100R1-W,Packaging Material,0.02778,Pc(s),,EB-RIPEM02-W
A-PFC-W60ML/6,A-PFC-W60ML,TUBE-APFC60R2-W,Packaging Material,1,Pc(s),,EL-IPHBR-W
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,BOTO-BNG100PVC-,Packaging Material,1,Pc(s),,EL-R2IPHPB-W
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,A-PRT-BULK,Semi Finished Goods,0.1,kg,,ES-IPA-W
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,CAP-BNG100P-,Packaging Material,1,Pc(s),,ES-IPB-W
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,PLU-BB100N-,Packaging Material,1,Pc(s),,ES-RTBG-MO
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,DUS-APFT100R1-WILG,Packaging Material,1,Pc(s),,ES-RTEB-MO
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,STIC-BAPRT100-WGCE,Packaging Material,1,Pc(s),,ES-RTGE-MO
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,STIC-FAPRT100-WGCE,Packaging Material,1,Pc(s),,ES-RTIS-MO
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,KB-W100BR2-KMM125BF,Packaging Material,0.05,Pc(s),,ES-RTLAFS-MO
A-SATG-W15ML/3,A-SATG-W15ML,A-SATG-BULK,Semi Finished Goods,0.015,kg,,ES-RTNN-MO
A-SATG-W15ML/3,A-SATG-W15ML,TUBE-ASATG15-W19LN,Packaging Material,1,Pc(s),,ES-RTSB-MO
A-SATG-W15ML/3,A-SATG-W15ML,KB-W100BR2-KMM125BF,Packaging Material,0.02381,Pc(s),,ES-TORN-MO
A-SATG-W15ML/3,A-SATG-W15ML,DUS-ASATG15R1-WACLG,Packaging Material,1,Pc(s),,ES-TPEPI-MO
B-BSLP-EM/7,B-BSLP-EM,B-BSLP-BULK,Semi Finished Goods,0.055,kg,,ES-TPUR-MO
