Kode Item Baru,Nama Item,MPQ Olah,MPQ Kemas,MPQ Supply,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,Sum,MPQ Kemas,MPQ Supply
2PR--MO100ML,MAKE OVER Make Up Remover 100 ml (Pc(s)),100,1236,1436,0,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,0,0,1236,,,25956,1236,1436
A-BPCB-W20G,Wardah Acnederm Pore Blackhead Balm 20 g (Pc(s)),120,5808,5828,0,0,0,5808,0,0,0,0,5808,0,0,0,5808,0,0,0,0,5808,0,0,0,0,5808,0,0,0,0,5808,0,0,0,0,5808,0,0,0,0,5808,0,0,0,5808,0,0,0,0,5808,0,0,0,0,5808,0,0,0,0,5808,0,0,0,0,5808,0,0,0,0,0,,,75504,5808,5828
A-DM-W40ML,Wardah Acnederm Day Moisturizer 40 ml (Pc(s)),600,13230,13627,0,13230,0,13230,13230,0,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,0,13230,0,,,542430,13230,13627
A-FP-W20G,Wardah Acnederm Face Powder 20 g (Pc(s)),60,2927,2947,0,2927,2927,2927,2927,2927,2927,0,2927,0,2927,2927,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,0,0,2927,,,160985,2927,2947
A-NTM-W40ML,Wardah Acnederm Night Treatment Moisturizer 40 ml (Pc(s)),1000,22980,23670,0,0,0,22980,0,0,22980,0,0,0,22980,0,0,22980,0,0,22980,0,0,0,22980,0,0,22980,0,0,0,22980,0,0,22980,0,0,0,22980,0,0,22980,0,0,0,22980,0,0,22980,0,0,0,22980,0,0,22980,0,0,0,22980,0,0,22980,0,0,0,22980,0,0,0,0,,,413640,22980,23670
A-PFC-W60ML,Wardah Acnederm Pure Foaming Cleanser 60 ml (Pc(s)),3000,47102,48102,47102,0,0,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,0,47102,0,,,1931182,47102,48102
A-PRT-W100ML,Wardah Acnederm Pore Refining Toner 100 ml (Pc(s)),1000,7929,8170,0,0,7929,7929,7929,7929,7929,7929,15858,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,15858,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,15858,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,15858,7929,7929,7929,0,0,7929,,,531243,7929,8170
A-SATG-W15ML,Wardah Acnederm Acne Spot Treatment Gel 15 ml (Pc(s)),300,17680,18211,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,0,0,,,601120,17680,18211
B-BSLP-EM,Emina Bright Stuff Loose Powder 55 g,300,5364,5384,32184,32184,32184,32184,32184,32184,0,0,37548,32184,32184,32184,37548,32184,32184,37548,32184,32184,32184,37548,32184,32184,32184,37548,32184,32184,32184,37548,32184,32184,32184,37548,32184,32184,37548,32184,32184,32184,37548,32184,32184,32184,37548,32184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1405368,5364,5384
B-CLCLPA-W,Wardah Colorfit Mattifying Powder 22N Light Ivory 15 g,20,1296,1316,0,2592,2592,2592,2592,2592,2592,0,2592,2592,2592,2592,2592,3888,2592,3888,2592,1296,2592,2592,2592,2592,1296,2592,2592,2592,1296,2592,2592,2592,1296,2592,2592,2592,1296,2592,2592,1296,2592,2592,2592,1296,2592,2592,1296,2592,2592,2592,1296,2592,2592,1296,2592,2592,2592,1296,2592,1296,1296,2592,1296,2592,2592,1296,1296,0,1296,,,146448,1296,1316
B-CLCLPB-W,Wardah Colorfit Mattifying Powder 23W Warm Ivory 15 g,20,1296,1316,3888,3888,2592,2592,2592,2592,2592,0,0,2592,2592,2592,3888,3888,2592,3888,2592,2592,2592,2592,2592,2592,2592,2592,2592,1296,2592,2592,2592,2592,2592,1296,2592,2592,2592,2592,2592,2592,1296,2592,2592,2592,2592,2592,1296,2592,2592,2592,2592,2592,2592,1296,2592,2592,2592,2592,2592,1296,1296,2592,1296,2592,2592,1296,1296,0,1296,,,158112,1296,1316
B-CLCLPC-W,Wardah Colorfit Mattifying Powder 32N Neutral Beige 15 g,20,1296,1316,6480,2592,2592,2592,3888,3888,0,0,2592,2592,2592,2592,3888,3888,2592,3888,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1296,2592,2592,2592,2592,2592,2592,2592,1296,2592,2592,2592,2592,2592,2592,1296,2592,2592,2592,2592,2592,2592,1296,2592,2592,2592,2592,1296,1296,2592,2592,2592,1296,2592,1296,0,1296,,,164592,1296,1316
B-CLCLPD-W,Wardah Colorfit Mattifying Powder 43W Golden Sand 15 g,10,645,665,0,645,0,1290,1290,1290,645,0,645,645,1290,645,1935,1935,1290,1935,645,645,1290,645,645,1290,645,645,1290,645,1290,645,1290,645,645,1290,645,645,1290,645,645,645,1290,645,645,645,1290,645,645,1290,645,645,645,1290,645,645,645,1290,645,645,645,645,645,645,645,645,1290,645,0,0,645,,,55470,645,665
B-CPGR01-W,WARDAH CRYSTALLURE Precious Glow Radiance Powder 12 IVORY 18 g,7,384,404,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384,0,0,384,0,0,384,0,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,0,384,0,0,0,0,384,,,6528,384,404
B-CPGR02-W,WARDAH CRYSTALLURE Precious Glow Radiance Powder 13 BEIGE 18 g,7,384,404,0,0,0,0,0,384,0,0,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,384,0,0,0,0,0,,,7296,384,404
B-DMCP01-EM,Emina Daily Matte Compact Powder 01 Light 11 g,60,4968,4988,0,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,0,4968,,,218592,4968,4988
B-DMCP02-EM,Emina Daily Matte Compact Powder 02 Natural 11 g,60,4968,4988,9936,9936,9936,4968,4968,0,0,0,0,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,0,0,4968,,,387504,4968,4988
B-DMCP03-EM,Emina Daily Matte Compact Powder 03 Caramel 11 g,60,4788,4808,4788,0,4788,0,4788,0,0,0,4788,0,4788,0,4788,0,4788,0,4788,4788,0,4788,0,4788,0,4788,0,4788,0,4788,4788,0,4788,0,4788,0,4788,0,4788,4788,0,4788,0,4788,0,4788,4788,0,4788,0,4788,0,4788,4788,0,4788,0,4788,0,4788,0,4788,4788,0,4788,0,0,4788,0,,,167580,4788,4808
B-DMCP04-EM,Emina Daily Matte Compact Powder 04 Mocca 11 g,10,864,884,0,864,864,864,864,864,864,0,864,0,864,864,864,864,864,864,0,864,864,864,864,864,0,864,864,864,864,864,0,864,864,864,864,864,864,0,864,864,864,864,864,864,864,864,864,864,864,864,864,0,864,864,864,864,864,864,864,864,864,864,864,0,864,864,0,864,0,,,48384,864,884
B-DMLP01-EM,Emina Daily Matte Loose Powder 01 Light Beige 20 g,60,2927,2947,2927,2927,2927,2927,2927,2927,0,0,0,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,0,2927,2927,0,0,,,166839,2927,2947
B-DMLP02-EM,Emina Daily Matte Loose Powder 02 Natural Beige 20 g,100,4960,4980,4960,4960,4960,4960,4960,0,0,0,4960,4960,4960,4960,4960,4960,4960,4960,0,4960,4960,4960,4960,4960,4960,4960,4960,4960,0,4960,4960,4960,4960,4960,4960,4960,4960,4960,4960,0,4960,4960,4960,4960,4960,4960,4960,4960,4960,4960,0,4960,4960,4960,4960,4960,4960,4960,4960,4960,0,4960,4960,4960,4960,4960,0,4960,0,,,282720,4960,4980
B-EL01-W,Wardah Elevate Loose Powder 01 15 g,100,6421,6441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6421,6421,6441
B-EL02-W,Wardah Elevate Loose Powder 02 15 g,100,6421,6441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6421,6421,6441
B-EL03-W,Wardah Elevate Loose Powder 03 15 g,100,6421,6441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6421,6421,6441
B-EL04-W,Wardah Elevate Loose Powder 04 15 g,60,2890,2910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2890,2890,2910
B-EXLP-MO,MAKE OVER Expert Loose Powder 15 g,100,3820,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3820,0,0,0,0,0,0,3820,0,0,0,0,0,3820,0,,,15280,3820,3840
B-HRFP-MO,MAKE OVER Hydrastay Radiant Finishing Powder 8 gr,10,1176,1196,0,0,1176,1176,0,1176,1176,0,0,1176,1176,1176,0,1176,1176,0,1176,1176,0,1176,1176,0,1176,1176,0,1176,1176,0,1176,1176,0,1176,1176,1176,0,1176,1176,0,1176,1176,0,1176,1176,0,1176,1176,0,1176,1176,0,1176,1176,0,1176,1176,1176,0,1176,1176,0,1176,1176,0,1176,0,0,1176,,,50568,1176,1196
B-IPQSP11-W,Instaperfect QUICKMATTE Loose Powder 11 Fair Pink 9 g,7,720,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,720,0,0,720,0,0,0,720,0,0,0,720,0,0,720,0,0,0,720,0,0,0,720,0,0,0,720,0,0,720,0,0,0,720,0,0,0,720,0,0,0,720,0,0,0,720,0,0,0,,,10080,720,740
B-IPQSP12-W,Instaperfect QUICKMATTE Loose Powder 22 Light Ivory 9 g,7,720,740,720,720,720,0,720,0,720,0,720,720,0,720,0,720,0,720,720,0,720,0,720,0,720,720,0,720,0,720,0,720,720,0,720,0,720,0,720,0,720,720,0,720,0,720,0,720,720,0,720,0,720,0,720,720,0,720,0,720,0,720,0,720,0,720,0,0,0,,,26640,720,740
B-IPQSP13-W,Instaperfect QUICKMATTE Loose Powder 32 True Beige 9 g,7,720,740,1440,0,720,720,0,720,720,0,0,720,720,0,720,0,720,720,0,720,0,720,720,0,720,0,720,720,0,720,0,720,720,0,720,0,720,720,0,720,0,720,720,0,720,0,720,720,0,720,0,720,720,0,720,0,720,720,0,720,0,720,0,720,0,720,0,0,0,,,28080,720,740
B-IPQSP14-W,Instaperfect QUICKMATTE Loose Powder 33 Warm Olive 9 g,7,720,740,0,0,720,0,720,0,720,0,720,0,720,0,720,0,0,720,0,720,0,720,0,720,0,720,0,720,0,0,720,0,720,0,720,0,720,0,720,0,0,720,0,720,0,720,0,720,0,720,0,720,0,0,720,0,720,0,720,0,0,720,0,720,0,0,0,720,0,,,"20,880",720,740
B-IPQSP15-W,Instaperfect QUICKMATTE Loose Powder 43 Creme Sand 9 g,7,720,740,1440,0,720,720,720,0,0,0,0,0,720,0,720,0,720,0,0,720,0,720,0,720,0,0,720,0,720,0,0,720,0,720,0,720,0,0,720,0,720,0,720,0,0,720,0,720,0,720,0,0,720,0,720,0,720,0,0,720,0,0,720,0,0,720,0,0,0,,,20160,720,740
B-IPQSP16-W,Instaperfect QUICKMATTE Loose Powder 52 Almond 9 g,7,720,740,720,0,720,0,720,0,720,0,0,720,0,0,720,0,0,720,0,720,0,0,720,0,720,0,0,720,0,720,0,0,720,0,720,0,0,720,0,720,0,0,720,0,720,0,0,720,0,0,720,0,720,0,0,720,0,720,0,0,720,0,0,720,0,0,0,720,0,,,18720,720,740
B-NFSDMCP02-EM,Emina NFS Daily Matte Compact Powder 02 Natural 4 g,80,15300,15300,0,0,0,0,0,0,0,0,15300,15300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30600,15300,15300
B-OMGL-OMG,OMG Loose Powder Light 20 g,300,14560,14570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,14560,14570
