Kode,Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,,BULK,Cek Bahan Antara,Bahan Antara
LAR-BE-BULK,LAR-BE-BULK/,LAR-BE-BULK,EMUL-DERMSOLP-,Raw Material,0.006000,,,LAR-BE-BULK,LAR-BE-BULK
LAR-BE-BULK,LAR-BE-BULK/,LAR-BE-BULK,PEN-PRSVPE-X,Raw Material,0.006000,,,LAR-KOH30%-BULK,LAR-BE-BULK
LAR-BE-BULK,LAR-BE-BULK/,LAR-BE-BULK,WARN-BB--K,Raw Material,0.000180,,,LAR-LICODDC-BULK,LAR-BE-BULK
LAR-LICODDC-BULK,LAR-LICODDC-BULK/,LAR-LICODDC-BULK,LICO-D-EXTPT40-G,Raw Material,0.000050,,,LAR-LTE-BULK,LAR-LICODDC-BULK
LAR-LICODDC-BULK,LAR-LICODDC-BULK/,LAR-LICODDC-BULK,SILI-2005-DC-K,Raw Material,0.999960,,,LAR-SF30-BULK,LAR-LICODDC-BULK
LAR-LTE-BULK,LAR-LTE-BULK/,LAR-LTE-BULK,EMUL-DERMSOLP-,Raw Material,0.006000,,,LAR-WGL%-BULK,LAR-LTE-BULK
LAR-LTE-BULK,LAR-LTE-BULK/,LAR-LTE-BULK,PEN-PRSVPE-X,Raw Material,0.006000,,,LAR-WMHTG-BULK,LAR-LTE-BULK
LAR-LTE-BULK,LAR-LTE-BULK/,LAR-LTE-BULK,WARN-CAR--K,Raw Material,0.002720,,,WARN-A450TDMS-BULK,LAR-LTE-BULK
LAR-WGL%-BULK,LAR-WGL%-BULK/,LAR-WGL%-BULK,OIL-BLWHMO-X,Raw Material,0.999800,,,WARN-B-BULK,LAR-WGL%-BULK
LAR-WGL%-BULK,LAR-WGL%-BULK/,LAR-WGL%-BULK,WARN-GREE16-,Raw Material,0.000400,,,WARN-C196619-BULK,LAR-WGL%-BULK
LAR-WMHTG-BULK,LAR-WMHTG-BULK/,LAR-WMHTG-BULK,EMUL-DERMSOLP-,Raw Material,0.006010,,,WARN-CB338073-BULK,LAR-WMHTG-BULK
LAR-WMHTG-BULK,LAR-WMHTG-BULK/,LAR-WMHTG-BULK,PEN-PRSVPE-X,Raw Material,0.006010,,,WARN-CBBLKAIO-BULK,LAR-WMHTG-BULK
LAR-WMHTG-BULK,LAR-WMHTG-BULK/,LAR-WMHTG-BULK,WARN-RED33-X,Raw Material,0.010000,,,WARN-CBC19011-BULK,LAR-WMHTG-BULK
