Kode Unik,Factory,Kode Item,Kode Bulk,MPQ Olah,MPQ Kemas,% Fase,Rumus Bulk,MPQ Supply,W21/2023,W22/2023,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,Kode Formula
2PR--MO100ML/2PR-A-BULK,Liquid factory,2PR--MO100ML,2PR-A-BULK,100,"1,436",0.5,2PR-A-BULK/1,1436,0,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,0,1236,0,0,1236,0,0,1236,0,0,0,0,1236,2PR-A-BULK/22
2PR--MO100ML/2PR-B-BULK,Liquid factory,2PR--MO100ML,2PR-B-BULK,100,"1,436",0.5,2PR-B-BULK/1,1436,0,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,1236,0,0,0,1236,0,0,1236,0,0,1236,0,0,0,0,1236,2PR-B-BULK/12
A-BPCB-W20G/A-BPCB-BULK,Semisolid factory,A-BPCB-W20G,A-BPCB-BULK,40,"1,940",1,A-BPCB-BULK/1,1940,1920,1920,0,0,1920,0,1920,1920,0,1920,0,1920,0,1920,0,1920,1920,0,1920,0,1920,0,1920,0,1920,1920,0,1920,0,1920,0,1920,1920,0,1920,0,1920,0,1920,0,1920,1920,0,1920,0,1920,0,1920,0,1920,1920,0,1920,0,1920,0,1920,0,1920,1920,0,1920,0,1920,0,0,0,0,A-BPCB-BULK/FF.RND.W399.03
A-DM-W40ML/A-DM-BULK,Liquid factory,A-DM-W40ML,A-DM-BULK,600,"13,627",1,A-DM-BULK/1,13627,0,13230,0,13230,0,0,13230,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,0,13230,13230,0,0,0,13230,A-DM-BULK/8
A-FP-W20G/A-FPW3-BULK,Powder factory,A-FP-W20G,A-FPW3-BULK,60,"2,804",1,A-FPW3-BULK/1,2804,2784,2784,0,2784,0,2784,2784,2784,0,2784,2784,0,2784,2784,2784,0,2784,2784,0,2784,2784,2784,0,2784,2784,2784,0,2784,2784,0,2784,2784,2784,0,2784,2784,0,2784,2784,2784,0,2784,2784,0,2784,2784,2784,0,2784,2784,2784,0,2784,2784,0,2784,2784,2784,0,2784,2784,0,2784,2784,2784,0,0,0,A-FPW3-BULK/26
A-NTM-W40ML/A-NTM-BULK,Liquid factory,A-NTM-W40ML,A-NTM-BULK,"1,000","23,670",1,A-NTM-BULK/1,23670,0,0,0,22980,0,0,0,0,22980,0,0,0,22980,0,0,0,22980,0,0,0,22980,0,0,0,0,22980,0,0,0,22980,0,0,0,22980,0,0,0,22980,0,0,0,0,22980,0,0,0,22980,0,0,0,22980,0,0,0,22980,0,0,0,0,22980,0,0,0,22980,0,0,0,0,A-NTM-BULK/10
A-PFC-W60ML/A-PFC-BULK,Liquid factory,A-PFC-W60ML,A-PFC-BULK,"3,000","48,102",1,A-PFC-BULK/1,48102,47102,47102,47102,0,47102,0,47102,47102,0,0,47102,47102,0,47102,0,47102,0,47102,47102,0,47102,0,47102,47102,0,47102,0,47102,47102,0,47102,0,47102,0,47102,47102,0,47102,0,47102,47102,0,47102,0,47102,47102,0,47102,0,47102,0,47102,47102,0,47102,0,47102,47102,0,47102,0,47102,47102,0,47102,0,0,0,A-PFC-BULK/8
A-PRT-W100ML/A-PRT-BULK,Liquid factory,A-PRT-W100ML,A-PRT-BULK,"1,000","8,170",1,A-PRT-BULK/1,8170,0,0,7929,7929,7929,0,7929,7929,7929,7929,7929,7929,7929,7929,0,7929,7929,7929,7929,7929,7929,7929,0,7929,7929,7929,7929,7929,7929,7929,0,7929,7929,7929,7929,7929,7929,7929,7929,0,7929,7929,7929,7929,7929,7929,7929,0,7929,7929,7929,7929,7929,7929,7929,0,7929,7929,7929,7929,7929,7929,7929,7929,0,7929,0,0,A-PRT-BULK/7
A-SATG-W15ML/A-SATG-BULK,Liquid factory,A-SATG-W15ML,A-SATG-BULK,300,"18,211",1,A-SATG-BULK/1,18211,0,0,0,17680,0,17680,0,0,17680,0,0,17680,0,17680,0,17680,0,17680,0,0,17680,0,17680,0,17680,0,0,17680,0,17680,0,17680,0,17680,0,0,17680,0,17680,0,17680,0,0,17680,0,17680,0,17680,0,0,17680,0,17680,0,17680,0,17680,0,0,17680,0,0,17680,0,0,17680,0,0,A-SATG-BULK/2
B-BSLP-EM/B-BSLP-BULK,Powder factory,B-BSLP-EM,B-BSLP-BULK,300,"5,312",1,B-BSLP-BULK/1,5312,37044,31752,15876,31752,37044,31752,31752,31752,37044,31752,31752,37044,31752,31752,31752,37044,31752,31752,31752,37044,31752,31752,31752,6444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-BSLP-BULK/20
