Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity
SRM-AN-BULK/FPS.RND.G19.02,AIR-RO--L,Raw Material,0.80420
SRM-AN-BULK/FPS.RND.G19.02,GLYC--ECOS-K,Raw Material,0.05000
SRM-AN-BULK/FPS.RND.G19.02,PR-ZPRDL-X,Raw Material,0.04000
SRM-AN-BULK/FPS.RND.G19.02,VITA-B3UPPC-X,Raw Material,0.04000
SRM-AN-BULK/FPS.RND.G19.02,MOIS-TR100-X,Raw Material,0.03000
SRM-AN-BULK/FPS.RND.G19.02,DPG-LO-,Raw Material,0.01000
SRM-AN-BULK/FPS.RND.G19.02,PENG-PHC-X,Raw Material,0.00800
SRM-AN-BULK/FPS.RND.G19.02,ASAM-SCAD-X,Raw Material,0.00500
SRM-AN-BULK/FPS.RND.G19.02,THIC-VZNFC-X,Raw Material,0.00300
SRM-AN-BULK/FPS.RND.G19.02,ALAN-SL--X,Raw Material,0.00200
SRM-AN-BULK/FPS.RND.G19.02,EMUL-DERMSOLP-,Raw Material,0.00100
SRM-AN-BULK/FPS.RND.G19.02,EDT-DSLV-X,Raw Material,0.00100
SRM-AN-BULK/FPS.RND.G19.02,AJID-ZN100-X,Raw Material,0.00100
SRM-AN-BULK/FPS.RND.G19.02,ACTI-RYKA-X,Raw Material,0.00010
SRM-AN-BULK/FPS.RND.G19.02,STAY--DSMR-K,Raw Material,0.00010
SRM-AN-BULK/FPS.RND.G19.02,VIT-ATCAT-X,Raw Material,0.00010
SRM-AN-BULK/FPS.RND.G19.02,LAR-SF30-BULK,Intermediate,0.00450
HBW-ETBWA-BULK/FPS.RND.W185.03,EXTR-BMBE-X,Raw Material,0.00010
HBW-ETBWA-BULK/FPS.RND.W185.03,SURF-EC702C-X,Raw Material,0.08000
HBW-ETBWA-BULK/FPS.RND.W185.03,MENT--CEPB-K,Raw Material,0.00100
HBW-ETBWA-BULK/FPS.RND.W185.03,LAUR-A9912-X,Raw Material,0.08000
HBW-ETBWA-BULK/FPS.RND.W185.03,EXTR-PEPGLYE-X,Raw Material,0.00010
HBW-ETBWA-BULK/FPS.RND.W185.03,GLYC--ECOS-K,Raw Material,0.06000
HBW-ETBWA-BULK/FPS.RND.W185.03,EDT-B--K,Raw Material,0.00100
HBW-ETBWA-BULK/FPS.RND.W185.03,AIR-RO--L,Raw Material,0.57499
HBW-ETBWA-BULK/FPS.RND.W185.03,STB-TL-X,Raw Material,0.00010
HBW-ETBWA-BULK/FPS.RND.W185.03,LAR-BE-BULK,Intermediate,0.00170
HBW-ETBWA-BULK/FPS.RND.W185.03,WARN-K-BULK,Intermediate,0.00001
HBW-ETBWA-BULK/FPS.RND.W185.03,ALAN--AK-K,Raw Material,0.00300
HBW-ETBWA-BULK/FPS.RND.W185.03,MYRI-MYTM-X,Raw Material,0.04000
HBW-ETBWA-BULK/FPS.RND.W185.03,ASAM-SCAD-X,Raw Material,0.00500
HBW-ETBWA-BULK/FPS.RND.W185.03,SURF-CCAB-X,Raw Material,0.04000
HBW-ETBWA-BULK/FPS.RND.W185.03,GARA-RFS-X,Raw Material,0.00500
HBW-ETBWA-BULK/FPS.RND.W185.03,PEN-PRSVPE-X,Raw Material,0.00600
HBW-ETBWA-BULK/FPS.RND.W185.03,AJID--NL-K,Raw Material,0.01000
HBW-ETBWA-BULK/FPS.RND.W185.03,SAMP-MJDRMOD2-X,Raw Material,0.02150
HBW-ETBWA-BULK/FPS.RND.W185.03,KOH--PH-K,Raw Material,0.03750
HBW-ETBWA-BULK/FPS.RND.W185.03,RHM-DREAQA-X,Raw Material,0.03300
TC-R4LEC01-BULK/FPS.RND.W300.00,SERI-CSF-X,Raw Material,0.20000
TC-R4LEC01-BULK/FPS.RND.W300.00,POWD-TGDS-X,Raw Material,0.10570
TC-R4LEC01-BULK/FPS.RND.W300.00,SERI-202LL-X,Raw Material,0.15000
TC-R4LEC01-BULK/FPS.RND.W300.00,POWD-GH52-X,Raw Material,0.10000
TC-R4LEC01-BULK/FPS.RND.W300.00,POWD-TGDS-X,Raw Material,0.10000
TC-R4LEC01-BULK/FPS.RND.W300.00,CABO-M5-X,Raw Material,0.02000
TC-R4LEC01-BULK/FPS.RND.W300.00,ZINC-STW-X,Raw Material,0.02000
TC-R4LEC01-BULK/FPS.RND.W300.00,IPM-CRDSG-X,Raw Material,0.02000
TC-R4LEC01-BULK/FPS.RND.W300.00,COSM-168ARV-X,Raw Material,0.01000
TC-R4LEC01-BULK/FPS.RND.W300.00,LAR-LICODDC-BULK,Intermediate,0.01000
TC-R4LEC01-BULK/FPS.RND.W300.00,EUTA-G-X,Raw Material,0.01000
TC-R4LEC01-BULK/FPS.RND.W300.00,PEN-PRSVPE-X,Raw Material,0.00800
TC-R4LEC01-BULK/FPS.RND.W300.00,VITA-B3UPPC-X,Raw Material,0.00500
TC-R4LEC01-BULK/FPS.RND.W300.00,PEN-SENSC50-X,Raw Material,0.00400
TC-R4LEC01-BULK/FPS.RND.W300.00,BHT-CRTL-X,Raw Material,0.00100
TC-R4LEC01-BULK/FPS.RND.W300.00,PARF-AMSKLG-X,Raw Material,0.00040
TC-R4LEC01-BULK/FPS.RND.W300.00,TIT-CR50HD-X,Raw Material,0.18000
TC-R4LEC01-BULK/FPS.RND.W300.00,WARN-YLW3AS-X,Raw Material,0.03574
TC-R4LEC01-BULK/FPS.RND.W300.00,WARN-RED3ASTDMS-BULK,Intermediate,0.01124
TC-R4LEC01-BULK/FPS.RND.W300.00,WARN-UNPBRWNL88-X,Raw Material,0.00554
TC-R4LEC01-BULK/FPS.RND.W300.00,WARN-TETDMS-BULK,Intermediate,0.00337
TC-R4LEC04-BULK/FPS.RND.W303.00,SERI-CSF-X,Raw Material,0.20000
TC-R4LEC04-BULK/FPS.RND.W303.00,POWD-TGDS-X,Raw Material,0.20656
TC-R4LEC04-BULK/FPS.RND.W303.00,SERI-202LL-X,Raw Material,0.15000
TC-R4LEC04-BULK/FPS.RND.W303.00,POWD-GH52-X,Raw Material,0.10000
TC-R4LEC04-BULK/FPS.RND.W303.00,POWD-TGDS-X,Raw Material,0.10000
TC-R4LEC04-BULK/FPS.RND.W303.00,CABO-M5-X,Raw Material,0.02000
TC-R4LEC04-BULK/FPS.RND.W303.00,ZINC-STW-X,Raw Material,0.02000
TC-R4LEC04-BULK/FPS.RND.W303.00,IPM-CRDSG-X,Raw Material,0.02000
TC-R4LEC04-BULK/FPS.RND.W303.00,COSM-168ARV-X,Raw Material,0.01000
TC-R4LEC04-BULK/FPS.RND.W303.00,LAR-LICODDC-BULK,Intermediate,0.01000
TC-R4LEC04-BULK/FPS.RND.W303.00,EUTA-G-X,Raw Material,0.01000
TC-R4LEC04-BULK/FPS.RND.W303.00,PEN-PRSVPE-X,Raw Material,0.00800
TC-R4LEC04-BULK/FPS.RND.W303.00,VITA-B3UPPC-X,Raw Material,0.00500
TC-R4LEC04-BULK/FPS.RND.W303.00,PEN-SENSC50-X,Raw Material,0.00400
TC-R4LEC04-BULK/FPS.RND.W303.00,BHT-CRTL-X,Raw Material,0.00100
TC-R4LEC04-BULK/FPS.RND.W303.00,PARF-AMSKLG-X,Raw Material,0.00040
TC-R4LEC04-BULK/FPS.RND.W303.00,TIT-CR50HD-X,Raw Material,0.06000
TC-R4LEC04-BULK/FPS.RND.W303.00,WARN-UNPBRWNL88-X,Raw Material,0.00980
TC-R4LEC04-BULK/FPS.RND.W303.00,WARN-A407-X,Raw Material,0.03015
TC-R4LEC04-BULK/FPS.RND.W303.00,WARN-A450TDMS-BULK,Intermediate,0.02109
TC-R4LEC04-BULK/FPS.RND.W303.00,WARN-TETDMS-BULK,Intermediate,0.01400
BP-MOEDP-BULK/FPS.RND.K25.01,SAMP-DEASB-X,Raw Material,0.57000
BP-MOEDP-BULK/FPS.RND.K25.01,SAMP-FRO867POD-X,Raw Material,0.18000
BP-MOEDP-BULK/FPS.RND.K25.01,AIR-RO--L,Raw Material,0.19300
BP-MOEDP-BULK/FPS.RND.K25.01,EMUL-DERMSOLP-,Raw Material,0.03500
BP-MOEDP-BULK/FPS.RND.K25.01,PARF-SPFXTV-X,Raw Material,0.02000
BP-MOEDP-BULK/FPS.RND.K25.01,UVAS-BZP2-X,Raw Material,0.00100
BP-MOEDP-BULK/FPS.RND.K25.01,ALAN--AK-K,Raw Material,0.00100
HBL-ETBMC-BULK/FPS.RND.W217.03,ALAN--AK-K,Raw Material,0.00500
HBL-ETBMC-BULK/FPS.RND.W217.03,SUNS-UVAPG-X,Raw Material,0.00800
HBL-ETBMC-BULK/FPS.RND.W217.03,PENG-PNX-X,Raw Material,0.00800
HBL-ETBMC-BULK/FPS.RND.W217.03,BHT-CRTL-X,Raw Material,0.00050
HBL-ETBMC-BULK/FPS.RND.W217.03,STB-TL-X,Raw Material,0.00050
HBL-ETBMC-BULK/FPS.RND.W217.03,WARN-K-BULK,Intermediate,0.00010
HBL-ETBMC-BULK/FPS.RND.W217.03,LAR-WMHTG-BULK,Intermediate,0.00062
HBL-ETBMC-BULK/FPS.RND.W217.03,SAMP-RSLVL-X,Raw Material,0.01000
HBL-ETBMC-BULK/FPS.RND.W217.03,THIC-MNTVL-X,Raw Material,0.01000
HBL-ETBMC-BULK/FPS.RND.W217.03,KOH--PH-K,Raw Material,0.00108
HBL-ETBMC-BULK/FPS.RND.W217.03,ACTI-TINTT-X,Raw Material,0.00050
HBL-ETBMC-BULK/FPS.RND.W217.03,CARB-UT21P-X,Raw Material,0.00200
HBL-ETBMC-BULK/FPS.RND.W217.03,PANT--DL-K,Raw Material,0.00500
HBL-ETBMC-BULK/FPS.RND.W217.03,SEPI-305-SF-K,Raw Material,0.00500
HBL-ETBMC-BULK/FPS.RND.W217.03,EDT-B--K,Raw Material,0.00100
HBL-ETBMC-BULK/FPS.RND.W217.03,EXTR-VNLGE-X,Raw Material,0.00010
HBL-ETBMC-BULK/FPS.RND.W217.03,SAMP-RSWRBGR-X,Raw Material,0.00010
HBL-ETBMC-BULK/FPS.RND.W217.03,GLYC--ECOS-K,Raw Material,0.03000
HBL-ETBMC-BULK/FPS.RND.W217.03,UVIN-MC80-BASF,Raw Material,0.05000
HBL-ETBMC-BULK/FPS.RND.W217.03,AGF-9051-X,Raw Material,0.02350
HBL-ETBMC-BULK/FPS.RND.W217.03,AIR-RO--L,Raw Material,0.83900
HBL-ETBMA-BULK/FPS.RND.W219.02,LAR-BE-BULK,Intermediate,0.00950
HBL-ETBMA-BULK/FPS.RND.W219.02,LAR-LTE-BULK,Intermediate,0.00015
HBL-ETBMA-BULK/FPS.RND.W219.02,ACTI-TINTT-X,Raw Material,0.00050
HBL-ETBMA-BULK/FPS.RND.W219.02,STB-TL-X,Raw Material,0.00050
HBL-ETBMA-BULK/FPS.RND.W219.02,VITA-B3PC-X,Raw Material,0.04000
HBL-ETBMA-BULK/FPS.RND.W219.02,GLYC--ECOS-K,Raw Material,0.04000
HBL-ETBMA-BULK/FPS.RND.W219.02,AIR-RO--L,Raw Material,0.81390
HBL-ETBMA-BULK/FPS.RND.W219.02,CARB-UT21P-X,Raw Material,0.00200
HBL-ETBMA-BULK/FPS.RND.W219.02,SEPP-S400-,Raw Material,0.00300
HBL-ETBMA-BULK/FPS.RND.W219.02,EMU-CTL8-X,Raw Material,0.03000
HBL-ETBMA-BULK/FPS.RND.W219.02,AGF-9051-X,Raw Material,0.02700
HBL-ETBMA-BULK/FPS.RND.W219.02,PARF-MJTDM-X,Raw Material,0.01000
HBL-ETBMA-BULK/FPS.RND.W219.02,THIC-MNTVL-X,Raw Material,0.01000
HBL-ETBMA-BULK/FPS.RND.W219.02,PENG-PNX-X,Raw Material,0.00800
HBL-ETBMA-BULK/FPS.RND.W219.02,ALAN--AK-K,Raw Material,0.00100
HBL-ETBMA-BULK/FPS.RND.W219.02,EDT-B--K,Raw Material,0.00100
HBL-ETBMA-BULK/FPS.RND.W219.02,EXTR-PEPGLYE-X,Raw Material,0.00100
HBL-ETBMA-BULK/FPS.RND.W219.02,KOH--PH-K,Raw Material,0.00115
HBL-ETBMA-BULK/FPS.RND.W219.02,WARN-K-BULK,Intermediate,0.00030
HBL-ETBMA-BULK/FPS.RND.W219.02,EXTR-BMBE-X,Raw Material,0.00100
HBL-ETBMB-BULK/FPS.RND.W218.06,STB-TL-X,Raw Material,0.00050
