Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity
EB-DK-DB-BULK/28,SERI-OT2SFSE-,Raw Material,0.38120
EB-DK-DB-BULK/28,POWD-TDMS-,Raw Material,0.10000
EB-DK-DB-BULK/28,POLY-M-MP27-K,Raw Material,0.05000
EB-DK-DB-BULK/28,ASO--KB-K,Raw Material,0.05000
EB-DK-DB-BULK/28,SCRU-MP220-X,Raw Material,0.05000
EB-DK-DB-BULK/28,TIT-CR50AS-X,Raw Material,0.03000
EB-DK-DB-BULK/28,ZINC-STW-X,Raw Material,0.03000
EB-DK-DB-BULK/28,WARN-TOA403-KF,Raw Material,0.17599
EB-DK-DB-BULK/28,WARN-YLW3AS-X,Raw Material,0.03259
EB-DK-DB-BULK/28,WARN-TE--PBULK,Intermediate,0.02495
EB-DK-DB-BULK/28,WARN-BLCK-X,Raw Material,0.01680
EB-DK-DB-BULK/28,WARN-C394--K,Raw Material,0.00047
EB-DK-DB-BULK/28,EMU-DTC7-X,Raw Material,0.05000
EB-DK-DB-BULK/28,PENG-PNX-X,Raw Material,0.00800
SRM-CAB-BULK/FS.RND.W0054-VER.02,AIR-RO--L,Raw Material,0.82790
SRM-CAB-BULK/FS.RND.W0054-VER.02,HUM-HYTGEST-X,Raw Material,0.00500
SRM-CAB-BULK/FS.RND.W0054-VER.02,PARF-CTPSMOD-X,Raw Material,0.00020
SRM-CAB-BULK/FS.RND.W0054-VER.02,EDT-B--K,Raw Material,0.00050
SRM-CAB-BULK/FS.RND.W0054-VER.02,PENG-PHC-X,Raw Material,0.00750
SRM-CAB-BULK/FS.RND.W0054-VER.02,ALAN--AK-K,Raw Material,0.00100
SRM-CAB-BULK/FS.RND.W0054-VER.02,MATR-3000-X,Raw Material,0.03000
SRM-CAB-BULK/FS.RND.W0054-VER.02,MAC-MG20E-X,Raw Material,0.05000
SRM-CAB-BULK/FS.RND.W0054-VER.02,SILI-TSF3-,Raw Material,0.01500
SRM-CAB-BULK/FS.RND.W0054-VER.02,ACTI-MGCS-X,Raw Material,0.00300
SRM-CAB-BULK/FS.RND.W0054-VER.02,EMUL-PMLEZU-X,Raw Material,0.00100
SRM-CAB-BULK/FS.RND.W0054-VER.02,ACTI-ECTC-X,Raw Material,0.02000
SRM-CAB-BULK/FS.RND.W0054-VER.02,GLYC--ECOS-K,Raw Material,0.01000
SRM-CAB-BULK/FS.RND.W0054-VER.02,VITA-DL E-MS,Raw Material,0.00200
SRM-CAB-BULK/FS.RND.W0054-VER.02,EMU-SCM3EST-X,Raw Material,0.00500
SRM-CAB-BULK/FS.RND.W0054-VER.02,TRI--DOW-K,Raw Material,0.00040
SRM-CAB-BULK/FS.RND.W0054-VER.02,EMUL-NVMEC2PLM-X,Raw Material,0.00400
SRM-CAB-BULK/FS.RND.W0054-VER.02,VITA-B3PC-X,Raw Material,0.01750
FM-RLN2-BULK/FS.RND.W0159-VER.02,EMUL-PLUP-X,Raw Material,0.01000
FM-RLN2-BULK/FS.RND.W0159-VER.02,ALAN-SL--X,Raw Material,0.00500
FM-RLN2-BULK/FS.RND.W0159-VER.02,AIR-RO--L,Raw Material,0.54510
FM-RLN2-BULK/FS.RND.W0159-VER.02,PENG-PHC-X,Raw Material,0.00800
