"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity"
"HBW-BBSYHC-BULK","2","AIR-RO--L","Raw Material","0.451448"
"","","SURF-EC702C-X","Raw Material","0.21"
"","","SAMP-ASCOAS-X","Raw Material","0.07"
"","","RHM-DREAQA-X","Raw Material","0.06"
"","","SURF-CCAB-X","Raw Material","0.06"
"","","GLYC--ECOS-K","Raw Material","0.06"
"","","PARF-GRVYGA-X","Raw Material","0.022"
"","","AJID--NL-K","Raw Material","0.02"
"","","MERQ-MQ550PP-X","Raw Material","0.01"
"","","VITA-B3UPPC-X","Raw Material","0.01"
"","","PENG-NPGEHP-X","Raw Material","0.007"
"","","PANT--DL-K","Raw Material","0.01"
"","","SODA-C-ASA","Raw Material","0.0024"
"","","ALAN-SL--X","Raw Material","0.003"
"","","ACTI-SDMSP-X","Raw Material","0.001"
"","","EDT-B--K","Raw Material","0.001"
"","","SAMP-TSMP115-X","Raw Material","0.0001"
"","","ACTI-AICE06-X","Raw Material","1e-05"
"","","ACTI-GRPLMD-X","Raw Material","1e-05"
"","","ACTI-IVLNC-X","Raw Material","1e-05"
"","","LAR-BE-BULK","Intermediate","0.002"
"","","LAR-WMHTG-BULK","Intermediate","2.2e-05"
"TC-R4LEC03-BULK","FPS.RND.W302.00","SERI-CSF-X","Raw Material","0.2"
"","","POWD-TGDS-X","Raw Material","0.205537"
"","","SERI-202LL-X","Raw Material","0.15"
"","","POWD-GH52-X","Raw Material","0.1"
"","","POWD-TGDS-X","Raw Material","0.1"
"","","CABO-M5-X","Raw Material","0.02"
"","","ZINC-STW-X","Raw Material","0.02"
"","","IPM-CRDSG-X","Raw Material","0.02"
"","","COSM-168ARV-X","Raw Material","0.01"
"","","LAR-LICODDC-BULK","Intermediate","0.01"
"","","EUTA-G-X","Raw Material","0.01"
"","","PEN-PRSVPE-X","Raw Material","0.008"
"","","VITA-B3UPPC-X","Raw Material","0.005"
"","","PEN-SENSC50-X","Raw Material","0.004"
"","","BHT-CRTL-X","Raw Material","0.001"
"","","PARF-AMSKLG-X","Raw Material","0.0004"
"","","TIT-CR50HD-X","Raw Material","0.12"
"","","WARN-YLW3AS-X","Raw Material","0.003823"
"","","WARN-RED3ASTDMS-BULK","Intermediate","0.005827"
"","","WARN-UNPBRWNL88-X","Raw Material","0.006413"
"M-BRER-BULK","2","AIR-RO--L","Raw Material","0.66086"
"","","GLYC--ECOS-K","Raw Material","0.08"
"","","SQUA-AMYR-X","Raw Material","0.08"
"","","VASE-V3150-X","Raw Material","0.045"
"","","EMU-MTV6-X","Raw Material","0.03"
"","","EMU-CSAL-X","Raw Material","0.025"
"","","SILI-2005-DC-K","Raw Material","0.02"
"","","PENG-STPHL-X","Raw Material","0.015"
"","","ACTI-AICE06-X","Raw Material","0.01"
"","","ACTI-RCLRP-X","Raw Material","0.01"
"","","THIC-SPVE10-X","Raw Material","0.008"
"","","ALAN--AK-K","Raw Material","0.005"
"","","ACTI-RBN-X","Raw Material","0.005"
"","","SAMP-DPGRZ-X","Raw Material","0.002"
"","","KELT-CG-X","Raw Material","0.0015"
"","","PENG-CLRP-X","Raw Material","0.001"
"","","SAMP-SMBCLA-X","Raw Material","0.001"
"","","EDT-DSLV-X","Raw Material","0.00063"
"","","SAMP-VITB12C-X","Raw Material","1e-05"
"MB-COTR-BULK","FPS.RND.QB07.01","CRO1-GTCC-","Raw Material","0.94"
"","","OIL-A850029-X","Raw Material","0.001"
"","","SAMP-GRPSOIL-X","Raw Material","0.001"
"","","SAMP-SNFLWOIL-X","Raw Material","0.015"
"","","SAMP-REJJBOIL-X","Raw Material","0.04"
"","","VIT-ATCAT-X","Raw Material","0.003"
"FT-PHPRA-BULK","1","AIR-RO--L","Raw Material","0.872"
"","","EDT-DSLV-X","Raw Material","0.001"
"","","ALAN--AK-K","Raw Material","0.002"
"","","PENG-CLRP-X","Raw Material","0.001"
"","","AJID-ZN100-X","Raw Material","0.01"
"","","SAMP-BBRSAR-X","Raw Material","0.02"
"","","GLYC--ECOS-K","Raw Material","0.013"
"","","ACTI-HDR-X","Raw Material","0.007"
"","","HUM-GLU20-X","Raw Material","0.02"
"","","GLUC--MC","Raw Material","0.015"
"","","ACTI-SRCM-X","Raw Material","0.01"
"","","PEN-PRSVPE-X","Raw Material","0.005"
"","","LAR-SF30-BULK","Intermediate","0.02"
"","","CLAY-KAOSRG-X","Raw Material","0.002"
"","","POWD-H53-X","Raw Material","0.002"
"SRM-BRSR-BULK","4","BIO-HYAL-BIL","Raw Material","0.0005"
"","","MOIS-TR100-X","Raw Material","0.01"
"","","PR-ZPRDL-X","Raw Material","0.02"
"","","SAMP-WTRDSL-X","Raw Material","0.07"
"","","GLYC--ECOS-K","Raw Material","0.07"
"","","GARA-RFS-X","Raw Material","0.005"
"","","SAMP-SPHL-X","Raw Material","0.015"
"","","SILI-345-DC-K","Raw Material","0.05"
"","","ALAN--AK-K","Raw Material","0.002"
"","","ACTI-PCFL-X","Raw Material","0.03"
"","","ACTI-SKINFLV-X","Raw Material","0.01"
"","","AIR-RO--L","Raw Material","0.6267"
"","","EDT-DSLV-X","Raw Material","0.0008"
"","","MOIS-PTVT-X","Raw Material","0.01"
"","","SILI-CES1104-X","Raw Material","0.03"
"","","ACTI-RCLRP-X","Raw Material","0.05"
"FW-AG-BULK","1","AIR-RO--L","Raw Material","0.332"
"","","SURF-CCAB-X","Raw Material","0.22"
"","","SAMP-ASCOAS-X","Raw Material","0.21"
"","","GLYC--ECOS-K","Raw Material","0.1"
"","","HUM-PG400-X","Raw Material","0.05"
"","","SAMP-PTPSFN-X","Raw Material","0.05"
"","","PROP-PGESK-X","Raw Material","0.01"
"","","THIC-GLD120T-X","Raw Material","0.008"
"","","SAMP-RCSBZ-X","Raw Material","0.008"
"","","ASAM-SCAD-X","Raw Material","0.005"
"","","ALAN--AK-K","Raw Material","0.003"
"","","SAMP-BBRSAR-X","Raw Material","0.001"
"","","EDT-B--K","Raw Material","0.001"
"","","PENG-SYM68-X","Raw Material","0.001"
"","","EXTR-CNDWLHB-X","Raw Material","0.0005"
"","","OIL-TTOIDS-X","Raw Material","0.0005"
"BP-MOEDP-BULK","2","SAMP-DEASB-X","Raw Material","0.6"
"","","SAMP-FRO867POD-X","Raw Material","0.18"
"","","AIR-RO--L","Raw Material","0.178"
"","","PARF-SPFXTV-X","Raw Material","0.02"
"","","EMUL-DERMSOLP-","Raw Material","0.02"
"","","UVAS-BZP2-X","Raw Material","0.001"
"","","ALAN--AK-K","Raw Material","0.001"
"BP-RHEDP-BULK","3","SAMP-DEASB-X","Raw Material","0.6"
"","","AIR-RO--L","Raw Material","0.208"
"","","PARF-SGM62-X","Raw Material","0.15"
"","","EMUL-DERMSOLP-","Raw Material","0.02"
"","","PARF-SPFXTV-X","Raw Material","0.02"
"","","UVAS-BZP2-X","Raw Material","0.001"
"","","ALAN--AK-K","Raw Material","0.001"
"CON-IP01-BULK","2","TITA-CROTS-X","Raw Material","0.2"
"","","AIR-RO--L","Raw Material","0.1651"
"","","SILI-345-DC-K","Raw Material","0.175"
"","","SILI-BEL803-X","Raw Material","0.075"
"","","SAMP-RSNPTMX-X","Raw Material","0.06"
"","","BUTY--DAI1,3","Raw Material","0.06"
"","","BENT-BGVS5PC-X","Raw Material","0.05"
"","","NT---K","Raw Material","0.05"
"","","ABIL-EM90-X","Raw Material","0.03"
"","","EMUL-KF6017-X","Raw Material","0.02"
"","","POWD-9701-","Raw Material","0.01"
"","","THIC-RMGSO4-X","Raw Material","0.01"
"","","PEN-PRSVPE-X","Raw Material","0.008"
"","","VITA-B3PC-X","Raw Material","0.005"
"","","ALAN--AK-K","Raw Material","0.001"
"","","PEN-SENSC50-X","Raw Material","0.0005"
"","","EDT-B--K","Raw Material","0.0005"
"","","ACTI-ECTC-X","Raw Material","0.0003"
"","","ACTI-ECFA-X","Raw Material","0.0001"
"","","WARN-BYO12-X","Raw Material","0.0635"
"","","WARN-BRO12-X","Raw Material","0.012"
"","","WARN-BBO12-X","Raw Material","0.004"
"D-RO01-BULK","1","AIR-RO--L","Raw Material","0.64518"
"","","ALUM--ACH-K","Raw Material","0.2"
"","","EMUL-SPBS2-X","Raw Material","0.0335"
"","","PROP-PGESK-X","Raw Material","0.0275"
"","","EMO-ARLPS15E-X","Raw Material","0.025"
"","","SILI-2005-DC-K","Raw Material","0.017"
"","","EMUL-BS721-X","Raw Material","0.0165"
"","","PENG-PHC-X","Raw Material","0.008"
"","","SAMP-CPST1-X","Raw Material","0.008"
"","","OIL-OLV300-X","Raw Material","0.0075"
"","","ACTI-RNCC-X","Raw Material","0.005"
"","","ALAN--AK-K","Raw Material","0.002"
"","","MENT--CEPB-K","Raw Material","0.0018"
"","","BHT-CRTL-X","Raw Material","0.0015"
"","","EXTR-LCRG-X","Raw Material","0.0015"
"","","AJID-ZN100-X","Raw Material","1e-05"
"","","EXTR-CMRCCMT-X","Raw Material","1e-05"
"MASK-OMG-BULK","1","AIR-RO--L","Raw Material","0.3173"
"","","BENT-BGISDV-X","Raw Material","0.15"
"","","PURO-IDD-X","Raw Material","0.11"
"","","SILI-BEL803-X","Raw Material","0.08"
"","","WAX-ACG-X","Raw Material","0.05"
"","","FLMR-DSTY-X","Raw Material","0.05"
"","","SAMP-RWSSII-X","Raw Material","0.0415"
"","","EMU-INDOH100-","Raw Material","0.03"
"","","MWAX-SP19-X","Raw Material","0.0265"
"","","FLMR-AV2F-X","Raw Material","0.025"
"","","WAX-CDL204--X","Raw Material","0.022"
"","","WAX-EWCM-X","Raw Material","0.02"
"","","PR-ZPRDL-X","Raw Material","0.015"
"","","POL-U151-X","Raw Material","0.0125"
"","","FLMR-SYKLCG-X","Raw Material","0.01"
"","","PEN-EUXK900-X","Raw Material","0.01"
"","","SEPI-SPMXZ-X","Raw Material","0.005"
"","","PEN-SENSC50-X","Raw Material","0.004"
"","","EDT-B--K","Raw Material","0.001"
"","","EXTR-DB-","Raw Material","0.0001"
"","","VITA--TA-K","Raw Material","0.0001"
"","","WARN-WDCB2-X","Raw Material","0.02"
"L-MLCJ-BULK","10","BENT-BGISDV-X","Raw Material","0.26"
"","","PURO-IDD-X","Raw Material","0.18817"
"","","SILI-DC-PSFCS-X","Raw Material","0.08"
"","","SILI-BEL803-X","Raw Material","0.07"
"","","WAX-SBWX--X","Raw Material","0.06"
"","","HAIM-DIS-X","Raw Material","0.055"
"","","SILC-AERSLR-X","Raw Material","0.055"
"","","SILS-034-X","Raw Material","0.0525"
"","","EMU-PS-","Raw Material","0.0313"
"","","SILI-BELEG5-X","Raw Material","0.01"
"","","PENG-NPGEHP-X","Raw Material","0.008"
"","","EMO-SLCHS-X","Raw Material","0.005"
"","","PEN-SENSC50-X","Raw Material","0.004"
"","","ACTI-TINTT-X","Raw Material","0.001"
"","","PARF-DLPZLE-X","Raw Material","0.0005"
"","","OIL-OJJBIII-X","Raw Material","0.0001"
"","","VITA-DL E-MS","Raw Material","0.0001"
"","","WARN-C335138--K","Raw Material","0.04605"
