Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,TITA--3328EW-K,Raw Material,0.008268,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,CRO1-GTCC-,Raw Material,0.102376,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,EXTR-DB-,Raw Material,0.010000,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,PEN-PRSVPE-X,Raw Material,0.008000,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,PENG-SYM68-X,Raw Material,0.006000,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,PEN-SENSC50-X,Raw Material,0.004000,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,EMU-EPHV-X,Raw Material,0.202429,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,EMU-PLHV-X,Raw Material,0.161943,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,EMU-WCKL-X,Raw Material,0.080486,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,EMU-EPIS-X,Raw Material,0.072874,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,POWD-OMSS-X,Raw Material,0.057166,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,WAX-LIPZ-X,Raw Material,0.056680,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,EMU-UGGE-X,Raw Material,0.040486,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,WAX-CWCG-X,Raw Material,0.016194,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,ACTI-MGCPW-X,Raw Material,0.001000,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,EMU-EDPC-X,Raw Material,0.056680,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,PARF-VMR-X,Raw Material,0.001250,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,WARN-C19011-R7CL-K,Raw Material,0.036000,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,WARN-COGO--K,Raw Material,0.022168,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,WARN-TOA403-KF,Raw Material,0.004000,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,WARN-7712-,Raw Material,0.041000,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,WARN-TOA506-X,Raw Material,0.007000,kg
L-CPSLLS01-BULK/FPS,L-CPSLLS01-BULK,WARN-ABIO-X,Raw Material,0.004000,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,CRO1-GTCC-,Raw Material,0.106329,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,EXTR-DB-,Raw Material,0.010000,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,PEN-PRSVPE-X,Raw Material,0.008000,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,PENG-SYM68-X,Raw Material,0.006000,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,PEN-SENSC50-X,Raw Material,0.004000,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,TITA-INBP-X,Raw Material,0.079217,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,EMU-EPHV-X,Raw Material,0.170000,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,EMU-PLHV-X,Raw Material,0.161943,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,EMU-WCKL-X,Raw Material,0.080486,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,EMU-EPIS-X,Raw Material,0.100000,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,POWD-OMSS-X,Raw Material,0.057166,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,WAX-LIPZ-X,Raw Material,0.056680,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,EMU-UGGE-X,Raw Material,0.040486,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,WAX-CWCG-X,Raw Material,0.016194,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,ACTI-MGCPW-X,Raw Material,0.001000,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,EMU-EDPC-X,Raw Material,0.056680,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,PARF-VMR-X,Raw Material,0.001250,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,WARN-C338--K,Raw Material,0.026000,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,WARN-C43001-MV-K,Raw Material,0.005500,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,WARN-TOA403-KF,Raw Material,0.004951,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,WARN-TOA506-X,Raw Material,0.002671,kg
L-CPSLLS05-BULK/FPS,L-CPSLLS05-BULK,WARN-TPA502-X,Raw Material,0.005447,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,NT---K,Raw Material,0.135000,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,SERI-S-D-K,Raw Material,0.045000,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,SALA-99--K,Raw Material,0.189077,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,TITA--3328EW-K,Raw Material,0.060343,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,SILI-556-DC-K,Raw Material,0.058051,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,MC3-300-SF,Raw Material,0.017870,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,MC3-30-SF,Raw Material,0.088570,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,CERE-810-,Raw Material,0.040000,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,PERF-PL-,Raw Material,0.055000,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,VITA-DL E-MS,Raw Material,0.010000,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,EMU-LEX7-X,Raw Material,0.040000,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,PEN-PRSVPE-X,Raw Material,0.008000,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,WAX-SBWX--X,Raw Material,0.025000,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,PENG-SYM68-X,Raw Material,0.006000,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,PEN-SENSC50-X,Raw Material,0.004000,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,SUN-MP-X,Raw Material,0.070000,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,EMU-ACT-X,Raw Material,0.005000,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,FLMR-AV2F-X,Raw Material,0.010000,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,ACTI-MGCPW-X,Raw Material,0.000100,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,PARF-VMR-X,Raw Material,0.000500,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,WARN-C19011-R7CL-K,Raw Material,0.008713,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,WARN-C335138--K,Raw Material,0.027014,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,WARN-C338--K,Raw Material,0.078107,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,WARN-RED6LM4-X,Raw Material,0.015308,kg
L-CPMCLS01-BULK/FPS,L-CPMCLS01-BULK,WARN-ABIO-X,Raw Material,0.003347,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,NT---K,Raw Material,0.140000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,WAX-CW--K,Raw Material,0.030000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,WAX-P-FR6062-K,Raw Material,0.030000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,SALA-99--K,Raw Material,0.169389,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,TITA--3328EW-K,Raw Material,0.060837,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,SILI-556-DC-K,Raw Material,0.058051,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,MC3-300-SF,Raw Material,0.063991,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,MC3-30-SF,Raw Material,0.068570,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,OZO-OZO-,Raw Material,0.070000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,VITA-DL E-MS,Raw Material,0.010000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,EMU-LEX7-X,Raw Material,0.040000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,WAX-1847MICR-X,Raw Material,0.030000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,PEN-PRSVPE-X,Raw Material,0.008000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,MATS-MCM100-X,Raw Material,0.050000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,PENG-SYM68-X,Raw Material,0.006000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,PEN-SENSC50-X,Raw Material,0.004000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,SUN-MP-X,Raw Material,0.035000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,EMU-ACT-X,Raw Material,0.005000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,ACTI-MGCPW-X,Raw Material,0.001000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,PARF-VMR-X,Raw Material,0.000500,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,WARN-C19011-R7CL-K,Raw Material,0.008403,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,WARN-C335138--K,Raw Material,0.045000,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,WARN-C338--K,Raw Material,0.053520,kg
L-CPMCLS02-BULK/FPS,L-CPMCLS02-BULK,WARN-TOA403-KF,Raw Material,0.012739,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,NT---K,Raw Material,0.135000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,SERI-S-D-K,Raw Material,0.045000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,SALA-99--K,Raw Material,0.219909,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,SILI-556-DC-K,Raw Material,0.058051,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,MC3-300-SF,Raw Material,0.017870,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,MC3-30-SF,Raw Material,0.088570,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,CERE-810-,Raw Material,0.040000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,PERF-PL-,Raw Material,0.055000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,VITA-DL E-MS,Raw Material,0.010000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,TITA-OTS2CR50-,Raw Material,0.013000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,EMU-LEX7-X,Raw Material,0.040000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,PEN-PRSVPE-X,Raw Material,0.008000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,WAX-SBWX--X,Raw Material,0.025000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,PENG-SYM68-X,Raw Material,0.006000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,PEN-SENSC50-X,Raw Material,0.004000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,SUN-MP-X,Raw Material,0.070000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,EMU-ACT-X,Raw Material,0.005000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,FLMR-AV2F-X,Raw Material,0.010000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,ACTI-MGCPW-X,Raw Material,0.000100,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,PARF-VMR-X,Raw Material,0.000500,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,WARN-C19011-R7CL-K,Raw Material,0.095000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,WARN-C394--K,Raw Material,0.001500,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,WARN-TOA506-X,Raw Material,0.033000,kg
L-CPMCLS04-BULK/FPS,L-CPMCLS04-BULK,WARN-RED6LM4-X,Raw Material,0.019500,kg
L-CPMCLS05-W/FPS,L-CPMCLS05-BULK,NT---K,Raw Material,0.140000,kg
