Reference,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity
L-CPSLLS01-BULK/FPS,TITA--3328EW-K,Raw Material,0.00827
L-CPSLLS01-BULK/FPS,CRO1-GTCC-,Raw Material,0.10238
L-CPSLLS01-BULK/FPS,EXTR-DB-,Raw Material,0.01000
L-CPSLLS01-BULK/FPS,PEN-PRSVPE-X,Raw Material,0.00800
L-CPSLLS01-BULK/FPS,PENG-SYM68-X,Raw Material,0.00600
L-CPSLLS01-BULK/FPS,PEN-SENSC50-X,Raw Material,0.00400
L-CPSLLS01-BULK/FPS,EMU-EPHV-X,Raw Material,0.20243
L-CPSLLS01-BULK/FPS,EMU-PLHV-X,Raw Material,0.16194
L-CPSLLS01-BULK/FPS,EMU-WCKL-X,Raw Material,0.08049
L-CPSLLS01-BULK/FPS,EMU-EPIS-X,Raw Material,0.07287
L-CPSLLS01-BULK/FPS,POWD-OMSS-X,Raw Material,0.05717
L-CPSLLS01-BULK/FPS,WAX-LIPZ-X,Raw Material,0.05668
L-CPSLLS01-BULK/FPS,EMU-UGGE-X,Raw Material,0.04049
L-CPSLLS01-BULK/FPS,WAX-CWCG-X,Raw Material,0.01619
L-CPSLLS01-BULK/FPS,ACTI-MGCPW-X,Raw Material,0.00100
L-CPSLLS01-BULK/FPS,EMU-EDPC-X,Raw Material,0.05668
L-CPSLLS01-BULK/FPS,PARF-VMR-X,Raw Material,0.00125
L-CPSLLS01-BULK/FPS,WARN-C19011-R7CL-K,Raw Material,0.03600
L-CPSLLS01-BULK/FPS,WARN-COGO--K,Raw Material,0.02217
L-CPSLLS01-BULK/FPS,WARN-TOA403-KF,Raw Material,0.00400
L-CPSLLS01-BULK/FPS,WARN-7712-,Raw Material,0.04100
L-CPSLLS01-BULK/FPS,WARN-TOA506-X,Raw Material,0.00700
L-CPSLLS01-BULK/FPS,WARN-ABIO-X,Raw Material,0.00400
L-CPSLLS05-BULK/FPS,CRO1-GTCC-,Raw Material,0.10633
L-CPSLLS05-BULK/FPS,EXTR-DB-,Raw Material,0.01000
L-CPSLLS05-BULK/FPS,PEN-PRSVPE-X,Raw Material,0.00800
L-CPSLLS05-BULK/FPS,PENG-SYM68-X,Raw Material,0.00600
L-CPSLLS05-BULK/FPS,PEN-SENSC50-X,Raw Material,0.00400
L-CPSLLS05-BULK/FPS,TITA-INBP-X,Raw Material,0.07922
L-CPSLLS05-BULK/FPS,EMU-EPHV-X,Raw Material,0.17000
L-CPSLLS05-BULK/FPS,EMU-PLHV-X,Raw Material,0.16194
L-CPSLLS05-BULK/FPS,EMU-WCKL-X,Raw Material,0.08049
L-CPSLLS05-BULK/FPS,EMU-EPIS-X,Raw Material,0.10000
L-CPSLLS05-BULK/FPS,POWD-OMSS-X,Raw Material,0.05717
L-CPSLLS05-BULK/FPS,WAX-LIPZ-X,Raw Material,0.05668
L-CPSLLS05-BULK/FPS,EMU-UGGE-X,Raw Material,0.04049
L-CPSLLS05-BULK/FPS,WAX-CWCG-X,Raw Material,0.01619
L-CPSLLS05-BULK/FPS,ACTI-MGCPW-X,Raw Material,0.00100
L-CPSLLS05-BULK/FPS,EMU-EDPC-X,Raw Material,0.05668
L-CPSLLS05-BULK/FPS,PARF-VMR-X,Raw Material,0.00125
L-CPSLLS05-BULK/FPS,WARN-C338--K,Raw Material,0.02600
L-CPSLLS05-BULK/FPS,WARN-C43001-MV-K,Raw Material,0.00550
L-CPSLLS05-BULK/FPS,WARN-TOA403-KF,Raw Material,0.00495
L-CPSLLS05-BULK/FPS,WARN-TOA506-X,Raw Material,0.00267
L-CPSLLS05-BULK/FPS,WARN-TPA502-X,Raw Material,0.00545
L-CPMCLS01-BULK/FPS,NT---K,Raw Material,0.13500
L-CPMCLS01-BULK/FPS,SERI-S-D-K,Raw Material,0.04500
L-CPMCLS01-BULK/FPS,SALA-99--K,Raw Material,0.18908
L-CPMCLS01-BULK/FPS,TITA--3328EW-K,Raw Material,0.06034
L-CPMCLS01-BULK/FPS,SILI-556-DC-K,Raw Material,0.05805
L-CPMCLS01-BULK/FPS,MC3-300-SF,Raw Material,0.01787
L-CPMCLS01-BULK/FPS,MC3-30-SF,Raw Material,0.08857
L-CPMCLS01-BULK/FPS,CERE-810-,Raw Material,0.04000
L-CPMCLS01-BULK/FPS,PERF-PL-,Raw Material,0.05500
L-CPMCLS01-BULK/FPS,VITA-DL E-MS,Raw Material,0.01000
L-CPMCLS01-BULK/FPS,EMU-LEX7-X,Raw Material,0.04000
L-CPMCLS01-BULK/FPS,PEN-PRSVPE-X,Raw Material,0.00800
L-CPMCLS01-BULK/FPS,WAX-SBWX--X,Raw Material,0.02500
L-CPMCLS01-BULK/FPS,PENG-SYM68-X,Raw Material,0.00600
L-CPMCLS01-BULK/FPS,PEN-SENSC50-X,Raw Material,0.00400
L-CPMCLS01-BULK/FPS,SUN-MP-X,Raw Material,0.07000
L-CPMCLS01-BULK/FPS,EMU-ACT-X,Raw Material,0.00500
L-CPMCLS01-BULK/FPS,FLMR-AV2F-X,Raw Material,0.01000
L-CPMCLS01-BULK/FPS,ACTI-MGCPW-X,Raw Material,0.00010
L-CPMCLS01-BULK/FPS,PARF-VMR-X,Raw Material,0.00050
L-CPMCLS01-BULK/FPS,WARN-C19011-R7CL-K,Raw Material,0.00871
L-CPMCLS01-BULK/FPS,WARN-C335138--K,Raw Material,0.02701
L-CPMCLS01-BULK/FPS,WARN-C338--K,Raw Material,0.07811
L-CPMCLS01-BULK/FPS,WARN-RED6LM4-X,Raw Material,0.01531
L-CPMCLS01-BULK/FPS,WARN-ABIO-X,Raw Material,0.00335
L-CPMCLS02-BULK/FPS,NT---K,Raw Material,0.14000
L-CPMCLS02-BULK/FPS,WAX-CW--K,Raw Material,0.03000
L-CPMCLS02-BULK/FPS,WAX-P-FR6062-K,Raw Material,0.03000
L-CPMCLS02-BULK/FPS,SALA-99--K,Raw Material,0.16939
L-CPMCLS02-BULK/FPS,TITA--3328EW-K,Raw Material,0.06084
L-CPMCLS02-BULK/FPS,SILI-556-DC-K,Raw Material,0.05805
L-CPMCLS02-BULK/FPS,MC3-300-SF,Raw Material,0.06399
L-CPMCLS02-BULK/FPS,MC3-30-SF,Raw Material,0.06857
L-CPMCLS02-BULK/FPS,OZO-OZO-,Raw Material,0.07000
L-CPMCLS02-BULK/FPS,VITA-DL E-MS,Raw Material,0.01000
L-CPMCLS02-BULK/FPS,EMU-LEX7-X,Raw Material,0.04000
L-CPMCLS02-BULK/FPS,WAX-1847MICR-X,Raw Material,0.03000
L-CPMCLS02-BULK/FPS,PEN-PRSVPE-X,Raw Material,0.00800
L-CPMCLS02-BULK/FPS,MATS-MCM100-X,Raw Material,0.05000
L-CPMCLS02-BULK/FPS,PENG-SYM68-X,Raw Material,0.00600
L-CPMCLS02-BULK/FPS,PEN-SENSC50-X,Raw Material,0.00400
L-CPMCLS02-BULK/FPS,SUN-MP-X,Raw Material,0.03500
L-CPMCLS02-BULK/FPS,EMU-ACT-X,Raw Material,0.00500
L-CPMCLS02-BULK/FPS,ACTI-MGCPW-X,Raw Material,0.00100
L-CPMCLS02-BULK/FPS,PARF-VMR-X,Raw Material,0.00050
L-CPMCLS02-BULK/FPS,WARN-C19011-R7CL-K,Raw Material,0.00840
L-CPMCLS02-BULK/FPS,WARN-C335138--K,Raw Material,0.04500
L-CPMCLS02-BULK/FPS,WARN-C338--K,Raw Material,0.05352
L-CPMCLS02-BULK/FPS,WARN-TOA403-KF,Raw Material,0.01274
L-CPMCLS04-BULK/FPS,NT---K,Raw Material,0.13500
L-CPMCLS04-BULK/FPS,SERI-S-D-K,Raw Material,0.04500
L-CPMCLS04-BULK/FPS,SALA-99--K,Raw Material,0.21991
L-CPMCLS04-BULK/FPS,SILI-556-DC-K,Raw Material,0.05805
L-CPMCLS04-BULK/FPS,MC3-300-SF,Raw Material,0.01787
L-CPMCLS04-BULK/FPS,MC3-30-SF,Raw Material,0.08857
L-CPMCLS04-BULK/FPS,CERE-810-,Raw Material,0.04000
L-CPMCLS04-BULK/FPS,PERF-PL-,Raw Material,0.05500
L-CPMCLS04-BULK/FPS,VITA-DL E-MS,Raw Material,0.01000
L-CPMCLS04-BULK/FPS,TITA-OTS2CR50-,Raw Material,0.01300
L-CPMCLS04-BULK/FPS,EMU-LEX7-X,Raw Material,0.04000
L-CPMCLS04-BULK/FPS,PEN-PRSVPE-X,Raw Material,0.00800
L-CPMCLS04-BULK/FPS,WAX-SBWX--X,Raw Material,0.02500
L-CPMCLS04-BULK/FPS,PENG-SYM68-X,Raw Material,0.00600
L-CPMCLS04-BULK/FPS,PEN-SENSC50-X,Raw Material,0.00400
L-CPMCLS04-BULK/FPS,SUN-MP-X,Raw Material,0.07000
L-CPMCLS04-BULK/FPS,EMU-ACT-X,Raw Material,0.00500
L-CPMCLS04-BULK/FPS,FLMR-AV2F-X,Raw Material,0.01000
L-CPMCLS04-BULK/FPS,ACTI-MGCPW-X,Raw Material,0.00010
L-CPMCLS04-BULK/FPS,PARF-VMR-X,Raw Material,0.00050
L-CPMCLS04-BULK/FPS,WARN-C19011-R7CL-K,Raw Material,0.09500
L-CPMCLS04-BULK/FPS,WARN-C394--K,Raw Material,0.00150
L-CPMCLS04-BULK/FPS,WARN-TOA506-X,Raw Material,0.03300
L-CPMCLS04-BULK/FPS,WARN-RED6LM4-X,Raw Material,0.01950
FMI-SENSFS-BULK/FPS.RND.W144.00,PANT--DL-K,Raw Material,0.00500
FMI-SENSFS-BULK/FPS.RND.W144.00,SAMP-HXCTEC-X,Raw Material,0.02000
FMI-SENSFS-BULK/FPS.RND.W144.00,SAMP-SPHL-X,Raw Material,0.00001
FMI-SENSFS-BULK/FPS.RND.W144.00,EDT-B--K,Raw Material,0.00100
FMI-SENSFS-BULK/FPS.RND.W144.00,LAR-SF30-BULK,Intermediate,0.00007
FMI-SENSFS-BULK/FPS.RND.W144.00,PEN-RCCB-X,Raw Material,0.00050
FMI-SENSFS-BULK/FPS.RND.W144.00,ALAN--AK-K,Raw Material,0.00100
BO-JBPP-BULK/FPS,CECC---K,Raw Material,0.02000
BO-JBPP-BULK/FPS,POWD-9701-,Raw Material,0.03000
BO-JBPP-BULK/FPS,TITA-OTS2CR50-,Raw Material,0.10000
BO-JBPP-BULK/FPS,PEN-PRSVPE-X,Raw Material,0.00800
