Reference,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity
M-MP-BULK/Normal (odoo ref 11),SILI-9546-EDC,Raw Material,0.12500
M-MP-BULK/Normal (odoo ref 11),OIL-W-GARRC-DRUM,Raw Material,0.22800
M-MP-BULK/Normal (odoo ref 11),VASE--BP-DRUM,Raw Material,0.42500
M-MP-BULK/Normal (odoo ref 11),MWAX-SP19-X,Raw Material,0.05000
M-MP-BULK/Normal (odoo ref 11),WAX-B-BR,Raw Material,0.05000
M-MP-BULK/Normal (odoo ref 11),WAX-WHPRWT-X,Raw Material,0.07500
M-MP-BULK/Normal (odoo ref 11),NIPA-S--K,Raw Material,0.00100
M-MP-BULK/Normal (odoo ref 11),WAX-LNALWJ-X,Raw Material,0.03500
M-MP-BULK/Normal (odoo ref 11),BHT-CRTL-X,Raw Material,0.00100
M-MP-BULK/Normal (odoo ref 11),VITA-DL E-MS,Raw Material,0.01000
CLN-WCHT-BULK/SMB,TEGO-L7-1--K,Raw Material,0.04000
CLN-WCHT-BULK/SMB,ASAM-A-CAAH-K,Raw Material,0.00300
CLN-WCHT-BULK/SMB,GLYC--ECOS-K,Raw Material,0.05000
CLN-WCHT-BULK/SMB,KATH---K,Raw Material,0.00090
CLN-WCHT-BULK/SMB,TEXA---K,Raw Material,0.13000
CLN-WCHT-BULK/SMB,EDT-B--K,Raw Material,0.00100
CLN-WCHT-BULK/SMB,AJID--NL-K,Raw Material,0.02000
CLN-WCHT-BULK/SMB,POLY-MICOJ400-,Raw Material,0.00200
CLN-WCHT-BULK/SMB,MEDI-MDL-MGS,Raw Material,0.06000
CLN-WCHT-BULK/SMB,REWM-DC21-,Raw Material,0.02000
CLN-WCHT-BULK/SMB,GARA-VCNI-X,Raw Material,0.02600
CLN-WCHT-BULK/SMB,WARN-B-BULK,Intermediate,0.00004
CLN-WCHT-BULK/SMB,WARN-K-BULK,Intermediate,0.00008
D-R1ADP-BULK/FF,ALAN--AK-K,Raw Material,0.00100
D-R1ADP-BULK/FF,ALUM--ACH-K,Raw Material,0.17500
D-R1ADP-BULK/FF,SILI-2005-DC-K,Raw Material,0.01000
D-R1ADP-BULK/FF,SILI-1202-,Raw Material,0.02000
D-R1ADP-BULK/FF,EMU-TEGE-,Raw Material,0.02750
D-R1ADP-BULK/FF,EMUL-AL2-,Raw Material,0.02750
D-R1ADP-BULK/FF,EMUL-AL21-,Raw Material,0.01750
D-R1ADP-BULK/FF,PEN-PRSVPE-X,Raw Material,0.00800
D-R1ADP-BULK/FF,BHT-CRTL-X,Raw Material,0.00100
D-R1ADP-BULK/FF,PROP-PGESK-X,Raw Material,0.03000
D-R1ADP-BULK/FF,ACTI-RNCC-X,Raw Material,0.00500
SUNS-GS-30NP-BULK/SMB,PANT--DL-K,Raw Material,0.01000
