"Korporat Code","Component FG/Korporat Code","Component REFILL/Korporat Code"
"P-RPNB23-W","",""
"KB-FMIBR-L","FMI-BR-BULK",""
"A-W1MG-W40 ML","",""
"BB-BBN1C-BD","BB-BBC-BULK",""
"BB-BBN1A-BD","BB-BBA-BULK",""
"BB-BBN1D-BD","BB-BBD-BULK",""
"P-BHC-KA","SRM-RABS-KA",""
"","BRO-RNBO-KA",""
"M-CSGN01-B","M-CSGN-BULK",""
"L-BKML01-B","",""
"L-BKSS01-B","",""
"EO-BOLC01-B","EO-BOLC-BULK",""
"S-CSCB01-B","S-CSCB-BULK",""
"EO-SOCB01-B","EO-SOCB-BULK",""
"M-SSSC01-B","M-SSSC-BULK",""
"T-CSHT01-B","T-CSHT-BULK",""
"EO-OKDS01-B","EO-NSBOSH01-B",""
"","EO-NSBOTB01-B",""
"","EO-NSBOSN01-B",""
"EO-OKPT01-B","EO-NSSOPM01-B",""
"","EO-NSSOLD01-B",""
"","EO-NSSOLM01-B",""
"D-DEN01-B","D-DEN-BULK",""
"EO-SOEC01-B","EO-SOEC-BULK",""
"BL-BSEG01-B","BL-BSEG-BULK",""
"LD-CDFB01-B","",""
"EO-BOBR01-B","EO-BOBR-BULK",""
"FW-CSGC01-B","FW-CSGC-BULK",""
"M-CSGD01-B","M-CSGM01-BULK",""
"EO-BOHF01-B","EO-BOHF-BULK",""
"EO-BOMB01-B","EO-BOMB-BULK",""
"TH-VSKS01-B","",""
"TH-VSKG01-B","",""
"EO-SOLD01-B","EO-SOLD-BULK",""
"EO-SOLM01-B","EO-SOLM-BULK",""
"EO-SOLG01-B","EO-SOLG-BULK",""
"TH-VSLS01-B","",""
"BL-BSMT01-B","BL-BSMT-BULK",""
"EO-NFSBOBR01-B","",""
"EO-NFSSOPM01-B","",""
"MB-NFSMBSG02-B","",""
"BL-NFSBSMT02-B","",""
"S-NFSCSYP02-B","",""
"EO-SOOR01-B","EO-SOOR-BULK",""
"EO-SOPM01-B","EO-SOPM-BULK",""
"S-CSPB01-B","S-CSPB01-BULK",""
"EO-BOCR01-B","EO-BOCR-BULK",""
"EO-BORF01-B","EO-BORF-BULK",""
"PD-PSSS01-B","",""
"MB-MBSG01-B","MB-MBSG-BULK",""
"EO-BOSN01-B","EO-BOSN-BULK",""
"EO-BOSH01-B","EO-BOSH-BULK",""
"EO-SOTT01-B","EO-SOTT-BULK",""
"MB-COTR01-B","MB-COTR-BULK",""
"EO-BOTB01-B","EO-BOTB-BULK",""
"TH-VSVP01-B","",""
"S-CSYP01-B","S-CSYP-BULK",""
"M-NFSCSGN02-B","",""
"L-NFSBKSS02-B","",""
"L-NFSBKML02-B","",""
"W-AW10-BD","",""
"D-DEORO-BD","D-DEORO-BULK",""
"HBW-MALN1-BD","HBW-MAL-BULK",""
"HBW-NFSBWN1C-BD","HBW-BWC-BULK",""
"HBW-NFSBWN2C-BD","HBW-BWC-BULK",""
"HBW-NFSBWN1A-BD","HBW-BW-BULK",""
"HBW-NFSBWN2A-BD","HBW-BW-BULK",""
"HBW-NFSBWN1D-BD","HBW-BWD-BULK",""
"HBW-NFSBWN2D-BD","HBW-BWD-BULK",""
"HS-HSN1FG-BD","",""
"HBW-BWN1C-BD","HBW-BWC-BULK",""
"HBW-BWN5C-BD","HBW-BWC-BULK",""
"HBW-BWN2C-BD","HBW-BWC-BULK",""
"HBW-BWN6C-BD","HBW-BWC-BULK",""
"HBW-BWN4C-BD","HBW-BWC-BULK",""
"HBW-HWN2-BD","HBW-HW-BULK",""
"HBW-HWN1-BD","HBW-HW-BULK",""
"HBW-HWN3-BD","HBW-HW-BULK",""
"HBW-BWN1A-BD","HBW-BW-BULK",""
"HBW-BWN5A-BD","HBW-BW-BULK",""
"HBW-BWN2A-BD","HBW-BW-BULK",""
"HBW-BWN6A-BD","HBW-BW-BULK",""
"HBW-BWN4A-BD","HBW-BW-BULK",""
"HBW-BWN1D-BD","HBW-BWD-BULK",""
"HBW-BWN5D-BD","HBW-BWD-BULK",""
"HBW-BWN2D-BD","HBW-BWD-BULK",""
"HBW-BWN6D-BD","HBW-BWD-BULK",""
"HBW-BWN4D-BD","HBW-BWD-BULK",""
"HBW-HWN2B-BD","HBW-HWB-BULK",""
"HBW-HWN1B-BD","HBW-HWB-BULK",""
"HBW-HWN3B-BD","HBW-HWB-BULK",""
"P-RAM1-BD","HBW-BWN2A-BD",""
"","HBW-HWN2B-BD",""
"P-RAM2-BD","HBW-BWN2C-BD",""
"","HBW-HWN2B-BD",""
"P-RAM3-BD","HBW-HWN2-BD",""
"","HBW-BWN2D-BD",""
"P-RCM1-BD","HBW-BWN1A-BD",""
"","HBW-BWN2A-BD",""
"","HBW-HWN2B-BD",""
"","HBW-HWN1B-BD",""
"P-RCM2-BD","HBW-BWN1C-BD",""
"","HBW-BWN2C-BD",""
"","HBW-HWN2B-BD",""
"","HBW-HWN1B-BD",""
"P-RCM3-BD","HBW-HWN2-BD",""
"","HBW-HWN1-BD",""
"","HBW-BWN1D-BD",""
"","HBW-BWN2D-BD",""
"P-RCM4-BD","HBW-HWN2-BD",""
"","HBW-HWN1-BD",""
"","HBW-BWN2A-BD",""
"","HBW-BWN1D-BD",""
"P-RHLM1-BD","HBW-BWN1A-BD",""
"","HBW-BWN2A-BD",""
"","HBW-HWN2B-BD",""
"P-RHLM2-BD","HBW-BWN1C-BD",""
"","HBW-BWN2C-BD",""
"","HBW-HWN2B-BD",""
"P-RHLM3-BD","HBW-HWN2-BD",""
"","HBW-BWN1D-BD",""
"","HBW-BWN2D-BD",""
"P-RHLM4-BD","HBW-HWN2-BD",""
"","HBW-BWN2A-BD",""
"","HBW-BWN1D-BD",""
"P-RHLM-BD","HBW-BWN1C-BD",""
"","HBW-BWN2A-BD",""
"","HBW-HWN2B-BD",""
"P-ROUM-BD","HBW-HWN1-BD",""
"","HBW-BWN1A-BD",""
"","HBW-BWN2D-BD",""
"P-RURM-BD","HBW-BWN2C-BD",""
"","HBW-BWN2A-BD",""
"","HBW-HWN2B-BD",""
"P-BA-L","M-BRERMC-L",""
"","FW-GS-L",""
"","SRM-BRSRN2-L",""
"BCR-NMBMS-WBH","",""
"BCR-NMBS-WBH","",""
"BUKU-BYS2126-MO","",""
"P-PBA-MO","",""
"P-PBAB-MO","",""
"P-PBAC-W","",""
"P-PBAB-W","",""
"P-NFSASRMPFC-W","A-PFC-BULK",""
"","SRM-ASRM-BULK",""
"CON-CPADC01-W","CON-CPADC01-BULK",""
"CON-CPADC02-W","CON-CPADC02-BULK",""
"B-CPGR01-W","B-CPGR01-BULK",""
"B-CPGR02-W","B-CPGR02-BULK",""
"L-CPRLC01-W","L-CPRLC01-BULK",""
"L-CPRLC02-W","L-CPRLC02-BULK",""
"L-CPRLC03-W","L-CPRLC03-BULK",""
"L-CPRLC04-W","L-CPRLC04-BULK",""
"L-CPRLC05-W","L-CPRLC05-BULK",""
"TC-CPLS01-W","TC-CPLS01-BULK",""
"TC-CPLS02-W","TC-CPLS02-BULK",""
"TC-CPLS03-W","TC-CPLS03-BULK",""
"TC-CPLS04-W","TC-CPLS04-BULK",""
"TC-CPLSRFA-W","TC-CPLS01-BULK",""
"TC-CPLSRIV-W","TC-CPLS02-BULK",""
"TC-CPLSRBEI-W","TC-CPLS03-BULK",""
"TC-CPLSRCRE-W","TC-CPLS04-BULK",""
"BO-CPLP-W","BO-CPLP-RP-W12G",""
"L-CPMCLS01-W","L-CPMCLS01-BULK",""
"L-CPMCLS02-W","L-CPMCLS02-BULK",""
"L-CPMCLS03-W","",""
"L-CPMCLS04-W","L-CPMCLS04-BULK",""
"L-CPMCLS05-W","",""
"F-CPRS01-W","F-CPRS01-BULK",""
"F-CPRS02-W","F-CPRS02-BULK",""
"F-CPRS03-W","F-CPRS03-BULK",""
"F-CPRS04-W","F-CPRS04-BULK",""
"F-CPRS05-W","F-CPRS05-BULK",""
"F-CPRS06-W","F-CPRS06-BULK",""
"L-CPSLLS01-W","L-CPSLLS01-BULK",""
"L-CPSLLS05-W","L-CPSLLS05-BULK",""
"MUP-NMCB-WBH","",""
"P-CGK-W","SRM-CABN2-W",""
"","M-CSAOC10-W",""
"","SRM-CSRO10-W",""
"P-CLD-P","",""
"FT-CHGN2P-W","FT-CHG-BULK",""
"FT-CHG-W","FT-CHG-BULK",""
"FT-RCHG-W","FT-RCHG-BULK",""
"P-CLER-W","",""
"P-CTK-W","M-CSAHGN2-W",""
"P-CESR-W","SRM-CABN2-W",""
"","REM-CDAMGN2-W",""
"","M-CSRRCN2-W",""
"P-CFG-W","L-CPRLC04-BULK",""
"","SRM-CAB-BULK",""
"P-CF24-W","",""
"P-CLFR-W","",""
"SRM-CLA-W","SRM-CLA-BULK",""
"L-CLS-W","L-CLS-BULK",""
"FW-CFW-W","FW-CFW-BULK",""
"FW-RCFW-W","FW-RCFW-BULK",""
"FW-CFWN2P-W","FW-RCFW-BULK",""
"P-CLM-W","",""
"P-CLNR-W","",""
"L-CLSA-W","L-CLSA-BULK",""
"L-CLSB-W","L-CLSB-BULK",""
"L-CLSC-W","L-CLSC-BULK",""
"L-CLSD-W","L-CLSD-BULK",""
"L-CLSE-W","L-CLSE-BULK",""
"L-CLSF-W","L-CLSF-BULK",""
"L-CSTP01-W3.8G","",""
"L-CSTC02-W3.8G","",""
"L-CSWA03-W3.8G","",""
"L-CSRD04-W3.8G","",""
"L-CSGC05-W3.8G","",""
"SRM-RCABN2P-W","SRM-CAB-BULK",""
"SRM-CABN2-W","SRM-CAB-BULK",""
"SRM-CAB-W","SRM-CAB-BULK",""
"SRM-RCAB-W","SRM-RCAB-BULK",""
"M-RCSAOC10P-W","M-CSAOC-BULK",""
"M-CSAOC10-W","M-CSAOC-BULK",""
"M-CSAOC-W","M-CSAOC-BULK",""
"M-RCSAOC-W","M-CSAOC-BULK",""
"SRM-CSAE-W","SRM-CSAE-BULK",""
"SRM-RCSAE-W","SRM-RCSAE-BULK",""
"M-CSAHGN2-W","M-CSAHG-BULK",""
"M-CSAHG-W","M-CSAHG-BULK",""
"M-RCSAHG-W","M-RCSAHG-BULK",""
"FW-CSCDF-W","FW-CSCDF-BULK",""
"REM-CDAMGN2-W","REM-CDAMG-BULK",""
"REM-CDAMG-W","REM-CDAMG-BULK",""
"REM-RCDAMG-W","REM-RCDAMG-BULK",""
"SRM-RCSRO10P-W","SRM-CSRO-BULK",""
"SRM-CSRO10-W","SRM-CSRO-BULK",""
"SRM-CSRO-W","SRM-CSRO-BULK",""
"SRM-RCSRO-W","SRM-RCSRO-BULK",""
"M-RCSRRCN2P-W","M-CSRRC-BULK",""
"M-CSRRCN2-W","M-CSRRC-BULK",""
"M-CSRRC-W","M-CSRRC-BULK",""
"M-RCSRRC-W","M-RCSRRC-BULK",""
"P-CLBOISC-W","FW-CFWN2P-W",""
"","FT-CHGN2P-W",""
"","SRM-RCABN2P-W",""
"","SRM-RCSRO10P-W",""
"","M-RCSRRCN2P-W",""
"","M-RCSAOC10P-W",""
"P-DMU1-W","",""
"HBW-RETBWCN2-W","HBW-ETBWC-BULK",""
"HBW-REFETBWC-W","",""
"HBW-REFETBWCN2-W","",""
"HBW-RETBWAN2-W","HBW-ETBWA-BULK",""
"P-ETNYAP-W","",""
"P-ETNYAY-W","",""
"P-ETNYBYRD-W","",""
"P-ETNYBGRD-W","",""
"P-ETNYBPRD-W","",""
"HBW-RETBWBN2-W","HBW-ETBWB-BULK",""
"HBW-RETBWEN2-W","HBW-ETBWE-BULK",""
"HBW-RETBWDN2-W","HBW-ETBWD-BULK",""
"GWP-ERDP-W","",""
"P-BATW-E","",""
"EL-ELT-EM","EL-ELT-BULK",""
"RD-ETAP-W","",""
"HBL-ETBMCN2-W","HBL-ETBMC-BULK",""
"HBW-ETBWC-W","HBW-ETBWC-BULK",""
"HBW-ETBWCN2-W","HBW-ETBWC-BULK",""
"HBL-ETBMAN2-W","HBL-ETBMA-BULK",""
"HBW-ETBWA-W","HBW-ETBWA-BULK",""
"HBW-ETBWAN2-W","HBW-ETBWA-BULK",""
"RD-ETEP-W","",""
"HBL-ETBMBN2-W","HBL-ETBMB-BULK",""
"HBW-ETBWB-W","HBW-ETBWB-BULK",""
"HBW-ETBWBN2-W","HBW-ETBWB-BULK",""
"RD-ETMB-W","RD-ETMB-BULK",""
"RD-ETSD-W","RD-ETSD-BULK",""
"RD-ETSU-W","",""
"HBL-ETBMEN2-W","HBL-ETBME-BULK",""
"HBW-ETBWE-W","HBW-ETBWE-BULK",""
"HBW-ETBWEN2-W","HBW-ETBWE-BULK",""
"HBW-ETBWD-W","HBW-ETBWD-BULK",""
"HBL-ETBMDN2-W","HBL-ETBMD-BULK",""
"HBW-ETBWDN2-W","HBW-ETBWD-BULK",""
"FM-2IN1S-EM","FM-2IN1S-BULK",""
"P-3SFTB-EM","CM-CML-BULK",""
"P-3SHD-EM","",""
"P-3SKMM-EM","",""
"EB-ABBL-EM1.2GR","EBP-ABBLR1-E",""
"EB-ABBR-EM1.2GR","EBP-ABBRR1-E",""
"FMI-AV-EM","FMI-AV-BULK",""
"HBL-AVG-EM","HBL-AVG-BULK",""
"HS-AVHGN2-EM","",""
"HS-AVHG-EM","",""
"HS-AVHSN2-EM","HS-AVHS-BULK",""
"HS-AVHS-EM","HS-AVHS-BULK",""
"FS-AJ-EM60ML","FS-AJ-BULK",""
"FM-AIS-EM30G","FM-AIS-BULK",""
"FM-AH-EM60ML","FM-AH-BULK",""
"BUT-BR-EM100ML","",""
"B-BMCF1-EM14GR","",""
"B-BMCLB2-EM14GR","",""
"B-BMCA3-EM14GR","",""
"B-BMCE4-EM14GR","",""
"CUS-BWM01-EM","CUSH-EBWMMC01L-X",""
"CUS-BWM02-EM","CUSH-EBWMMC02N-X",""
"CUS-BWM03-EM","CUSH-EBWMMC03C-X",""
"CUS-BWM04-EM","CUSH-EBWMMC04M-X",""
"B-RBMLP01-EM","B-BMLPF1-BULK",""
"B-BMLPF1-EM8GR","B-BMLPF1-BULK",""
"B-RBMLP02-EM","B-BMLPLB2-BULK",""
"B-BMLPLB2-EM8GR","B-BMLPLB2-BULK",""
"B-RBMLP03-EM","B-BMLPA3-BULK",""
"B-BMLPA3-EM8GR","B-BMLPA3-BULK",""
"B-RBMLP04-EM","B-BMLPE4-BULK",""
"B-BMLPE4-EM8GR","B-BMLPE4-BULK",""
"F-BWMM01-EM","F-BWMM01-BULK",""
"F-BWMM02-EM","F-BWMM02-BULK",""
"F-BWMM03-EM","F-BWMM03-BULK",""
"F-BWMM04-EM","F-BWMM04-BULK",""
